"diet","direction","signed_direction","Gene_class","n_significant_genes","signed_n","burden_class"
"33","Higher in infected",1,"Coding genes",396,396,"Higher in infected - Coding genes"
"33","Higher in infected",1,"Long non-coding RNA",21,21,"Higher in infected - Long non-coding RNA"
"33","Higher in control",-1,"Coding genes",370,-370,"Higher in control - Coding genes"
"33","Higher in control",-1,"Long non-coding RNA",16,-16,"Higher in control - Long non-coding RNA"
"50","Higher in infected",1,"Coding genes",2365,2365,"Higher in infected - Coding genes"
"50","Higher in infected",1,"Long non-coding RNA",123,123,"Higher in infected - Long non-coding RNA"
"50","Higher in infected",1,"Other non-coding",1,1,"Higher in infected - Other non-coding"
"50","Higher in control",-1,"Coding genes",432,-432,"Higher in control - Coding genes"
"50","Higher in control",-1,"Long non-coding RNA",10,-10,"Higher in control - Long non-coding RNA"
"83","Higher in infected",1,"Coding genes",320,320,"Higher in infected - Coding genes"
"83","Higher in infected",1,"Long non-coding RNA",20,20,"Higher in infected - Long non-coding RNA"
"83","Higher in infected",1,"Other non-coding",2,2,"Higher in infected - Other non-coding"
"83","Higher in control",-1,"Coding genes",170,-170,"Higher in control - Coding genes"
"83","Higher in control",-1,"Long non-coding RNA",7,-7,"Higher in control - Long non-coding RNA"
