"Diet","Treatment","Condition","centroid_PC1","centroid_PC2"
"33","Control","33 Control",35.3390508682097,-13.6994967187484
"50","Control","50 Control",33.5997703649918,-10.2262981179462
"83","Control","83 Control",17.1011721189689,-20.5014539658395
"33","Infected","33 Infected",-1.57922207332296,20.9413816090358
"50","Infected","50 Infected",-31.0936889306815,2.96102134604957
"83","Infected","83 Infected",-22.7910569329598,6.29853787177219
