"diet","direction","n_significant_genes","signed_n"
"33","Higher in infected",417,417
"50","Higher in infected",2489,2489
"83","Higher in infected",342,342
"33","Higher in control",386,-386
"50","Higher in control",442,-442
"83","Higher in control",177,-177
