source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,significant_in_current_unplaced_analysis,n_significant_contrasts,significant_contrasts,higher_expression_conditions
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126328060,probable ornithine aminotransferase,probable ornithine aminotransferase,protein_coding,NW_026062425.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126330815,probable alanine aminotransferase mitochondrial (aa metabolism),"probable alanine aminotransferase, mitochondrial",protein_coding,NW_026062667.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,TOR Pathway Regulators,LOC126317075,GATOR complex protein MIOS-like,GATOR complex protein MIOS-like,protein_coding,NW_026062009.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,TOR Pathway Regulators,LOC126317525,rapamycin-insensitive companion of mTOR-like,rapamycin-insensitive companion of mTOR-like,protein_coding,NW_026062019.1,FALSE,0,None at current thresholds,Not significant
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,TOR Pathway Regulators,LOC126319879,protein raptor homolog,protein raptor homolog,protein_coding,NW_026062071.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126320564,epidermal growth factor receptor substrate 15 homolog,epidermal growth factor receptor substrate 15 homolog,protein_coding,NW_026062105.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126320753,insulin degrading enzyme,insulin-degrading enzyme-like,protein_coding,NW_026062120.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,TOR Pathway Regulators,LOC126325490,serine/threonine-protein kinase tor-like,serine/threonine-protein kinase tor-like,protein_coding,NW_026062282.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126304702,60S ribosomal protein L34-like,60S ribosomal protein L34-like,protein_coding,NW_026061732.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126313321,60S ribosomal protein L8-like,60S ribosomal protein L8-like,protein_coding,NW_026061886.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126313359,60S acidic ribosomal protein P0-like,60S acidic ribosomal protein P0-like,protein_coding,NW_026061886.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126314456,60S ribosomal protein L9-like,60S ribosomal protein L9-like,protein_coding,NW_026061953.1,TRUE,3,Infected: diet 50 vs 33; Infected: diet 83 vs 33; Diet 33: infected vs control,Infected diet 50; Infected diet 83; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126315212,40S ribosomal protein S6-like,40S ribosomal protein S6-like,protein_coding,NW_026061958.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126315227,60S ribosomal protein L11-like,60S ribosomal protein L11-like,protein_coding,NW_026061960.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126316952,40S ribosomal protein S15-like,40S ribosomal protein S15-like,protein_coding,NW_026062003.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126318218,30S ribosomal protein S9-like,30S ribosomal protein S9-like,protein_coding,NW_026062043.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126318343,60S ribosomal protein L5-like,60S ribosomal protein L5-like,protein_coding,NW_026062048.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126318441,elongation factor 1-gamma-A-like,elongation factor 1-gamma-A-like,protein_coding,NW_026062051.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126318456,eukaryotic translation initiation factor 4 gamma 3-like,eukaryotic translation initiation factor 4 gamma 3-like,protein_coding,NW_026062051.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,RNA Polymerases & Transcription Machinery,LOC126318616,DNA-directed RNA polymerase II subunit rpb2-like,DNA-directed RNA polymerase II subunit rpb2-like,protein_coding,NW_026062056.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126318651,elongation factor 1-beta-like,elongation factor 1-beta-like,protein_coding,NW_026062056.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126320365,40S ribosomal protein SA-like,40S ribosomal protein SA-like,protein_coding,NW_026062094.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126320390,translation initiation factor eIF-2B subunit beta-like,translation initiation factor eIF-2B subunit beta-like,protein_coding,NW_026062097.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126320478,eukaryotic translation initiation factor 2 subunit 2-like,eukaryotic translation initiation factor 2 subunit 2-like,protein_coding,NW_026062097.1,TRUE,1,Infected: diet 50 vs 33,Infected diet 50
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126320549,60S acidic ribosomal protein P2-like,60S acidic ribosomal protein P2-like,protein_coding,NW_026062105.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Translation Initiation & Elongation Factors,LOC126320556,eukaryotic translation initiation factor 3 subunit B-like,eukaryotic translation initiation factor 3 subunit B-like,protein_coding,NW_026062105.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
Protein-Anabolism,Protein Synthesis & Translation,Ribosomal Structural Proteins,LOC126322380,40S ribosomal protein S18-like,40S ribosomal protein S18-like,protein_coding,NW_026062176.1,TRUE,2,Infected: diet 50 vs 33; Diet 33: infected vs control,Infected diet 50; Control diet 33
