original_status,current_status,gene_contrast_cells
Downregulated,Downregulated,20
Downregulated,N.S.,22
N.S.,Downregulated,5
N.S.,N.S.,764
N.S.,Upregulated,9
Upregulated,N.S.,66
Upregulated,Upregulated,113
