source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_name,sequence_role,assigned_molecule,location_type,sequence_class,contrast_id,contrast_label,figure_scope,x_label,x_order,desired_sign,positive_condition,negative_condition,workbook_lfc_col,workbook_padj_col,show_in_figure,analysis_scope,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,oriented_log2FC,status,higher_expression_condition,primary_figure,original_value,original_oriented_log2FC,original_status
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,"50
vs
33",1,-1,Control diet 50,Control diet 33,cont33 vs cont50_log2FC,cont33 vs cont50_padj,FALSE,Placed/host-assigned,59.90387561039013,0.3652207060765064,0.4916195979575777,0.7428928944122801,0.4575465279782464,1,FALSE,-0.3652207060765064,N.S.,Not significant,TRUE,N.S.,,N.S.
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,"83
vs
33",2,1,Control diet 83,Control diet 33,cont83 vs cont33_log2FC,cont83 vs cont33_padj,FALSE,Placed/host-assigned,59.90387561039013,-0.1510441414732488,0.4732013322519168,-0.3191963571920754,0.749577619141138,0.9999600044522764,FALSE,-0.1510441414732488,N.S.,Not significant,TRUE,N.S.,,N.S.
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,"83
vs
50",3,1,Control diet 83,Control diet 50,cont83 vs cont50_log2FC,cont83 vs cont50_padj,FALSE,Placed/host-assigned,59.90387561039013,0.2141765646032575,0.492395141481742,0.4349688828341114,0.6635850141674564,0.9999598152659928,FALSE,0.2141765646032575,N.S.,Not significant,TRUE,N.S.,,N.S.
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,"50
vs
33",1,-1,Infected diet 50,Infected diet 33,inf33 vs inf50_log2FC,inf33 vs inf50_padj,TRUE,Placed/host-assigned,59.90387561039013,0.7556915005138449,0.42297773412587303,1.7865987723338654,0.07400236028157496,0.8228146665638988,FALSE,-0.7556915005138449,N.S.,Not significant,TRUE,N.S.,,N.S.
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,"83
vs
33",2,1,Infected diet 83,Infected diet 33,inf83 vs inf33_log2FC,inf83 vs inf33_padj,TRUE,Placed/host-assigned,59.90387561039013,0.7540313609402693,0.4830764712504756,1.560894404540981,0.11854866775951492,0.7252453542568389,FALSE,0.7540313609402693,N.S.,Not significant,TRUE,N.S.,,N.S.
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,"83
vs
50",3,1,Infected diet 83,Infected diet 50,inf83 vs inf50_log2FC,inf83 vs inf50_padj,TRUE,Placed/host-assigned,59.90387561039013,1.5097228614541145,0.4989190859006315,3.0259873877721364,0.0024782263979457,0.2194254149886157,FALSE,1.5097228614541145,N.S.,Not significant,TRUE,1.931,1.931,Upregulated
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,33,1,1,Infected diet 33,Control diet 33,Diet 33 log2FC,Diet 33 padj,TRUE,Placed/host-assigned,59.90387561039013,-1.4979997832011362,0.43960729119993114,-3.4075863007464395,6.554017936128923e-4,0.01104979104200748,TRUE,-1.4979997832011362,Downregulated,Control diet 33,TRUE,-1.6719999999999999,-1.672,Downregulated
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,Placed/host-assigned,59.90387561039013,-1.8884705776384747,0.47680753159538813,-3.960655930328305,7.474416596516177e-5,0.00170990709038576,TRUE,-1.8884705776384747,Downregulated,Control diet 50,TRUE,-2.6970000000000001,-2.697,Downregulated
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,83,3,1,Infected diet 83,Control diet 83,Diet 83 log2FC,Diet 83 padj,TRUE,Placed/host-assigned,59.90387561039013,-0.592924280787618,0.5138363625169587,-1.1539165462779974,0.2485343848471697,0.4979010282093454,FALSE,-0.592924280787618,N.S.,Not significant,TRUE,N.S.,,N.S.
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,1,Chromosome,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,"50
vs
33",1,-1,Control diet 50,Control diet 33,cont33 vs cont50_log2FC,cont33 vs cont50_padj,FALSE,Placed/host-assigned,235.3361945896667,0.2103914475235585,0.5022249469562199,0.418918751047026,0.675275512686258,1,FALSE,-0.2103914475235585,N.S.,Not significant,TRUE,N.S.,,N.S.
