"intersection","n_genes","n_sets","intersection_id"
"DESeq2_Infected_diet_33_vs_50",1802,1,"I01"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients",345,3,"I02"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",265,5,"I03"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33",246,4,"I04"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50",244,2,"I05"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33",198,2,"I06"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_83",116,2,"I07"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33",62,3,"I08"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_83",61,4,"I09"
"all_model_coefficients",51,1,"I10"
"DESeq2_Infected_diet_33_vs_50 + all_model_coefficients + interaction_coefficients",46,3,"I11"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",28,3,"I12"
"DESeq2_Infected_diet_33_vs_50 + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33",28,3,"I13"
"DESeq2_Infected_diet_33_vs_50 + all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients",17,4,"I14"
"all_diet_pairwise_results + DESeq2_33_vs_50",13,2,"I15"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_83",12,3,"I16"
"all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_50",11,3,"I17"
"DESeq2_Infected_diet_33_vs_50 + all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + interaction_coefficients",8,5,"I18"
"DESeq2_Control_diet_33_vs_83",8,1,"I19"
"DESeq2_Infected_diet_33_vs_50 + all_diet_pairwise_results + DESeq2_33_vs_50",7,3,"I20"
