"comparison_type","comparison","signed_direction","expression_cluster","n_genes","total_DEGs","proportion"
"Diet contrasts among control","Control 33 vs 50","Upregulated","DEG cluster 1",0,3,0
"Diet contrasts among control","Control 33 vs 50","Upregulated","DEG cluster 2",1,3,0.333333333333333
"Diet contrasts among control","Control 33 vs 50","Upregulated","DEG cluster 3+4",2,3,0.666666666666667
"Diet contrasts among control","Control 83 vs 33","Downregulated","DEG cluster 1",1,23,0.0434782608695652
"Diet contrasts among control","Control 83 vs 33","Downregulated","DEG cluster 2",1,23,0.0434782608695652
"Diet contrasts among control","Control 83 vs 33","Downregulated","DEG cluster 3+4",21,23,0.91304347826087
"Diet contrasts among control","Control 83 vs 33","Upregulated","DEG cluster 1",2,45,0.0444444444444444
"Diet contrasts among control","Control 83 vs 33","Upregulated","DEG cluster 2",9,45,0.2
"Diet contrasts among control","Control 83 vs 33","Upregulated","DEG cluster 3+4",34,45,0.755555555555556
"Diet contrasts among control","Control 83 vs 50","Downregulated","DEG cluster 1",1,3,0.333333333333333
"Diet contrasts among control","Control 83 vs 50","Downregulated","DEG cluster 2",0,3,0
"Diet contrasts among control","Control 83 vs 50","Downregulated","DEG cluster 3+4",2,3,0.666666666666667
"Diet contrasts among control","Control 83 vs 50","Upregulated","DEG cluster 1",0,32,0
"Diet contrasts among control","Control 83 vs 50","Upregulated","DEG cluster 2",11,32,0.34375
"Diet contrasts among control","Control 83 vs 50","Upregulated","DEG cluster 3+4",21,32,0.65625
"Diet contrasts among infected","Infected 33 vs 50","Downregulated","DEG cluster 1",1872,1921,0.974492451847996
"Diet contrasts among infected","Infected 33 vs 50","Downregulated","DEG cluster 2",32,1921,0.0166579906298803
"Diet contrasts among infected","Infected 33 vs 50","Downregulated","DEG cluster 3+4",17,1921,0.00884955752212389
"Diet contrasts among infected","Infected 33 vs 50","Upregulated","DEG cluster 1",1,10,0.1
"Diet contrasts among infected","Infected 33 vs 50","Upregulated","DEG cluster 2",2,10,0.2
"Diet contrasts among infected","Infected 33 vs 50","Upregulated","DEG cluster 3+4",7,10,0.7
"Diet contrasts among infected","Infected 83 vs 33","Downregulated","DEG cluster 1",0,10,0
"Diet contrasts among infected","Infected 83 vs 33","Downregulated","DEG cluster 2",0,10,0
"Diet contrasts among infected","Infected 83 vs 33","Downregulated","DEG cluster 3+4",10,10,1
"Diet contrasts among infected","Infected 83 vs 33","Upregulated","DEG cluster 1",6,14,0.428571428571429
"Diet contrasts among infected","Infected 83 vs 33","Upregulated","DEG cluster 2",2,14,0.142857142857143
"Diet contrasts among infected","Infected 83 vs 33","Upregulated","DEG cluster 3+4",6,14,0.428571428571429
"Diet contrasts among infected","Infected 83 vs 50","Upregulated","DEG cluster 1",1,1,1
"Diet contrasts among infected","Infected 83 vs 50","Upregulated","DEG cluster 2",0,1,0
"Diet contrasts among infected","Infected 83 vs 50","Upregulated","DEG cluster 3+4",0,1,0
"Infection within diet","Diet 33: infected vs control","Downregulated","DEG cluster 1",48,441,0.108843537414966
"Infection within diet","Diet 33: infected vs control","Downregulated","DEG cluster 2",0,441,0
"Infection within diet","Diet 33: infected vs control","Downregulated","DEG cluster 3+4",393,441,0.891156462585034
"Infection within diet","Diet 33: infected vs control","Upregulated","DEG cluster 1",12,457,0.0262582056892779
"Infection within diet","Diet 33: infected vs control","Upregulated","DEG cluster 2",442,457,0.967177242888403
"Infection within diet","Diet 33: infected vs control","Upregulated","DEG cluster 3+4",3,457,0.00656455142231947
"Infection within diet","Diet 50: infected vs control","Downregulated","DEG cluster 1",3,518,0.00579150579150579
"Infection within diet","Diet 50: infected vs control","Downregulated","DEG cluster 2",0,518,0
"Infection within diet","Diet 50: infected vs control","Downregulated","DEG cluster 3+4",515,518,0.994208494208494
"Infection within diet","Diet 50: infected vs control","Upregulated","DEG cluster 1",36,794,0.0453400503778338
"Infection within diet","Diet 50: infected vs control","Upregulated","DEG cluster 2",752,794,0.947103274559194
"Infection within diet","Diet 50: infected vs control","Upregulated","DEG cluster 3+4",6,794,0.00755667506297229
"Infection within diet","Diet 83: infected vs control","Downregulated","DEG cluster 1",0,177,0
"Infection within diet","Diet 83: infected vs control","Downregulated","DEG cluster 2",2,177,0.0112994350282486
"Infection within diet","Diet 83: infected vs control","Downregulated","DEG cluster 3+4",175,177,0.988700564971751
"Infection within diet","Diet 83: infected vs control","Upregulated","DEG cluster 1",24,342,0.0701754385964912
"Infection within diet","Diet 83: infected vs control","Upregulated","DEG cluster 2",317,342,0.926900584795322
"Infection within diet","Diet 83: infected vs control","Upregulated","DEG cluster 3+4",1,342,0.00292397660818713
