"gene_id","Infection within diets","Diet DEGs in controls","Diet DEGs in infected","Infection vs control","intersection"
"LOC126346564",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126346580",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126346606",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126346622",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126346830",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126347783",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126347864",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126347975",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126349011",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126349195",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126349273",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126349289",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126349353",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126349792",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126349825",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126349907",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126350022",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126350630",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126350918",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126351672",FALSE,TRUE,TRUE,FALSE,"Diet DEGs in controls + Diet DEGs in infected"
"LOC126351894",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126352026",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126352738",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126352796",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126352958",FALSE,TRUE,TRUE,FALSE,"Diet DEGs in controls + Diet DEGs in infected"
"LOC126353181",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353355",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126353756",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126353777",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353790",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353793",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353821",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353822",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353837",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353854",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126353855",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353857",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126353858",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126353859",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126353865",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126353873",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353879",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353887",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353919",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353920",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126353927",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126353931",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353933",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353948",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126353949",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126353952",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353958",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353997",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126353998",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354006",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126354008",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354013",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354017",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354018",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354053",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354065",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354068",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354081",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354088",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354097",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354102",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126354142",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354146",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354174",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354185",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354186",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354197",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354198",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354199",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354206",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354210",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354218",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354225",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354226",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354254",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354256",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354260",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354265",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354268",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354281",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354282",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354283",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354284",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354288",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354298",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354299",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354316",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354319",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354323",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354340",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354341",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126354358",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126354364",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354365",TRUE,TRUE,FALSE,FALSE,"Infection within diets + Diet DEGs in controls"
"LOC126354407",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354416",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354418",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354448",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354459",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354460",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354476",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354478",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354485",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354509",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354521",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354529",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126354547",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354550",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354562",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354570",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126354574",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354577",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354579",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354582",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126354587",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354594",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354599",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354602",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354610",FALSE,TRUE,TRUE,FALSE,"Diet DEGs in controls + Diet DEGs in infected"
"LOC126354620",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354626",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354642",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354649",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354656",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354672",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354677",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354701",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354702",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354704",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354705",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354707",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354714",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126354720",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354722",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354727",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354742",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126354753",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354780",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354788",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354795",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126354798",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126354806",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354813",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126354818",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354828",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126354835",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354843",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354870",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354871",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354887",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354890",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354894",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354904",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126354907",TRUE,TRUE,FALSE,FALSE,"Infection within diets + Diet DEGs in controls"
"LOC126354914",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354919",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126354923",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354924",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126354926",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
