"DEG_context","comparison_type","comparison","numerator","denominator","diet","gene_id","log2FoldChange"
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268182",1.33379025740462
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268194",1.30718863240895
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268199",-3.67236435944611
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268205",1.05537351628315
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268218",-1.02003828561364
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268397",1.70522427761312
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268728",-2.33661959350024
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126269384",3.70949693488547
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126269416",1.3125948600602
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126270012",1.09355793190484
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126270294",-2.05514914524153
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271480",2.81203569845073
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271496",2.0689914141993
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271532",-1.53584359567588
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271618",4.51062453575852
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271634",8.13547391106471
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271720",-1.38294860615151
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271849",-2.58396191662501
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271895",2.00129209950283
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271907",2.61462518747338
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271928",-1.50718209067298
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271949",-1.18611886690572
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126271975",5.58643025942269
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272038",1.12271529338783
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272055",1.3278286263388
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272082",2.34797191630232
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272087",1.16964706936783
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272090",1.51933682275834
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272126",-1.85898144562199
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272129",-1.49294947906738
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272144",2.79290423490448
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272290",2.08671395212351
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272321",1.55377363029738
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272336",1.01668742948556
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272353",2.72712047463108
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272363",1.5612659797936
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272419",3.32595958380212
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272450",-1.47400633725744
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272463",-1.08171430030255
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272507",1.95065892521711
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272513",2.00730880129085
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272535",1.12414322441174
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272556",-1.83265509467548
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272589",-1.54494540090826
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272599",1.67848019342426
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272608",3.96248551169254
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272609",5.58576716495468
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272678",-2.31554017797839
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272691",-2.49725579715927
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272753",-1.16894404882972
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126272767",1.60632844257476
