"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","contrast","significant"
71.1020046777814,-1.83516807379102,0.829901458558239,-2.21130840880699,0.0270144874505711,0.358015651230806,"LOC126266590","33_vs_83",FALSE
268.849753760727,-0.186232074932549,0.150523272939264,-1.23723110251325,0.216001297762112,0.64186630021292,"LOC126266591","33_vs_83",FALSE
51.1066887795043,0.0433266278517563,0.122254834265449,0.354396029507368,0.723042109728297,0.921015454156726,"LOC126266592","33_vs_83",FALSE
1811.07738453643,0.0541946326695649,0.184632232990378,0.293527472380129,0.769119003857053,0.935074269552691,"LOC126266593","33_vs_83",FALSE
168.125832241947,0.167552321335925,0.141091086038595,1.1875471799125,0.235011858276206,0.662083247668808,"LOC126266594","33_vs_83",FALSE
186.443485191624,-0.0177104830553401,0.0694059734418855,-0.255172316978874,0.798590011325768,0.941640064736532,"LOC126266595","33_vs_83",FALSE
1544.9957793285,0.0200613866625454,0.243171187554806,0.0824990282124768,0.93424989107602,0.982692688080523,"LOC126266596","33_vs_83",FALSE
34.3974965948154,-0.996452122406432,0.466127622662598,-2.13772382060203,0.0325391650083989,0.386949364491442,"LOC126266597","33_vs_83",FALSE
187.948546628625,0.065474179441084,0.09391173006343,0.697188513052217,0.485684826718575,0.818434207510488,"LOC126266598","33_vs_83",FALSE
472.19448654931,-0.786250261381255,0.30257985370647,-2.59848847089466,0.00936351893076558,0.236936191955304,"LOC126266599","33_vs_83",FALSE
635.533701158983,0.0283077378420187,0.0642641740012145,0.440490184180749,0.659582120037481,0.895546059134843,"LOC126266600","33_vs_83",FALSE
130.751370246414,0.0613578147580973,0.167719303111684,0.36583633260889,0.71448720689172,0.917823932537196,"LOC126266601","33_vs_83",FALSE
120.874247493643,-0.00613197502268913,0.0871051553236222,-0.0703973834832964,0.943877373761539,0.98549397309725,"LOC126266602","33_vs_83",FALSE
12.7596174830062,0.104983147233284,0.358078465093435,0.293184755486176,0.769380935735069,0.935074269552691,"LOC126266603","33_vs_83",FALSE
