"gene_id","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj"
"LOC126266593",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.8355670446694,9.58598794787621e-24
"LOC126266596",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",2.35928584460159,1.68800370022507e-16
"LOC126266603",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.08117283597038,0.040497061043265
"LOC126266604",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.12870006194073,0.00057028176385017
"LOC126266610",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.07667697835711,0.000906533834613607
"LOC126266626",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",2.72415889234583,0.0213433788353814
"LOC126266629",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.41391890913986,0.00167458308544891
"LOC126266641",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",4.29080721016363,0.0105995308784357
"LOC126266649",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.23383232555896,0.00025080592880958
"LOC126266650",TRUE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.08721233690855,0.0322777146851354
"LOC126266657",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.89260633241917,4.11248166203494e-05
"LOC126266662",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",1.78791023390031,0.000129230422787338
"LOC126266665",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.68994862269519,0.00163612149650819
"LOC126266672",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.54521253335111,3.86727137944677e-09
"LOC126266675",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Upregulated",1.25995640383913,1.63618537444907e-06
"LOC126266679",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.16122250903818,0.00316415132960597
"LOC126266681",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.077538892096,0.0180841074528499
"LOC126266685",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.09209596582187,0.03255086740235
"LOC126266696",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",2.22323004245187,0.00226505765315771
"LOC126266713",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.48156328171441,0.00240981203952358
"LOC126266714",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",5.99215574440784,0.00113018146047434
"LOC126266728",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.77580957989292,2.31720270783525e-16
"LOC126266746",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.05039136053307,0.000539341505226417
"LOC126266748",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.81326771740754,9.29650109544893e-08
"LOC126266750",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.43330308121332,0.03838732238141
"LOC126266751",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",2.13345777169048,0.0152861800285839
"LOC126266759",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.17539727262612,1.772137042203e-17
"LOC126266760",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.82099081140577,6.04377869311493e-19
"LOC126266779",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.4158938797805,0.00470048460922314
"LOC126266787",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.53668916246924,0.0133149116016422
"LOC126266788",TRUE,1,"Diet contrasts: controls","Control 83 vs 33","Upregulated",2.71831219753861,0.000437067637750234
"LOC126266789",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",5.45011744692432,1.42354403108703e-06
"LOC126266804",TRUE,1,"Diet contrasts: infected","Infected 33 vs 50","Downregulated",3.92636474239631,0.0315902243046609
"LOC126266819",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.82588220143038,0.00154255394829285
"LOC126266822",TRUE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.45252987819629,0.00189739511363621
"LOC126266824",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.00559045554409,0.047163139864272
"LOC126266827",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.38921254454102,0.0307771016486758
"LOC126266828",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Downregulated",2.15255859169032,0.000787346340747121
"LOC126266832",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.42247477483384,1.55003302981188e-06
"LOC126266835",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Downregulated",2.07408398606128,0.000116591055864892
"LOC126266840",TRUE,3,"Diet contrasts: infected; Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Infected 33 vs 50","Downregulated",4.98613355097189,0.00415260588431329
"LOC126266841",TRUE,2,"Diet contrasts: infected; Pooled infection across diets","All diets: infected vs control; Infected 33 vs 50","Downregulated",2.82260621157033,0.0182606271404325
"LOC126266850",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.93474040809892,0.014258284292662
"LOC126266862",TRUE,3,"Diet contrasts: infected; Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Infected 33 vs 50","Downregulated",2.25755208285526,0.000637239449286188
"LOC126266913",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.70714413943861,2.55033455307448e-05
"LOC126266922",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.50528495670875,0.031529579316169
"LOC126266926",TRUE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.45936554825841,0.0063844734968589
"LOC126266938",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",2.0170218516535,7.41224558172166e-05
