"gene_id","n_tissue_contrasts","tissue_comparisons","tissue_directions","tissue_max_abs_log2FC","tissue_min_padj"
"LOC126266757",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.23367049351445,4.97853963992046e-21
"LOC126266758",1,"Fat body vs Head","Higher in Head",1.1717269193221,1.6325528963101e-05
"LOC126266759",1,"Fat body vs Thorax","Higher in Fat body",1.02970469633698,0.00257231878934036
"LOC126266761",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",6.36191396979508,9.77095635726523e-05
"LOC126266762",1,"Fat body vs Head","Higher in Head",3.07877702780859,0.0181304241409809
"LOC126266764",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",3.79405968940139,0.0035690714779149
"LOC126266765",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",6.38636534319236,7.21430651658037e-13
"LOC126266766",2,"Fat body vs Thorax; Head vs Thorax","Higher in Thorax",4.00934142581988,1.21626099596282e-05
"LOC126266767",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",6.72436085058116,0.000188085586579014
"LOC126266778",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.58408651749344,2.31805741537734e-75
"LOC126266779",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.77400404040096,1.39972561422351e-17
"LOC126266780",2,"Fat body vs Head; Head vs Thorax","Higher in Head",5.53514122793335,2.00776905905465e-22
"LOC126266784",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",3.23488244125261,9.2865398966319e-107
"LOC126266785",2,"Fat body vs Head; Head vs Thorax","Higher in Head",8.40936917884964,6.55051935639725e-14
"LOC126266787",1,"Head vs Thorax","Higher in Head",1.06591603964985,2.10982065927971e-15
"LOC126266793",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",4.85841612126121,7.51910630653144e-05
"LOC126266795",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.1622867437515,0.000168915654368793
"LOC126266799",2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.90537883518993,1.92915889464144e-14
"LOC126266814",1,"Fat body vs Head","Higher in Head",3.37617614642004,0.0165737702839177
"LOC126266815",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",5.45300350491341,3.25332585423887e-11
"LOC126266817",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",5.83238237920896,2.61038069818595e-08
"LOC126266822",1,"Fat body vs Thorax","Higher in Thorax",1.34744530813139,6.07797222895242e-07
"LOC126266824",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",2.19756211794893,6.27789976084633e-11
"LOC126266827",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",4.12771436669024,8.38801906857562e-54
"LOC126266828",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.01965620206577,4.11899276192595e-35
"LOC126266829",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",4.83443250496642,1.2944183473693e-47
"LOC126266830",2,"Fat body vs Thorax; Head vs Thorax","Higher in Thorax",1.36466369173601,1.69348838663792e-22
"LOC126266831",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.50966903230995,3.00435715881642e-05
"LOC126266832",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",3.4134177185679,8.4785113323601e-105
"LOC126266835",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.77646665197556,2.789787467773e-14
"LOC126266838",1,"Fat body vs Thorax","Higher in Fat body",1.1675236947438,1.54192668591845e-19
"LOC126266849",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",6.01413474453815,6.97203387782534e-98
"LOC126266852",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.99693156002696,5.13125836026656e-12
"LOC126266854",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.04777834747885,0.0247236112590308
"LOC126266855",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.55061277744494,3.32706683249124e-07
"LOC126266858",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.77787012227812,2.17484681239766e-14
"LOC126266867",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.46413970560209,1.69944774384825e-18
"LOC126266874",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.22726094577713,4.12300062544528e-07
"LOC126266884",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Head",5.11290922741317,4.18762670720962e-224
"LOC126266886",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",2.69906496370427,1.39259409439429e-13
"LOC126266890",1,"Head vs Thorax","Higher in Head",1.32465385422448,0.00784221622767036
"LOC126266899",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.9112548469317,2.43839348398085e-12
"LOC126266903",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.79191533051959,1.68204740385331e-08
"LOC126266906",2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.76146755126666,6.99900668589442e-09
"LOC126266907",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.25137548911465,1.24950284525422e-07
"LOC126266912",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.38697040751696,4.51999053171732e-06
"LOC126266914",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",3.21220518687437,6.24394880906477e-14
"LOC126266922",1,"Fat body vs Head","Higher in Fat body",1.52912585049359,0.0208997501973495
"LOC126266926",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.61561356523166,6.0410958181681e-26
"LOC126266928",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",5.6688200868114,0.000444040111091357
"LOC126266929",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",5.17001139163633,3.42766868051385e-07
"LOC126266930",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.41327302956465,6.95998793857975e-14
"LOC126266933",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.74944251380156,3.00445686809593e-06
"LOC126266935",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",6.1003810253143,1.33759044213639e-09
"LOC126266938",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",12.5164718492241,7.7511109916458e-68
"LOC126266940",1,"Head vs Thorax","Higher in Head",1.57709843157169,0.00041326882174115
"LOC126266946",1,"Fat body vs Head","Higher in Head",1.49601575726018,1.23416561054523e-13
"LOC126266947",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.3517479246918,1.35783190584688e-33
"LOC126266953",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.48666749619714,2.32739023613041e-07
"LOC126266957",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",2.12213975238125,9.63925834389111e-15
"LOC126266958",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.50436423363263,2.45747582320952e-48
"LOC126266959",1,"Fat body vs Thorax","Higher in Fat body",1.33013840582556,3.21921559431241e-07
"LOC126266971",1,"Fat body vs Thorax","Higher in Thorax",1.03112338584616,2.54468991324065e-18
"LOC126266972",1,"Fat body vs Head","Higher in Head",1.31352470727713,8.41038520412191e-07
"LOC126266973",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.57755977971314,7.74590593475664e-28
"LOC126266974",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.82447219081886,8.13631727927408e-18
"LOC126266977",2,"Fat body vs Head; Head vs Thorax","Higher in Head",5.7917595809752,3.32043497874591e-05
"LOC126266982",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.39079127717743,1.47233999937171e-13
"LOC126266983",2,"Fat body vs Head; Head vs Thorax","Higher in Head",3.87441208688863,0.00898630650372482
"LOC126266984",2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.5661555139958,9.64317135647384e-11
"LOC126266987",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",5.94743084987178,1.97962932724208e-28
"LOC126266988",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",3.83076321976261,3.58650876221035e-25
"LOC126266996",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",4.45533611191733,8.05337629292238e-43
"LOC126266998",2,"Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Head",1.53263580077448,1.90579884107283e-07
"LOC126267002",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.56933635067762,5.3262552105143e-12
"LOC126267006",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.75771006850576,2.11750575879587e-06
"LOC126267013",1,"Head vs Thorax","Higher in Head",3.26592758270086,0.000217408631921189
"LOC126267019",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.28029361849164,1.51642693743825e-77
"LOC126267037",2,"Fat body vs Thorax; Head vs Thorax","Higher in Thorax",2.13848495606226,4.24164034859293e-27
"LOC126267042",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.9251604841648,1.18176755139569e-24
"LOC126267050",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.72422458547377,6.9376547630696e-79
"LOC126267056",1,"Head vs Thorax","Higher in Head",1.82717346870275,0.00091118835262454
"LOC126267057",1,"Head vs Thorax","Higher in Head",2.60827954626186,0.0103315087377718
"LOC126267058",1,"Head vs Thorax","Higher in Head",1.62458890123562,0.0311013360481959
"LOC126267060",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.99181539915944,3.62812439041053e-10
"LOC126267061",2,"Fat body vs Head; Head vs Thorax","Higher in Head",5.33736608968733,4.52697866259104e-08
"LOC126267068",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.26008509318689,4.62901674086324e-48
"LOC126267069",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.67210141101365,2.59767991159732e-164
"LOC126267073",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.64499617625696,8.64234770387498e-11
"LOC126267078",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",7.77312551872704,5.28398899733448e-07
"LOC126267080",2,"Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Head",1.83611907500486,1.51228987510731e-15
"LOC126267092",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.30494818223378,1.09620934208037e-08
"LOC126267104",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.99785440812871,5.07009401263817e-07
"LOC126267108",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.15202870919385,5.55542818838405e-48
"LOC126267111",1,"Head vs Thorax","Higher in Head",1.33990025914642,0.0035525093503658
"LOC126267112",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.39121923124015,2.35114317341329e-09
"LOC126267115",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.5708967156631,0.0236673415098152
"LOC126267118",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",3.88373198538179,1.44867432006248e-45
"LOC126267123",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.36466723766685,2.43290151323988e-23
"LOC126267127",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.54867522494012,4.7174991497088e-10
"LOC126267131",2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.52730260827924,5.31084950334615e-08
"LOC126267133",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.30636643548276,4.48963479788195e-10
"LOC126267139",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.2302927909158,1.40775452318714e-11
"LOC126267143",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",4.64213908902834,2.72675672111915e-08
"LOC126267144",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.31557587141941,1.75421255042236e-22
"LOC126267146",1,"Fat body vs Thorax","Higher in Thorax",3.99662828372743,0.0242385244574585
"LOC126267148",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",5.94186905863915,0.00232482441563007
"LOC126267149",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.70866017884862,1.34018664950978e-14
"LOC126267150",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",14.4582393636249,1.73312758378447e-103
"LOC126267152",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",7.81089239892926,6.09067260533626e-07
"LOC126267153",2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.73214977410976,1.03731651833071e-25
"LOC126267159",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.39588098672743,7.95829601582125e-20
"LOC126267162",1,"Fat body vs Head","Higher in Fat body",1.13119965808922,2.29288274266861e-25
"LOC126267166",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.22505950944305,6.91886954155595e-07
"LOC126267173",1,"Head vs Thorax","Higher in Head",2.26486453343778,0.000395406756464651
"LOC126267185",1,"Head vs Thorax","Higher in Head",2.16766142594622,0.0008631527120818
"LOC126267190",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",4.34383969903659,1.14552179262225e-45
"LOC126267195",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",2.50859071365885,3.59707382984526e-19
"LOC126267197",1,"Fat body vs Head","Higher in Head",1.19664924767933,0.00534980288309395
"LOC126267204",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.68020552992787,2.69225952905617e-09
"LOC126267207",2,"Fat body vs Thorax; Head vs Thorax","Higher in Thorax",3.84699473242506,1.16407314425207e-05
"LOC126267208",2,"Fat body vs Thorax; Head vs Thorax","Higher in Thorax",2.14845966319115,3.42397946584244e-11
"LOC126267210",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",6.14676079142249,1.10434302969637e-37
"LOC126267214",1,"Fat body vs Head","Higher in Head",1.92386558880434,0.026590108495803
"LOC126267217",2,"Fat body vs Head; Head vs Thorax","Higher in Head",3.63905826839773,7.80170158433991e-19
"LOC126267222",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.14409419864054,3.05769487561164e-129
"LOC126267224",1,"Fat body vs Head","Higher in Fat body",1.0145550135708,0.000936256514846964
"LOC126267225",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.43560368795134,3.55105425063542e-80
"LOC126267226",2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.45686156548738,1.76165791582528e-13
"LOC126267228",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.25301913480937,2.78213549759653e-08
"LOC126267230",1,"Fat body vs Head","Higher in Head",1.0868097220686,9.88600011928053e-05
"LOC126267234",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.4963703918023,1.09466332804448e-10
"LOC126267237",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.83721617425209,1.47805469391559e-55
"LOC126267247",1,"Fat body vs Thorax","Higher in Fat body",1.49821476799517,9.20438808229155e-10
"LOC126267248",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.55106629222749,9.41117100315951e-19
"LOC126267253",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.60428243871607,1.11841598599633e-06
"LOC126267256",1,"Fat body vs Thorax","Higher in Thorax",2.0826437241741,0.0124374968528121
"LOC126267262",1,"Fat body vs Head","Higher in Head",1.16750520193387,0.00313696630950315
"LOC126267263",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.1963078645857,2.33459312334759e-29
"LOC126267265",2,"Fat body vs Head; Head vs Thorax","Higher in Head",2.08073158559589,1.49144870898743e-11
"LOC126267267",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",4.56095269999122,5.68065530309805e-56
"LOC126267269",2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",4.06679784932614,7.57597805266023e-07
"LOC126267271",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",3.41660848455837,2.64316939712334e-11
"LOC126267274",3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",4.22121453360857,1.41197699001267e-05
"LOC126267275",2,"Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Head",1.33517056364813,6.66420319950576e-08
"LOC126267280",2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.10625331372321,3.46841822368477e-18
