"gene_id","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj"
"LOC126336562",TRUE,2,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.22539921091481,0.00502093044412237
"LOC126336565",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.29836521871823,8.3787267911365e-24
"LOC126336566",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.57024785497336,0.0382398502965401
"LOC126336578",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",4.99498824008944,7.55607378211307e-15
"LOC126336583",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",4.46785899345288,5.62678493221585e-10
"LOC126336590",TRUE,2,"Diet contrasts: infected; Infection within diet","Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",5.29252838665298,0.00533172096011034
"LOC126336593",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",4.47149868206391,1.25457484021228e-15
"LOC126336595",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.58467124796526,0.0244150410327744
"LOC126336597",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",3.29488567444938,2.42203100314388e-09
"LOC126336598",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.4865812213948,0.013654708078156
"LOC126336602",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Downregulated",1.80576201980048,0.000926704221263568
"LOC126336607",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",2.42051596426432,0.00396639637971159
"LOC126336619",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",3.94890669970642,5.12225186046375e-07
"LOC126336625",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",3.5231687290627,3.57938412012979e-07
