"gene_id","tissue_reference_deg","phase_reference_deg","diet_control_deg","fatbody_infection_deg","membership_label","diet_infected_deg","head_phase_deg","thorax_phase_deg","phase_reference_source","fatbody_experiment_deg","n_tissue_contrasts","tissue_comparisons","tissue_directions","tissue_max_abs_log2FC","tissue_min_padj","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj","head_log2FC","head_padj","head_direction","thorax_log2FC","thorax_padj","thorax_direction","Preferred_name","Description","combined_priority_score","any_phase_change","fatbody_diet_deg","has_tissue_overlay","has_phase_overlay","primary_annotation_group","logical_category"
"LOC126266658",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",2.71229114565019,1.75656237437738e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","ionotropic glutamate receptor activity",29.4676275697362,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266662",TRUE,FALSE,FALSE,TRUE,"DEG tissues + DEG infection x diet",FALSE,FALSE,FALSE,"Not phase",TRUE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",3.55113845275902,6.05252336244738e-34,TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",1.78791023390031,0.000129230422787338,NA,NA,NA,NA,NA,NA,"unannotated","Heat shock 70 kDa protein cognate 2-like",78.4457474470312,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266663",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Head",3.24538627924212,7.90551126344037e-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Immunoglobulin C-2 Type",52.3474563174709,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266665",TRUE,TRUE,FALSE,TRUE,"DEG tissues + DEG phase changes + DEG infection x diet",FALSE,TRUE,TRUE,"Head + thorax",TRUE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",2.56282213229274,0.000458903388607982,TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.68994862269519,0.00163612149650819,1.07964652104943,1.13479307930388e-11,"Gregarious-up",2.2789966021935,4.93749080653948e-33,"Gregarious-up","unannotated","Defective proboscis extension response",82.987454084371,TRUE,FALSE,TRUE,TRUE,"DEG tissues","DEG tissues"
"LOC126266667",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,FALSE,TRUE,"Thorax",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",2.82828181526776,0.00040572818515032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2838742004276,1.6353726700783e-06,"Gregarious-up","unannotated","ionotropic glutamate receptor activity",38.2903041016869,TRUE,FALSE,TRUE,TRUE,"DEG tissues","DEG tissues"
"LOC126266669",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.24033241785822,0.000485879929707143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Metal ion binding",20.5538034578721,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266671",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,FALSE,"Head",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Fat body; Higher in Thorax",2.29977528747522,0.000208462364084641,NA,NA,NA,NA,NA,NA,NA,1.12986133633595,0.00902175642914149,"Gregarious-up",NA,NA,NA,"unannotated","peroxisome organization",25.155317867434,TRUE,FALSE,TRUE,TRUE,"DEG tissues","DEG tissues"
"LOC126266672",TRUE,FALSE,FALSE,TRUE,"DEG tissues + DEG infection x diet",FALSE,FALSE,FALSE,"Not phase",TRUE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",1.6875241511636,1.41958550927429e-34,TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.54521253335111,3.86727137944677e-09,NA,NA,NA,NA,NA,NA,"DOME","Fibronectin type 3 domain",91.4931704779236,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266674",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.86335156037678,1.08755656682913e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","It is involved in the biological process described with response to stress",27.8268997053038,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266675",TRUE,FALSE,FALSE,TRUE,"DEG tissues + DEG infection x diet",FALSE,FALSE,FALSE,"Not phase",TRUE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.4381336184032,0.0097318770062856,TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Upregulated",1.25995640383913,1.63618537444907e-06,NA,NA,NA,NA,NA,NA,"unannotated","Uncharacterised conserved protein (DUF2368)",46.4960609043965,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266677",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Head vs Thorax","Higher in Head",1.99666917826675,1.34408920248023e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Immunoglobulin",29.8682410859929,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
"LOC126266679",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",1.92241075329802,8.19312378073768e-17,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.16122250903818,0.00316415132960597,NA,NA,NA,NA,NA,NA,"unannotated","Guanine nucleotide exchange factor for Ras-like small GTPases",47.6699265001436,FALSE,FALSE,TRUE,FALSE,"DEG tissues","DEG tissues"
