"gene_id","tissue_reference_deg","phase_reference_deg","diet_control_deg","fatbody_infection_deg","membership_label","diet_infected_deg","head_phase_deg","thorax_phase_deg","phase_reference_source","fatbody_experiment_deg","n_tissue_contrasts","tissue_comparisons","tissue_directions","tissue_max_abs_log2FC","tissue_min_padj","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj","head_log2FC","head_padj","head_direction","thorax_log2FC","thorax_padj","thorax_direction","Preferred_name","Description","combined_priority_score","any_phase_change","fatbody_diet_deg","has_tissue_overlay","has_phase_overlay","primary_annotation_group","logical_category","heatmap_category","gene_label"
"LOC126278747",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",5.25959615989483,4.85767783188393e-219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","Belongs to the calponin family",247.5731674515,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126278747 | unannotated | Belongs to the calponin family"
"LOC126327073",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",15.0088918424605,2.22588616812709e-195,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.23781768330195,0.0308039958739594,NA,NA,NA,NA,NA,NA,"unannotated","no description",246.410599518479,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126327073 | unannotated | no description"
"LOC126353827",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Head; Higher in Thorax",5.69651134541246,7.00855912946331e-218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wupA","Troponin",238.850882603686,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126353827 | wupA | Troponin"
"LOC126273292",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",6.04279342209972,9.61643757130981e-203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unannotated","no description",232.059779205536,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126273292 | unannotated | no description"
"LOC126267773",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,2,"Fat body vs Thorax; Head vs Thorax","Higher in Thorax",9.86698766159728,6.40232060288401e-204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LanB2","Laminin N-terminal domain (domain VI)",229.060650243495,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126267773 | LanB2 | Laminin N-terminal domain (domain VI)"
"LOC126267991",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Head; Higher in Thorax",5.69193612798126,1.02220986708985e-196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prm","Myosin tail",225.682396059225,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126267991 | Prm | Myosin tail"
"LOC126327041",TRUE,FALSE,FALSE,FALSE,"DEG tissues",FALSE,FALSE,FALSE,"Not phase",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",13.1419982675196,1.223927995756e-170,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.12381526187562,0.0413656706838148,NA,NA,NA,NA,NA,NA,"unannotated","no description",219.561417590407,FALSE,FALSE,TRUE,FALSE,"DEG tissues only","DEG tissues only","DEG tissues only","LOC126327041 | unannotated | no description"
"LOC126272598",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,TRUE,FALSE,"Head",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",9.02964254472491,1.78866419727769e-110,NA,NA,NA,NA,NA,NA,NA,-1.33683101930007,0.000876010857250338,"Solitarious-up",NA,NA,NA,"unannotated","no description",147.171435261152,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126272598 | unannotated | no description"
"LOC126332617",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,FALSE,TRUE,"Thorax",FALSE,3,"Fat body vs Head; Fat body vs Thorax; Head vs Thorax","Higher in Fat body; Higher in Thorax",12.5766522833755,7.12423418198553e-79,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.12564652227508,0.0392114785727215,NA,NA,NA,1.38418974671005,4.10182809519896e-05,"Gregarious-up","unannotated","activity. It is involved in the biological process described with carbohydrate metabolic process",133.027359691299,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126332617 | unannotated | activity. It is involved in the bio..."
"LOC126299109",TRUE,TRUE,FALSE,FALSE,"DEG tissues + DEG phase changes",FALSE,FALSE,TRUE,"Thorax",FALSE,2,"Fat body vs Head; Fat body vs Thorax","Higher in Fat body",3.163935474799,1.50230798937055e-11,TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.30943117435333,0.0041540221445069,NA,NA,NA,-1.39338055342279,2.9102979737764e-87,"Solitarious-up","unannotated","no description",131.607581961411,TRUE,FALSE,TRUE,TRUE,"DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","DEG phase changes, no fat body DEG","LOC126299109 | unannotated | no description"
