"gene","control_only","infection_only","pairwise_diet","within_diet","full_model"
"LOC126353841",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126354267",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126357261",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126354714",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126356044",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126354088",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126354896",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126354813",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126354907",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126355819",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126267222",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126365810",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126268069",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126268018",TRUE,TRUE,TRUE,FALSE,FALSE
"LOC126267355",TRUE,TRUE,TRUE,FALSE,FALSE
"LOC126268237",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126266807",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126267545",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126272143",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126272511",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126272477",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126273196",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126272430",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126279039",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126278185",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126277892",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126278953",TRUE,TRUE,TRUE,FALSE,FALSE
"LOC126278052",TRUE,TRUE,TRUE,FALSE,FALSE
"LOC126278996",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126278199",TRUE,TRUE,TRUE,FALSE,FALSE
"LOC126281231",TRUE,FALSE,TRUE,FALSE,FALSE
"LOC126282167",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126281204",TRUE,FALSE,TRUE,TRUE,FALSE
"LOC126281265",TRUE,TRUE,TRUE,FALSE,FALSE
"LOC126284988",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126285146",TRUE,FALSE,FALSE,FALSE,FALSE
"LOC126285309",TRUE,TRUE,TRUE,TRUE,FALSE
"LOC126284936",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126291424",TRUE,FALSE,FALSE,TRUE,FALSE
"LOC126291739",TRUE,FALSE,FALSE,FALSE,FALSE
