"database","ID","Description","set","n_sets"
"GO","GO:0004866","endopeptidase inhibitor activity","DESeq2_infected_vs_control_diet_50__UP",5
"GO","GO:0010466","negative regulation of peptidase activity","DESeq2_infected_vs_control_diet_50__UP",5
"GO","GO:0010951","negative regulation of endopeptidase activity","DESeq2_infected_vs_control_diet_50__UP",5
"GO","GO:0030414","peptidase inhibitor activity","DESeq2_infected_vs_control_diet_50__UP",5
"GO","GO:0098542","defense response to other organism","DESeq2_infected_vs_control_diet_50__UP",5
"GO","GO:0030162","regulation of proteolysis","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0007365","periodic partitioning","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0009880","embryonic pattern specification","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0002682","regulation of immune system process","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0031461","cullin-RING ubiquitin ligase complex","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0045824","negative regulation of innate immune response","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0045088","regulation of innate immune response","DESeq2_infected_vs_control_diet_50__UP",5
"GO","GO:0022857","transmembrane transporter activity","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0008514","GO:0008514","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0000209","protein polyubiquitination","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0061135","endopeptidase regulator activity","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:1902533","positive regulation of intracellular signal transduction","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0042067","establishment of ommatidial planar polarity","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0009611","response to wounding","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0042803","protein homodimerization activity","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0031625","ubiquitin protein ligase binding","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0043408","regulation of MAPK cascade","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0050777","negative regulation of immune response","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0044389","ubiquitin-like protein ligase binding","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0008589","regulation of smoothened signaling pathway","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0046328","regulation of JNK cascade","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0098656","monoatomic anion transmembrane transport","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0032872","regulation of stress-activated MAPK cascade","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0070302","regulation of stress-activated protein kinase signaling cascade","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0045087","innate immune response","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:1903827","GO:1903827","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0009967","positive regulation of signal transduction","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0006955","immune response","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0048584","positive regulation of response to stimulus","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0007350","blastoderm segmentation","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0031401","positive regulation of protein modification process","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0032386","regulation of intracellular transport","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0000151","ubiquitin ligase complex","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0043065","positive regulation of apoptotic process","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0010942","GO:0010942","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0010562","positive regulation of phosphorus metabolic process","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0045937","positive regulation of phosphate metabolic process","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0031347","regulation of defense response","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0034220","monoatomic ion transmembrane transport","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0006811","monoatomic ion transport","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0001934","positive regulation of protein phosphorylation","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0043068","positive regulation of programmed cell death","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0003333","amino acid transmembrane transport","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0042386","hemocyte differentiation","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0061134","peptidase regulator activity","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0031647","regulation of protein stability","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0061783","peptidoglycan muralytic activity","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0006820","monoatomic anion transport","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0006865","amino acid transport","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0015075","monoatomic ion transmembrane transporter activity","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0002376","immune system process","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0042327","positive regulation of phosphorylation","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0042802","identical protein binding","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0051223","regulation of protein transport","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0097164","GO:0097164","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0010647","positive regulation of cell communication","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0023056","positive regulation of signaling","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0070201","regulation of establishment of protein localization","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0016798","hydrolase activity, acting on glycosyl bonds","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0002683","negative regulation of immune system process","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0071310","GO:0071310","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0070887","cellular response to chemical stimulus","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0046983","protein dimerization activity","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0090087","regulation of peptide transport","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0051603","GO:0051603","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0008509","monoatomic anion transmembrane transporter activity","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0044257","GO:0044257","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0001736","establishment of planar polarity","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0007164","establishment of tissue polarity","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0006576","biogenic amine metabolic process","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0009308","amine metabolic process","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0031348","negative regulation of defense response","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0044106","GO:0044106","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0035282","segmentation","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0061057","peptidoglycan recognition protein signaling pathway","DESeq2_infected_vs_control_diet_50__UP",5
"GO","GO:0002684","positive regulation of immune system process","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0009790","embryo development","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0080135","regulation of cellular response to stress","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0045861","negative regulation of proteolysis","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0015171","amino acid transmembrane transporter activity","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0030163","protein catabolic process","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0008061","chitin binding","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0050778","positive regulation of immune response","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0007442","hindgut morphogenesis","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0061525","hindgut development","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0002759","regulation of antimicrobial humoral response","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0002920","regulation of humoral immune response","DESeq2_infected_vs_control_diet_50__UP",4
"GO","GO:0051346","negative regulation of hydrolase activity","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0001745","compound eye morphogenesis","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0003002","regionalization","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0004568","chitinase activity","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0006032","chitin catabolic process","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0046148","pigment biosynthetic process","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0042440","pigment metabolic process","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0007389","pattern specification process","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0044265","GO:0044265","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0052548","regulation of endopeptidase activity","DESeq2_infected_vs_control_diet_50__UP",3
"GO","GO:0017144","GO:0017144","DESeq2_infected_vs_control_diet_50__UP",5
"GO","GO:0048592","eye morphogenesis","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0090596","sensory organ morphogenesis","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0016831","carboxy-lyase activity","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:1903825","GO:1903825","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:1905039","carboxylic acid transmembrane transport","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0030148","sphingolipid biosynthetic process","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0046348","amino sugar catabolic process","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:1901072","glucosamine-containing compound catabolic process","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:1901681","sulfur compound binding","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0015849","organic acid transport","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0046942","carboxylic acid transport","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0001655","urogenital system development","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0072001","renal system development","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0032270","GO:0032270","DESeq2_infected_vs_control_diet_50__UP",2
"GO","GO:0055114","GO:0055114","DESeq2_infected_vs_control_diet_83__DOWN",3
"GO","GO:0019752","carboxylic acid metabolic process","DESeq2_infected_vs_control_diet_83__DOWN",8
"GO","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","DESeq2_infected_vs_control_diet_83__DOWN",4
"GO","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","DESeq2_infected_vs_control_diet_83__DOWN",4
"GO","GO:0006082","organic acid metabolic process","DESeq2_infected_vs_control_diet_83__DOWN",8
"GO","GO:0043436","oxoacid metabolic process","DESeq2_infected_vs_control_diet_83__DOWN",8
"GO","GO:0016491","oxidoreductase activity","DESeq2_infected_vs_control_diet_83__DOWN",4
"GO","GO:0044282","small molecule catabolic process","DESeq2_infected_vs_control_diet_83__DOWN",2
"GO","GO:0016054","organic acid catabolic process","DESeq2_infected_vs_control_diet_83__DOWN",3
"GO","GO:0046395","carboxylic acid catabolic process","DESeq2_infected_vs_control_diet_83__DOWN",3
"GO","GO:1901605","alpha-amino acid metabolic process","DESeq2_infected_vs_control_diet_83__DOWN",7
"GO","GO:0009617","response to bacterium","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0042834","peptidoglycan binding","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0005539","glycosaminoglycan binding","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0030203","glycosaminoglycan metabolic process","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0000270","peptidoglycan metabolic process","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0009253","peptidoglycan catabolic process","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0042742","defense response to bacterium","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0006027","glycosaminoglycan catabolic process","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0061057","peptidoglycan recognition protein signaling pathway","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0015562","efflux transmembrane transporter activity","DESeq2_infected_vs_control_diet_83__UP",3
"GO","GO:0006952","defense response","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0009607","response to biotic stimulus","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0043207","response to external biotic stimulus","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0051707","response to other organism","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0005615","extracellular space","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0006022","aminoglycan metabolic process","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0045088","regulation of innate immune response","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0080134","regulation of response to stress","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0051051","negative regulation of transport","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0000041","transition metal ion transport","DESeq2_infected_vs_control_diet_83__UP",2
"GO","GO:0097367","carbohydrate derivative binding","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0004866","endopeptidase inhibitor activity","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0010466","negative regulation of peptidase activity","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0010951","negative regulation of endopeptidase activity","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0030414","peptidase inhibitor activity","DESeq2_infected_vs_control_diet_83__UP",5
"GO","GO:0098542","defense response to other organism","DESeq2_infected_vs_control_diet_83__UP",5
"KEGG_pathway","ko01110","ko01110","all_diet_pairwise_results__DOWN",12
"KEGG_pathway","ko01130","ko01130","all_diet_pairwise_results__DOWN",11
"KEGG_pathway","ko00230","ko00230","all_diet_pairwise_results__DOWN",5
"KEGG_pathway","ko00670","ko00670","all_diet_pairwise_results__DOWN",7
"KEGG_pathway","ko00260","ko00260","all_diet_pairwise_results__DOWN",7
"KEGG_pathway","ko00053","ko00053","all_diet_pairwise_results__DOWN",6
"KEGG_pathway","ko00562","ko00562","all_diet_pairwise_results__DOWN",3
"KEGG_pathway","ko01120","ko01120","all_diet_pairwise_results__DOWN",11
"KEGG_pathway","ko01523","ko01523","all_diet_pairwise_results__DOWN",4
"KEGG_pathway","ko01230","ko01230","all_diet_pairwise_results__DOWN",7
"KEGG_pathway","ko00680","ko00680","all_diet_pairwise_results__DOWN",8
"KEGG_pathway","ko01110","ko01110","all_diet_pairwise_results__UP",12
"KEGG_pathway","ko01110","ko01110","all_infection_within_diet_results__DOWN",12
"KEGG_pathway","ko01130","ko01130","all_infection_within_diet_results__DOWN",11
"KEGG_pathway","ko01120","ko01120","all_infection_within_diet_results__DOWN",11
"KEGG_pathway","ko01200","ko01200","all_infection_within_diet_results__DOWN",7
"KEGG_pathway","ko00040","ko00040","all_infection_within_diet_results__DOWN",3
"KEGG_pathway","ko00980","ko00980","all_infection_within_diet_results__DOWN",4
"KEGG_pathway","ko00260","ko00260","all_infection_within_diet_results__DOWN",7
"KEGG_pathway","ko05204","ko05204","all_infection_within_diet_results__DOWN",4
"KEGG_pathway","ko00620","ko00620","all_infection_within_diet_results__DOWN",4
"KEGG_pathway","ko00982","ko00982","all_infection_within_diet_results__DOWN",3
"KEGG_pathway","ko00410","ko00410","all_infection_within_diet_results__DOWN",2
"KEGG_pathway","ko00053","ko00053","all_infection_within_diet_results__DOWN",6
"KEGG_pathway","ko00030","ko00030","all_infection_within_diet_results__DOWN",5
"KEGG_pathway","ko00330","ko00330","all_infection_within_diet_results__DOWN",3
"KEGG_pathway","ko00981","ko00981","all_infection_within_diet_results__DOWN",3
"KEGG_pathway","ko01230","ko01230","all_infection_within_diet_results__DOWN",7
"KEGG_pathway","ko00680","ko00680","all_infection_within_diet_results__DOWN",8
"KEGG_pathway","ko04975","ko04975","all_infection_within_diet_results__DOWN",2
"KEGG_pathway","ko00280","ko00280","all_infection_within_diet_results__DOWN",2
"KEGG_pathway","ko00710","ko00710","all_infection_within_diet_results__DOWN",3
"KEGG_pathway","ko00630","ko00630","all_infection_within_diet_results__DOWN",3
"KEGG_pathway","ko00520","ko00520","all_infection_within_diet_results__DOWN",2
"KEGG_pathway","ko00380","ko00380","all_infection_within_diet_results__DOWN",2
"KEGG_pathway","ko00480","ko00480","all_infection_within_diet_results__DOWN",2
"KEGG_pathway","ko00670","ko00670","all_infection_within_diet_results__DOWN",7
"KEGG_pathway","ko00051","ko00051","all_infection_within_diet_results__DOWN",2
"KEGG_pathway","ko00640","ko00640","all_infection_within_diet_results__DOWN",2
"KEGG_pathway","ko00010","ko00010","all_infection_within_diet_results__DOWN",2
"KEGG_pathway","ko04624","ko04624","all_infection_within_diet_results__UP",4
"KEGG_pathway","ko02010","ko02010","all_infection_within_diet_results__UP",5
"KEGG_pathway","ko04341","ko04341","all_infection_within_diet_results__UP",3
"KEGG_pathway","ko04340","ko04340","all_infection_within_diet_results__UP",2
"KEGG_pathway","ko01110","ko01110","all_model_coefficients__DOWN",12
"KEGG_pathway","ko01200","ko01200","all_model_coefficients__DOWN",7
"KEGG_pathway","ko01120","ko01120","all_model_coefficients__DOWN",11
"KEGG_pathway","ko01130","ko01130","all_model_coefficients__DOWN",11
"KEGG_pathway","ko00620","ko00620","all_model_coefficients__DOWN",4
"KEGG_pathway","ko00030","ko00030","all_model_coefficients__DOWN",5
"KEGG_pathway","ko05204","ko05204","all_model_coefficients__DOWN",4
"KEGG_pathway","ko00980","ko00980","all_model_coefficients__DOWN",4
"KEGG_pathway","ko04624","ko04624","all_model_coefficients__UP",4
"KEGG_pathway","ko02010","ko02010","all_model_coefficients__UP",5
"KEGG_pathway","ko00330","ko00330","all_model_coefficients__UP",3
"KEGG_pathway","ko04341","ko04341","all_model_coefficients__UP",3
"KEGG_pathway","ko01130","ko01130","DESeq2_33_vs_83__DOWN",11
"KEGG_pathway","ko01110","ko01110","DESeq2_33_vs_83__DOWN",12
"KEGG_pathway","ko00230","ko00230","DESeq2_33_vs_83__DOWN",5
"KEGG_pathway","ko00670","ko00670","DESeq2_33_vs_83__DOWN",7
"KEGG_pathway","ko01523","ko01523","DESeq2_33_vs_83__DOWN",4
"KEGG_pathway","ko01120","ko01120","DESeq2_33_vs_83__DOWN",11
"KEGG_pathway","ko00562","ko00562","DESeq2_33_vs_83__DOWN",3
"KEGG_pathway","ko00680","ko00680","DESeq2_33_vs_83__DOWN",8
"KEGG_pathway","ko00053","ko00053","DESeq2_33_vs_83__DOWN",6
"KEGG_pathway","ko01230","ko01230","DESeq2_33_vs_83__DOWN",7
"KEGG_pathway","ko00260","ko00260","DESeq2_33_vs_83__DOWN",7
"KEGG_pathway","ko01130","ko01130","DESeq2_50_vs_83__DOWN",11
"KEGG_pathway","ko00680","ko00680","DESeq2_50_vs_83__DOWN",8
"KEGG_pathway","ko01230","ko01230","DESeq2_50_vs_83__DOWN",7
"KEGG_pathway","ko01120","ko01120","DESeq2_50_vs_83__DOWN",11
"KEGG_pathway","ko00260","ko00260","DESeq2_50_vs_83__DOWN",7
"KEGG_pathway","ko00562","ko00562","DESeq2_50_vs_83__DOWN",3
"KEGG_pathway","ko01110","ko01110","DESeq2_50_vs_83__DOWN",12
"KEGG_pathway","ko00670","ko00670","DESeq2_50_vs_83__DOWN",7
"KEGG_pathway","ko00230","ko00230","DESeq2_50_vs_83__DOWN",5
"KEGG_pathway","ko00053","ko00053","DESeq2_50_vs_83__DOWN",6
"KEGG_pathway","ko01130","ko01130","DESeq2_Control_diet_33_vs_83__DOWN",11
"KEGG_pathway","ko00670","ko00670","DESeq2_Control_diet_33_vs_83__DOWN",7
"KEGG_pathway","ko00230","ko00230","DESeq2_Control_diet_33_vs_83__DOWN",5
"KEGG_pathway","ko01110","ko01110","DESeq2_Control_diet_33_vs_83__DOWN",12
"KEGG_pathway","ko00260","ko00260","DESeq2_Control_diet_33_vs_83__DOWN",7
"KEGG_pathway","ko00680","ko00680","DESeq2_Control_diet_33_vs_83__DOWN",8
"KEGG_pathway","ko01120","ko01120","DESeq2_Control_diet_33_vs_83__DOWN",11
"KEGG_pathway","ko01523","ko01523","DESeq2_Control_diet_33_vs_83__DOWN",4
"KEGG_pathway","ko01230","ko01230","DESeq2_Control_diet_33_vs_83__DOWN",7
"KEGG_pathway","ko01200","ko01200","DESeq2_Control_diet_33_vs_83__DOWN",7
"KEGG_pathway","ko01130","ko01130","DESeq2_Control_diet_50_vs_83__DOWN",11
"KEGG_pathway","ko01110","ko01110","DESeq2_Control_diet_50_vs_83__DOWN",12
"KEGG_pathway","ko01120","ko01120","DESeq2_Control_diet_50_vs_83__DOWN",11
"KEGG_pathway","ko00230","ko00230","DESeq2_Control_diet_50_vs_83__DOWN",5
"KEGG_pathway","ko00670","ko00670","DESeq2_Control_diet_50_vs_83__DOWN",7
"KEGG_pathway","ko01230","ko01230","DESeq2_Control_diet_50_vs_83__DOWN",7
"KEGG_pathway","ko00680","ko00680","DESeq2_Control_diet_50_vs_83__DOWN",8
"KEGG_pathway","ko00260","ko00260","DESeq2_Control_diet_50_vs_83__DOWN",7
"KEGG_pathway","ko01200","ko01200","DESeq2_Control_diet_50_vs_83__DOWN",7
"KEGG_pathway","ko01523","ko01523","DESeq2_Control_diet_50_vs_83__DOWN",4
"KEGG_pathway","ko01130","ko01130","DESeq2_Infected_diet_33_vs_83__DOWN",11
"KEGG_pathway","ko01110","ko01110","DESeq2_Infected_diet_33_vs_83__DOWN",12
"KEGG_pathway","ko01120","ko01120","DESeq2_Infected_diet_33_vs_83__DOWN",11
"KEGG_pathway","ko00670","ko00670","DESeq2_Infected_diet_33_vs_83__DOWN",7
"KEGG_pathway","ko00680","ko00680","DESeq2_Infected_diet_33_vs_83__DOWN",8
"KEGG_pathway","ko01130","ko01130","DESeq2_infected_vs_control_diet_33__DOWN",11
"KEGG_pathway","ko01110","ko01110","DESeq2_infected_vs_control_diet_33__DOWN",12
"KEGG_pathway","ko01120","ko01120","DESeq2_infected_vs_control_diet_33__DOWN",11
"KEGG_pathway","ko00040","ko00040","DESeq2_infected_vs_control_diet_33__DOWN",3
"KEGG_pathway","ko01200","ko01200","DESeq2_infected_vs_control_diet_33__DOWN",7
"KEGG_pathway","ko00030","ko00030","DESeq2_infected_vs_control_diet_33__DOWN",5
"KEGG_pathway","ko00980","ko00980","DESeq2_infected_vs_control_diet_33__DOWN",4
"KEGG_pathway","ko00051","ko00051","DESeq2_infected_vs_control_diet_33__DOWN",2
"KEGG_pathway","ko00680","ko00680","DESeq2_infected_vs_control_diet_33__DOWN",8
"KEGG_pathway","ko00982","ko00982","DESeq2_infected_vs_control_diet_33__DOWN",3
"KEGG_pathway","ko01230","ko01230","DESeq2_infected_vs_control_diet_33__DOWN",7
"KEGG_pathway","ko05204","ko05204","DESeq2_infected_vs_control_diet_33__DOWN",4
"KEGG_pathway","ko00981","ko00981","DESeq2_infected_vs_control_diet_33__DOWN",3
"KEGG_pathway","ko00280","ko00280","DESeq2_infected_vs_control_diet_33__DOWN",2
"KEGG_pathway","ko00410","ko00410","DESeq2_infected_vs_control_diet_33__DOWN",2
"KEGG_pathway","ko00380","ko00380","DESeq2_infected_vs_control_diet_33__DOWN",2
"KEGG_pathway","ko00053","ko00053","DESeq2_infected_vs_control_diet_33__DOWN",6
"KEGG_pathway","ko00520","ko00520","DESeq2_infected_vs_control_diet_33__DOWN",2
"KEGG_pathway","ko00260","ko00260","DESeq2_infected_vs_control_diet_33__DOWN",7
"KEGG_pathway","ko00710","ko00710","DESeq2_infected_vs_control_diet_33__DOWN",3
"KEGG_pathway","ko00630","ko00630","DESeq2_infected_vs_control_diet_33__DOWN",3
"KEGG_pathway","ko00720","ko00720","DESeq2_infected_vs_control_diet_33__DOWN",2
"KEGG_pathway","ko00010","ko00010","DESeq2_infected_vs_control_diet_33__DOWN",2
"KEGG_pathway","ko02010","ko02010","DESeq2_infected_vs_control_diet_33__UP",5
"KEGG_pathway","ko04624","ko04624","DESeq2_infected_vs_control_diet_33__UP",4
"KEGG_pathway","ko01110","ko01110","DESeq2_infected_vs_control_diet_50__DOWN",12
"KEGG_pathway","ko01200","ko01200","DESeq2_infected_vs_control_diet_50__DOWN",7
"KEGG_pathway","ko01130","ko01130","DESeq2_infected_vs_control_diet_50__DOWN",11
"KEGG_pathway","ko01120","ko01120","DESeq2_infected_vs_control_diet_50__DOWN",11
"KEGG_pathway","ko00620","ko00620","DESeq2_infected_vs_control_diet_50__DOWN",4
"KEGG_pathway","ko05204","ko05204","DESeq2_infected_vs_control_diet_50__DOWN",4
"KEGG_pathway","ko00980","ko00980","DESeq2_infected_vs_control_diet_50__DOWN",4
"KEGG_pathway","ko00053","ko00053","DESeq2_infected_vs_control_diet_50__DOWN",6
"KEGG_pathway","ko00981","ko00981","DESeq2_infected_vs_control_diet_50__DOWN",3
"KEGG_pathway","ko00982","ko00982","DESeq2_infected_vs_control_diet_50__DOWN",3
"KEGG_pathway","ko00480","ko00480","DESeq2_infected_vs_control_diet_50__DOWN",2
"KEGG_pathway","ko00030","ko00030","DESeq2_infected_vs_control_diet_50__DOWN",5
"KEGG_pathway","ko00040","ko00040","DESeq2_infected_vs_control_diet_50__DOWN",3
"KEGG_pathway","ko04624","ko04624","DESeq2_infected_vs_control_diet_50__UP",4
"KEGG_pathway","ko04341","ko04341","DESeq2_infected_vs_control_diet_50__UP",3
"KEGG_pathway","ko04340","ko04340","DESeq2_infected_vs_control_diet_50__UP",2
"KEGG_pathway","ko02010","ko02010","DESeq2_infected_vs_control_diet_50__UP",5
"KEGG_pathway","ko00330","ko00330","DESeq2_infected_vs_control_diet_50__UP",3
"KEGG_pathway","ko01200","ko01200","DESeq2_infected_vs_control_diet_83__DOWN",7
"KEGG_pathway","ko01110","ko01110","DESeq2_infected_vs_control_diet_83__DOWN",12
"KEGG_pathway","ko01120","ko01120","DESeq2_infected_vs_control_diet_83__DOWN",11
"KEGG_pathway","ko01130","ko01130","DESeq2_infected_vs_control_diet_83__DOWN",11
"KEGG_pathway","ko00030","ko00030","DESeq2_infected_vs_control_diet_83__DOWN",5
"KEGG_pathway","ko00640","ko00640","DESeq2_infected_vs_control_diet_83__DOWN",2
"KEGG_pathway","ko00710","ko00710","DESeq2_infected_vs_control_diet_83__DOWN",3
"KEGG_pathway","ko00630","ko00630","DESeq2_infected_vs_control_diet_83__DOWN",3
"KEGG_pathway","ko00720","ko00720","DESeq2_infected_vs_control_diet_83__DOWN",2
"KEGG_pathway","ko00620","ko00620","DESeq2_infected_vs_control_diet_83__DOWN",4
"KEGG_pathway","ko04975","ko04975","DESeq2_infected_vs_control_diet_83__DOWN",2
"KEGG_pathway","ko02010","ko02010","DESeq2_infected_vs_control_diet_83__UP",5
