"label","PC1","PC2","Diet","Treatment"
"1002",-12.8009352474781,4.58472727153732,"83","Control"
"1005",-16.3792813812505,-3.1157372729955,"83","Control"
"1011",-15.8068149100502,0.581997014498439,"83","Control"
"1014",18.0717730975555,17.4482306337661,"83","Infected"
"1020",11.7099041825529,7.70963174257532,"83","Infected"
"1023",38.9836719143133,1.1959129366586,"83","Infected"
"1024",12.8433481545923,11.0003066644159,"83","Infected"
"1029",27.4201397352636,-25.5841966586653,"83","Infected"
"1032",-22.1484834803951,-3.72944989336412,"83","Control"
"1035",-8.5547686233448,-4.66276809618266,"83","Control"
"1038",-17.9099338013666,-0.466223779416903,"83","Control"
"1041",-21.7517612582189,-0.905193468875353,"83","Control"
"1050",6.3231416178266,-4.05723709395187,"83","Infected"
