"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1046,"LOC126299138","Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",5.78621945343161,0.00856087023050782,3.95631702176798,"1027","Higher than gene average"
1047,"LOC126267259","CRAL/TRIO domain","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.64815173251636,0.0317491675179605,5.08651556225233,"1027","Higher than gene average"
1048,"LOC126292134","no description","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",4.88351038591503,1.3696310603051e-06,2.76162850291392,"1027","Higher than gene average"
1049,"LOC126334994","Sulfate permease family","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",3.83901883145702,7.95511036496649e-05,3.25389142531112,"1055","Higher than gene average"
1050,"LOC126336549","no description","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",4.56259969019367,0.00309055455609866,2.81146895327604,"1055","Higher than gene average"
1051,"LOC126335446","no description","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",1.70987165970095,0.000274807225330837,2.88192015348872,"1055","Higher than gene average"
1052,"LOC126336076","Belongs to the serpin family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.85285585791812,0.000638097187145965,3.38337303129875,"1055","Higher than gene average"
1053,"LOC126280573","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",4.93157066453721,0.00874063700903512,2.57641184718012,"1055","Higher than gene average"
1054,"LOC126346425","no description","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",4.88462496294488,9.35567688818019e-07,2.96484148164962,"1052","Higher than gene average"
1055,"LOC126293326","heme binding. It is involved in the biological process described with response to oxidative stress","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.71562072637192,0.00128727427580145,3.708375791414,"1058","Higher than gene average"
1056,"LOC126283959","Aldo/keto reductase family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",4.32457755796046,0.0209140984233823,2.98129640442523,"1046","Higher than gene average"
1057,"LOC126281537","It is involved in the biological process described with cation transport","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.7625795034005,0.000243260172578952,3.0352765579574,"1027","Higher than gene average"
1058,"LOC126354677","Vault protein inter-alpha-trypsin domain","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.05250035263712,0.025883881500761,2.89951028543822,"1027","Higher than gene average"
1059,"LOC126291959","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.63387030233648,0.030114201750708,2.28439477784706,"1006","Lower than gene average"
1060,"LOC126272535","The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.","DEG in 2 diets",2,"33; 83","Higher in infected","Diet 33; Diet 83: infected vs control",1.15193873008592,0.00211310322695417,3.68210640107416,"1006","Lower than gene average"
