"term","name","pathway_theme"
"ko04014","Ras signaling pathway","Immune and stress signaling"
"ko04015","Rap1 signaling pathway","Immune and stress signaling"
"ko04016","MAPK signaling pathway - plant","Immune and stress signaling"
"ko04020","Calcium signaling pathway","Immune and stress signaling"
"ko04022","cGMP-PKG signaling pathway","Immune and stress signaling"
"ko04024","cAMP signaling pathway","Immune and stress signaling"
"ko04070","Phosphatidylinositol signaling system","Immune and stress signaling"
"ko04114","Oocyte meiosis","Cellular process"
"ko04218","Cellular senescence","Immune and stress signaling"
"ko04261","Adrenergic signaling in cardiomyocytes","Immune and stress signaling"
"ko04270","Vascular smooth muscle contraction","Immune and stress signaling"
"ko04371","Apelin signaling pathway","Cellular process"
"ko04626","Plant-pathogen interaction","Immune and stress signaling"
"ko04713","Circadian entrainment","Other KEGG pathway"
"ko04720","Long-term potentiation","Other KEGG pathway"
"ko04722","Neurotrophin signaling pathway","Other KEGG pathway"
"ko04728","Dopaminergic synapse","Other KEGG pathway"
"ko04740","Olfactory transduction","Other KEGG pathway"
"ko04744","Phototransduction","Other KEGG pathway"
"ko04745","Phototransduction - fly","Other KEGG pathway"
"ko04750","Inflammatory mediator regulation of TRP channels","Other KEGG pathway"
"ko04910","Insulin signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko04912","GnRH signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko04915","Estrogen signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko04916","Melanogenesis","Storage, lipid transport, and endocrine nutrition"
"ko04921","Oxytocin signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko04922","Glucagon signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko04924","Renin secretion","Storage, lipid transport, and endocrine nutrition"
"ko04925","Aldosterone synthesis and secretion","Storage, lipid transport, and endocrine nutrition"
"ko04970","Salivary secretion","Storage, lipid transport, and endocrine nutrition"
"ko04971","Gastric acid secretion","Storage, lipid transport, and endocrine nutrition"
"ko05010","Alzheimer disease","Reference disease pathway"
"ko05031","Amphetamine addiction","Reference disease pathway"
"ko05034","Alcoholism","Reference disease pathway"
"ko05133","Pertussis","Other KEGG pathway"
"ko05152","Tuberculosis","Other KEGG pathway"
"ko05167","Kaposi sarcoma-associated herpesvirus infection","Other KEGG pathway"
"ko05200","Pathways in cancer","Reference disease pathway"
"ko05214","Glioma","Reference disease pathway"
"ko05418","Fluid shear stress and atherosclerosis","Immune and stress signaling"
"ko04136","Autophagy - other","Cellular process"
"ko04138","Autophagy - yeast","Cellular process"
"ko04140","Autophagy - animal","Cellular process"
"ko04150","mTOR signaling pathway","Cellular process"
"ko04151","PI3K-Akt signaling pathway","Cellular process"
"ko04714","Thermogenesis","Other KEGG pathway"
"ko00981","Insect hormone biosynthesis","Storage, lipid transport, and endocrine nutrition"
"ko04520","Adherens junction","Cellular process"
"ko04530","Tight junction","Cellular process"
"ko04540","Gap junction","Cellular process"
"ko05110","Vibrio cholerae infection","Other KEGG pathway"
"ko05120","Epithelial cell signaling in Helicobacter pylori infection","Other KEGG pathway"
"ko05132","Salmonella infection","Other KEGG pathway"
"ko04120","Ubiquitin mediated proteolysis","Cellular process"
"ko03010","Ribosome","Genetic information processing"
"ko04068","FoxO signaling pathway","Immune and stress signaling"
"ko04152","AMPK signaling pathway","Cellular process"
"ko04211","Longevity regulating pathway","Immune and stress signaling"
"ko04212","Longevity regulating pathway - worm","Immune and stress signaling"
"ko04213","Longevity regulating pathway - multiple species","Immune and stress signaling"
"ko05206","MicroRNAs in cancer","Genetic information processing"
"ko04940","Type I diabetes mellitus","Storage, lipid transport, and endocrine nutrition"
"ko03015","mRNA surveillance pathway","Genetic information processing"
"ko04071","Sphingolipid signaling pathway","Immune and stress signaling"
"ko04113","Meiosis - yeast","Cellular process"
"ko05165","Human papillomavirus infection","Other KEGG pathway"
"ko05016","Huntington disease","Reference disease pathway"
"ko04010","MAPK signaling pathway","Immune and stress signaling"
"ko04310","Wnt signaling pathway","Cellular process"
"ko04110","Cell cycle","Cellular process"
"ko04111","Cell cycle - yeast","Cellular process"
"ko04115","p53 signaling pathway","Cellular process"
"ko05166","Human T-cell leukemia virus 1 infection","Other KEGG pathway"
"ko04934","Cushing syndrome","Storage, lipid transport, and endocrine nutrition"
"ko04391","Hippo signaling pathway - fly","Cellular process"
"ko00260","Glycine, serine and threonine metabolism","Amino acid and nitrogen metabolism"
"ko00270","Cysteine and methionine metabolism","Amino acid and nitrogen metabolism"
"ko01100","Metabolic pathways","Broad metabolic map"
"ko01130","Biosynthesis of antibiotics","Detoxification and secondary metabolism"
"ko01230","Biosynthesis of amino acids","Amino acid and nitrogen metabolism"
"ko03040","Spliceosome","Genetic information processing"
"ko05168","Herpes simplex virus 1 infection","Other KEGG pathway"
"ko04320","Dorso-ventral axis formation","Cellular process"
"ko00480","Glutathione metabolism","Detoxification and secondary metabolism"
"ko00980","Metabolism of xenobiotics by cytochrome P450","Detoxification and secondary metabolism"
"ko00982","Drug metabolism - cytochrome P450","Detoxification and secondary metabolism"
"ko00983","Drug metabolism - other enzymes","Other KEGG pathway"
"ko01524","Platinum drug resistance","Other KEGG pathway"
"ko05204","Chemical carcinogenesis - DNA adducts","Genetic information processing"
"ko05225","Hepatocellular carcinoma","Reference disease pathway"
"ko00190","Oxidative phosphorylation","Carbohydrate and energy metabolism"
"ko00860","Porphyrin metabolism","Other KEGG pathway"
"ko01110","Biosynthesis of secondary metabolites","Detoxification and secondary metabolism"
"ko02020","Two-component system","Transport and environmental response"
"ko00920","Sulfur metabolism","Detoxification and secondary metabolism"
"ko01120","Microbial metabolism in diverse environments","Detoxification and secondary metabolism"
"ko04914","Progesterone-mediated oocyte maturation","Storage, lipid transport, and endocrine nutrition"
"ko04122","Sulfur relay system","Cellular process"
"ko04142","Lysosome biogenesis","Cellular process"
"ko04144","Endocytosis","Cellular process"
"ko04217","Necroptosis","Immune and stress signaling"
"ko04972","Pancreatic secretion","Storage, lipid transport, and endocrine nutrition"
"ko04666","Fc gamma R-mediated phagosome formation","Immune and stress signaling"
"ko00531","Glycosaminoglycan degradation","Other KEGG pathway"
"ko03410","Base excision repair","Other KEGG pathway"
"ko05203","Viral carcinogenesis","Reference disease pathway"
"ko04141","Protein processing in endoplasmic reticulum","Cellular process"
"ko03050","Proteasome","Genetic information processing"
"ko05410","Hypertrophic cardiomyopathy","Other KEGG pathway"
"ko05412","Arrhythmogenic right ventricular cardiomyopathy","Other KEGG pathway"
"ko05414","Dilated cardiomyopathy","Other KEGG pathway"
"ko05416","Viral myocarditis","Other KEGG pathway"
"ko00010","Glycolysis / Gluconeogenesis","Carbohydrate and energy metabolism"
"ko00040","Pentose and glucuronate interconversions","Carbohydrate and energy metabolism"
"ko00561","Glycerolipid metabolism","Lipid and membrane metabolism"
"ko00930","Caprolactam degradation","Detoxification and secondary metabolism"
"ko01220","Degradation of aromatic compounds","Detoxification and secondary metabolism"
"ko04214","Apoptosis - fly","Immune and stress signaling"
"ko04215","Apoptosis - multiple species","Immune and stress signaling"
"ko00310","Lysine degradation","Other KEGG pathway"
"ko00220","Arginine biosynthesis","Amino acid and nitrogen metabolism"
"ko00250","Alanine, aspartate and glutamate metabolism","Amino acid and nitrogen metabolism"
"ko00471","ko00471","Other KEGG pathway"
"ko04724","Glutamatergic synapse","Other KEGG pathway"
"ko04727","GABAergic synapse","Other KEGG pathway"
"ko04964","Proximal tubule bicarbonate reclamation","Storage, lipid transport, and endocrine nutrition"
"ko05230","Central carbon metabolism in cancer","Carbohydrate and energy metabolism"
"ko04330","Notch signaling pathway","Cellular process"
"ko04340","Hedgehog signaling pathway","Cellular process"
"ko04341","Hedgehog signaling pathway - fly","Cellular process"
"ko00510","N-Glycan biosynthesis","Other KEGG pathway"
"ko00513","Various types of N-glycan biosynthesis","Other KEGG pathway"
"ko00533","Glycosaminoglycan biosynthesis - keratan sulfate","Other KEGG pathway"
"ko05202","Transcriptional misregulation in cancer","Genetic information processing"
"ko04911","Insulin secretion","Storage, lipid transport, and endocrine nutrition"
"ko00562","Inositol phosphate metabolism","Other KEGG pathway"
"ko03018","RNA degradation","Genetic information processing"
"ko04013","MAPK signaling pathway - fly","Immune and stress signaling"
"ko05231","Choline metabolism in cancer","Reference disease pathway"
"ko00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","Other KEGG pathway"
"ko00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","Other KEGG pathway"
"ko00130","Ubiquinone and other terpenoid-quinone biosynthesis","Other KEGG pathway"
"ko00350","Tyrosine metabolism","Amino acid and nitrogen metabolism"
"ko00360","Phenylalanine metabolism","Amino acid and nitrogen metabolism"
"ko00564","Glycerophospholipid metabolism","Lipid and membrane metabolism"
"ko00565","Ether lipid metabolism","Lipid and membrane metabolism"
"ko00590","Arachidonic acid metabolism","Lipid and membrane metabolism"
"ko00591","Linoleic acid metabolism","Lipid and membrane metabolism"
"ko00592","alpha-Linolenic acid metabolism","Lipid and membrane metabolism"
"ko04975","Fat digestion and absorption","Storage, lipid transport, and endocrine nutrition"
"ko04919","Thyroid hormone signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko03460","Fanconi anemia pathway","Other KEGG pathway"
"ko04062","Chemokine signaling pathway","Immune and stress signaling"
"ko05032","Morphine addiction","Reference disease pathway"
"ko00511","Other glycan degradation","Other KEGG pathway"
"ko00230","Purine metabolism","Amino acid and nitrogen metabolism"
"ko00730","Thiamine metabolism","Other KEGG pathway"
"ko04721","Synaptic vesicle cycle","Other KEGG pathway"
"ko04979","Cholesterol metabolism","Storage, lipid transport, and endocrine nutrition"
"ko04711","Circadian rhythm - fly","Other KEGG pathway"
"ko00330","Arginine and proline metabolism","Amino acid and nitrogen metabolism"
"ko00410","beta-Alanine metabolism","Amino acid and nitrogen metabolism"
"ko04216","Ferroptosis","Immune and stress signaling"
"ko04974","Protein digestion and absorption","Storage, lipid transport, and endocrine nutrition"
"ko00052","Galactose metabolism","Carbohydrate and energy metabolism"
"ko00500","Starch and sucrose metabolism","Other KEGG pathway"
"ko04726","Serotonergic synapse","Other KEGG pathway"
"ko05012","Parkinson disease","Reference disease pathway"
"ko05030","Cocaine addiction","Reference disease pathway"
"ko05134","Legionellosis","Other KEGG pathway"
"ko04066","HIF-1 signaling pathway","Immune and stress signaling"
"ko05211","Renal cell carcinoma","Reference disease pathway"
"ko00910","Nitrogen metabolism","Amino acid and nitrogen metabolism"
"ko00280","Valine, leucine and isoleucine degradation","Amino acid and nitrogen metabolism"
"ko04145","Phagocytosis","Cellular process"
"ko04730","Long-term depression","Other KEGG pathway"
"ko04926","Relaxin signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko05014","Amyotrophic lateral sclerosis","Reference disease pathway"
"ko04080","Neuroactive ligand-receptor interaction","Immune and stress signaling"
"ko03450","Non-homologous end-joining","Other KEGG pathway"
"ko00071","Fatty acid degradation","Lipid and membrane metabolism"
"ko01040","Biosynthesis of unsaturated fatty acids","Lipid and membrane metabolism"
"ko01212","Fatty acid metabolism","Lipid and membrane metabolism"
"ko03320","PPAR signaling pathway","Storage, lipid transport, and endocrine nutrition"
"ko04146","Peroxisome","Cellular process"
"ko04064","NF-kappa B signaling pathway","Immune and stress signaling"
"ko04621","NOD-like receptor signaling pathway","Immune and stress signaling"
"ko04657","IL-17 signaling pathway","Immune and stress signaling"
"ko04668","TNF signaling pathway","Immune and stress signaling"
"ko05169","Epstein-Barr virus infection","Other KEGG pathway"
"ko05222","Small cell lung cancer","Reference disease pathway"
"ko03013","Nucleocytoplasmic transport","Genetic information processing"
"ko03060","Protein export","Genetic information processing"
"ko00030","Pentose phosphate pathway","Carbohydrate and energy metabolism"
"ko01200","Carbon metabolism","Carbohydrate and energy metabolism"
"ko00053","Ascorbate and aldarate metabolism","Carbohydrate and energy metabolism"
"ko00140","Steroid hormone biosynthesis","Storage, lipid transport, and endocrine nutrition"
"ko00830","Retinol metabolism","Other KEGG pathway"
"ko00514","Other types of O-glycan biosynthesis","Other KEGG pathway"
"ko05216","Thyroid cancer","Reference disease pathway"
"ko02010","ABC transporters","Transport and environmental response"
"ko00750","Vitamin B6 metabolism","Other KEGG pathway"
