"gene_id","Preferred_name","Description","Functional_theme","DEG_class","DEG_diets","DEG_direction_summary","min_padj","max_abs_lfc"
"LOC126285462","","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",1.48818760291954e-31,3.79884949753276
"LOC126335463","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",5.02213011651629e-24,6.99375780523175
"LOC126267038","","Signal transducer and activator of transcription","Immune-related","DEG","33, 50, 83","Higher in infected",3.31667299577634e-16,1.18762732379761
"LOC126335468","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",1.09024973366198e-15,4.99132300648467
"LOC126267163","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",3.87722035460189e-15,4.41072778238026
"LOC126271975","","Alpha-lactalbumin / lysozyme C","Immune-related","DEG","33, 50","Higher in infected",3.58395874608312e-14,7.4991952443199
"LOC126335547","","Belongs to the serpin family","Immune-related","DEG","33, 50, 83","Higher in infected",2.50680880651974e-13,2.97769414431241
"LOC126267162","PGRPLC","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",2.66298296018595e-13,2.15549469759665
"LOC126267215","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50, 83","Higher in infected",2.10098686675823e-12,5.53506673495794
"LOC126266760","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",2.1872365943574e-12,2.82099081140577
"LOC126268068","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","33, 50","Higher in infected",1.46118459323763e-11,2.34932136228776
"LOC126336578","","Immunoglobulin V-set domain","Immune-related","DEG","33, 50, 83","Higher in infected",3.53053427897395e-11,5.19772798416463
"LOC126266759","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",5.658535905882e-10,3.17539727262612
"LOC126267343","","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Immune-related","DEG","33, 50, 83","Higher in infected",6.5546763897119e-10,2.3479469485579
"LOC126365918","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Immune-related","DEG","50","Higher in infected",1.74972106295359e-09,1.69937999848552
"LOC126335467","","Belongs to the serpin family","Immune-related","DEG","50","Higher in infected",2.85161569225132e-09,2.46485905064373
"LOC126353952","CLIPC1","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Immune-related","DEG","33, 50, 83","Higher in infected",1.871974906285e-08,2.37631774715501
"LOC126291639","","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","Immune-related","DEG","50","Higher in infected",2.64347255090361e-08,2.75928712058996
"LOC126336325","","Knottins","Immune-related","DEG","33, 50, 83","Higher in infected",6.07357670307902e-08,6.71394730369056
"LOC126336416","","Hemocyanin, all-alpha domain","Storage/lipid transport","DEG","33, 50, 83","Higher in infected",2.62377611063022e-13,2.10311261136104
"LOC126299332","","Lipid transporter activity. It is involved in the biological process described with lipid transport","Storage/lipid transport","DEG","33, 50, 83","Higher in infected",5.6810959770852e-13,2.10623606034734
"LOC126336415","","Hemocyanin, all-alpha domain","Storage/lipid transport","DEG","50, 83","Higher in infected",5.7296427787383e-05,2.28982146357698
"LOC126336409","","Hemocyanin, all-alpha domain","Storage/lipid transport","DEG","33","Higher in control",0.00377699409706012,2.21365859844968
"LOC126299533","","nutrient reservoir activity","Storage/lipid transport","DEG","50","Higher in control",0.00677205992751267,2.82241252780418
"LOC126355303","","Transporter activity. It is involved in the biological process described with transmembrane transport","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",3.27501754910129e-20,4.36874537914972
"LOC126285413","","transporter activity. It is involved in the biological process described with sodium ion transport","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",3.22770029293542e-18,3.19153955223985
"LOC126355939","","amino acid transporter","Nutrition/metabolism","DEG","33, 50, 83","Higher in infected",3.79798930612691e-18,6.53566986732542
"LOC126272336","","lipid binding","Nutrition/metabolism","DEG","33, 50","Higher in infected",6.13146659602575e-17,2.01270066545244
