name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hominidae	9604	F	644304	3310860	3955164	0.60713
Cryptococcaceae	1884633	F	44594	149349	193943	0.02977
Trichosporonaceae	1759442	F	377	2426	2803	0.00043
Marasmiaceae	654128	F	128	147	275	0.00004
Agrocybaceae	3710399	F	36	24	60	0.00001
Ceratobasidiaceae	5250	F	31	14	45	0.00001
Ustilaginaceae	5268	F	1191	7370	8561	0.00131
Malasseziaceae	742845	F	441	2084	2525	0.00039
Pucciniaceae	5262	F	830	2366	3196	0.00049
Clavicipitaceae	34397	F	3061	1316	4377	0.00067
Hypocreaceae	5129	F	1918	12261	14179	0.00218
Nectriaceae	110618	F	815	4258	5073	0.00078
Ophiocordycipitaceae	474942	F	99	262	361	0.00006
Cordycipitaceae	474943	F	50	93	143	0.00002
Glomerellaceae	681950	F	765	4407	5172	0.00079
Sordariaceae	5148	F	1115	2389	3504	0.00054
Chaetomiaceae	35718	F	417	485	902	0.00014
Podosporaceae	2609812	F	112	112	224	0.00003
Pyriculariaceae	2528436	F	173	10	183	0.00003
Sclerotiniaceae	28983	F	105	923	1028	0.00016
Mycosphaerellaceae	93133	F	2568	5181	7749	0.00119
Didymellaceae	683158	F	104	271	375	0.00006
Pleosporaceae	28556	F	74	461	535	0.00008
Aspergillaceae	1131492	F	989	3001	3990	0.00061
Trichocomaceae	28568	F	88	311	399	0.00006
Onygenaceae	33184	F	235	1908	2143	0.00033
Metschnikowiaceae	27319	F	1660	2611	4271	0.00066
Debaryomycetaceae	766764	F	1136	4741	5877	0.00090
Pichiaceae	1156497	F	715	2346	3061	0.00047
Saccharomycetaceae	4893	F	2087	21830	23917	0.00367
Saccharomycodaceae	34365	F	46	600	646	0.00010
Trichomonascaceae	410830	F	24	159	183	0.00003
Schizosaccharomycetaceae	4894	F	180	190	370	0.00006
Glomeraceae	36751	F	900	930	1830	0.00028
Unikaryonidae	36734	F	247	0	247	0.00004
Nosematidae	27974	F	93	19	112	0.00002
Plasmodiidae	1639119	F	166128	407971	574099	0.08813
Babesiidae	32594	F	1095	1816	2911	0.00045
Theileriidae	27994	F	115	96	211	0.00003
Sarcocystidae	5809	F	15123	65791	80914	0.01242
Cryptosporidiidae	35082	F	161	205	366	0.00006
Thalassiosiraceae	29202	F	5528	184	5712	0.00088
Neidiaceae	432548	F	97	0	97	0.00001
Peronosporaceae	4777	F	147	12	159	0.00002
Dictyosteliaceae	2058185	F	5567	7751	13318	0.00204
Trypanosomatidae	5654	F	646	81	727	0.00011
Trichomonadidae	181550	F	346	21	367	0.00006
Hexamitidae	5739	F	113	2	115	0.00002
Hemiselmidaceae	589351	F	93	74	167	0.00003
Cyanidiaceae	265316	F	18	3	21	0.00000
Vibrionaceae	641	F	279267	184993	464260	0.07127
Lysobacteraceae	32033	F	55433	21043	76476	0.01174
Rhodanobacteraceae	1775411	F	210	13	223	0.00003
Marinicellaceae	3120710	F	13	0	13	0.00000
Enterobacteriaceae	543	F	17818	483057	500875	0.07689
Erwiniaceae	1903409	F	3278	754	4032	0.00062
Morganellaceae	1903414	F	2177	2775	4952	0.00076
Gallaecimonadaceae	3120698	F	1505	81	1586	0.00024
Yersiniaceae	1903411	F	743	3330	4073	0.00063
Pectobacteriaceae	1903410	F	204	30	234	0.00004
Hafniaceae	1903412	F	58	95	153	0.00002
Bruguierivoracaceae	2812006	F	40	2	42	0.00001
Pseudomonadaceae	135621	F	3343	2403	5746	0.00088
Marinobacteraceae	2887365	F	3203	12	3215	0.00049
Pseudohongiellaceae	3085095	F	21	0	21	0.00000
Pseudoalteromonadaceae	267888	F	822	160	982	0.00015
Alteromonadaceae	72275	F	439	26	465	0.00007
Shewanellaceae	267890	F	322	60	382	0.00006
Idiomarinaceae	267893	F	217	48	265	0.00004
Colwelliaceae	267889	F	171	13	184	0.00003
Psychromonadaceae	267894	F	63	3	66	0.00001
Moritellaceae	267891	F	45	8	53	0.00001
Aeromonadaceae	84642	F	1393	1794	3187	0.00049
Succinivibrionaceae	83763	F	10	0	10	0.00000
Moraxellaceae	468	F	1100	796	1896	0.00029
Hahellaceae	224379	F	334	3	337	0.00005
Oceanospirillaceae	135620	F	218	10	228	0.00003
Halomonadaceae	28256	F	205	12	217	0.00003
Alcanivoracaceae	224372	F	37	3	40	0.00001
Endozoicomonadaceae	2066474	F	36	0	36	0.00001
Pleioneaceae	2823145	F	30	0	30	0.00000
Balneatrichaceae	2301193	F	25	10	35	0.00001
Zooshikellaceae	2898533	F	15	0	15	0.00000
Saccharospirillaceae	255527	F	10	0	10	0.00000
Pasteurellaceae	712	F	651	2547	3198	0.00049
Candidatus Pseudothioglobaceae	3399801	F	246	32	278	0.00004
Piscirickettsiaceae	135616	F	91	17	108	0.00002
Francisellaceae	34064	F	71	2	73	0.00001
Thiotrichaceae	135617	F	28	4	32	0.00000
Microbulbiferaceae	1706373	F	89	0	89	0.00001
Cellvibrionaceae	1706371	F	73	1	74	0.00001
Halieaceae	1706372	F	14	1	15	0.00000
Legionellaceae	444	F	114	1	115	0.00002
Coxiellaceae	118968	F	44	0	44	0.00001
Methylococcaceae	403	F	110	5	115	0.00002
Chromatiaceae	1046	F	68	1	69	0.00001
Ectothiorhodospiraceae	72276	F	20	1	21	0.00000
Sedimenticolaceae	3067276	F	14	0	14	0.00000
Orbaceae	1240483	F	65	28	93	0.00001
Thiohalobacteraceae	3085110	F	12	0	12	0.00000
Anaplasmataceae	942	F	29281	12783	42064	0.00646
Rickettsiaceae	775	F	175	1	176	0.00003
Candidatus Midichloriaceae	1328881	F	15	7742	7757	0.00119
Methylobacteriaceae	119045	F	7124	389	7513	0.00115
Stappiaceae	2821832	F	2904	491	3395	0.00052
Brucellaceae	118882	F	1710	21	1731	0.00027
Rhizobiaceae	82115	F	536	71	607	0.00009
Nitrobacteraceae	41294	F	394	15	409	0.00006
Phyllobacteriaceae	69277	F	359	23	382	0.00006
Bartonellaceae	772	F	140	5	145	0.00002
Alloboseaceae	2831100	F	121	3	124	0.00002
Aurantimonadaceae	255475	F	94	15	109	0.00002
Devosiaceae	2831106	F	47	1	48	0.00001
Xanthobacteraceae	335928	F	37	1	38	0.00001
Reyranellaceae	2844375	F	34	0	34	0.00001
Hyphomicrobiaceae	45401	F	24	0	24	0.00000
Blastochloridaceae	2831090	F	21	0	21	0.00000
Methylocystaceae	31993	F	20	0	20	0.00000
Cohaesibacteraceae	655351	F	18	0	18	0.00000
Pleomorphomonadaceae	2843308	F	10	0	10	0.00000
Azospirillaceae	2829815	F	2387	108	2495	0.00038
Rhodospirillaceae	41295	F	181	2	183	0.00003
Thalassospiraceae	2844866	F	25	1	26	0.00000
Sphingomonadaceae	41297	F	393	37	430	0.00007
Sphingobiaceae	3423717	F	250	26	276	0.00004
Erythrobacteraceae	335929	F	116	5	121	0.00002
Sphingopyxidaceae	3423718	F	43	9	52	0.00001
Sphingosinicellaceae	2820280	F	35	1	36	0.00001
Sphingorhabdaceae	3423719	F	24	0	24	0.00000
Paracoccaceae	31989	F	530	28	558	0.00009
Roseobacteraceae	2854170	F	235	45	280	0.00004
Acetobacteraceae	433	F	135	7	142	0.00002
Roseomonadaceae	3385906	F	74	3	77	0.00001
Acidocellaceae	3385905	F	11	0	11	0.00000
Candidatus Pelagibacteraceae	1655514	F	202	12	214	0.00003
Caulobacteraceae	76892	F	180	419	599	0.00009
Emcibacteraceae	2066491	F	125	1	126	0.00002
Maricaulaceae	2800061	F	62	1	63	0.00001
Holosporaceae	44746	F	20	5	25	0.00000
Geminicoccaceae	2066434	F	21	7	28	0.00000
Sneathiellaceae	510685	F	20	0	20	0.00000
Hyphomonadaceae	69657	F	12	0	12	0.00000
Oxalobacteraceae	75682	F	2625	104	2729	0.00042
Burkholderiaceae	119060	F	1439	605	2044	0.00031
Comamonadaceae	80864	F	781	241	1022	0.00016
Sphaerotilaceae	2975441	F	235	21	256	0.00004
Alcaligenaceae	506	F	233	153	386	0.00006
Neisseriaceae	481	F	1244	41	1285	0.00020
Chromobacteriaceae	1499392	F	68	5	73	0.00001
Chitinibacteraceae	2897177	F	28	5	33	0.00001
Aquaspirillaceae	2897176	F	10	2	12	0.00000
Nitrosomonadaceae	206379	F	95	0	95	0.00001
Methylophilaceae	32011	F	42	0	42	0.00001
Sterolibacteriaceae	2008793	F	24	1	25	0.00000
Sulfuricellaceae	2772226	F	21	0	21	0.00000
Thiobacillaceae	2008790	F	10	9	19	0.00000
Zoogloeaceae	2008794	F	32	7	39	0.00001
Azonexaceae	2008795	F	17	0	17	0.00000
Rhodocyclaceae	75787	F	10	0	10	0.00000
Acidithiobacillaceae	225058	F	33	0	33	0.00001
Mariprofundaceae	580372	F	13	0	13	0.00000
Flavobacteriaceae	49546	F	5515	113	5628	0.00086
Weeksellaceae	2762318	F	1125	109	1234	0.00019
Blattabacteriaceae	39782	F	87	16	103	0.00002
Crocinitomicaceae	1853230	F	27	27	54	0.00001
Owenweeksiaceae	3024551	F	19	0	19	0.00000
Parvicellaceae	2975259	F	10	0	10	0.00000
Bacteroidaceae	815	F	2650	788	3438	0.00053
Prevotellaceae	171552	F	204	20	224	0.00003
Rikenellaceae	171550	F	142	40	182	0.00003
Tannerellaceae	2005525	F	64	19	83	0.00001
Dysgonomonadaceae	2005520	F	54	0	54	0.00001
Muribaculaceae	2005473	F	46	0	46	0.00001
Odoribacteraceae	1853231	F	32	9	41	0.00001
Paludibacteraceae	2005523	F	29	0	29	0.00000
Porphyromonadaceae	171551	F	26	4	30	0.00000
Barnesiellaceae	2005519	F	10	3	13	0.00000
Prolixibacteraceae	1471398	F	123	0	123	0.00002
Marinifilaceae	1573805	F	86	0	86	0.00001
Marinilabiliaceae	558415	F	47	3	50	0.00001
Flammeovirgaceae	200667	F	676	1	677	0.00010
Cyclobacteriaceae	563798	F	557	721	1278	0.00020
Hymenobacteraceae	1853232	F	227	0	227	0.00003
Spirosomataceae	2896860	F	211	0	211	0.00003
Cytophagaceae	89373	F	130	0	130	0.00002
Marivirgaceae	2762301	F	86	1	87	0.00001
Leadbetterellaceae	3141702	F	70	0	70	0.00001
Bernardetiaceae	1937968	F	53	0	53	0.00001
Fulvivirgaceae	2762286	F	50	0	50	0.00001
Reichenbachiellaceae	2762302	F	31	0	31	0.00000
Flectobacillaceae	3141701	F	23	0	23	0.00000
Roseivirgaceae	2762306	F	19	0	19	0.00000
Persicobacteraceae	1853234	F	18	0	18	0.00000
Catalimonadaceae	1522127	F	16	0	16	0.00000
Mangrovivirgaceae	2858885	F	14	0	14	0.00000
Rhodocytophagaceae	3078917	F	12	0	12	0.00000
Sphingobacteriaceae	84566	F	878	67	945	0.00015
Chitinophagaceae	563835	F	580	1	581	0.00009
Saprospiraceae	89374	F	23	0	23	0.00000
Balneolaceae	1813606	F	29	0	29	0.00000
Chlorobiaceae	191412	F	23	0	23	0.00000
Ignavibacteriaceae	795749	F	19	0	19	0.00000
Candidatus Palauibacteraceae	3056649	F	56	0	56	0.00001
Gemmatimonadaceae	219687	F	14	0	14	0.00000
Archangiaceae	39	F	2952	30	2982	0.00046
Myxococcaceae	31	F	325	2	327	0.00005
Anaeromyxobacteraceae	1524215	F	31	0	31	0.00000
Polyangiaceae	49	F	305	50	355	0.00005
Sandaracinaceae	1055686	F	35	2	37	0.00001
Nannocystaceae	224463	F	36	3	39	0.00001
Arcobacteraceae	2808963	F	386	182	568	0.00009
Campylobacteraceae	72294	F	343	265	608	0.00009
Helicobacteraceae	72293	F	148	94	242	0.00004
Sulfurimonadaceae	2771471	F	100	15	115	0.00002
Sulfurovaceae	2771472	F	31	10	41	0.00001
Sulfurospirillaceae	2932623	F	21	9	30	0.00000
Hydrogenimonadaceae	292630	F	10	6	16	0.00000
Nitratiruptoraceae	2795691	F	18	0	18	0.00000
Nautiliaceae	224467	F	12	0	12	0.00000
Borreliaceae	1643685	F	257	33	290	0.00004
Spirochaetaceae	137	F	53	0	53	0.00001
Sphaerochaetaceae	2791015	F	44	9	53	0.00001
Treponemataceae	2845253	F	206	126	332	0.00005
Breznakiellaceae	2951104	F	12	22	34	0.00001
Brachyspiraceae	143786	F	49	3	52	0.00001
Leptospiraceae	170	F	152	3	155	0.00002
Planctomycetaceae	126	F	132	12	144	0.00002
Pirellulaceae	2691357	F	99	2	101	0.00002
Lacipirellulaceae	2691359	F	10	0	10	0.00000
Gemmataceae	1914233	F	104	0	104	0.00002
Isosphaeraceae	1763524	F	37	1	38	0.00001
Phycisphaeraceae	666507	F	13	0	13	0.00000
Candidatus Uabimicrobiaceae	2897348	F	20	0	20	0.00000
Verrucomicrobiaceae	203557	F	206	0	206	0.00003
Akkermansiaceae	1647988	F	28	0	28	0.00000
Opitutaceae	134623	F	55	1	56	0.00001
Parachlamydiaceae	92713	F	36	0	36	0.00001
Chlamydiaceae	809	F	28	0	28	0.00000
Desulfovibrionaceae	194924	F	314	7	321	0.00005
Desulfosarcinaceae	3031624	F	78	18	96	0.00001
Desulfococcaceae	2931039	F	31	0	31	0.00000
Desulfolunaceae	3031622	F	24	0	24	0.00000
Desulfobacteraceae	213119	F	12	0	12	0.00000
Geobacteraceae	213422	F	44	3	47	0.00001
Desulfuromonadaceae	213421	F	10	0	10	0.00000
Desulfocapsaceae	2886822	F	36	0	36	0.00001
Desulfobulbaceae	213121	F	12	1	13	0.00000
Thermodesulfobacteriaceae	188711	F	15	0	15	0.00000
Holophagaceae	574976	F	209	0	209	0.00003
Acidobacteriaceae	204434	F	79	0	79	0.00001
Vicinamibacteraceae	2211325	F	23	0	23	0.00000
Chloracidobacteriaceae	3681503	F	21	0	21	0.00000
Endomicrobiaceae	1783343	F	270	0	270	0.00004
Pseudobdellovibrionaceae	213483	F	96	0	96	0.00001
Silvanigrellaceae	2024974	F	40	4	44	0.00001
Bacteriovoracaceae	263369	F	13	0	13	0.00000
Halobacteriovoraceae	1652132	F	13	0	13	0.00000
Aquificaceae	64898	F	32	0	32	0.00000
Hydrogenothermaceae	224027	F	19	0	19	0.00000
Desulfurobacteriaceae	558314	F	32	0	32	0.00000
Nitrospiraceae	189779	F	34	5	39	0.00001
Thermodesulfovibrionaceae	2811504	F	16	0	16	0.00000
Geovibrionaceae	2945019	F	23	0	23	0.00000
Calditerrivibrionaceae	2945021	F	10	0	10	0.00000
Dictyoglomaceae	203488	F	13	0	13	0.00000
Abditibacteriaceae	2109261	F	13	0	13	0.00000
Streptomycetaceae	2062	F	115795	38744	154539	0.02372
Micrococcaceae	1268	F	1406	885	2291	0.00035
Microbacteriaceae	85023	F	979	710	1689	0.00026
Cellulomonadaceae	85016	F	810	781	1591	0.00024
Promicromonosporaceae	85017	F	147	130	277	0.00004
Dermabacteraceae	85020	F	120	145	265	0.00004
Intrasporangiaceae	85021	F	92	81	173	0.00003
Brevibacteriaceae	85019	F	40	233	273	0.00004
Ornithinimicrobiaceae	2805590	F	27	17	44	0.00001
Beutenbergiaceae	125316	F	11	75	86	0.00001
Ruaniaceae	1331736	F	11	2	13	0.00000
Mycobacteriaceae	1762	F	1178	77	1255	0.00019
Nocardiaceae	85025	F	809	73	882	0.00014
Corynebacteriaceae	1653	F	236	74	310	0.00005
Gordoniaceae	85026	F	127	18	145	0.00002
Dietziaceae	85029	F	11	7	18	0.00000
Propionibacteriaceae	31957	F	995	402	1397	0.00021
Nocardioidaceae	85015	F	641	89	730	0.00011
Kribbellaceae	2726069	F	94	7	101	0.00002
Pseudonocardiaceae	2070	F	1601	196	1797	0.00028
Streptosporangiaceae	2004	F	406	40	446	0.00007
Thermomonosporaceae	2012	F	330	41	371	0.00006
Nocardiopsidaceae	83676	F	101	9	110	0.00002
Micromonosporaceae	28056	F	742	62	804	0.00012
Actinomycetaceae	2049	F	256	28	284	0.00004
Candidatus Nanopelagicaceae	2162846	F	217	0	217	0.00003
Bifidobacteriaceae	31953	F	150	68	218	0.00003
Jatrophihabitantaceae	2805416	F	34	2	36	0.00001
Geodermatophilaceae	85030	F	32	4	36	0.00001
Frankiaceae	74712	F	23	220	243	0.00004
Allobogoriellaceae	145358	F	20	10	30	0.00000
Catenulisporaceae	414877	F	20	1	21	0.00000
Nakamurellaceae	85031	F	15	1	16	0.00000
Kineosporiaceae	83778	F	14	2	16	0.00000
Glycomycetaceae	85034	F	14	0	14	0.00000
Jiangellaceae	1217100	F	12	1	13	0.00000
Egibacteraceae	1747769	F	231	41	272	0.00004
Iamiaceae	633392	F	33	13	46	0.00001
Eggerthellaceae	1643826	F	19	106	125	0.00002
Atopobiaceae	1643824	F	13	21	34	0.00001
Paraconexibacteraceae	2758916	F	10	2	12	0.00000
Miltoncostaeaceae	2843199	F	12	2	14	0.00000
Rubrobacteraceae	84997	F	20	0	20	0.00000
Bacillaceae	186817	F	24177	70247	94424	0.01449
Paenibacillaceae	186822	F	3033	843	3876	0.00059
Staphylococcaceae	90964	F	1232	5653	6885	0.00106
Caryophanaceae	186818	F	490	148	638	0.00010
Pasteuriaceae	538998	F	268	8	276	0.00004
Listeriaceae	186820	F	242	262	504	0.00008
Anoxybacillaceae	3120669	F	84	63	147	0.00002
Fictibacillaceae	3120697	F	53	15	68	0.00001
Alicyclobacillaceae	186823	F	51	2	53	0.00001
Gemellaceae	539738	F	49	14	63	0.00001
Thermoactinomycetaceae	186824	F	16	1	17	0.00000
Sporolactobacillaceae	186821	F	13	1	14	0.00000
Guptibacillaceae	3421337	F	13	66	79	0.00001
Lactobacillaceae	33958	F	4568	1085	5653	0.00087
Streptococcaceae	1300	F	818	4491	5309	0.00081
Enterococcaceae	81852	F	492	3517	4009	0.00062
Carnobacteriaceae	186828	F	100	46	146	0.00002
Aerococcaceae	186827	F	58	41	99	0.00002
Clostridiaceae	31979	F	2306	920	3226	0.00050
Oscillospiraceae	216572	F	205	85	290	0.00004
Desulfitobacteriaceae	2937909	F	114	13	127	0.00002
Eubacteriaceae	186806	F	59	17	76	0.00001
Peptococcaceae	186807	F	22	1	23	0.00000
Syntrophomonadaceae	68298	F	21	1	22	0.00000
Butyricicoccaceae	3085642	F	21	1	22	0.00000
Proteinivoracaceae	1491775	F	19	0	19	0.00000
Acutalibacteraceae	3082771	F	17	4	21	0.00000
Aristaeellaceae	3046368	F	12	0	12	0.00000
Fusibacteraceae	3679999	F	10	3	13	0.00000
Lachnospiraceae	186803	F	981	321	1302	0.00020
Vallitaleaceae	2603322	F	38	1	39	0.00001
Defluviitaleaceae	1185407	F	28	6	34	0.00001
Cellulosilyticaceae	3018741	F	14	0	14	0.00000
Peptostreptococcaceae	186804	F	520	1657	2177	0.00033
Anaerovoracaceae	543314	F	73	5	78	0.00001
Natronincolaceae	3118656	F	50	9	59	0.00001
Caminicellaceae	3118654	F	34	1	35	0.00001
Thermotaleaceae	3118657	F	12	0	12	0.00000
Natranaerofabaceae	2807496	F	103	0	103	0.00002
Thermoanaerobacteraceae	186814	F	99	14	113	0.00002
Halanaerobiaceae	972	F	25	0	25	0.00000
Halothermotrichaceae	3046412	F	19	16	35	0.00001
Neomoorellaceae	3039168	F	50	0	50	0.00001
Acetivibrionaceae	3120654	F	22	7	29	0.00000
Tepidanaerobacteraceae	2770092	F	13	0	13	0.00000
Monoglobaceae	3085657	F	13	7	20	0.00000
Lutisporaceae	3120708	F	11	6	17	0.00000
Limnochordaceae	1676650	F	619	3	622	0.00010
Veillonellaceae	31977	F	277	74	351	0.00005
Sporomusaceae	1843490	F	70	6	76	0.00001
Selenomonadaceae	1843491	F	40	2	42	0.00001
Acidaminococcaceae	909930	F	49	5	54	0.00001
Peptoniphilaceae	1570339	F	163	151	314	0.00005
Tissierellaceae	1737406	F	54	3	57	0.00001
Sporanaerobacteraceae	2992718	F	21	1	22	0.00000
Tepidimicrobiaceae	2992719	F	20	4	24	0.00000
Acidilutibacteraceae	2992717	F	10	4	14	0.00000
Erysipelotrichaceae	128827	F	125	244	369	0.00006
Coprobacillaceae	2810280	F	82	55	137	0.00002
Turicibacteraceae	2810281	F	19	6	25	0.00000
Caldicellulosiruptoraceae	3071002	F	102	38	140	0.00002
Dethiobacteraceae	3086088	F	10	0	10	0.00000
Spiroplasmataceae	2131	F	20157	13	20170	0.00310
Entomoplasmataceae	33925	F	79	7	86	0.00001
Mycoplasmataceae	2092	F	314	31	345	0.00005
Acholeplasmataceae	2146	F	98	9	107	0.00002
Candidatus Izemoplasmataceae	2975520	F	37	2	39	0.00001
Metamycoplasmataceae	2895623	F	499	72	571	0.00009
Mycoplasmoidaceae	2790998	F	17	0	17	0.00000
Nostocaceae	1162	F	725	18	743	0.00011
Aphanizomenonaceae	1892259	F	56	20	76	0.00001
Hapalosiphonaceae	1892263	F	55	5	60	0.00001
Nodulariaceae	3079761	F	38	1	39	0.00001
Calotrichaceae	2661849	F	30	0	30	0.00000
Tolypothrichaceae	119859	F	21	0	21	0.00000
Chlorogloeopsidaceae	1892261	F	21	0	21	0.00000
Geminocystaceae	2815910	F	313	7	320	0.00005
Aphanothecaceae	1890450	F	57	0	57	0.00001
Microcystaceae	1890449	F	53	1	54	0.00001
Halothecacae	3079756	F	12	0	12	0.00000
Microcoleaceae	1892252	F	83	4	87	0.00001
Oscillatoriaceae	1892254	F	43	3	46	0.00001
Sirenicapillariaceae	2934961	F	16	0	16	0.00000
Synechococcaceae	1890426	F	139	7	146	0.00002
Prochlorococcaceae	2881426	F	114	5	119	0.00002
Leptolyngbyaceae	1890438	F	90	21	111	0.00002
Gloeobacteraceae	1890422	F	48	0	48	0.00001
Pseudanabaenaceae	1890436	F	31	0	31	0.00000
Pleurocapsaceae	1890500	F	19	0	19	0.00000
Chroococcidiopsidaceae	1890528	F	22	0	22	0.00000
Oculatellaceae	2303507	F	18	1	19	0.00000
Acaryochloridaceae	1890429	F	12	0	12	0.00000
Coleofasciculaceae	1892251	F	10	0	10	0.00000
Anaerolineaceae	292628	F	70	0	70	0.00001
Chloroflexaceae	1106	F	43	0	43	0.00001
Dehalococcoidaceae	1202464	F	23	0	23	0.00000
Candidatus Lucifugimonadaceae	3143248	F	15	0	15	0.00000
Candidatus Promineifilaceae	3085097	F	13	0	13	0.00000
Ktedonosporobacteraceae	2692416	F	12	0	12	0.00000
Tepidiformaceae	2682227	F	12	1	13	0.00000
Thermaceae	188786	F	441	1	442	0.00007
Deinococcaceae	183710	F	228	1	229	0.00004
Fervidobacteriaceae	1643950	F	54	13	67	0.00001
Thermotogaceae	188709	F	21	0	21	0.00000
Petrotogaceae	1643949	F	33	6	39	0.00001
Kosmotogaceae	1643948	F	10	0	10	0.00000
Synergistaceae	649777	F	28	6	34	0.00001
Aminobacteriaceae	3029087	F	12	0	12	0.00000
Fusobacteriaceae	203492	F	412	98	510	0.00008
Leptotrichiaceae	1129771	F	157	37	194	0.00003
