name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylocystaceae	31993	F	19	0	19	0.00000
Ancalomicrobiaceae	2172021	F	17	0	17	0.00000
Blastochloridaceae	2831090	F	17	0	17	0.00000
Cohaesibacteraceae	655351	F	16	0	16	0.00000
Hyphomicrobiaceae	45401	F	11	0	11	0.00000
Beijerinckiaceae	45404	F	10	0	10	0.00000
Paracoccaceae	31989	F	860	172	1032	0.00013
Roseobacteraceae	2854170	F	215	33	248	0.00003
Sphingomonadaceae	41297	F	287	24	311	0.00004
Erythrobacteraceae	335929	F	101	3	104	0.00001
Sphingobiaceae	3423717	F	77	32	109	0.00001
Sphingosinicellaceae	2820280	F	31	0	31	0.00000
Sphingopyxidaceae	3423718	F	31	4	35	0.00000
Sphingorhabdaceae	3423719	F	22	0	22	0.00000
Rhizorhabdaceae	3423714	F	10	3	13	0.00000
Azospirillaceae	2829815	F	237	10	247	0.00003
Rhodospirillaceae	41295	F	196	2	198	0.00003
Thalassospiraceae	2844866	F	17	1	18	0.00000
Caulobacteraceae	76892	F	199	785	984	0.00013
Acetobacteraceae	433	F	130	10	140	0.00002
Roseomonadaceae	3385906	F	52	4	56	0.00001
Candidatus Pelagibacteraceae	1655514	F	177	5	182	0.00002
Holosporaceae	44746	F	29	9	38	0.00000
Emcibacteraceae	2066491	F	25	0	25	0.00000
Sneathiellaceae	510685	F	22	0	22	0.00000
Candidatus Levibacteraceae	3457285	F	20	0	20	0.00000
Hyphomonadaceae	69657	F	13	1	14	0.00000
Temperatibacteraceae	1549128	F	10	0	10	0.00000
Geminicoccaceae	2066434	F	10	2	12	0.00000
Oxalobacteraceae	75682	F	1706	62	1768	0.00022
Burkholderiaceae	119060	F	1232	1000	2232	0.00028
Comamonadaceae	80864	F	610	371	981	0.00012
Sphaerotilaceae	2975441	F	237	23	260	0.00003
Alcaligenaceae	506	F	212	116	328	0.00004
Sutterellaceae	995019	F	13	0	13	0.00000
Neisseriaceae	481	F	1611	56	1667	0.00021
Chromobacteriaceae	1499392	F	57	5	62	0.00001
Chitinibacteraceae	2897177	F	48	9	57	0.00001
Aquaspirillaceae	2897176	F	11	0	11	0.00000
Sterolibacteriaceae	2008793	F	68	2	70	0.00001
Nitrosomonadaceae	206379	F	59	0	59	0.00001
Methylophilaceae	32011	F	48	1	49	0.00001
Zoogloeaceae	2008794	F	45	9	54	0.00001
Azonexaceae	2008795	F	42	0	42	0.00001
Rhodocyclaceae	75787	F	27	3	30	0.00000
Acidithiobacillaceae	225058	F	13	0	13	0.00000
Flavobacteriaceae	49546	F	4742	161	4903	0.00062
Weeksellaceae	2762318	F	1122	165	1287	0.00016
