name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Hominidae	9604	F	416881	1700420	2117301	0.59244
Cryptococcaceae	1884633	F	45234	106548	151782	0.04247
Trichosporonaceae	1759442	F	945	4777	5722	0.00160
Marasmiaceae	654128	F	714	581	1295	0.00036
Agrocybaceae	3710399	F	35	17	52	0.00001
Ceratobasidiaceae	5250	F	54	17	71	0.00002
Ustilaginaceae	5268	F	1715	8855	10570	0.00296
Malasseziaceae	742845	F	655	2082	2737	0.00077
Pucciniaceae	5262	F	1609	4577	6186	0.00173
Hypocreaceae	5129	F	715	3952	4667	0.00131
Nectriaceae	110618	F	592	2900	3492	0.00098
Clavicipitaceae	34397	F	203	152	355	0.00010
Ophiocordycipitaceae	474942	F	88	232	320	0.00009
Cordycipitaceae	474943	F	60	136	196	0.00005
Glomerellaceae	681950	F	542	1593	2135	0.00060
Chaetomiaceae	35718	F	699	765	1464	0.00041
Sordariaceae	5148	F	210	667	877	0.00025
Podosporaceae	2609812	F	109	142	251	0.00007
Pyriculariaceae	2528436	F	227	12	239	0.00007
Sclerotiniaceae	28983	F	162	1212	1374	0.00038
Mycosphaerellaceae	93133	F	5123	17276	22399	0.00627
Pleosporaceae	28556	F	98	1047	1145	0.00032
Didymellaceae	683158	F	33	149	182	0.00005
Aspergillaceae	1131492	F	3323	9160	12483	0.00349
Trichocomaceae	28568	F	62	228	290	0.00008
Onygenaceae	33184	F	142	1366	1508	0.00042
Debaryomycetaceae	766764	F	1104	6620	7724	0.00216
Metschnikowiaceae	27319	F	575	741	1316	0.00037
Pichiaceae	1156497	F	723	2945	3668	0.00103
Saccharomycetaceae	4893	F	2165	22768	24933	0.00698
Saccharomycodaceae	34365	F	121	1575	1696	0.00047
Trichomonascaceae	410830	F	21	136	157	0.00004
Schizosaccharomycetaceae	4894	F	264	1308	1572	0.00044
Nosematidae	27974	F	610	176	786	0.00022
Unikaryonidae	36734	F	161	0	161	0.00005
Glomeraceae	36751	F	650	985	1635	0.00046
Plasmodiidae	1639119	F	140223	284526	424749	0.11885
Babesiidae	32594	F	1556	2492	4048	0.00113
Theileriidae	27994	F	97	83	180	0.00005
Sarcocystidae	5809	F	7879	7168	15047	0.00421
Cryptosporidiidae	35082	F	99	108	207	0.00006
Thalassiosiraceae	29202	F	1579	52	1631	0.00046
Neidiaceae	432548	F	184	0	184	0.00005
Peronosporaceae	4777	F	175	5	180	0.00005
Hemiselmidaceae	589351	F	5547	3497	9044	0.00253
Dictyosteliaceae	2058185	F	5153	5611	10764	0.00301
Trypanosomatidae	5654	F	947	70	1017	0.00028
Trichomonadidae	181550	F	241	11	252	0.00007
Hexamitidae	5739	F	63	1	64	0.00002
Cyanidiaceae	265316	F	20	2	22	0.00001
Vibrionaceae	641	F	63173	36583	99756	0.02791
Lysobacteraceae	32033	F	39636	20342	59978	0.01678
Rhodanobacteraceae	1775411	F	187	23	210	0.00006
Marinicellaceae	3120710	F	22	0	22	0.00001
Enterobacteriaceae	543	F	5347	96429	101776	0.02848
Gallaecimonadaceae	3120698	F	1795	142	1937	0.00054
Erwiniaceae	1903409	F	1767	611	2378	0.00067
Morganellaceae	1903414	F	593	1256	1849	0.00052
Yersiniaceae	1903411	F	410	454	864	0.00024
Pectobacteriaceae	1903410	F	164	32	196	0.00005
Bruguierivoracaceae	2812006	F	37	0	37	0.00001
Hafniaceae	1903412	F	26	16	42	0.00001
Pseudomonadaceae	135621	F	3683	3786	7469	0.00209
Marinobacteraceae	2887365	F	3664	8	3672	0.00103
Pseudohongiellaceae	3085095	F	23	0	23	0.00001
Moraxellaceae	468	F	3563	729	4292	0.00120
Pseudoalteromonadaceae	267888	F	778	240	1018	0.00028
Alteromonadaceae	72275	F	337	35	372	0.00010
Shewanellaceae	267890	F	330	56	386	0.00011
Colwelliaceae	267889	F	131	30	161	0.00005
Idiomarinaceae	267893	F	75	22	97	0.00003
Psychromonadaceae	267894	F	44	4	48	0.00001
Moritellaceae	267891	F	25	6	31	0.00001
Ferrimonadaceae	267892	F	11	2	13	0.00000
Aeromonadaceae	84642	F	1680	2829	4509	0.00126
Oceanospirillaceae	135620	F	202	13	215	0.00006
Halomonadaceae	28256	F	181	17	198	0.00006
Hahellaceae	224379	F	121	1	122	0.00003
Alcanivoracaceae	224372	F	40	7	47	0.00001
Endozoicomonadaceae	2066474	F	37	0	37	0.00001
Pleioneaceae	2823145	F	37	0	37	0.00001
Zooshikellaceae	2898533	F	12	0	12	0.00000
Candidatus Pseudothioglobaceae	3399801	F	392	22	414	0.00012
Pasteurellaceae	712	F	392	1128	1520	0.00043
Piscirickettsiaceae	135616	F	95	8	103	0.00003
Francisellaceae	34064	F	48	1	49	0.00001
Legionellaceae	444	F	111	1	112	0.00003
Coxiellaceae	118968	F	29	0	29	0.00001
Microbulbiferaceae	1706373	F	69	1	70	0.00002
Cellvibrionaceae	1706371	F	47	1	48	0.00001
Halieaceae	1706372	F	16	4	20	0.00001
Chromatiaceae	1046	F	79	2	81	0.00002
Ectothiorhodospiraceae	72276	F	22	0	22	0.00001
Sedimenticolaceae	3067276	F	10	0	10	0.00000
Methylococcaceae	403	F	113	6	119	0.00003
Cardiobacteriaceae	868	F	55	8	63	0.00002
Orbaceae	1240483	F	54	19	73	0.00002
Nevskiaceae	568386	F	19	0	19	0.00001
Kangiellaceae	1920240	F	15	0	15	0.00000
Anaplasmataceae	942	F	21254	7317	28571	0.00799
Rickettsiaceae	775	F	373	0	373	0.00010
Candidatus Midichloriaceae	1328881	F	12	2	14	0.00000
Methylobacteriaceae	119045	F	10274	5985	16259	0.00455
Stappiaceae	2821832	F	2097	453	2550	0.00071
Brucellaceae	118882	F	1107	28	1135	0.00032
Rhizobiaceae	82115	F	705	78	783	0.00022
Nitrobacteraceae	41294	F	485	15	500	0.00014
Phyllobacteriaceae	69277	F	223	15	238	0.00007
Bartonellaceae	772	F	176	10	186	0.00005
Devosiaceae	2831106	F	131	0	131	0.00004
Alloboseaceae	2831100	F	128	5	133	0.00004
Aurantimonadaceae	255475	F	124	34	158	0.00004
Methylocystaceae	31993	F	44	0	44	0.00001
Xanthobacteraceae	335928	F	41	1	42	0.00001
Amorphaceae	2685818	F	31	0	31	0.00001
Reyranellaceae	2844375	F	27	0	27	0.00001
Blastochloridaceae	2831090	F	25	1	26	0.00001
Salinarimonadaceae	2137278	F	16	0	16	0.00000
Beijerinckiaceae	45404	F	12	0	12	0.00000
Hyphomicrobiaceae	45401	F	12	0	12	0.00000
Azospirillaceae	2829815	F	3635	178	3813	0.00107
Rhodospirillaceae	41295	F	123	2	125	0.00003
Rhodovibrionaceae	2844403	F	25	0	25	0.00001
Thalassospiraceae	2844866	F	22	0	22	0.00001
Thalassobaculaceae	2844864	F	19	3	22	0.00001
Allostellaceae	2844601	F	15	0	15	0.00000
Aestuariispiraceae	3466454	F	10	0	10	0.00000
Erythrobacteraceae	335929	F	929	22	951	0.00027
Sphingomonadaceae	41297	F	470	35	505	0.00014
Sphingobiaceae	3423717	F	105	43	148	0.00004
Sphingopyxidaceae	3423718	F	47	9	56	0.00002
Sphingosinicellaceae	2820280	F	23	2	25	0.00001
Rhizorhabdaceae	3423714	F	21	5	26	0.00001
Sphingorhabdaceae	3423719	F	20	0	20	0.00001
Paracoccaceae	31989	F	768	135	903	0.00025
Roseobacteraceae	2854170	F	294	249	543	0.00015
Acetobacteraceae	433	F	194	13	207	0.00006
Roseomonadaceae	3385906	F	81	4	85	0.00002
Acidocellaceae	3385905	F	30	0	30	0.00001
Micropepsaceae	1921568	F	265	0	265	0.00007
Caulobacteraceae	76892	F	224	124	348	0.00010
Candidatus Pelagibacteraceae	1655514	F	151	5	156	0.00004
Emcibacteraceae	2066491	F	131	2	133	0.00004
Sneathiellaceae	510685	F	35	0	35	0.00001
Holosporaceae	44746	F	15	4	19	0.00001
