name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Plasmodiidae	1639119	F	535624	1787027	2322651	0.18406
Babesiidae	32594	F	880	818	1698	0.00013
Theileriidae	27994	F	87	45	132	0.00001
Sarcocystidae	5809	F	19785	107181	126966	0.01006
Cryptosporidiidae	35082	F	182	268	450	0.00004
Thalassiosiraceae	29202	F	6386	283	6669	0.00053
Neidiaceae	432548	F	46	0	46	0.00000
Peronosporaceae	4777	F	529	28	557	0.00004
Hominidae	9604	F	559488	5164509	5723997	0.45359
Clavicipitaceae	34397	F	123610	63017	186627	0.01479
Nectriaceae	110618	F	1287	4362	5649	0.00045
Hypocreaceae	5129	F	1257	8603	9860	0.00078
Ophiocordycipitaceae	474942	F	388	577	965	0.00008
Cordycipitaceae	474943	F	38	67	105	0.00001
Glomerellaceae	681950	F	483	1853	2336	0.00019
Sordariaceae	5148	F	2279	3548	5827	0.00046
Chaetomiaceae	35718	F	175	191	366	0.00003
Podosporaceae	2609812	F	96	97	193	0.00002
Pyriculariaceae	2528436	F	64	4	68	0.00001
Sclerotiniaceae	28983	F	70	1021	1091	0.00009
Aspergillaceae	1131492	F	588	2597	3185	0.00025
Trichocomaceae	28568	F	61	304	365	0.00003
Onygenaceae	33184	F	319	3339	3658	0.00029
Mycosphaerellaceae	93133	F	645	699	1344	0.00011
Didymellaceae	683158	F	86	100	186	0.00001
Pleosporaceae	28556	F	44	161	205	0.00002
Metschnikowiaceae	27319	F	1295	3228	4523	0.00036
Debaryomycetaceae	766764	F	478	4656	5134	0.00041
Pichiaceae	1156497	F	852	3120	3972	0.00031
Saccharomycetaceae	4893	F	1981	27475	29456	0.00233
Saccharomycodaceae	34365	F	36	669	705	0.00006
Trichomonascaceae	410830	F	12	114	126	0.00001
Schizosaccharomycetaceae	4894	F	113	169	282	0.00002
Cryptococcaceae	1884633	F	105156	428463	533619	0.04229
Trichosporonaceae	1759442	F	94	1001	1095	0.00009
