"DEG_family","gene_id","Description","gene_biotype","eggNOG_Description","eggNOG_name","GOs","KEGG_ko","KEGG_Pathway","PFAMs","annotation_text","base_physiology_theme","phase_related","phase_reference_source","physiology_theme"
"Infection within diets","LOC126266828","senecionine N-oxygenase-like","protein_coding","Pyridine nucleotide-disulphide oxidoreductase","","GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0008150,GO:0008152,GO:0016491,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0055114","ko:K00485","ko00982,ko01120,map00982,map01120","FMO-like","senecionine N-oxygenase-like | Pyridine nucleotide-disulphide oxidoreductase | | FMO-like | ko00982,ko01120,map00982,map01120","Detoxification / stress",FALSE,"Not phase-related","Detoxification / stress"
"Infection within diets","LOC126266832","protein jagged-1b","protein_coding","Notch ligand involved in the mediation of Notch signaling","Ser","GO:0000278,GO:0001654,GO:0001745,GO:0002009,GO:0002164,GO:0002165,GO:0002168,GO:0002376,GO:0002520,GO:0002682,GO:0002683,GO:0003002,GO:0003674,GO:0005102,GO:0005112,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0007049,GO:0007154,GO:0007165,GO:0007166,GO:0007219,GO:0007267,GO:0007275,GO:0007389,GO:0007399,GO:0007423,GO:0007431,GO:0007435,GO:0007436,GO:0007444,GO:0007447,GO:0007450,GO:0007451,GO:0007472,GO:0007476,GO:0007478,GO:0007480,GO:0007552,GO:0007560,GO:0008150,GO:0008283,GO:0008593,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009953,GO:0009966,GO:0009968,GO:0009986,GO:0009987,GO:0010646,GO:0010648,GO:0014009,GO:0016020,GO:0016021,GO:0016324,GO:0016330,GO:0019827,GO:0022008,GO:0022612,GO:0023051,GO:0023052,GO:0023057,GO:0030097,GO:0030154,GO:0030424,GO:0030673,GO:0030718,GO:0031224,GO:0031252,GO:0031253,GO:0031256,GO:0032501,GO:0032502,GO:0032589,GO:0033267,GO:0035017,GO:0035107,GO:0035114,GO:0035120,GO:0035161,GO:0035166,GO:0035167,GO:0035168,GO:0035170,GO:0035203,GO:0035204,GO:0035214,GO:0035218,GO:0035220,GO:0035239,GO:0035272,GO:0035282,GO:0035285,GO:0035295,GO:0036011,GO:0042063,GO:0042335,GO:0042386,GO:0042688,GO:0042689,GO:0042995,GO:0043005,GO:0044304,GO:0044425,GO:0044459,GO:0044463,GO:0044464,GO:0045165,GO:0045168,GO:0045177,GO:0045595,GO:0045596,GO:0045610,GO:0045611,GO:0045613,GO:0045614,GO:0045746,GO:0046331,GO:0048513,GO:0048519,GO:0048523,GO:0048534,GO:0048542,GO:0048563,GO:0048569,GO:0048580,GO:0048581,GO:0048583,GO:0048585,GO:0048592,GO:0048707,GO:0048729,GO:0048731,GO:0048732,GO:0048736,GO:0048737,GO:0048749,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051239,GO:0051241,GO:0051716,GO:0060429,GO:0060562,GO:0065007,GO:0071944,GO:0090596,GO:0097458,GO:0098590,GO:0098727,GO:0120025,GO:0120038,GO:1903706,GO:1903707,GO:2000026","ko:K06052","ko01522,ko04330,ko04371,ko04658,ko04668,ko05165,ko05200,ko05224,map01522,map04330,map04371,map04658,map04668,map05165,map05200,map05224","DSL,EGF,EGF_2,EGF_CA,MNNL,hEGF","protein jagged-1b | Notch ligand involved in the mediation of Notch signaling | Ser | DSL,EGF,EGF_2,EGF_CA,MNNL,hEGF | ko01522,ko04330,ko04371,ko04658,ko04668,ko05165,ko05200,ko05224,map01522,map04330,map04371,map04658,map04668,map05165,map05200,map05224","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266835","uncharacterized LOC126266835","protein_coding","","","","","","","uncharacterized LOC126266835 | | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266840","alpha-aminoadipic semialdehyde dehydrogenase-like","protein_coding","Aldehyde dehydrogenase family","","","ko:K14085","ko00010,ko00053,ko00071,ko00260,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00260,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map01100,map01110,map01120,map01130","Aldedh","alpha-aminoadipic semialdehyde dehydrogenase-like | Aldehyde dehydrogenase family | | Aldedh | ko00010,ko00053,ko00071,ko00260,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00260,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map01100,map01110,map01120,map01130","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266862","UNC93-like protein","protein_coding","Ion channel regulatory protein UNC-93","","","","","","UNC93-like protein | Ion channel regulatory protein UNC-93 | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266909","ubiquitin-related modifier 1","protein_coding",NA,NA,NA,NA,NA,NA,"ubiquitin-related modifier 1 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266913","serine/arginine repetitive matrix protein 1-like","protein_coding","","","","","","","serine/arginine repetitive matrix protein 1-like | | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266938","uncharacterized LOC126266938","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126266938 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266957","uncharacterized LOC126266957","protein_coding","","","","","","","uncharacterized LOC126266957 | | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126266982","acidic mammalian chitinase-like","protein_coding","It is involved in the biological process described with carbohydrate metabolic process","","","","","","acidic mammalian chitinase-like | It is involved in the biological process described with carbohydrate metabolic process | | |","Other / unannotated genes",FALSE,"Head phase DEG","Other / unannotated genes"
