"DEG_family","gene_id","Description","gene_biotype","eggNOG_Description","eggNOG_name","GOs","KEGG_ko","KEGG_Pathway","PFAMs","annotation_text","base_physiology_theme","phase_related","phase_reference_source","physiology_theme"
"Infection within diets","LOC126284367","protease inhibitors-like","protein_coding","Pacifastin inhibitor (LCMII)","","","","","Pacifastin_I","protease inhibitors-like | Pacifastin inhibitor (LCMII) | | Pacifastin_I |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284371","tyramine receptor tyra-2","protein_coding","7 transmembrane receptor (rhodopsin family)","","","ko:K04162","ko04020,ko04024,ko04080,ko04726,map04020,map04024,map04080,map04726","7tm_1","tyramine receptor tyra-2 | 7 transmembrane receptor (rhodopsin family) | | 7tm_1 | ko04020,ko04024,ko04080,ko04726,map04020,map04024,map04080,map04726","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284375","ankyrin repeat and SOCS box protein 14-like","protein_coding","SOCS_box","","","","","Ank,Ank_2,SOCS_box","ankyrin repeat and SOCS box protein 14-like | SOCS_box | | Ank,Ank_2,SOCS_box |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284383","uncharacterized LOC126284383","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126284383 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Thorax phase DEG","Other / unannotated genes"
"Infection within diets","LOC126284452","UDP-glucosyltransferase 2-like","protein_coding","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","","","","","","UDP-glucosyltransferase 2-like | transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284462","peptidoglycan-recognition protein LC-like","protein_coding","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","","","","","","peptidoglycan-recognition protein LC-like | N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process | | |","Immune-related",FALSE,"Not phase-related","Immune-related"
"Infection within diets","LOC126284491","endocuticle structural glycoprotein ABD-4-like","protein_coding","Insect cuticle protein","","GO:0003674,GO:0005198,GO:0005214,GO:0005575,GO:0005576,GO:0007275,GO:0008010,GO:0008150,GO:0031012,GO:0032501,GO:0032502,GO:0040003,GO:0042302,GO:0042335,GO:0044421,GO:0048856","","","Chitin_bind_4","endocuticle structural glycoprotein ABD-4-like | Insect cuticle protein | | Chitin_bind_4 |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284507","zinc finger protein 596-like","protein_coding",NA,NA,NA,NA,NA,NA,"zinc finger protein 596-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284548","spermine synthase-like","protein_coding","Spermine synthase activity. It is involved in the biological process described with spermine biosynthetic process","","GO:0003674,GO:0003824,GO:0006576,GO:0006595,GO:0006596,GO:0006597,GO:0006807,GO:0008150,GO:0008152,GO:0008215,GO:0009058,GO:0009308,GO:0009309,GO:0009987,GO:0016740,GO:0016765,GO:0016768,GO:0017144,GO:0034641,GO:0042401,GO:0044106,GO:0044237,GO:0044249,GO:0044271,GO:0071704,GO:0097164,GO:1901564,GO:1901566,GO:1901576","ko:K00802","ko00270,ko00330,ko00410,ko00480,ko01100,map00270,map00330,map00410,map00480,map01100","Spermine_synt_N,Spermine_synth","spermine synthase-like | Spermine synthase activity. It is involved in the biological process described with spermine biosynthetic process | | Spermine_synt_N,Spermine_synth | ko00270,ko00330,ko00410,ko00480,ko01100,map00270,map00330,map00410,map00480,map01100","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284556","uncharacterized LOC126284556","lncRNA",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126284556 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284566","sodium-coupled monocarboxylate transporter 1-like","protein_coding","Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family","","","","","SSF","sodium-coupled monocarboxylate transporter 1-like | Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family | | SSF |","Other / unannotated genes",FALSE,"Head phase DEG","Other / unannotated genes"
"Infection within diets","LOC126284577","endocuticle structural glycoprotein ABD-4-like","protein_coding","Insect cuticle protein","","GO:0003674,GO:0005198,GO:0005214,GO:0005575,GO:0005576,GO:0007275,GO:0008010,GO:0008150,GO:0031012,GO:0032501,GO:0032502,GO:0040003,GO:0042302,GO:0042335,GO:0044421,GO:0048856","","","Chitin_bind_4","endocuticle structural glycoprotein ABD-4-like | Insect cuticle protein | | Chitin_bind_4 |","Other / unannotated genes",TRUE,"Head + thorax phase DEG","Phase-related changes"
"Infection within diets","LOC126284626","uncharacterized LOC126284626","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126284626 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Thorax phase DEG","Other / unannotated genes"
"Infection within diets","LOC126284629","uncharacterized LOC126284629","protein_coding","Single domain von Willebrand factor type C","","GO:0005575,GO:0005576,GO:0005615,GO:0044421","","","SVWC","uncharacterized LOC126284629 | Single domain von Willebrand factor type C | | SVWC |","Other / unannotated genes",FALSE,"Thorax phase DEG","Other / unannotated genes"
"Infection within diets","LOC126284639","protein lethal(2)essential for life-like","protein_coding","Belongs to the small heat shock protein (HSP20) family","","","","","","protein lethal(2)essential for life-like | Belongs to the small heat shock protein (HSP20) family | | |","Detoxification / stress",TRUE,"Head + thorax phase DEG","Detoxification / stress"
"Infection within diets","LOC126284640","uncharacterized LOC126284640","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126284640 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Head phase DEG","Other / unannotated genes"
"Infection within diets","LOC126284651","PI-PLC X domain-containing protein 1-like","protein_coding","Phosphoric diester hydrolase activity. It is involved in the biological process described with lipid metabolic process","","","","","PI-PLC-X","PI-PLC X domain-containing protein 1-like | Phosphoric diester hydrolase activity. It is involved in the biological process described with lipid metabolic process | | PI-PLC-X |","Lipid synthesis / metabolism",FALSE,"Thorax phase DEG","Lipid synthesis / metabolism"
"Infection within diets","LOC126284686","uncharacterized LOC126284686","protein_coding","Phospholipase A2","","","ko:K01047","ko00564,ko00565,ko00590,ko00591,ko00592,ko01100,ko01110,ko04014,ko04270,ko04972,ko04975,map00564,map00565,map00590,map00591,map00592,map01100,map01110,map04014,map04270,map04972,map04975","Phospholip_A2_2","uncharacterized LOC126284686 | Phospholipase A2 | | Phospholip_A2_2 | ko00564,ko00565,ko00590,ko00591,ko00592,ko01100,ko01110,ko04014,ko04270,ko04972,ko04975,map00564,map00565,map00590,map00591,map00592,map01100,map01110,map04014,map04270,map04972,map04975","Lipid synthesis / metabolism",FALSE,"Thorax phase DEG","Lipid synthesis / metabolism"
"Infection within diets","LOC126284752","cuticle protein 16.5-like","protein_coding",NA,NA,NA,NA,NA,NA,"cuticle protein 16.5-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Thorax phase DEG","Other / unannotated genes"
"Infection within diets","LOC126284768","uncharacterized LOC126284768","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126284768 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284771","U-scoloptoxin(16)-Er12a-like","protein_coding",NA,NA,NA,NA,NA,NA,"U-scoloptoxin(16)-Er12a-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284778","EF-hand calcium-binding domain-containing protein 4B-like","protein_coding","","","","ko:K17199","","","EF-hand calcium-binding domain-containing protein 4B-like | | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284786","trypsin-2-like","protein_coding","Belongs to the peptidase S1 family","","","","","","trypsin-2-like | Belongs to the peptidase S1 family | | |","Other / unannotated genes",FALSE,"Head phase DEG","Other / unannotated genes"
"Infection within diets","LOC126284801","protein lethal(2)essential for life-like","protein_coding","Belongs to the small heat shock protein (HSP20) family","","","","","","protein lethal(2)essential for life-like | Belongs to the small heat shock protein (HSP20) family | | |","Detoxification / stress",FALSE,"Head phase DEG","Detoxification / stress"
"Infection within diets","LOC126284811","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Belongs to the GMC oxidoreductase family","","","ko:K00115","ko00030,ko01100,ko01110,ko01130,map00030,map01100,map01110,map01130","GMC_oxred_C,GMC_oxred_N","glucose dehydrogenase [FAD, quinone]-like | Belongs to the GMC oxidoreductase family | | GMC_oxred_C,GMC_oxred_N | ko00030,ko01100,ko01110,ko01130,map00030,map01100,map01110,map01130","Detoxification / stress",FALSE,"Not phase-related","Detoxification / stress"
"Infection within diets","LOC126284812","glucose dehydrogenase [FAD, quinone]-like","protein_coding","Belongs to the GMC oxidoreductase family","","","ko:K00115","ko00030,ko01100,ko01110,ko01130,map00030,map01100,map01110,map01130","GMC_oxred_C,GMC_oxred_N","glucose dehydrogenase [FAD, quinone]-like | Belongs to the GMC oxidoreductase family | | GMC_oxred_C,GMC_oxred_N | ko00030,ko01100,ko01110,ko01130,map00030,map01100,map01110,map01130","Detoxification / stress",FALSE,"Not phase-related","Detoxification / stress"
"Infection within diets","LOC126284817","protein lethal(2)essential for life-like","protein_coding","Belongs to the small heat shock protein (HSP20) family","","","","","","protein lethal(2)essential for life-like | Belongs to the small heat shock protein (HSP20) family | | |","Detoxification / stress",TRUE,"Head + thorax phase DEG","Detoxification / stress"
"Infection within diets","LOC126284821","protein yellow-like","protein_coding","Major royal jelly protein","Y-b","GO:0006582,GO:0006725,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0018958,GO:0019438,GO:0019748,GO:0032501,GO:0032502,GO:0042335,GO:0042438,GO:0042440,GO:0043473,GO:0044237,GO:0044249,GO:0044550,GO:0046148,GO:0046189,GO:0048066,GO:0048067,GO:0048856,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617","","","MRJP","protein yellow-like | Major royal jelly protein | Y-b | MRJP |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284857","UDP-glycosyltransferase UGT5-like","protein_coding","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","","","","","","UDP-glycosyltransferase UGT5-like | transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284880","choline/ethanolamine kinase","protein_coding","Choline ethanolamine kinase","","","ko:K14156","ko00564,ko01100,ko05231,map00564,map01100,map05231","Choline_kinase","choline/ethanolamine kinase | Choline ethanolamine kinase | | Choline_kinase | ko00564,ko01100,ko05231,map00564,map01100,map05231","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284898","fructose-bisphosphate aldolase-like","protein_coding","Fructose-bisphosphate aldolase activity. It is involved in the biological process described with glycolytic process","","","ko:K01623","ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230","Glycolytic","fructose-bisphosphate aldolase-like | Fructose-bisphosphate aldolase activity. It is involved in the biological process described with glycolytic process | | Glycolytic | ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230","Other / unannotated genes",TRUE,"Head + thorax phase DEG","Phase-related changes"
"Infection within diets","LOC126284901","cytochrome P450 6j1-like","protein_coding",NA,NA,NA,NA,NA,NA,"cytochrome P450 6j1-like | NA | NA | NA | NA","Detoxification / stress",FALSE,"Not phase-related","Detoxification / stress"
"Infection within diets","LOC126284902","cytochrome P450 6j1-like","protein_coding",NA,NA,NA,NA,NA,NA,"cytochrome P450 6j1-like | NA | NA | NA | NA","Detoxification / stress",FALSE,"Not phase-related","Detoxification / stress"
"Infection within diets","LOC126284908","phospholipase A2 inhibitor-like","protein_coding","Leucine rich repeat","","","","","LRR_6,LRR_8","phospholipase A2 inhibitor-like | Leucine rich repeat | | LRR_6,LRR_8 |","Lipid synthesis / metabolism",FALSE,"Thorax phase DEG","Lipid synthesis / metabolism"
"Infection within diets","LOC126284914","uncharacterized LOC126284914","lncRNA",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126284914 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126284936","uncharacterized LOC126284936","lncRNA",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126284936 | NA | NA | NA | NA","Other / unannotated genes",TRUE,"Head + thorax phase DEG","Phase-related changes"
"Infection within diets","LOC126284941","lithostathine-1-like","protein_coding","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","","GO:0003674,GO:0005488,GO:0006950,GO:0008150,GO:0009611,GO:0009888,GO:0030246,GO:0031099,GO:0032502,GO:0040007,GO:0042060,GO:0042246,GO:0048589,GO:0048856,GO:0050896","","","Lectin_C","lithostathine-1-like | C-type lectin (CTL) or carbohydrate-recognition domain (CRD) | | Lectin_C |","Immune-related",FALSE,"Not phase-related","Immune-related"
"Infection within diets","LOC126284942","protein lethal(2)essential for life-like","protein_coding","Hsp20/alpha crystallin family","","","","","","protein lethal(2)essential for life-like | Hsp20/alpha crystallin family | | |","Other / unannotated genes",FALSE,"Head phase DEG","Other / unannotated genes"
"Infection within diets","LOC126285032","uncharacterized LOC126285032","protein_coding","","","","","","","uncharacterized LOC126285032 | | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126285233","multiple epidermal growth factor-like domains protein 10","protein_coding",NA,NA,NA,NA,NA,NA,"multiple epidermal growth factor-like domains protein 10 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Thorax phase DEG","Other / unannotated genes"
"Infection within diets","LOC126285253","uncharacterized LOC126285253","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126285253 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126285254","uncharacterized LOC126285254","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126285254 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126285297","synaptotagmin-5-like","protein_coding","C2 domain","","","ko:K15290,ko:K19910","ko04721,map04721","C2","synaptotagmin-5-like | C2 domain | | C2 | ko04721,map04721","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126285310","UDP-glycosyltransferase UGT5-like","protein_coding","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","","","","","","UDP-glycosyltransferase UGT5-like | transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process | | |","Other / unannotated genes",FALSE,"Head phase DEG","Other / unannotated genes"
"Infection within diets","LOC126285340","nascent polypeptide-associated complex subunit alpha, muscle-specific form-like","protein_coding","ankyrin repeats","","","ko:K09258","ko04668,map04668","Ank_2,Ank_4","nascent polypeptide-associated complex subunit alpha, muscle-specific form-like | ankyrin repeats | | Ank_2,Ank_4 | ko04668,map04668","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126285413","protein I'm not dead yet-like","protein_coding","transporter activity. It is involved in the biological process described with sodium ion transport","","GO:0003674,GO:0005215,GO:0005310,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006835,GO:0006842,GO:0006848,GO:0006855,GO:0007275,GO:0007568,GO:0008028,GO:0008150,GO:0008340,GO:0008509,GO:0008514,GO:0010259,GO:0010883,GO:0010889,GO:0015075,GO:0015137,GO:0015141,GO:0015142,GO:0015238,GO:0015318,GO:0015556,GO:0015711,GO:0015718,GO:0015740,GO:0015744,GO:0015746,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0032501,GO:0032502,GO:0032879,GO:0034220,GO:0035674,GO:0042221,GO:0042493,GO:0042891,GO:0042895,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0048856,GO:0050789,GO:0050833,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0065007,GO:0065008,GO:0071422,GO:0071702,GO:0071944,GO:0098656,GO:1901475,GO:1903825,GO:1905039,GO:1905952","ko:K14445","","Na_sulph_symp","protein I'm not dead yet-like | transporter activity. It is involved in the biological process described with sodium ion transport | | Na_sulph_symp |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126285457","putative fatty acyl-CoA reductase CG5065","protein_coding","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","","","ko:K13356","ko00073,ko04146,ko04212,map00073,map04146,map04212","NAD_binding_4,Sterile","putative fatty acyl-CoA reductase CG5065 | Catalyzes the reduction of fatty acyl-CoA to fatty alcohols | | NAD_binding_4,Sterile | ko00073,ko04146,ko04212,map00073,map04146,map04212","Lipid synthesis / metabolism",FALSE,"Not phase-related","Lipid synthesis / metabolism"
"Infection within diets","LOC126285462","peptidoglycan-recognition protein SB1-like","protein_coding","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","","GO:0000270,GO:0002218,GO:0002221,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0002757,GO:0002758,GO:0002764,GO:0003674,GO:0005488,GO:0005515,GO:0005539,GO:0005575,GO:0005576,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008329,GO:0008340,GO:0009056,GO:0009057,GO:0009253,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0010259,GO:0016019,GO:0023052,GO:0030203,GO:0031347,GO:0031349,GO:0032501,GO:0032502,GO:0038023,GO:0038187,GO:0042742,GO:0042834,GO:0043170,GO:0043207,GO:0045087,GO:0045088,GO:0045089,GO:0048518,GO:0048583,GO:0048584,GO:0048856,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050830,GO:0050896,GO:0051704,GO:0051707,GO:0051716,GO:0060089,GO:0061057,GO:0065007,GO:0071704,GO:0080134,GO:0097367,GO:0098542,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575","ko:K01446","","Amidase_2","peptidoglycan-recognition protein SB1-like | Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme. | | Amidase_2 |","Antimicrobial peptides",FALSE,"Not phase-related","Antimicrobial peptides"
"Infection within diets","LOC126291424","D-erythrulose reductase-like","protein_coding",NA,NA,NA,NA,NA,NA,"D-erythrulose reductase-like | NA | NA | NA | NA","Other / unannotated genes",TRUE,"Head + thorax phase DEG","Phase-related changes"
"Infection within diets","LOC126291582","sortilin-related receptor-like","protein_coding","VPS10","","","","","Ldl_recept_a,Ldl_recept_b,Sortilin-Vps10,Sortilin_C,fn3","sortilin-related receptor-like | VPS10 | | Ldl_recept_a,Ldl_recept_b,Sortilin-Vps10,Sortilin_C,fn3 |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291591","UTP--glucose-1-phosphate uridylyltransferase-like","protein_coding","UTP glucose-1-phosphate uridylyltransferase activity. It is involved in the biological process described with UDP-glucose metabolic process","UGP","GO:0003674,GO:0003824,GO:0003983,GO:0005975,GO:0005976,GO:0005977,GO:0006011,GO:0006073,GO:0006091,GO:0006112,GO:0006139,GO:0006725,GO:0006793,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009225,GO:0009628,GO:0009987,GO:0015980,GO:0016740,GO:0016772,GO:0016779,GO:0034641,GO:0036296,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044260,GO:0044262,GO:0044264,GO:0044281,GO:0046483,GO:0050896,GO:0051748,GO:0055086,GO:0055093,GO:0055114,GO:0070482,GO:0070569,GO:0071704,GO:1901135,GO:1901360","ko:K00963","ko00040,ko00052,ko00500,ko00520,ko01100,ko01130,map00040,map00052,map00500,map00520,map01100,map01130","UDPGP","UTP--glucose-1-phosphate uridylyltransferase-like | UTP glucose-1-phosphate uridylyltransferase activity. It is involved in the biological process described with UDP-glucose metabolic process | UGP | UDPGP | ko00040,ko00052,ko00500,ko00520,ko01100,ko01130,map00040,map00052,map00500,map00520,map01100,map01130","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291743","UDP-glucosyltransferase 2-like","protein_coding",NA,NA,NA,NA,NA,NA,"UDP-glucosyltransferase 2-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291785","insulin receptor-related protein-like","protein_coding","It is involved in the biological process described with","","","","","","insulin receptor-related protein-like | It is involved in the biological process described with | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291795","luciferin sulfotransferase-like","protein_coding","Sulfotransferase domain","","","","","","luciferin sulfotransferase-like | Sulfotransferase domain | | |","Other / unannotated genes",FALSE,"Head phase DEG","Other / unannotated genes"
"Infection within diets","LOC126291805","15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like","protein_coding","Belongs to the short-chain dehydrogenases reductases (SDR) family","","","ko:K00069","ko05202,map05202","adh_short","15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like | Belongs to the short-chain dehydrogenases reductases (SDR) family | | adh_short | ko05202,map05202","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291810","UDP-glucosyltransferase 2-like","protein_coding",NA,NA,NA,NA,NA,NA,"UDP-glucosyltransferase 2-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291811","UDP-glucosyltransferase 2-like","protein_coding",NA,NA,NA,NA,NA,NA,"UDP-glucosyltransferase 2-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291885","ankyrin repeat domain-containing protein 65-like","protein_coding",NA,NA,NA,NA,NA,NA,"ankyrin repeat domain-containing protein 65-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291886","ankyrin-1-like","protein_coding",NA,NA,NA,NA,NA,NA,"ankyrin-1-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291901","proteoglycan 4","protein_coding","","","","","","","proteoglycan 4 | | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291919","uncharacterized LOC126291919","protein_coding","Glycosyl hydrolase family 9","","","","","","uncharacterized LOC126291919 | Glycosyl hydrolase family 9 | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291948","gamma-interferon-inducible lysosomal thiol reductase-like","protein_coding",NA,NA,NA,NA,NA,NA,"gamma-interferon-inducible lysosomal thiol reductase-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291949","cuticle protein 6.4-like","protein_coding",NA,NA,NA,NA,NA,NA,"cuticle protein 6.4-like | NA | NA | NA | NA","Other / unannotated genes",TRUE,"Head + thorax phase DEG","Phase-related changes"
"Infection within diets","LOC126291954","cuticle protein 6.4-like","protein_coding",NA,NA,NA,NA,NA,NA,"cuticle protein 6.4-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126291956","cuticle protein 6.4-like","protein_coding",NA,NA,NA,NA,NA,NA,"cuticle protein 6.4-like | NA | NA | NA | NA","Other / unannotated genes",TRUE,"Head + thorax phase DEG","Phase-related changes"
"Infection within diets","LOC126291976","uncharacterized LOC126291976","protein_coding","Glycosyl hydrolase family 9","","","","","","uncharacterized LOC126291976 | Glycosyl hydrolase family 9 | | |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126292011","XK-related protein 7-like","protein_coding","XK-related protein","","","","","XK-related","XK-related protein 7-like | XK-related protein | | XK-related |","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126292020","open rectifier potassium channel protein 1","protein_coding","Belongs to the two pore domain potassium channel (TC 1.A.1.8) family","","GO:0002027,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005267,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0007610,GO:0007622,GO:0007623,GO:0007626,GO:0008016,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015267,GO:0015318,GO:0015672,GO:0016020,GO:0016021,GO:0022803,GO:0022838,GO:0022840,GO:0022841,GO:0022842,GO:0022857,GO:0022890,GO:0030001,GO:0030322,GO:0031224,GO:0031226,GO:0032991,GO:0034220,GO:0034702,GO:0034703,GO:0034705,GO:0042391,GO:0042802,GO:0042803,GO:0044057,GO:0044425,GO:0044459,GO:0044464,GO:0045475,GO:0046873,GO:0046983,GO:0048511,GO:0048512,GO:0050789,GO:0051179,GO:0051234,GO:0051239,GO:0055085,GO:0065007,GO:0065008,GO:0071804,GO:0071805,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:1902495,GO:1903522,GO:1990351","ko:K04920","ko04971,map04971","Ion_trans_2","open rectifier potassium channel protein 1 | Belongs to the two pore domain potassium channel (TC 1.A.1.8) family | | Ion_trans_2 | ko04971,map04971","Other / unannotated genes",FALSE,"Head phase DEG","Other / unannotated genes"
"Infection within diets","LOC126292039","uncharacterized LOC126292039","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126292039 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126292043","uncharacterized LOC126292043","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126292043 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126292044","uncharacterized LOC126292044","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126292044 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126292045","uncharacterized LOC126292045","protein_coding",NA,NA,NA,NA,NA,NA,"uncharacterized LOC126292045 | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
"Infection within diets","LOC126292108","1,5-anhydro-D-fructose reductase-like","protein_coding","Aldo/keto reductase family","","","","","","1,5-anhydro-D-fructose reductase-like | Aldo/keto reductase family | | |","Other / unannotated genes",TRUE,"Head + thorax phase DEG","Phase-related changes"
"Infection within diets","LOC126292134","C-type mannose receptor 2-like","protein_coding",NA,NA,NA,NA,NA,NA,"C-type mannose receptor 2-like | NA | NA | NA | NA","Other / unannotated genes",FALSE,"Not phase-related","Other / unannotated genes"
