"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mapping_branch","contrast_id","contrast_family","numerator","denominator","higher_in","significant","analysis_scope","direction","seqid","description","gene_biotype","sequence_class","assigned_molecule","location_type","Description","Preferred_name","PFAMs","annotation_text","physiology_theme","diet"
"LOC126267217",40.2298341145421,3.83034865795181,0.981397661005431,3.90295270729264,9.50262756513602e-05,0.00225358140751132,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Infected diet 33",TRUE,"All scaffolds","Higher in infected",NA,NA,NA,NA,NA,NA,"Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","PGRPLA","Amidase_2","PGRPLA | Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme. | GO:0000270,GO:0002376,GO:0003674,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009253,GO:0009605,GO:0009607,GO:0009617,GO:0016020,GO:0016021,GO:0030203,GO:0031224,GO:0031226,GO:0042834,GO:0043170,GO:0043207,GO:0044425,GO:0044459,GO:0044464,GO:0045087,GO:0050896,GO:0051704,GO:0051707,GO:0071704,GO:0071944,GO:0097367,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575 | ko:K01446 | - | Amidase_2","Immune pathway","33"
"LOC126267253",1144.63201292568,-1.53194003627057,0.520721352056494,-2.94195740240045,0.00326144787489443,0.0296857724296451,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Control diet 33",TRUE,"All scaffolds","Higher in control",NA,NA,NA,NA,NA,NA,"Belongs to the heat shock protein 70 family","Hsc70-3","ALAD,HSP70","Hsc70-3 | Belongs to the heat shock protein 70 family | GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006950,GO:0008150,GO:0009892,GO:0009987,GO:0010468,GO:0010605,GO:0010608,GO:0010629,GO:0012505,GO:0016246,GO:0016441,GO:0016458,GO:0019222,GO:0030431,GO:0031047,GO:0032501,GO:0033554,GO:0034976,GO:0035194,GO:0036335,GO:0040029,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0048519,GO:0048872,GO:0050789,GO:0050896,GO:0051716,GO:0060255,GO:0065007,GO:0065008 | ko:K09490 | ko03060,ko04141,ko04918,ko05020,map03060,map04141,map04918,map05020 | ALAD,HSP70","Detoxification","33"
"LOC126267343",973.233952233468,1.45558088371343,0.317559527379905,4.58364734235192,4.56934636938735e-06,0.000185489818306278,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Infected diet 33",TRUE,"All scaffolds","Higher in infected",NA,NA,NA,NA,NA,NA,"N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","-","Amidase_2","- | N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process | GO:0000270,GO:0001932,GO:0001933,GO:0002376,GO:0003674,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008340,GO:0009056,GO:0009057,GO:0009253,GO:0009605,GO:0009607,GO:0009617,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010259,GO:0010563,GO:0010605,GO:0010646,GO:0010648,GO:0016020,GO:0016021,GO:0019220,GO:0019222,GO:0019730,GO:0019731,GO:0023051,GO:0023052,GO:0023057,GO:0030203,GO:0031224,GO:0031226,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032872,GO:0032873,GO:0042325,GO:0042326,GO:0042742,GO:0042834,GO:0043170,GO:0043207,GO:0043408,GO:0043409,GO:0044425,GO:0044459,GO:0044464,GO:0045936,GO:0046328,GO:0046329,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051174,GO:0051246,GO:0051248,GO:0051704,GO:0051707,GO:0051716,GO:0060255,GO:0061057,GO:0065007,GO:0070302,GO:0070303,GO:0071704,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0097367,GO:0098542,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575,GO:1902531,GO:1902532 | ko:K01446 | - | Amidase_2","Immune pathway","33"
"LOC126267652",88.7589795023748,2.38084834876757,0.437589573456035,5.44082513201556,5.30343528155366e-08,3.73422856793643e-06,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Infected diet 33",TRUE,"All scaffolds","Higher in infected",NA,NA,NA,NA,NA,NA,"N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","PGRPLA","Amidase_2","PGRPLA | N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process | GO:0000270,GO:0002376,GO:0003674,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009253,GO:0009605,GO:0009607,GO:0009617,GO:0016020,GO:0016021,GO:0030203,GO:0031224,GO:0031226,GO:0042834,GO:0043170,GO:0043207,GO:0044425,GO:0044459,GO:0044464,GO:0045087,GO:0050896,GO:0051704,GO:0051707,GO:0071704,GO:0071944,GO:0097367,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575 | ko:K01446 | - | Amidase_2","Immune pathway","33"
"LOC126267980",51.7000978807208,4.456816056549,0.747022488123386,5.96610694779092,2.42981055529828e-09,2.22215950381962e-07,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Infected diet 33",TRUE,"All scaffolds","Higher in infected",NA,NA,NA,NA,NA,NA,"Belongs to the fatty acid desaturase type 1 family","-","FA_desaturase","- | Belongs to the fatty acid desaturase type 1 family | - | ko:K00507 | ko01040,ko01212,ko03320,ko04152,ko04212,map01040,map01212,map03320,map04152,map04212 | FA_desaturase","Lipid metabolism","33"
"LOC126268068",705.098876539776,2.04393278509865,0.37760812140853,5.41284116844335,6.20325110133489e-08,4.21847584510864e-06,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Infected diet 33",TRUE,"All scaffolds","Higher in infected",NA,NA,NA,NA,NA,NA,"Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","PGRPLA","Amidase_2","PGRPLA | Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme. | GO:0000270,GO:0002376,GO:0003674,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009253,GO:0009605,GO:0009607,GO:0009617,GO:0016020,GO:0016021,GO:0030203,GO:0031224,GO:0031226,GO:0042834,GO:0043170,GO:0043207,GO:0044425,GO:0044459,GO:0044464,GO:0045087,GO:0050896,GO:0051704,GO:0051707,GO:0071704,GO:0071944,GO:0097367,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575 | ko:K01446 | - | Amidase_2","Immune pathway","33"
"LOC126268133",742.089713482209,1.00593709029047,0.186575908824896,5.39157009404979,6.98447044136513e-08,4.6309949222268e-06,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Infected diet 33",TRUE,"All scaffolds","Higher in infected",NA,NA,NA,NA,NA,NA,"phosphatidylinositol phospholipase C activity. It is involved in the biological process described with intracellular signal transduction","sl","C2,PH_12,PI-PLC-X,PI-PLC-Y,SH2,SH3_1","sl | phosphatidylinositol phospholipase C activity. It is involved in the biological process described with intracellular signal transduction | GO:0000003,GO:0001558,GO:0001667,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0006928,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0008150,GO:0009719,GO:0009725,GO:0009888,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010243,GO:0010631,GO:0010646,GO:0010648,GO:0016477,GO:0019953,GO:0022412,GO:0022414,GO:0023051,GO:0023057,GO:0030154,GO:0030307,GO:0030707,GO:0030855,GO:0032501,GO:0032502,GO:0032504,GO:0032868,GO:0040008,GO:0040011,GO:0042058,GO:0042059,GO:0042221,GO:0043434,GO:0044703,GO:0045595,GO:0045596,GO:0045927,GO:0048468,GO:0048477,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048609,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051128,GO:0051179,GO:0051674,GO:0051704,GO:0060429,GO:0065007,GO:0090130,GO:0090132,GO:1901184,GO:1901185,GO:1901652,GO:1901698,GO:1901700 | ko:K01116 | ko00562,ko01100,ko01521,ko04012,ko04014,ko04015,ko04020,ko04064,ko04066,ko04070,ko04072,ko04360,ko04370,ko04650,ko04658,ko04659,ko04660,ko04664,ko04666,ko04670,ko04722,ko04750,ko04919,ko04933,ko05110,ko05120,ko05167,ko05169,ko05200,ko05205,ko05206,ko05214,ko05223,ko05225,ko05231,map00562,map01100,map01521,map04012,map04014,map04015,map04020,map04064,map04066,map04070,map04072,map04360,map04370,map04650,map04658,map04659,map04660,map04664,map04666,map04670,map04722,map04750,map04919,map04933,map05110,map05120,map05167,map05169,map05200,map05205,map05206,map05214,map05223,map05225,map05231 | C2,PH_12,PI-PLC-X,PI-PLC-Y,SH2,SH3_1","Lipid metabolism","33"
"LOC126268198",113.190718533721,-1.26898584417093,0.409515883861389,-3.09874633483191,0.00194341335603153,0.0213935646961142,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Control diet 33",TRUE,"All scaffolds","Higher in control",NA,NA,NA,NA,NA,NA,"acyl-Coenzyme A oxidase","-","ACOX,Acyl-CoA_dh_1,Acyl-CoA_dh_M","- | acyl-Coenzyme A oxidase | GO:0000166,GO:0003674,GO:0003824,GO:0003995,GO:0003997,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0006082,GO:0006629,GO:0006631,GO:0006635,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009987,GO:0016042,GO:0016054,GO:0016491,GO:0016627,GO:0016634,GO:0019395,GO:0019752,GO:0030258,GO:0032787,GO:0033539,GO:0034440,GO:0036094,GO:0042579,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0048037,GO:0050660,GO:0050662,GO:0055114,GO:0071704,GO:0072329,GO:0097159,GO:1901265,GO:1901363,GO:1901575 | ko:K00232 | ko00071,ko00592,ko01040,ko01100,ko01110,ko01212,ko03320,ko04024,ko04146,map00071,map00592,map01040,map01100,map01110,map01212,map03320,map04024,map04146 | ACOX,Acyl-CoA_dh_1,Acyl-CoA_dh_M","Lipid metabolism","33"
"LOC126271907",94.943302551196,3.09493601908413,0.82821010530376,3.73689719464243,0.00018630505114927,0.00381063274927807,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Infected diet 33",TRUE,"All scaffolds","Higher in infected",NA,NA,NA,NA,NA,NA,"Cytochrome P450","-","p450","- | Cytochrome P450 | - | ko:K14999 | - | p450","Detoxification","33"
"LOC126271975",4201.78489144319,4.72750120174665,0.848712838439353,5.57020111824839,2.54445450799021e-08,1.88325137607666e-06,"competitive-host","infection_diet33","Infection within diet","Infected diet 33","Control diet 33","Infected diet 33",TRUE,"All scaffolds","Higher in infected",NA,NA,NA,NA,NA,NA,"Alpha-lactalbumin / lysozyme C","-","Lys","- | Alpha-lactalbumin / lysozyme C | GO:0003674,GO:0003796,GO:0003824,GO:0004553,GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009056,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0016787,GO:0016798,GO:0016998,GO:0042742,GO:0043170,GO:0043207,GO:0044036,GO:0044237,GO:0044248,GO:0044260,GO:0044421,GO:0050829,GO:0050830,GO:0050896,GO:0051704,GO:0051707,GO:0061783,GO:0071554,GO:0071704,GO:0098542 | ko:K13915 | ko04970,map04970 | Lys","Immune pathway","33"
