"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","cluster_id"
1841,"LOC126281975","Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.55377023420267,0.0484806424100245,4.97505898970029,1007,"Higher than gene average","upper_branch_k4_4"
1842,"LOC126278499","Sugar (and other) transporter","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.56949095734105,0.00533172096011034,3.41762281290392,1007,"Higher than gene average","upper_branch_k4_4"
1843,"LOC126278130","Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.83580382133688,0.00568934472392954,3.36967936107603,1007,"Higher than gene average","upper_branch_k4_4"
1844,"LOC126268172","Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family","Infection + diet","No phase DEG",2,"Diet 33: infected vs control; Infected 33 vs 50","Downregulated",5.54242776605656,0.000350810764216676,3.85716968216469,1007,"Higher than gene average","upper_branch_k4_4"
1845,"LOC126284566","Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family","Diet in infected","Head phase DEG only",1,"Infected 33 vs 50","Downregulated",5.76164341818919,0.00415264853435983,3.01530122069074,1007,"Higher than gene average","upper_branch_k4_4"
1846,"LOC126293755","synaptic vesicle","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.09475107931459,0.00415264853435983,3.2734792201468,1007,"Higher than gene average","upper_branch_k4_4"
1847,"LOC126354102","Chitin-binding domain type 2","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.01472041771984,0.00533172096011034,3.61699733559309,1007,"Higher than gene average","upper_branch_k4_4"
1848,"LOC126272485","It is involved in the biological process described with transmembrane transport","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.83982954332829,0.0073587551974135,3.71058372342495,1007,"Higher than gene average","upper_branch_k4_4"
1849,"LOC126334647","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.31329657972158,0.00981713287745784,3.01975712482757,1007,"Higher than gene average","upper_branch_k4_4"
1850,"LOC126354039","It is involved in the biological process described with transmembrane transport","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.87326093657718,0.0146650783102647,3.52099979028211,1007,"Higher than gene average","upper_branch_k4_4"
1851,"LOC126267658","Sugar (and other) transporter","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.77137327331112,0.00568934472392954,3.45230844292837,1007,"Higher than gene average","upper_branch_k4_4"
1852,"LOC126303359","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.41849523902903,0.0239141857459428,3.89343319218669,1007,"Higher than gene average","upper_branch_k4_4"
1853,"LOC126298832","Belongs to the glycosyl hydrolase 1 family","Diet in infected","Shared head/thorax phase DEG",1,"Infected 33 vs 50","Downregulated",3.76259683021506,0.0325342324082818,3.82733900575119,1007,"Higher than gene average","upper_branch_k4_4"
1854,"LOC126334752","Choline/ethanolamine kinase","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.2342079103259,0.0494649458123918,3.16588631409193,1007,"Higher than gene average","upper_branch_k4_4"
