"Condition","n_samples","mean_z","median_z","pct_high","pct_low"
"Infected_33",9,-0.507208727366412,-0.600343015418797,0.366741160964988,0.492808435046702
"Infected_50",9,0.358804229643752,0.185038039505946,20.2853704658759,0.246404217523351
"Infected_83",6,0.0508678112962877,-0.434374581976613,15.0421179302046,0.240673886883273
"Control_33",7,-0.11191852213128,-0.596062000643865,16.3412657481765,0.677816252854933
"Control_50",6,0.511671278273852,-0.574140270688835,32.276087330239,0.833763108131339
"Control_83",7,-0.179452057571151,-0.400655017096281,3.38171369630885,0.57467030133353
