"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
89.9196995564205,-0.145254733306997,0.12482640088742,-1.16365394078775,0.244564282164587,0.756632689361975,"LOC126318536"
0.937431363027043,0.400076682545364,0.778760681622984,0.513735081888803,0.607437220886871,NA,"LOC126285412"
8.62545830075287,0.223577117291232,0.267272347510914,0.836514212463008,0.402865684630068,0.838476502636181,"LOC126318656"
0.996786569269179,0.0293340572402697,0.835260222972723,0.0351196626314476,0.971984322570125,0.994463746281521,"LOC126318743"
73.0569482017827,0.246412833270056,0.204310799886928,1.20606856517829,0.227791054234975,0.745603873165687,"LOC126319294"
21.7934985632073,0.523961507323741,0.458748501953712,1.14215415438372,0.253389948594126,0.764726874900739,"LOC126319460"
20.7041230033463,0.0449077860062654,0.213333387750418,0.210505193208687,0.833273398874056,0.971074046358663,"LOC126320026"
14.4693259435448,0.145047435776452,0.438867793853285,0.330503713892804,0.741019386867377,0.95032041463131,"LOC126320178"
13.2119086416234,0.716062856568793,0.410385753922533,1.74485310399922,0.0810104422720476,0.562710733005376,"LOC126320326"
0.394931620137943,0.334286936778309,1.3507129212429,0.247489256614725,0.804529604926605,NA,"LOC126284887"
64.7376978249696,-0.313893075266924,0.345390468536229,-0.908806420157475,0.363452317070744,0.820013060899054,"LOC126320407"
24.5347315813102,0.118611734698655,0.149317322520638,0.794360176678506,0.426985780751241,0.848677287346063,"LOC126320662"
95.6612383253789,0.223884685243473,0.25585590589816,0.875042084557497,0.381551007498189,0.829233271211406,"LOC126320757"
290.34739140695,0.328660418679842,0.217966770079898,1.50784644172765,0.131593832834452,0.658208353204979,"LOC126320910"
0.360517478001381,0.54785578801258,1.03924071557422,0.527169287925627,0.598076034158402,NA,"LOC126284895"
315.811073258647,0.0909698479956271,0.227466297313013,0.399926710331267,0.689210498363732,0.933056292102622,"LOC126322280"
99.1623967048731,-0.108441178867614,0.173486984354588,-0.625068095287034,0.531926366617774,0.88070314285519,"LOC126322412"
9.08531052968307,0.108932219934724,0.257464787362249,0.423095604842685,0.672225508967131,0.92938646957471,"LOC126323097"
25.3706874269356,0.088912966668332,0.166770145219956,0.533146784462311,0.593931975556185,0.900011650763948,"LOC126322565"
15.1154597967643,0.367821010359388,0.470341334340308,0.782029950387599,0.434196972212463,0.850842625876843,"LOC126322939"
308.981303142197,-0.0129752748238964,0.09885980067084,-0.131249251322066,0.895578135980703,0.982075781248978,"LOC126323250"
564.115885137721,0.140681192648373,0.173402967659165,0.81129633793172,0.417195512577824,0.843536016185703,"LOC126323807"
177.957384113979,-0.000444816869568168,0.0895869468429298,-0.00496519733335764,0.996038361984213,0.999254891425914,"LOC126323387"
34.1511752522083,-0.00807579443323559,0.179136312107092,-0.0450818392889972,0.964042076851829,0.99293240935879,"LOC126324212"
572.52658186408,-0.279882139714526,0.417964818052196,-0.669630857972294,0.503093137834977,0.874283843678908,"LOC126324319"
255.077328279411,0.102824013837563,0.0683315872780319,1.50478011610042,0.132380617468821,0.65954093566358,"LOC126325221"
0.609956808617455,-0.0841735699261788,0.818184363246773,-0.102878487670133,0.918059411445053,NA,"LOC126325647"
40.3865757852579,-0.112696410358051,0.121213586493865,-0.929734146293531,0.352508750212463,0.812883875118643,"LOC126326003"
325.016786357895,0.0114715283309059,0.0846859589018331,0.135459626125313,0.892248483663401,0.981538724349817,"LOC126326117"
51.966696376167,-0.0519007178261905,0.125575836121583,-0.413301789812014,0.67938551870927,0.930740868556941,"LOC126326285"
21.6790824745904,-0.182652715593367,0.2518582060371,-0.725220426474656,0.468316813488755,0.862057051416478,"LOC126326982"
119.043856421383,-0.220913511693771,0.32766875147637,-0.674197678901042,0.500185645112954,0.873759989318678,"LOC126326589"
204.007112105951,0.0363478095519561,0.112497539298154,0.323098707569265,0.746620489027137,0.951426276078328,"LOC126326728"
18.1822655058386,-0.0319919043913656,0.227733960554471,-0.14047928694286,0.888281316825085,0.981322004253892,"LOC126284877"
179.700155901896,0.232432138352713,0.194113112704971,1.19740565237333,0.231148481596742,0.746573373187332,"LOC126327189"
117.133327547854,-0.109323741448613,0.147413922466131,-0.741610694700368,0.458323241947149,0.859147939122318,"LOC126328052"
0.363223371034134,0.808301312954807,1.51382431104456,0.533946579571754,0.593378494138604,NA,"LOC126352135"
61.2173459928343,-0.0177133337559732,0.106632802560417,-0.16611524156403,0.868066259767324,0.979126570862072,"LOC126328694"
2.97954671667777,-0.00873733632655495,0.443272503580406,-0.0197109819715449,0.984273930136044,0.996762009054665,"LOC126328850"
13.2286765912107,-0.658036940978514,0.460970872482154,-1.42750221382803,0.153435187517066,0.677712858117699,"LOC126328952"
86.3516269775406,0.0940516503760638,0.169848508461901,0.553738453329785,0.579757854688083,0.895706487308976,"LOC126329352"
1.45646044611933,0.0301045423462654,0.855446362716782,0.0351916188534106,0.971926945279381,0.994463746281521,"Trnas-gga"
110.15344326897,0.160930966587669,0.177741381437387,0.905422053582724,0.365241836672986,0.821006834835066,"LOC126329909"
1.34593795622268,1.10263496915911,0.795738279873358,1.38567541244164,0.165846039317389,0.693663760887623,"LOC126270168"
556.704692156459,-0.322595180550715,0.245918192566838,-1.31179876195226,0.189588042778798,0.719152303742832,"LOC126330208"
431.314592297026,0.00883768475482647,0.0824177723339549,0.107230327932383,0.914606255922967,0.983920263838279,"LOC126330470"
0.336683122451138,-0.27108282559111,0.987441695435236,-0.274530462754689,0.783676996640725,NA,"LOC126331023"
0.952149824556381,0.172562007301864,1.11843398933422,0.154288951290354,0.877381908597908,0.980664449894273,"LOC126331476"
72.0003950174303,0.0907840037920466,0.462286660513505,0.196380323176975,0.844312496229386,0.973714308629945,"LOC126331335"
3.682156790927,-0.0809727456753389,0.548918363080064,-0.147513275418568,0.882726902087641,0.980799500560123,"LOC126331179"
26.0260516482782,0.104440821181577,0.166618115881789,0.626827524899362,0.530772298826404,0.87999326500251,"LOC126331633"
5.79012115310264,-0.0723977674458819,0.543256178396716,-0.133266348961821,0.893982739816591,0.981955737066544,"LOC126331791"
65.0488679102584,0.182570007220374,0.166314264492754,1.09774112146784,0.272317548036898,0.777626260054863,"LOC126331946"
74.2258168531145,-0.0644277736953667,0.183891310330619,-0.350357902064713,0.726070115887041,0.94441622472509,"LOC126332104"
5.77079324622404,-0.573372220606801,0.412331743524463,-1.39056046402303,0.164358752237951,0.691395505274093,"LOC126333037"
3.54515088854219,-0.325437043424722,0.637951008375133,-0.510128582214507,0.609961382137947,0.907350859981985,"LOC126333298"
20.0434185270585,0.00695583469699869,0.256187969468084,0.0271512932923467,0.978339063689685,0.995376410320388,"LOC126333611"
47.2679369573727,-0.0694013192602197,0.149232356932972,-0.465055438958132,0.641891756013365,0.919023430153543,"LOC126333456"
42.3424708600265,0.249298003762289,0.220186427042221,1.13221331174281,0.257544764925013,0.767617547443713,"LOC126333765"
0.426400035775153,1.04493121599201,1.0468038986479,0.998211047304745,0.318177030613534,NA,"LOC126276000"
47.1067201940868,0.177073372916798,0.23367257066059,0.757784161043009,0.4485802059152,0.855918206208173,"LOC126334020"
0.564111994688137,-1.96479705284285,1.25078038367201,-1.57085694538529,0.11621588124705,NA,"LOC126334172"
379.367880429607,-0.616462799718675,0.24466783273274,-2.51959071543361,0.0117491360997214,0.275163100911348,"LOC126334429"
255.228972906369,-0.218799377629417,0.318322890108136,-0.68735043702038,0.491861922365156,0.870397578496647,"LOC126334511"
265.708031952323,-0.493529212101553,0.418211290879993,-1.18009537968972,0.237962282039887,0.752889882621861,"LOC126334525"
16.9417127756298,0.717713931790508,0.378731724961941,1.89504571306413,0.0580863457466631,0.502756757852132,"LOC126334532"
75.144300896326,0.156374898565502,0.115269151326912,1.35660666158642,0.174906223969332,0.706222553003779,"LOC126334539"
20.6004880767164,0.177346733082904,0.206212177622369,0.860020659922784,0.389777654101382,0.833845406435335,"LOC126334578"
41.2334312926025,0.00517715011898724,0.163269707681067,0.0317091896134239,0.97470396632147,0.994705308605834,"LOC126334570"
31.9408959061795,0.670489746259681,0.309762908319449,2.16452560410565,0.0304240337336174,0.403803232295624,"LOC126334620"
8.59332154285559,0.369076146067094,0.351877580852769,1.04887655863907,0.294234935618742,0.787504137137469,"LOC126334628"
79.6209311974856,-0.0451197294406568,0.138079663592205,-0.326765928210184,0.74384493133495,0.950928513032509,"LOC126334652"
