"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC126266590",32.1107689177465,-11.1576724576359,2.76587239019933,-4.03405178676077,5.4823227226626e-05,0.0257651483053133
"LOC126266591",44.408194395386,0.163578398979171,0.385867349564322,0.4239239188386,0.671621299662154,0.954712724634395
"LOC126266592",18.0905366808112,-0.134368583747108,0.34797847888659,-0.386140499771828,0.699392616948864,0.959054328737639
"LOC126266593",342.03199684279,-0.285605492848861,0.465266535738738,-0.613853503122427,0.539312138118877,0.923649000332074
"LOC126266594",20.8860456756223,-0.0168556335569825,0.390458432888807,-0.0431688296044115,0.965566952288049,0.996801275251494
"LOC126266595",52.1954097361254,0.153582267091192,0.200499032724155,0.766000040022582,0.443676278371017,0.890714279924077
"LOC126266596",116.478230052826,-0.276066980879823,0.595978527951545,-0.463216320609234,0.64320931896038,0.948596066170157
"LOC126266597",2.69772012131145,1.17648665028647,1.73714943341316,0.677251264432044,0.498246546680478,NA
"LOC126266598",32.2471207614946,-0.113810112662803,0.324862458533415,-0.350333224640965,0.726088633576233,0.965974367872536
"LOC126266599",62.6286785874201,0.615281712010639,0.519390817421811,1.18462185193188,0.236166993203676,0.765954891977908
"LOC126266600",130.375488852938,-0.153233203442414,0.212649799666403,-0.720589455916723,0.471162143089847,0.901823867445949
"LOC126266601",15.262756799398,0.133568769995022,0.506035647177553,0.26395130607895,0.791817440520221,0.979107064416319
"LOC126266602",36.3909367776073,0.326549302551713,0.276373125279355,1.1815523026041,0.23738338878001,0.766617922672471
"LOC126266603",2.77652576355011,-0.248449153720089,0.998974391770769,-0.248704226821762,0.803589579027122,NA
"LOC126266604",55.3859026319261,0.361231497967671,0.673552724719078,0.536307678242014,0.591745924876154,0.936468205594147
"LOC126266605",191.795959408635,0.0843653795674468,0.208301830719021,0.405015065284028,0.68546643709923,0.955997702326437
"LOC126266606",20.9592470216285,-0.605403280121933,0.340241381349292,-1.77933465271358,0.0751849129707611,0.521604284319532
"LOC126266607",232.105355801699,0.340273824233169,0.220615000198328,1.54238752545054,0.122979451115077,0.624063957957352
"LOC126266608",641.106480459061,-0.0713092293599394,0.41167585979877,-0.173216931871584,0.862480915102878,0.986107413383305
"LOC126266610",69.6701739214849,0.26609756274747,0.689678097696249,0.385828640399519,0.699623582589161,0.959054328737639
"LOC126266611",16.1853016940842,-0.0952979068465163,0.395995287633677,-0.240654143679289,0.809823182527988,0.981324589533839
"LOC126266612",67.6410253153085,0.0304052327933439,0.286068510195834,0.106286542243078,0.915355008839978,0.992662155637017
"LOC126266613",65.5389517558247,0.0861789037683363,0.36296778979756,0.237428516222889,0.812324369358263,0.981324589533839
"LOC126266614",447.249793136329,-0.260885460527421,0.358985011193758,-0.726730789288054,0.467390888259443,0.899958708353668
"LOC126266615",24.2185905065993,0.264062239247258,0.368301850079241,0.716972339917502,0.47339116395977,0.903236348659767
"LOC126266616",11.7047785446589,0.49809295988958,0.399820905687855,1.2457901845644,0.212841434016664,0.741861269082309
"LOC126266617",2.33519080366186,-1.50346081240709,1.0637836664642,-1.41331443582349,0.15756329129211,NA
"LOC126266618",73.7889517502096,0.38100722172511,0.223607236598396,1.7039127513096,0.0883973884211423,0.555813520094986
"LOC126266619",86.5398845289356,0.0810626854472475,0.777824384403736,0.104217207730494,0.916996978537751,0.992662155637017
"LOC126266620",25.6216430102479,0.309904420761063,0.364619568918272,0.849939079464294,0.395358957098677,0.869165550292906
"LOC126266623",5.86306847302415,-1.25532596404146,1.13032963969623,-1.11058395706479,0.266747471405174,0.794772825614279
"LOC126266624",82.74561869869,0.129572987185218,0.261890912526121,0.494759386400222,0.620769975998944,0.940598096070189
"LOC126266625",36.4731778203752,0.0372425118859173,0.301969728471827,0.123331938185956,0.901844250870999,0.992282459302401
"LOC126266626",18.9651256410287,-4.05104912134261,1.96858540522198,-2.05784778785648,0.0396047470866207,0.394048265278723
"LOC126266627",125.471942796347,0.194360192933009,0.315776660571365,0.61549891806866,0.538225283607946,0.923601926059108
"LOC126266628",41.350333390806,0.0501095218809168,0.299631452566206,0.167237189059265,0.867183423809351,0.9865516629676
"LOC126266629",41.3860114696931,-0.0226027754364262,0.946598074047656,-0.023877901356567,0.980950001419786,0.998047599367834
"LOC126266630",42.0129538089953,0.129142358588908,0.243242281904737,0.530920683598445,0.595473744027842,0.937366164013248
"LOC126266631",10.749059495348,0.340187128657161,0.443885301344931,0.766385207229044,0.44344713208136,0.890714279924077
"LOC126266632",346.907324287517,0.113414382414268,0.290438943234133,0.390493028074545,0.696172009734299,0.958470200808097
"LOC126266633",83.6528497639033,0.0209681015690258,0.167793924758683,0.124963413301057,0.900552515194566,0.992071802939102
"LOC126266634",1128.61075947402,0.10596822391593,0.195737020862444,0.541380590391229,0.588245282712518,0.935060859998513
"LOC126266635",32.3651886187372,0.589861578453912,0.335742467636557,1.75688700510905,0.0789370710424786,0.533104402022135
"LOC126266637",65.1269769717746,0.359740583026715,0.327994007622644,1.09679010794793,0.272733155418088,0.797175748248954
"LOC126266638",239.979431273317,0.115573538404223,0.15569510398043,0.742306825645271,0.457901457236615,0.897265141961028
"LOC126266639",94.6676740073844,0.0196307579715138,0.272780794485225,0.0719653229566977,0.942629504541336,0.994908099031931
"LOC126266640",80.1709034950418,0.0288208999374049,0.208797320153652,0.138032901553506,0.890214414746727,0.990449515602916
"LOC126266641",1.00337723586846,-1.03073469863412,2.61581674549867,-0.394039337965025,0.693551996365909,NA
"LOC126266642",38.3158983805687,0.230052309064107,0.376385378993147,0.611214786502894,0.541057395597175,0.924262432674335
"LOC126266644",185.076098720607,0.0372680844018856,0.167655197874132,0.222290062428394,0.824088087631677,0.981705762769488
"LOC126266646",3.78338559586086,1.15555846654604,0.67225645936445,1.71892504779873,0.085628020610386,NA
"LOC126266647",335.731757903329,-0.00577134279507603,0.219503220332408,-0.0262927477161206,0.979023839397372,0.997594160447728
"LOC126266649",69.8557564287548,0.122264771283208,0.699027465854064,0.174906963253334,0.861152738735492,0.986085384634521
"LOC126266650",51.0799065911013,0.140373235153113,0.351505739140826,0.399348344912442,0.689636549526867,0.957010935938532
"LOC126266651",8.89395166835884,-0.224022516639919,0.58406220207103,-0.383559346668139,0.701305076080996,0.959256333499887
"LOC126266652",3.88041536073456,-1.15276686837888,1.09002339549737,-1.05756158366938,0.290255364451537,NA
"LOC126266653",84.473747518672,-0.420579393839254,0.322519551853813,-1.30404309264912,0.192218890051751,0.7186135512353
"LOC126266654",14.1340064795583,0.914934784848042,0.540820739887832,1.69175240031993,0.0906931927669519,0.561303791598013
"LOC126266655",25.8725885666758,-0.329709271118476,0.488561301451967,-0.674857525838835,0.499766288027327,0.912456246322565
"LOC126266656",79.2633596795176,-0.177584006079793,0.467316937156549,-0.380007639270099,0.70393974447044,0.95932049937274
"LOC126266657",387.281451730933,-0.626057572178783,0.705509568517747,-0.887383531160477,0.374872447045858,0.859815734602151
"LOC126266658",0.622069481407434,-2.83698566285377,2.99209154618094,-0.948161384458594,0.343047302330504,NA
"LOC126266660",304.597531989869,-0.00669560852220346,0.252603162514806,-0.0265064318892326,0.978853403497089,0.997594160447728
"LOC126266662",25.2661125918719,0.655701215667747,0.77311986516505,0.848123616029144,0.396369130767687,0.869684015987114
"LOC126266664",0.627267551896594,0.486017278639816,2.38838277849681,0.203492205276117,0.838750337522134,NA
"LOC126266665",8.89272525078472,-1.96754916766338,0.726226622569077,-2.70927711339339,0.00674299941265161,0.187259548250917
"LOC126266666",86.9375513480262,0.26073534407245,0.294661301693996,0.884864563393609,0.376229682502284,0.860755377571573
"LOC126266667",3.00956255753739,3.15106696039348,2.26239362508656,1.39280226281266,0.163679593971094,NA
"LOC126266669",42.8953770712504,0.222484732509371,0.338060173566648,0.658121689290054,0.510459939915973,0.915422312239761
"LOC126266671",2.77700579106887,-2.48074042363423,2.2034695508776,-1.12583376640998,0.260235888702836,NA
"LOC126266672",1078.85661778227,-0.267412605171933,0.500588237880043,-0.534196740827165,0.593205423797481,0.936654695930957
"LOC126266674",1.21965842006593,-4.40772598573598,7.12266468577168,-0.618831038689904,0.53602767234659,NA
"LOC126266675",10.4429501233173,0.401702594097972,0.454898748351931,0.88305935233569,0.377204204449025,0.862037341900839
