source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_class,contrast_id,contrast_label,figure_scope,positive_condition,negative_condition,baseMean,log2FoldChange,oriented_log2FC,padj,status,higher_expression_condition,original_status,original_value,show_in_figure
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,Control diet 50,Control diet 33,286.0236522773337,-0.05906929270901568,0.05906929270901568,0.9996296793832424,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,Control diet 83,Control diet 33,286.0236522773337,0.35083243484950793,0.35083243484950793,0.9994554209506452,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,Control diet 83,Control diet 50,286.0236522773337,0.2917631421404922,0.2917631421404922,0.999967058205619,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,Infected diet 50,Infected diet 33,286.0236522773337,1.003705526445592,-1.003705526445592,0.3622897143465331,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,Infected diet 83,Infected diet 33,286.0236522773337,0.9250580995484854,0.9250580995484854,0.41472377403776206,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,Infected diet 83,Infected diet 50,286.0236522773337,1.9287636259940777,1.9287636259940777,0.00848184823247945,Upregulated,Infected diet 83,Upregulated,1.931,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,Infected diet 33,Control diet 33,286.0236522773337,-1.6445715520533717,-1.6445715520533717,0.00679924624280162,Downregulated,Control diet 33,Downregulated,-1.6719999999999999,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,Infected diet 50,Control diet 50,286.0236522773337,-2.7073463712079793,-2.7073463712079793,3.0996877604201904e-6,Downregulated,Control diet 50,Downregulated,-2.6970000000000001,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281715,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,Infected diet 83,Control diet 83,286.0236522773337,-1.070345887354394,-1.070345887354394,0.15683992301962726,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,Control diet 50,Control diet 33,5675.121476136754,0.00967642818327815,-0.00967642818327815,0.9996296793832424,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,Control diet 83,Control diet 33,5675.121476136754,0.3134252831489178,0.3134252831489178,0.9994554209506452,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,Control diet 83,Control diet 50,5675.121476136754,0.323101711332196,0.323101711332196,0.999967058205619,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,Infected diet 50,Infected diet 33,5675.121476136754,-0.41724934991213947,0.41724934991213947,0.9226821053103318,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,Infected diet 83,Infected diet 33,5675.121476136754,1.065707846441459,1.065707846441459,0.42167072997459526,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,Infected diet 83,Infected diet 50,5675.121476136754,0.6484584965293199,0.6484584965293199,0.8371255370759902,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,Infected diet 33,Control diet 33,5675.121476136754,0.93885800300761,0.93885800300761,0.2652010960313214,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,Infected diet 50,Control diet 50,5675.121476136754,1.3657837811030276,1.3657837811030276,0.07115974244455744,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126281729,caspase-1-like,caspase-1-like,protein_coding,NC_064920.1,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,Infected diet 83,Control diet 83,5675.121476136754,1.6911405663001513,1.6911405663001513,0.04363228952889492,Upregulated,Infected diet 83,Upregulated,1.6970000000000001,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,Control diet 50,Control diet 33,427.99546102631234,-0.03878396546881179,0.03878396546881179,0.9996296793832424,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Nuclear chromosome,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,Control diet 83,Control diet 33,427.99546102631234,1.2544757406814089,1.2544757406814089,0.5446773439899,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Nuclear chromosome,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,Control diet 83,Control diet 50,427.99546102631234,1.2156917752125969,1.2156917752125969,0.48877024689742954,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,Infected diet 50,Infected diet 33,427.99546102631234,-1.1727253469304804,1.1727253469304804,0.1435558883448829,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Nuclear chromosome,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,Infected diet 83,Infected diet 33,427.99546102631234,1.330911807717556,1.330911807717556,0.08059500843329764,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Nuclear chromosome,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,Infected diet 83,Infected diet 50,427.99546102631234,0.15818646078707566,0.15818646078707566,0.9755493700812232,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,Infected diet 33,Control diet 33,427.99546102631234,0.29425037832497236,0.29425037832497236,0.736969850230724,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,Infected diet 50,Control diet 50,427.99546102631234,1.428191759786641,1.428191759786641,0.01690751892609778,Upregulated,Infected diet 50,Upregulated,1.4410000000000001,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126284648,CARD- and ANK-domain containing inflammasome adapter protein-like,CARD- and ANK-domain containing inflammasome adapter protein-like,protein_coding,NC_064927.1,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,Infected diet 83,Control diet 83,427.99546102631234,0.37068644536111967,0.37068644536111967,0.6577321713119572,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Nuclear chromosome,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,Control diet 50,Control diet 33,835.2917809464524,0.12093676243306432,-0.12093676243306432,0.9996296793832424,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Nuclear chromosome,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,Control diet 83,Control diet 33,835.2917809464524,0.22150673378787103,0.22150673378787103,0.9994554209506452,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Nuclear chromosome,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,Control diet 83,Control diet 50,835.2917809464524,0.34244349622093534,0.34244349622093534,0.999967058205619,N.S.,Not significant,N.S.,N.S.,FALSE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Nuclear chromosome,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,Infected diet 50,Infected diet 33,835.2917809464524,-0.43915128013482185,0.43915128013482185,0.7494743478740526,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Nuclear chromosome,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,Infected diet 83,Infected diet 33,835.2917809464524,-0.07887693300718054,-0.07887693300718054,0.9666666835141808,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Nuclear chromosome,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,Infected diet 83,Infected diet 50,835.2917809464524,-0.5180282131420024,-0.5180282131420024,0.6655243406493947,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Nuclear chromosome,infection_diet33,Diet 33: infected vs control,Within-diet infection response,Infected diet 33,Control diet 33,835.2917809464524,0.8161425257788193,0.8161425257788193,0.05636429719957696,N.S.,Not significant,N.S.,N.S.,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Nuclear chromosome,infection_diet50,Diet 50: infected vs control,Within-diet infection response,Infected diet 50,Control diet 50,835.2917809464524,1.3762305683467055,1.3762305683467055,5.881588106522742e-4,Upregulated,Infected diet 50,Upregulated,1.385,TRUE
Immune,Cellular Immunity,Inflammasome Assembly & Pyroptosis,LOC126336702,caspase-1-like,caspase-1-like,protein_coding,NC_064921.1,Nuclear chromosome,infection_diet83,Diet 83: infected vs control,Within-diet infection response,Infected diet 83,Control diet 83,835.2917809464524,0.5157588589837677,0.5157588589837677,0.3229623244252,N.S.,Not significant,N.S.,N.S.,TRUE
