"intersection","n_genes","n_sets","intersection_id"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50",405,3,"I01"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",370,5,"I02"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_83",233,2,"I03"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33",213,2,"I04"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33",189,4,"I05"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_83",95,4,"I06"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",49,3,"I07"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + all_diet_pairwise_results + DESeq2_33_vs_50",23,5,"I08"
"all_diet_pairwise_results + DESeq2_33_vs_50",21,2,"I09"
"all_diet_pairwise_results + DESeq2_33_vs_83",21,2,"I10"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83 + all_diet_pairwise_results + DESeq2_33_vs_83",8,7,"I11"
"all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_50_vs_83",8,3,"I12"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",7,6,"I13"
"all_diet_pairwise_results + DESeq2_50_vs_83",7,2,"I14"
"all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_50_vs_83",6,4,"I15"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + all_diet_pairwise_results + DESeq2_33_vs_83",5,5,"I16"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_50",5,4,"I17"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",5,4,"I18"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_33_vs_50",4,6,"I19"
"all_diet_pairwise_results + DESeq2_33_vs_50 + DESeq2_50_vs_83",3,3,"I20"
