Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
mehreen_1030_MERGE_1_val_1	(20, 52122.0)	(25, 271297.0)	(30, 1060719.0)	(35, 768469.0)	(40, 645461.0)	(45, 816024.0)	(50, 849669.0)	(55, 625642.0)	(60, 470654.0)	(65, 504789.0)	(70, 485767.0)	(75, 605011.0)	(80, 817939.0)	(85, 1195040.0)	(90, 1677595.0)	(95, 1959008.0)	(100, 2165897.0)	(105, 3017716.0)	(110, 3276409.0)	(115, 4854102.0)	(120, 4571687.0)	(125, 4283030.0)	(130, 4148624.0)	(135, 4226802.0)	(140, 4322891.0)	(145, 75920103.0)
mehreen_1030_MERGE_2_val_2	(20, 67836.0)	(25, 281277.0)	(30, 1045721.0)	(35, 753249.0)	(40, 592446.0)	(45, 703693.0)	(50, 734051.0)	(55, 582004.0)	(60, 467780.0)	(65, 504776.0)	(70, 487725.0)	(75, 618090.0)	(80, 824180.0)	(85, 1198316.0)	(90, 1680951.0)	(95, 1960018.0)	(100, 2166925.0)	(105, 3015636.0)	(110, 3279141.0)	(115, 4853067.0)	(120, 4573407.0)	(125, 4285234.0)	(130, 4154794.0)	(135, 4230475.0)	(140, 4546289.0)	(145, 75985386.0)
mehreen_1031_MERGE_1_val_1	(20, 18332.0)	(25, 95967.0)	(30, 377896.0)	(35, 270000.0)	(40, 236821.0)	(45, 309367.0)	(50, 381272.0)	(55, 335198.0)	(60, 387943.0)	(65, 440857.0)	(70, 476458.0)	(75, 609352.0)	(80, 806488.0)	(85, 1113215.0)	(90, 1572339.0)	(95, 2145706.0)	(100, 2213685.0)	(105, 2662912.0)	(110, 3043269.0)	(115, 3837253.0)	(120, 3628909.0)	(125, 3239364.0)	(130, 3287178.0)	(135, 3130996.0)	(140, 3200372.0)	(145, 41873094.0)
mehreen_1031_MERGE_2_val_2	(20, 32270.0)	(25, 105737.0)	(30, 378182.0)	(35, 272043.0)	(40, 229409.0)	(45, 288595.0)	(50, 360632.0)	(55, 332708.0)	(60, 390378.0)	(65, 440502.0)	(70, 476811.0)	(75, 618749.0)	(80, 809122.0)	(85, 1112734.0)	(90, 1572649.0)	(95, 2144991.0)	(100, 2213321.0)	(105, 2662156.0)	(110, 3046471.0)	(115, 3835223.0)	(120, 3628441.0)	(125, 3238302.0)	(130, 3287333.0)	(135, 3132632.0)	(140, 3327893.0)	(145, 41756959.0)
mehreen_1032_MERGE_1_val_1	(20, 18014.0)	(25, 77944.0)	(30, 257450.0)	(35, 201236.0)	(40, 182365.0)	(45, 235458.0)	(50, 343363.0)	(55, 364964.0)	(60, 463170.0)	(65, 568904.0)	(70, 644190.0)	(75, 872865.0)	(80, 1193560.0)	(85, 1683135.0)	(90, 2327307.0)	(95, 2596985.0)	(100, 2580967.0)	(105, 3176028.0)	(110, 3409871.0)	(115, 4435524.0)	(120, 3919916.0)	(125, 3386064.0)	(130, 3205664.0)	(135, 3085936.0)	(140, 3162083.0)	(145, 45775715.0)
mehreen_1032_MERGE_2_val_2	(20, 30318.0)	(25, 87006.0)	(30, 258665.0)	(35, 204203.0)	(40, 182621.0)	(45, 230804.0)	(50, 339017.0)	(55, 368693.0)	(60, 467268.0)	(65, 569205.0)	(70, 645038.0)	(75, 882332.0)	(80, 1196884.0)	(85, 1683118.0)	(90, 2328495.0)	(95, 2596717.0)	(100, 2580336.0)	(105, 3176203.0)	(110, 3413873.0)	(115, 4436038.0)	(120, 3921057.0)	(125, 3386963.0)	(130, 3209841.0)	(135, 3090501.0)	(140, 3313188.0)	(145, 45570294.0)
mehreen_1033_MERGE_1_val_1	(20, 26144.0)	(25, 139450.0)	(30, 322383.0)	(35, 226346.0)	(40, 199865.0)	(45, 243333.0)	(50, 328055.0)	(55, 327074.0)	(60, 405376.0)	(65, 479164.0)	(70, 514579.0)	(75, 680058.0)	(80, 913159.0)	(85, 1257354.0)	(90, 1735232.0)	(95, 2055488.0)	(100, 2030366.0)	(105, 2530298.0)	(110, 2874811.0)	(115, 3833458.0)	(120, 3528800.0)	(125, 3020751.0)	(130, 2919037.0)	(135, 2841054.0)	(140, 3050519.0)	(145, 55318470.0)
mehreen_1033_MERGE_2_val_2	(20, 37465.0)	(25, 148311.0)	(30, 322343.0)	(35, 228996.0)	(40, 200385.0)	(45, 233147.0)	(50, 318585.0)	(55, 328245.0)	(60, 408005.0)	(65, 479490.0)	(70, 515159.0)	(75, 687618.0)	(80, 915986.0)	(85, 1257283.0)	(90, 1736301.0)	(95, 2055218.0)	(100, 2030230.0)	(105, 2530283.0)	(110, 2878995.0)	(115, 3834924.0)	(120, 3531191.0)	(125, 3022615.0)	(130, 2923327.0)	(135, 2846249.0)	(140, 3211317.0)	(145, 55118956.0)
mehreen_1034_MERGE_1_val_1	(20, 12503.0)	(25, 54839.0)	(30, 116780.0)	(35, 122834.0)	(40, 136566.0)	(45, 171557.0)	(50, 254485.0)	(55, 279581.0)	(60, 352752.0)	(65, 426517.0)	(70, 454240.0)	(75, 597944.0)	(80, 771235.0)	(85, 1058068.0)	(90, 1434186.0)	(95, 1845454.0)	(100, 1895837.0)	(105, 2399313.0)	(110, 2789617.0)	(115, 3635636.0)	(120, 3379918.0)	(125, 3171461.0)	(130, 3128583.0)	(135, 3023429.0)	(140, 3214380.0)	(145, 48630413.0)
mehreen_1034_MERGE_2_val_2	(20, 22517.0)	(25, 62140.0)	(30, 119485.0)	(35, 128017.0)	(40, 140877.0)	(45, 174769.0)	(50, 259305.0)	(55, 286774.0)	(60, 357720.0)	(65, 428420.0)	(70, 456395.0)	(75, 605652.0)	(80, 775101.0)	(85, 1060001.0)	(90, 1436482.0)	(95, 1845818.0)	(100, 1897411.0)	(105, 2402052.0)	(110, 2794889.0)	(115, 3638037.0)	(120, 3382337.0)	(125, 3172956.0)	(130, 3128867.0)	(135, 3028546.0)	(140, 3302913.0)	(145, 48450647.0)
mehreen_1035_MERGE_1_val_1	(20, 20499.0)	(25, 101149.0)	(30, 275000.0)	(35, 213537.0)	(40, 190287.0)	(45, 234150.0)	(50, 318441.0)	(55, 330305.0)	(60, 407272.0)	(65, 501062.0)	(70, 530911.0)	(75, 698118.0)	(80, 911142.0)	(85, 1252182.0)	(90, 1720440.0)	(95, 1983933.0)	(100, 2020225.0)	(105, 2597944.0)	(110, 2902659.0)	(115, 3909705.0)	(120, 3556293.0)	(125, 3216795.0)	(130, 3148949.0)	(135, 3046988.0)	(140, 3174126.0)	(145, 49525920.0)
mehreen_1035_MERGE_2_val_2	(20, 30222.0)	(25, 108041.0)	(30, 275030.0)	(35, 214712.0)	(40, 188706.0)	(45, 227133.0)	(50, 313928.0)	(55, 333992.0)	(60, 410887.0)	(65, 502022.0)	(70, 531632.0)	(75, 704813.0)	(80, 913832.0)	(85, 1252781.0)	(90, 1722085.0)	(95, 1983298.0)	(100, 2020559.0)	(105, 2598144.0)	(110, 2906971.0)	(115, 3911570.0)	(120, 3558389.0)	(125, 3217100.0)	(130, 3150775.0)	(135, 3051794.0)	(140, 3314110.0)	(145, 49345506.0)
mehreen_1036_MERGE_1_val_1	(20, 17024.0)	(25, 77391.0)	(30, 149821.0)	(35, 172671.0)	(40, 175353.0)	(45, 219098.0)	(50, 324596.0)	(55, 344944.0)	(60, 424206.0)	(65, 521579.0)	(70, 538997.0)	(75, 730652.0)	(80, 960132.0)	(85, 1368740.0)	(90, 1854242.0)	(95, 2257879.0)	(100, 2402718.0)	(105, 3057361.0)	(110, 3416264.0)	(115, 4517185.0)	(120, 4117690.0)	(125, 3884283.0)	(130, 3757453.0)	(135, 3597459.0)	(140, 3620090.0)	(145, 50158887.0)
mehreen_1036_MERGE_2_val_2	(20, 31133.0)	(25, 88013.0)	(30, 153534.0)	(35, 178462.0)	(40, 179177.0)	(45, 218480.0)	(50, 325149.0)	(55, 352135.0)	(60, 429635.0)	(65, 523426.0)	(70, 541218.0)	(75, 740762.0)	(80, 964582.0)	(85, 1369198.0)	(90, 1855527.0)	(95, 2255637.0)	(100, 2401030.0)	(105, 3054134.0)	(110, 3416491.0)	(115, 4511024.0)	(120, 4114483.0)	(125, 3881087.0)	(130, 3757578.0)	(135, 3599191.0)	(140, 3760718.0)	(145, 49964911.0)
mehreen_1037_MERGE_1_val_1	(20, 23552.0)	(25, 88784.0)	(30, 185431.0)	(35, 158307.0)	(40, 158382.0)	(45, 190179.0)	(50, 274299.0)	(55, 313122.0)	(60, 386776.0)	(65, 455676.0)	(70, 478432.0)	(75, 615256.0)	(80, 820769.0)	(85, 1147248.0)	(90, 1589739.0)	(95, 1853328.0)	(100, 1952530.0)	(105, 2593132.0)	(110, 2940455.0)	(115, 4083749.0)	(120, 3684837.0)	(125, 3254918.0)	(130, 3088842.0)	(135, 2991652.0)	(140, 3114943.0)	(145, 48854908.0)
mehreen_1037_MERGE_2_val_2	(20, 31674.0)	(25, 96916.0)	(30, 187089.0)	(35, 161580.0)	(40, 158339.0)	(45, 188114.0)	(50, 275122.0)	(55, 317411.0)	(60, 389854.0)	(65, 456587.0)	(70, 479198.0)	(75, 621467.0)	(80, 823422.0)	(85, 1147666.0)	(90, 1590338.0)	(95, 1852063.0)	(100, 1951783.0)	(105, 2591445.0)	(110, 2942335.0)	(115, 4082436.0)	(120, 3683689.0)	(125, 3253143.0)	(130, 3090259.0)	(135, 2993171.0)	(140, 3264037.0)	(145, 48670108.0)
mehreen_1038_MERGE_1_val_1	(20, 12658.0)	(25, 61133.0)	(30, 144787.0)	(35, 176961.0)	(40, 240434.0)	(45, 323709.0)	(50, 419151.0)	(55, 458319.0)	(60, 592016.0)	(65, 710669.0)	(70, 875571.0)	(75, 1166010.0)	(80, 1485911.0)	(85, 1879955.0)	(90, 2461999.0)	(95, 3801287.0)	(100, 3939710.0)	(105, 4341827.0)	(110, 4957966.0)	(115, 4814286.0)	(120, 4504719.0)	(125, 4133521.0)	(130, 4431285.0)	(135, 3914521.0)	(140, 4142090.0)	(145, 45570684.0)
mehreen_1038_MERGE_2_val_2	(20, 24626.0)	(25, 69735.0)	(30, 148251.0)	(35, 183929.0)	(40, 246034.0)	(45, 326271.0)	(50, 424947.0)	(55, 468377.0)	(60, 599779.0)	(65, 714825.0)	(70, 879960.0)	(75, 1175020.0)	(80, 1491635.0)	(85, 1880569.0)	(90, 2461485.0)	(95, 3796529.0)	(100, 3937844.0)	(105, 4346168.0)	(110, 4966746.0)	(115, 4818964.0)	(120, 4504430.0)	(125, 4126007.0)	(130, 4400556.0)	(135, 3899191.0)	(140, 4107354.0)	(145, 45561947.0)
mehreen_1039_MERGE_1_val_1	(20, 20330.0)	(25, 83158.0)	(30, 248616.0)	(35, 224198.0)	(40, 188857.0)	(45, 249247.0)	(50, 283203.0)	(55, 253264.0)	(60, 266360.0)	(65, 311601.0)	(70, 339967.0)	(75, 433693.0)	(80, 573987.0)	(85, 803138.0)	(90, 1113808.0)	(95, 1433169.0)	(100, 1570465.0)	(105, 1901238.0)	(110, 2163682.0)	(115, 2688209.0)	(120, 2629932.0)	(125, 2328613.0)	(130, 2317723.0)	(135, 2271435.0)	(140, 2386942.0)	(145, 41403375.0)
mehreen_1039_MERGE_2_val_2	(20, 34216.0)	(25, 91500.0)	(30, 247170.0)	(35, 226455.0)	(40, 184645.0)	(45, 230900.0)	(50, 267538.0)	(55, 251945.0)	(60, 269340.0)	(65, 311730.0)	(70, 341557.0)	(75, 442539.0)	(80, 577735.0)	(85, 805523.0)	(90, 1115226.0)	(95, 1434247.0)	(100, 1570135.0)	(105, 1900217.0)	(110, 2165537.0)	(115, 2686904.0)	(120, 2629100.0)	(125, 2331509.0)	(130, 2324435.0)	(135, 2274782.0)	(140, 2475036.0)	(145, 41298289.0)
mehreen_1040_MERGE_1_val_1	(20, 8927.0)	(25, 35357.0)	(30, 103364.0)	(35, 105883.0)	(40, 128598.0)	(45, 156900.0)	(50, 239856.0)	(55, 287192.0)	(60, 354231.0)	(65, 411175.0)	(70, 452864.0)	(75, 581846.0)	(80, 784724.0)	(85, 1091850.0)	(90, 1500473.0)	(95, 1696055.0)	(100, 1795102.0)	(105, 2367713.0)	(110, 2678822.0)	(115, 3558477.0)	(120, 3262229.0)	(125, 2967230.0)	(130, 2893404.0)	(135, 2846003.0)	(140, 2949360.0)	(145, 41995011.0)
mehreen_1040_MERGE_2_val_2	(20, 22662.0)	(25, 44683.0)	(30, 107369.0)	(35, 111443.0)	(40, 136250.0)	(45, 163266.0)	(50, 245774.0)	(55, 295984.0)	(60, 360122.0)	(65, 412431.0)	(70, 455130.0)	(75, 595293.0)	(80, 789753.0)	(85, 1093133.0)	(90, 1502445.0)	(95, 1696396.0)	(100, 1795121.0)	(105, 2368384.0)	(110, 2682033.0)	(115, 3557258.0)	(120, 3260615.0)	(125, 2967494.0)	(130, 2896253.0)	(135, 2846858.0)	(140, 3047999.0)	(145, 41798497.0)
mehreen_1041_MERGE_1_val_1	(20, 8191.0)	(25, 40714.0)	(30, 99977.0)	(35, 128712.0)	(40, 172795.0)	(45, 227438.0)	(50, 312637.0)	(55, 340647.0)	(60, 420751.0)	(65, 510645.0)	(70, 594748.0)	(75, 772173.0)	(80, 949712.0)	(85, 1190456.0)	(90, 1530594.0)	(95, 2053539.0)	(100, 2012726.0)	(105, 2363564.0)	(110, 2694014.0)	(115, 2853843.0)	(120, 2668756.0)	(125, 2526451.0)	(130, 2635779.0)	(135, 2474374.0)	(140, 2570310.0)	(145, 31268994.0)
mehreen_1041_MERGE_2_val_2	(20, 17083.0)	(25, 47497.0)	(30, 103489.0)	(35, 134213.0)	(40, 178382.0)	(45, 230529.0)	(50, 316024.0)	(55, 347004.0)	(60, 425364.0)	(65, 511942.0)	(70, 595962.0)	(75, 778248.0)	(80, 952782.0)	(85, 1190129.0)	(90, 1529972.0)	(95, 2049656.0)	(100, 2011003.0)	(105, 2363138.0)	(110, 2695291.0)	(115, 2851933.0)	(120, 2666095.0)	(125, 2521832.0)	(130, 2626516.0)	(135, 2469691.0)	(140, 2602983.0)	(145, 31205782.0)
mehreen_1042_MERGE_1_val_1	(20, 11730.0)	(25, 56743.0)	(30, 150127.0)	(35, 182363.0)	(40, 184672.0)	(45, 235150.0)	(50, 343085.0)	(55, 382028.0)	(60, 466985.0)	(65, 562358.0)	(70, 598392.0)	(75, 799009.0)	(80, 1038112.0)	(85, 1411186.0)	(90, 1829357.0)	(95, 2067929.0)	(100, 2215491.0)	(105, 2905474.0)	(110, 3010558.0)	(115, 3997997.0)	(120, 3621950.0)	(125, 3604805.0)	(130, 3485422.0)	(135, 3378490.0)	(140, 3204059.0)	(145, 40983245.0)
mehreen_1042_MERGE_2_val_2	(20, 22685.0)	(25, 65187.0)	(30, 153174.0)	(35, 186470.0)	(40, 187355.0)	(45, 233719.0)	(50, 343196.0)	(55, 387568.0)	(60, 471121.0)	(65, 563428.0)	(70, 599766.0)	(75, 808356.0)	(80, 1042020.0)	(85, 1411144.0)	(90, 1831087.0)	(95, 2066506.0)	(100, 2214637.0)	(105, 2902785.0)	(110, 3011756.0)	(115, 3995664.0)	(120, 3620670.0)	(125, 3602973.0)	(130, 3484865.0)	(135, 3379790.0)	(140, 3333102.0)	(145, 40807693.0)
mehreen_1043_MERGE_1_val_1	(20, 11701.0)	(25, 39174.0)	(30, 117238.0)	(35, 151852.0)	(40, 171605.0)	(45, 213992.0)	(50, 329949.0)	(55, 396971.0)	(60, 516600.0)	(65, 643541.0)	(70, 673288.0)	(75, 907388.0)	(80, 1175060.0)	(85, 1594063.0)	(90, 2069962.0)	(95, 2347860.0)	(100, 2446142.0)	(105, 3170554.0)	(110, 3439002.0)	(115, 4717553.0)	(120, 4245549.0)	(125, 4324453.0)	(130, 4235949.0)	(135, 4079309.0)	(140, 4052136.0)	(145, 53904293.0)
mehreen_1043_MERGE_2_val_2	(20, 28829.0)	(25, 52231.0)	(30, 124332.0)	(35, 160531.0)	(40, 181902.0)	(45, 224286.0)	(50, 339703.0)	(55, 410671.0)	(60, 524478.0)	(65, 645644.0)	(70, 675307.0)	(75, 921756.0)	(80, 1180779.0)	(85, 1596070.0)	(90, 2071525.0)	(95, 2346529.0)	(100, 2445709.0)	(105, 3169428.0)	(110, 3442389.0)	(115, 4714707.0)	(120, 4243425.0)	(125, 4321830.0)	(130, 4234312.0)	(135, 4078198.0)	(140, 4180610.0)	(145, 53660003.0)
mehreen_1045_MERGE_1_val_1	(20, 12811.0)	(25, 57205.0)	(30, 134021.0)	(35, 146298.0)	(40, 175679.0)	(45, 230255.0)	(50, 329726.0)	(55, 366959.0)	(60, 459467.0)	(65, 552787.0)	(70, 633251.0)	(75, 834971.0)	(80, 1072694.0)	(85, 1425439.0)	(90, 1868525.0)	(95, 2355490.0)	(100, 2407842.0)	(105, 2928510.0)	(110, 3222947.0)	(115, 3738151.0)	(120, 3454693.0)	(125, 3293961.0)	(130, 3313241.0)	(135, 3140122.0)	(140, 3239579.0)	(145, 42896323.0)
mehreen_1045_MERGE_2_val_2	(20, 35482.0)	(25, 72863.0)	(30, 140106.0)	(35, 155760.0)	(40, 188499.0)	(45, 238180.0)	(50, 336372.0)	(55, 380091.0)	(60, 468300.0)	(65, 554851.0)	(70, 636788.0)	(75, 854827.0)	(80, 1080304.0)	(85, 1427208.0)	(90, 1871226.0)	(95, 2354377.0)	(100, 2408576.0)	(105, 2929413.0)	(110, 3229066.0)	(115, 3735683.0)	(120, 3454475.0)	(125, 3295217.0)	(130, 3317864.0)	(135, 3142668.0)	(140, 3308262.0)	(145, 42674489.0)
mehreen_1046_MERGE_1_val_1	(20, 11578.0)	(25, 57779.0)	(30, 214464.0)	(35, 175160.0)	(40, 161172.0)	(45, 223005.0)	(50, 302427.0)	(55, 297310.0)	(60, 395013.0)	(65, 511465.0)	(70, 554589.0)	(75, 764872.0)	(80, 1035883.0)	(85, 1468860.0)	(90, 1994885.0)	(95, 2768817.0)	(100, 2808538.0)	(105, 3207695.0)	(110, 3466975.0)	(115, 4369013.0)	(120, 3828413.0)	(125, 3722175.0)	(130, 3769223.0)	(135, 3492846.0)	(140, 3388263.0)	(145, 38052034.0)
mehreen_1046_MERGE_2_val_2	(20, 31126.0)	(25, 70460.0)	(30, 218926.0)	(35, 181351.0)	(40, 164335.0)	(45, 220034.0)	(50, 297315.0)	(55, 304905.0)	(60, 400746.0)	(65, 512459.0)	(70, 555467.0)	(75, 776805.0)	(80, 1038339.0)	(85, 1467201.0)	(90, 1993142.0)	(95, 2763171.0)	(100, 2803885.0)	(105, 3201916.0)	(110, 3463735.0)	(115, 4359742.0)	(120, 3822315.0)	(125, 3715967.0)	(130, 3766006.0)	(135, 3490076.0)	(140, 3469837.0)	(145, 37953193.0)
mehreen_1049_MERGE_1_val_1	(20, 18580.0)	(25, 103927.0)	(30, 241222.0)	(35, 259878.0)	(40, 282226.0)	(45, 399203.0)	(50, 522786.0)	(55, 527805.0)	(60, 702025.0)	(65, 869684.0)	(70, 954397.0)	(75, 1265558.0)	(80, 1600353.0)	(85, 2030379.0)	(90, 2564269.0)	(95, 4058685.0)	(100, 4023843.0)	(105, 4342449.0)	(110, 4667008.0)	(115, 4736067.0)	(120, 4298982.0)	(125, 4501621.0)	(130, 4980052.0)	(135, 4344393.0)	(140, 4265193.0)	(145, 40833474.0)
mehreen_1049_MERGE_2_val_2	(20, 44036.0)	(25, 121868.0)	(30, 246611.0)	(35, 268977.0)	(40, 288950.0)	(45, 399757.0)	(50, 521656.0)	(55, 541725.0)	(60, 711044.0)	(65, 872235.0)	(70, 957803.0)	(75, 1279445.0)	(80, 1604362.0)	(85, 2026453.0)	(90, 2561867.0)	(95, 4050097.0)	(100, 4017188.0)	(105, 4338302.0)	(110, 4666736.0)	(115, 4727015.0)	(120, 4291825.0)	(125, 4493086.0)	(130, 4969704.0)	(135, 4341196.0)	(140, 4176992.0)	(145, 40875129.0)
mehreen_1050_MERGE_1_val_1	(20, 19902.0)	(25, 113745.0)	(30, 223310.0)	(35, 187478.0)	(40, 177436.0)	(45, 229122.0)	(50, 307556.0)	(55, 303275.0)	(60, 389682.0)	(65, 477201.0)	(70, 523998.0)	(75, 706207.0)	(80, 940826.0)	(85, 1320594.0)	(90, 1763051.0)	(95, 2363505.0)	(100, 2342715.0)	(105, 2693460.0)	(110, 2887610.0)	(115, 3534332.0)	(120, 3225525.0)	(125, 3060089.0)	(130, 3056093.0)	(135, 2891749.0)	(140, 2952741.0)	(145, 41303637.0)
mehreen_1050_MERGE_2_val_2	(20, 37549.0)	(25, 124072.0)	(30, 223771.0)	(35, 191443.0)	(40, 180698.0)	(45, 225142.0)	(50, 304403.0)	(55, 309679.0)	(60, 394655.0)	(65, 477906.0)	(70, 526036.0)	(75, 719637.0)	(80, 944691.0)	(85, 1320424.0)	(90, 1765382.0)	(95, 2363686.0)	(100, 2343830.0)	(105, 2693507.0)	(110, 2892700.0)	(115, 3534228.0)	(120, 3227127.0)	(125, 3062826.0)	(130, 3064482.0)	(135, 2897657.0)	(140, 3059687.0)	(145, 41109621.0)
mehreen_1051_MERGE_1_val_1	(20, 18375.0)	(25, 94823.0)	(30, 237923.0)	(35, 190845.0)	(40, 173310.0)	(45, 221143.0)	(50, 283800.0)	(55, 276958.0)	(60, 344516.0)	(65, 418986.0)	(70, 477011.0)	(75, 638416.0)	(80, 836568.0)	(85, 1116965.0)	(90, 1500401.0)	(95, 2037241.0)	(100, 2068127.0)	(105, 2400848.0)	(110, 2589099.0)	(115, 3031849.0)	(120, 2811176.0)	(125, 2705341.0)	(130, 2818621.0)	(135, 2651459.0)	(140, 2774760.0)	(145, 40546633.0)
mehreen_1051_MERGE_2_val_2	(20, 42912.0)	(25, 111537.0)	(30, 243400.0)	(35, 200409.0)	(40, 183412.0)	(45, 224013.0)	(50, 283997.0)	(55, 287843.0)	(60, 353025.0)	(65, 421354.0)	(70, 480651.0)	(75, 659951.0)	(80, 843162.0)	(85, 1117822.0)	(90, 1502091.0)	(95, 2036503.0)	(100, 2067965.0)	(105, 2400074.0)	(110, 2593735.0)	(115, 3027326.0)	(120, 2810024.0)	(125, 2706521.0)	(130, 2825109.0)	(135, 2654258.0)	(140, 2850282.0)	(145, 40337818.0)
mehreen_1052_MERGE_1_val_1	(20, 18899.0)	(25, 104880.0)	(30, 291331.0)	(35, 242820.0)	(40, 248933.0)	(45, 311987.0)	(50, 368326.0)	(55, 370183.0)	(60, 462009.0)	(65, 555384.0)	(70, 625267.0)	(75, 820190.0)	(80, 1011577.0)	(85, 1267619.0)	(90, 1669759.0)	(95, 2505828.0)	(100, 2475086.0)	(105, 2790765.0)	(110, 3190044.0)	(115, 3244982.0)	(120, 2968427.0)	(125, 2901391.0)	(130, 3137964.0)	(135, 2765785.0)	(140, 2926834.0)	(145, 38685380.0)
mehreen_1052_MERGE_2_val_2	(20, 32487.0)	(25, 118009.0)	(30, 297077.0)	(35, 250524.0)	(40, 254747.0)	(45, 311510.0)	(50, 368308.0)	(55, 378945.0)	(60, 469782.0)	(65, 559403.0)	(70, 628971.0)	(75, 830330.0)	(80, 1016259.0)	(85, 1266897.0)	(90, 1668131.0)	(95, 2499115.0)	(100, 2471983.0)	(105, 2790103.0)	(110, 3192710.0)	(115, 3241719.0)	(120, 2965070.0)	(125, 2896823.0)	(130, 3128571.0)	(135, 2760978.0)	(140, 2957388.0)	(145, 38605810.0)
mehreen_1054_MERGE_1_val_1	(20, 11617.0)	(25, 52731.0)	(30, 128888.0)	(35, 134604.0)	(40, 141884.0)	(45, 179234.0)	(50, 260995.0)	(55, 297412.0)	(60, 414094.0)	(65, 550927.0)	(70, 584841.0)	(75, 801457.0)	(80, 1034719.0)	(85, 1410909.0)	(90, 1869470.0)	(95, 2296592.0)	(100, 2351164.0)	(105, 2884536.0)	(110, 3129374.0)	(115, 4010681.0)	(120, 3583434.0)	(125, 3725823.0)	(130, 3876863.0)	(135, 3583280.0)	(140, 3547382.0)	(145, 45618344.0)
mehreen_1054_MERGE_2_val_2	(20, 27440.0)	(25, 64398.0)	(30, 134608.0)	(35, 142622.0)	(40, 149897.0)	(45, 188906.0)	(50, 270324.0)	(55, 311230.0)	(60, 422117.0)	(65, 553695.0)	(70, 586822.0)	(75, 811703.0)	(80, 1038967.0)	(85, 1412129.0)	(90, 1869568.0)	(95, 2292714.0)	(100, 2349767.0)	(105, 2884008.0)	(110, 3131938.0)	(115, 4008251.0)	(120, 3581591.0)	(125, 3720963.0)	(130, 3869303.0)	(135, 3581889.0)	(140, 3608541.0)	(145, 45467864.0)
mehreen_1055_MERGE_1_val_1	(20, 13597.0)	(25, 64852.0)	(30, 131848.0)	(35, 132891.0)	(40, 146878.0)	(45, 189962.0)	(50, 256633.0)	(55, 281613.0)	(60, 379404.0)	(65, 492880.0)	(70, 558906.0)	(75, 752734.0)	(80, 953340.0)	(85, 1260572.0)	(90, 1673914.0)	(95, 2279687.0)	(100, 2332776.0)	(105, 2808704.0)	(110, 3218962.0)	(115, 3693948.0)	(120, 3409760.0)	(125, 3461504.0)	(130, 3688835.0)	(135, 3460588.0)	(140, 3590044.0)	(145, 46808089.0)
mehreen_1055_MERGE_2_val_2	(20, 29740.0)	(25, 76408.0)	(30, 136556.0)	(35, 140049.0)	(40, 154456.0)	(45, 197318.0)	(50, 264911.0)	(55, 295141.0)	(60, 387496.0)	(65, 495736.0)	(70, 561708.0)	(75, 765618.0)	(80, 958884.0)	(85, 1261843.0)	(90, 1674607.0)	(95, 2277117.0)	(100, 2333144.0)	(105, 2811294.0)	(110, 3225137.0)	(115, 3694519.0)	(120, 3409538.0)	(125, 3458460.0)	(130, 3681130.0)	(135, 3458611.0)	(140, 3636194.0)	(145, 46657306.0)
mehreen_1057_MERGE_1_val_1	(20, 16485.0)	(25, 86132.0)	(30, 311105.0)	(35, 216182.0)	(40, 185447.0)	(45, 232377.0)	(50, 264908.0)	(55, 252766.0)	(60, 303889.0)	(65, 379386.0)	(70, 422687.0)	(75, 557458.0)	(80, 746130.0)	(85, 1039350.0)	(90, 1424162.0)	(95, 1784275.0)	(100, 1847980.0)	(105, 2183022.0)	(110, 2328416.0)	(115, 2897025.0)	(120, 2653578.0)	(125, 2619575.0)	(130, 2606260.0)	(135, 2543675.0)	(140, 2633846.0)	(145, 40572541.0)
mehreen_1057_MERGE_2_val_2	(20, 29580.0)	(25, 95906.0)	(30, 312857.0)	(35, 219078.0)	(40, 183421.0)	(45, 224193.0)	(50, 257247.0)	(55, 254901.0)	(60, 307866.0)	(65, 380124.0)	(70, 423062.0)	(75, 567961.0)	(80, 748870.0)	(85, 1040078.0)	(90, 1424908.0)	(95, 1783845.0)	(100, 1848239.0)	(105, 2183559.0)	(110, 2331307.0)	(115, 2896054.0)	(120, 2653643.0)	(125, 2618833.0)	(130, 2606789.0)	(135, 2546446.0)	(140, 2715803.0)	(145, 40454087.0)
mehreen_1058_MERGE_1_val_1	(20, 12146.0)	(25, 65535.0)	(30, 221041.0)	(35, 211440.0)	(40, 231388.0)	(45, 299028.0)	(50, 336516.0)	(55, 351128.0)	(60, 455053.0)	(65, 553552.0)	(70, 653594.0)	(75, 869549.0)	(80, 1123480.0)	(85, 1445290.0)	(90, 1869190.0)	(95, 2829116.0)	(100, 2740212.0)	(105, 2967043.0)	(110, 3204329.0)	(115, 3151863.0)	(120, 2882675.0)	(125, 2847512.0)	(130, 3014375.0)	(135, 2640982.0)	(140, 2663371.0)	(145, 28947104.0)
