Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
mehreen_1007_MERGE_1_val_1	(1, 38.09618301721045)	(2, 38.742552473570996)	(3, 38.76297901410666)	(4, 39.0313385687596)	(5, 39.14637339795426)	(6, 39.22273983183712)	(7, 39.26878370902201)	(8, 39.234969571957066)	(9, 39.29003124994477)	(10, 39.26367970927653)	(15, 39.501389551418356)	(20, 39.50261700642152)	(25, 39.47775362568082)	(30, 39.44395670412278)	(35, 39.50402735777801)	(40, 39.46815597453508)	(45, 39.39774545977614)	(50, 39.378999676236276)	(55, 39.38370017647204)	(60, 39.39148311865157)	(65, 39.39543642414613)	(70, 39.355650456919705)	(75, 39.363492249602686)	(80, 39.363807497239016)	(85, 39.33511676429336)	(90, 39.362847151421796)	(95, 39.297375643410575)	(100, 39.30679120677212)	(105, 39.280519286699416)	(110, 39.2818881202637)	(115, 39.22672916026361)	(120, 39.221561500388944)	(125, 39.20901022472982)	(130, 39.20897250198349)	(135, 39.19773991513608)	(140, 39.135875608205005)	(145, 39.27021016542264)
mehreen_1007_MERGE_2_val_2	(1, 38.459165548703425)	(2, 38.51074398906959)	(3, 38.733276754672026)	(4, 39.02304660448493)	(5, 39.07127301104177)	(6, 39.17940098380765)	(7, 39.215105176921)	(8, 39.292958333996154)	(9, 39.314518886950495)	(10, 39.31518824733412)	(15, 39.37983552065272)	(20, 39.36785635224679)	(25, 39.37861768360341)	(30, 39.37278596976268)	(35, 39.33882247831445)	(40, 39.33138058758781)	(45, 39.31406019799956)	(50, 39.31791276243115)	(55, 39.27447722033561)	(60, 39.28871590221463)	(65, 39.28416893096725)	(70, 39.284352733311394)	(75, 39.27411330273311)	(80, 39.25656805793434)	(85, 39.23254438088672)	(90, 39.2067513031678)	(95, 39.188329468975034)	(100, 39.199959726385075)	(105, 39.1376351296795)	(110, 39.160812674371)	(115, 39.11264449951058)	(120, 39.08803458746524)	(125, 39.04731169888573)	(130, 39.030520953188514)	(135, 38.992403345942975)	(140, 38.99465241139056)	(145, 39.09793445462572)
mehreen_1009_MERGE_1_val_1	(1, 38.20580057908809)	(2, 38.737923528257305)	(3, 38.76978261257427)	(4, 38.99749559694246)	(5, 39.189532778883674)	(6, 39.22600308150308)	(7, 39.21768600528622)	(8, 39.26785802401482)	(9, 39.27235055729582)	(10, 39.26493969276726)	(15, 39.49238709438983)	(20, 39.49630764568402)	(25, 39.483455770235324)	(30, 39.43336966798681)	(35, 39.50417207551297)	(40, 39.466620124254995)	(45, 39.404340190436415)	(50, 39.388598036576745)	(55, 39.37896726020502)	(60, 39.395883104878955)	(65, 39.405730188828436)	(70, 39.36614116136081)	(75, 39.380582505076035)	(80, 39.369520253003444)	(85, 39.34496097235573)	(90, 39.37260517940099)	(95, 39.318443857511724)	(100, 39.33179805767626)	(105, 39.301839096056526)	(110, 39.29402467704785)	(115, 39.237468610677695)	(120, 39.22786645401253)	(125, 39.23897870102894)	(130, 39.22036663889921)	(135, 39.22345870599301)	(140, 39.159128559067)	(145, 39.29618433266234)
mehreen_1009_MERGE_2_val_2	(1, 38.691708857855794)	(2, 38.7149978590053)	(3, 38.87887963531724)	(4, 39.104289087808816)	(5, 39.138880348982134)	(6, 39.251444534218955)	(7, 39.26508730925394)	(8, 39.33244827841087)	(9, 39.317324075230474)	(10, 39.3303963541919)	(15, 39.38250074042734)	(20, 39.36297426484684)	(25, 39.37292095086595)	(30, 39.36476462471975)	(35, 39.326514118201544)	(40, 39.31561152421718)	(45, 39.28801278135216)	(50, 39.28665472496332)	(55, 39.24020376504814)	(60, 39.24860390553176)	(65, 39.256243479730685)	(70, 39.25260622215742)	(75, 39.24466834876728)	(80, 39.22400634599478)	(85, 39.20260731246787)	(90, 39.17943324953439)	(95, 39.15487840003441)	(100, 39.16753819352006)	(105, 39.10450124620127)	(110, 39.13355439703374)	(115, 39.07173171697987)	(120, 39.03859970358014)	(125, 38.99262117201046)	(130, 38.97625300079661)	(135, 38.920077159905006)	(140, 38.92582613514685)	(145, 39.02379028543472)
mehreen_1011_MERGE_1_val_1	(1, 38.183192471597074)	(2, 38.80281750385352)	(3, 38.87580076757685)	(4, 38.91989499125746)	(5, 39.11550167651882)	(6, 39.0937324520824)	(7, 39.260024068090225)	(8, 39.19625369161621)	(9, 39.28118917850482)	(10, 39.29419892178767)	(15, 39.52677646797192)	(20, 39.52304379117647)	(25, 39.503238623190505)	(30, 39.470875280821005)	(35, 39.52440597562552)	(40, 39.48533981825349)	(45, 39.4216316283456)	(50, 39.40401480263355)	(55, 39.39583186371464)	(60, 39.40785898946449)	(65, 39.405297303454326)	(70, 39.37593929668221)	(75, 39.38967857007113)	(80, 39.366072208623834)	(85, 39.33670492515188)	(90, 39.354459375406485)	(95, 39.29542016552368)	(100, 39.308134965388)	(105, 39.28739942121585)	(110, 39.28406741514302)	(115, 39.23275810365184)	(120, 39.20286162229105)	(125, 39.18418877333735)	(130, 39.18290007137662)	(135, 39.18304444383682)	(140, 39.1182437247689)	(145, 39.27470753304748)
mehreen_1011_MERGE_2_val_2	(1, 38.591018844145424)	(2, 38.63922869849122)	(3, 38.80102629628014)	(4, 39.06941429510035)	(5, 39.111340823383486)	(6, 39.21829815422418)	(7, 39.20533319706731)	(8, 39.28431147319892)	(9, 39.28269573830833)	(10, 39.2710151853849)	(15, 39.31548087151106)	(20, 39.2753787836893)	(25, 39.27622481149977)	(30, 39.258362041236694)	(35, 39.22604994464575)	(40, 39.19817375767386)	(45, 39.16238681704256)	(50, 39.173154141495914)	(55, 39.13645002552727)	(60, 39.13423225301134)	(65, 39.13683134297677)	(70, 39.14908571357565)	(75, 39.13673610368236)	(80, 39.11934738054936)	(85, 39.08916480749827)	(90, 39.06579294315074)	(95, 39.04584176312112)	(100, 39.060416256034564)	(105, 38.97773790976132)	(110, 39.01460765624178)	(115, 38.9630208205741)	(120, 38.9280896453037)	(125, 38.87346610296985)	(130, 38.85222170597784)	(135, 38.80847914972882)	(140, 38.8353748009747)	(145, 38.950775688441745)
mehreen_1014_MERGE_1_val_1	(1, 38.28125608463938)	(2, 38.76233464295283)	(3, 38.790781533539885)	(4, 38.89087581739174)	(5, 39.06921871684755)	(6, 39.1430377717254)	(7, 39.170284100859945)	(8, 39.250431693631235)	(9, 39.220289939753314)	(10, 39.234301313788684)	(15, 39.49811459804415)	(20, 39.46189686452088)	(25, 39.4520840726329)	(30, 39.386623906671865)	(35, 39.459780163873646)	(40, 39.442274958112904)	(45, 39.41151878887908)	(50, 39.3780431073929)	(55, 39.371856942564776)	(60, 39.4012601882707)	(65, 39.39108868622044)	(70, 39.373092004272706)	(75, 39.37702892840694)	(80, 39.35289317078529)	(85, 39.313457041971425)	(90, 39.329828470254576)	(95, 39.298442468832874)	(100, 39.29095341562252)	(105, 39.26020226813605)	(110, 39.24873447555713)	(115, 39.19293019603398)	(120, 39.161060150904085)	(125, 39.14101698946659)	(130, 39.109444362028455)	(135, 39.11399258394689)	(140, 39.009563415980786)	(145, 39.207612349299254)
mehreen_1014_MERGE_2_val_2	(1, 39.00526916662936)	(2, 38.99495944127542)	(3, 39.050459541289676)	(4, 39.239375018435204)	(5, 39.24235781550199)	(6, 39.34388460055265)	(7, 39.36003383662086)	(8, 39.33038150937995)	(9, 39.36938612508803)	(10, 39.24437041300409)	(15, 39.22829887148531)	(20, 39.20440107965382)	(25, 39.25547843909016)	(30, 39.258027226746364)	(35, 39.247449006321894)	(40, 39.24796746825067)	(45, 39.22910606095682)	(50, 39.2486320041251)	(55, 39.22153658519563)	(60, 39.198703351182075)	(65, 39.177564703919394)	(70, 39.15172078183173)	(75, 39.19138202984534)	(80, 39.16779682835547)	(85, 39.18616259387413)	(90, 39.139381661399966)	(95, 39.14717969282274)	(100, 39.154891114071155)	(105, 39.07445974001451)	(110, 39.098307926039126)	(115, 39.06965111553211)	(120, 39.05071944158844)	(125, 39.001185428818836)	(130, 38.99606485366934)	(135, 38.9600258520935)	(140, 38.97682144699387)	(145, 39.05774866755125)
mehreen_1015_MERGE_1_val_1	(1, 38.349745594163124)	(2, 38.79132225266776)	(3, 38.81295686701738)	(4, 39.02528580997819)	(5, 39.11692715778474)	(6, 39.21819721176434)	(7, 39.24910534525934)	(8, 39.2925064336779)	(9, 39.316523995347346)	(10, 39.29673602254683)	(15, 39.51711722953365)	(20, 39.497489425468174)	(25, 39.4851172415916)	(30, 39.45171950572531)	(35, 39.51689569122668)	(40, 39.48426351785932)	(45, 39.4421567155809)	(50, 39.3951905017335)	(55, 39.412113014801704)	(60, 39.42482747457297)	(65, 39.42693605652134)	(70, 39.39871271606896)	(75, 39.40657923403795)	(80, 39.382829956822455)	(85, 39.35633806229122)	(90, 39.36756643097139)	(95, 39.32523812055419)	(100, 39.32078224001768)	(105, 39.29956251339971)	(110, 39.29351382857328)	(115, 39.242989789976626)	(120, 39.215250712000646)	(125, 39.1981947941401)	(130, 39.172762475284024)	(135, 39.18938175315213)	(140, 39.10469476864363)	(145, 39.27752239407681)
mehreen_1015_MERGE_2_val_2	(1, 38.766813903740896)	(2, 38.794502211260586)	(3, 38.89761664633695)	(4, 39.14220143676503)	(5, 39.15758369378578)	(6, 39.24713907465262)	(7, 39.27980531531372)	(8, 39.30028252424927)	(9, 39.32296414513568)	(10, 39.24192095768692)	(15, 39.244711617949974)	(20, 39.212820181457296)	(25, 39.243410742252934)	(30, 39.24343878347916)	(35, 39.222170694750766)	(40, 39.20815926455616)	(45, 39.18387124143009)	(50, 39.181538025921256)	(55, 39.14720996013635)	(60, 39.142856785922106)	(65, 39.14071021775904)	(70, 39.12823845486865)	(75, 39.15346961298446)	(80, 39.141562243836816)	(85, 39.13117848502232)	(90, 39.09190514593988)	(95, 39.08005777237218)	(100, 39.10108341842083)	(105, 39.0322189761582)	(110, 39.06414573176753)	(115, 39.022930298302086)	(120, 39.000079730344076)	(125, 38.95227787899029)	(130, 38.93947280664983)	(135, 38.90544109268579)	(140, 38.92313796912058)	(145, 39.02197731748644)
