"gene_id","Description","gene_biotype","comparison_type","comparison","numerator_condition","denominator_condition","higher_in","lower_in","signed_direction","log2FoldChange","lfcSE","baseMean","stat","pvalue","padj","GOs","KEGG_ko","KEGG_Pathway","PFAMs"
"LOC126358175","uncharacterized LOC126358175","lncRNA","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",6.07001627604633,1.10112135823367,215.91919370226,5.5125770022147,3.53617396589251e-08,0.00049973210485993,NA,NA,NA,NA
"LOC126284902","cytochrome P450 6j1-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 33","Infection response diet 83","Downregulated",-8.46195770827418,1.70398806022603,33.9017305809539,-4.96597241834648,6.83576704638498e-07,0.00483015299497563,NA,NA,NA,NA
"LOC126284901","cytochrome P450 6j1-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 33","Infection response diet 83","Downregulated",-10.1810522073985,2.10025104963566,28.6183447686048,-4.84754058766671,1.25001463807505e-06,0.00588840228842554,NA,NA,NA,NA
"LOC126281341","uncharacterized LOC126281341","lncRNA","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",5.83353365318743,1.26993625566151,19.7122671394953,4.59356414716166,4.35738992217438e-06,0.0153946585950421,NA,NA,NA,NA
"LOC126336484","sialin-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",9.14722100442314,2.06004317019388,15.7514154053143,4.44030549299714,8.98312653462383e-06,0.0253899088374608,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0044425,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944","ko:K12301","ko04142,map04142","MFS_1"
"LOC126356287","facilitated trehalose transporter Tret1-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",2.78116538717533,0.634018520182999,25.1486550875955,4.38656805541357,1.15153146543479e-05,0.0271224044492074,"GO:0003674,GO:0005215,GO:0005351,GO:0005355,GO:0005402,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0008643,GO:0008645,GO:0015075,GO:0015077,GO:0015078,GO:0015144,GO:0015145,GO:0015149,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015672,GO:0015749,GO:0022804,GO:0022857,GO:0022890,GO:0034219,GO:0034220,GO:0046323,GO:0051119,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0098655,GO:0098660,GO:0098662,GO:1902600,GO:1904659","ko:K08145","","Sugar_tr"
"LOC126281827","15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",4.44587895090099,1.03913383217051,87.5152985818041,4.27844692691273,1.88201850299108e-05,0.0332458568553374,"","ko:K00069","ko05202,map05202","adh_short"
"LOC126272905","uncharacterized LOC126272905","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",3.56421365250382,0.832642137287026,93.1070931303665,4.28060686925717,1.86384356209854e-05,0.0332458568553374,"GO:0003674,GO:0005102,GO:0005121,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0007154,GO:0007165,GO:0007166,GO:0008063,GO:0008150,GO:0009987,GO:0023052,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007","","",""
"LOC126271907","cytochrome P450 6k1-like","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 33","Infection response diet 83","Downregulated",-5.20641898902134,1.22697327732173,94.9559501150771,-4.24330267435492,2.20254047046638e-05,0.034584779920701,"","ko:K14999","","p450"
"LOC126284832","uncharacterized LOC126284832","protein_coding","Diet by infection interaction","Infection response: 83 vs 33","Infection response diet 83","Infection response diet 33","Infection response diet 83","Infection response diet 33","Upregulated",5.4463138999848,1.3094005171881,70.3324139573964,4.15939495096625,3.19091733426824e-05,0.0409945852435261,"","","",""
