name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Rhodospirillaceae	41295	F	164	2	166	0.00002
Thalassospiraceae	2844866	F	14	2	16	0.00000
Thalassobaculaceae	2844864	F	11	2	13	0.00000
Acetobacteraceae	433	F	108	10	118	0.00001
Roseomonadaceae	3385906	F	28	1	29	0.00000
Caulobacteraceae	76892	F	99	1191	1290	0.00014
Candidatus Pelagibacteraceae	1655514	F	94	6	100	0.00001
Emcibacteraceae	2066491	F	55	0	55	0.00001
Sneathiellaceae	510685	F	11	0	11	0.00000
Geminicoccaceae	2066434	F	11	3	14	0.00000
Hyphomonadaceae	69657	F	10	1	11	0.00000
Oxalobacteraceae	75682	F	1017	46	1063	0.00011
Burkholderiaceae	119060	F	715	252	967	0.00010
Comamonadaceae	80864	F	396	190	586	0.00006
Sphaerotilaceae	2975441	F	175	13	188	0.00002
Alcaligenaceae	506	F	131	81	212	0.00002
Neisseriaceae	481	F	783	34	817	0.00009
Chromobacteriaceae	1499392	F	40	1	41	0.00000
Chitinibacteraceae	2897177	F	16	2	18	0.00000
Nitrosomonadaceae	206379	F	45	0	45	0.00000
Methylophilaceae	32011	F	36	0	36	0.00000
Sterolibacteriaceae	2008793	F	28	2	30	0.00000
Zoogloeaceae	2008794	F	39	7	46	0.00000
Azonexaceae	2008795	F	13	1	14	0.00000
Rhodocyclaceae	75787	F	12	1	13	0.00000
Flavobacteriaceae	49546	F	2962	82	3044	0.00033
Weeksellaceae	2762318	F	724	45	769	0.00008
Blattabacteriaceae	39782	F	57	19	76	0.00001
Crocinitomicaceae	1853230	F	23	10	33	0.00000
Flammeovirgaceae	200667	F	393	0	393	0.00004
Cyclobacteriaceae	563798	F	200	332	532	0.00006
Spirosomataceae	2896860	F	114	0	114	0.00001
Hymenobacteraceae	1853232	F	98	0	98	0.00001
Cytophagaceae	89373	F	54	0	54	0.00001
Reichenbachiellaceae	2762302	F	51	0	51	0.00001
Marivirgaceae	2762301	F	43	0	43	0.00000
Bernardetiaceae	1937968	F	38	1	39	0.00000
Fulvivirgaceae	2762286	F	31	0	31	0.00000
Leadbetterellaceae	3141702	F	29	0	29	0.00000
Roseivirgaceae	2762306	F	16	0	16	0.00000
