name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vibrionaceae	641	F	1204878	1539197	2744075	0.23549
Lysobacteraceae	32033	F	27553	16483	44036	0.00378
Rhodanobacteraceae	1775411	F	63	6	69	0.00001
Enterobacteriaceae	543	F	9449	486156	495605	0.04253
Morganellaceae	1903414	F	1044	2289	3333	0.00029
Yersiniaceae	1903411	F	435	1098	1533	0.00013
Erwiniaceae	1903409	F	335	74	409	0.00004
Pectobacteriaceae	1903410	F	140	68	208	0.00002
Hafniaceae	1903412	F	33	22	55	0.00000
Bruguierivoracaceae	2812006	F	17	0	17	0.00000
Pseudomonadaceae	135621	F	1418	1788	3206	0.00028
Marinobacteraceae	2887365	F	1200	18	1218	0.00010
Ketobacteraceae	3085096	F	13	0	13	0.00000
Pseudoalteromonadaceae	267888	F	340	51	391	0.00003
Alteromonadaceae	72275	F	235	14	249	0.00002
Shewanellaceae	267890	F	156	29	185	0.00002
Idiomarinaceae	267893	F	125	27	152	0.00001
Colwelliaceae	267889	F	70	4	74	0.00001
Psychromonadaceae	267894	F	44	3	47	0.00000
Moritellaceae	267891	F	18	3	21	0.00000
Aeromonadaceae	84642	F	737	1389	2126	0.00018
Moraxellaceae	468	F	635	579	1214	0.00010
Oceanospirillaceae	135620	F	134	18	152	0.00001
Halomonadaceae	28256	F	128	48	176	0.00002
Hahellaceae	224379	F	64	0	64	0.00001
Pleioneaceae	2823145	F	29	0	29	0.00000
Alcanivoracaceae	224372	F	25	2	27	0.00000
Endozoicomonadaceae	2066474	F	19	0	19	0.00000
Zooshikellaceae	2898533	F	12	0	12	0.00000
Pasteurellaceae	712	F	329	2769	3098	0.00027
Candidatus Pseudothioglobaceae	3399801	F	124	10	134	0.00001
Piscirickettsiaceae	135616	F	53	7	60	0.00001
Francisellaceae	34064	F	48	0	48	0.00000
Thiotrichaceae	135617	F	13	3	16	0.00000
Legionellaceae	444	F	83	1	84	0.00001
Coxiellaceae	118968	F	20	0	20	0.00000
Microbulbiferaceae	1706373	F	44	0	44	0.00000
Cellvibrionaceae	1706371	F	43	2	45	0.00000
Methylococcaceae	403	F	81	1	82	0.00001
Chromatiaceae	1046	F	51	3	54	0.00000
Orbaceae	1240483	F	32	28	60	0.00001
Methylobacteriaceae	119045	F	1644	57	1701	0.00015
Brucellaceae	118882	F	748	11	759	0.00007
Rhizobiaceae	82115	F	304	59	363	0.00003
Nitrobacteraceae	41294	F	186	15	201	0.00002
Phyllobacteriaceae	69277	F	152	15	167	0.00001
Aurantimonadaceae	255475	F	99	20	119	0.00001
Bartonellaceae	772	F	81	4	85	0.00001
Stappiaceae	2821832	F	68	3	71	0.00001
Alloboseaceae	2831100	F	38	1	39	0.00000
Devosiaceae	2831106	F	32	1	33	0.00000
