"gene_id","Diet 33","Diet 50","Diet 83","intersection"
"LOC126281664",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281672",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281676",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281690",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126281691",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126281694",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126281695",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281701",TRUE,FALSE,FALSE,"Diet 33"
"LOC126281715",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126281716",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281718",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281729",FALSE,FALSE,TRUE,"Diet 83"
"LOC126281749",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281771",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126281778",FALSE,FALSE,TRUE,"Diet 83"
"LOC126281780",TRUE,FALSE,FALSE,"Diet 33"
"LOC126281781",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126281810",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281818",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126281827",FALSE,FALSE,TRUE,"Diet 83"
"LOC126281835",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126281857",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126281860",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281861",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126281863",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281878",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126281896",FALSE,FALSE,TRUE,"Diet 83"
"LOC126281897",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126281906",TRUE,FALSE,FALSE,"Diet 33"
"LOC126281914",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126281915",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126281934",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126281935",FALSE,FALSE,TRUE,"Diet 83"
"LOC126281954",FALSE,FALSE,TRUE,"Diet 83"
"LOC126281958",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126281978",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281991",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281993",FALSE,TRUE,FALSE,"Diet 50"
"LOC126281994",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126282003",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282012",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282015",FALSE,TRUE,FALSE,"Diet 50"
"LOC126282017",TRUE,FALSE,FALSE,"Diet 33"
"LOC126282019",TRUE,FALSE,FALSE,"Diet 33"
"LOC126282021",TRUE,FALSE,FALSE,"Diet 33"
"LOC126282023",FALSE,TRUE,FALSE,"Diet 50"
