"gene_id","Infection within diets","Diet DEGs in controls","Diet DEGs in infected","Infection vs control","intersection"
"LOC126284203",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126284216",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284218",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284220",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284222",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284231",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284232",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284235",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284250",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284251",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284252",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284254",TRUE,TRUE,FALSE,FALSE,"Infection within diets + Diet DEGs in controls"
"LOC126284258",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284265",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126284269",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284272",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284276",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284279",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284284",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126284286",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284291",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284296",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284300",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284305",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284310",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284312",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284315",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284316",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284317",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284322",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126284323",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284326",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284333",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284334",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284336",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284338",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126284341",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126284346",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284347",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126284350",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126284367",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284371",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284373",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284378",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284379",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284383",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284387",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284394",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284404",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126284412",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284413",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284416",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284417",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284425",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284428",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284429",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284430",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284452",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284453",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284457",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284462",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284463",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126284465",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284466",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284482",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284488",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284491",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284496",TRUE,TRUE,FALSE,FALSE,"Infection within diets + Diet DEGs in controls"
"LOC126284500",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284502",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284511",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284514",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126284518",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284524",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284530",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126284536",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126284543",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284548",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284552",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284556",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284557",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284559",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284563",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284566",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126284570",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126284573",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284575",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284577",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284582",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126284584",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284604",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284609",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126284620",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126284624",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284626",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284629",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126284630",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
