"label","PC1","PC2","Diet","Treatment","Condition"
"1002",-7.28745124123081,83.50892006035,"83","Control","83 Control"
"1003",-42.3351412790781,31.3316686715151,"33","Control","33 Control"
"1004",-41.712566268653,20.1123667070163,"50","Control","50 Control"
"1005",-29.9980474475747,34.6819936925785,"83","Control","83 Control"
"1006",-45.6200531811655,25.7131499317943,"33","Control","33 Control"
"1007",-45.1813916303775,27.0630904395269,"50","Control","50 Control"
"1009",-54.4696855119933,-9.38207185225382,"33","Control","33 Control"
"1011",-37.0045452562812,-11.3647851533633,"83","Control","83 Control"
"1014",9.92003974071856,-22.7586241211221,"83","Infected","83 Infected"
"1015",60.7418184140619,4.18838237369072,"33","Infected","33 Infected"
"1016",67.1527267450618,-30.1733545024594,"50","Infected","50 Infected"
"1018",14.525601628495,18.0498412914821,"33","Infected","33 Infected"
"1020",40.6214945372149,79.7714986971109,"83","Infected","83 Infected"
"1021",0.19460081583066,27.0830510992111,"33","Infected","33 Infected"
"1023",82.8590661350699,-59.0051278197877,"83","Infected","83 Infected"
"1024",28.1604921506602,46.3916246947794,"83","Infected","83 Infected"
"1025",57.863445885644,19.5513898616721,"50","Infected","50 Infected"
"1027",80.0933270578153,9.56589752180401,"33","Infected","33 Infected"
"1028",19.8898080226079,-2.62122868410309,"50","Infected","50 Infected"
"1029",82.6250761499361,7.02957777820827,"83","Infected","83 Infected"
"1030",-59.8225744530091,3.08309900826148,"33","Control","33 Control"
"1031",-48.4679164857253,-4.57211431887724,"50","Control","50 Control"
"1032",-54.270185998774,-6.36284757280412,"83","Control","83 Control"
"1033",-31.7866176182462,15.1913027714091,"33","Control","33 Control"
"1034",-50.277058809171,23.537091163822,"50","Control","50 Control"
"1035",-16.5678085185086,23.6597699265302,"83","Control","83 Control"
"1036",-55.2704301806111,14.6107613143925,"33","Control","33 Control"
"1037",-40.6678843565523,15.6138364479578,"50","Control","50 Control"
"1038",-52.992227335632,-12.867931402014,"83","Control","83 Control"
"1039",-45.0689857934077,-45.3278977312953,"33","Control","33 Control"
"1040",-58.9292134650555,-40.4995620721383,"50","Control","50 Control"
"1041",-56.8983681009008,-15.5284878225635,"83","Control","83 Control"
"1042",-11.0524790643616,-60.5359918460432,"33","Infected","33 Infected"
"1043",-14.0553955235843,-30.1452598246943,"50","Infected","50 Infected"
"1045",-4.44290758589096,-41.1682633778176,"33","Infected","33 Infected"
"1046",58.0800532948587,0.351401270333683,"50","Infected","50 Infected"
"1049",66.1222210591674,-10.3296709114235,"50","Infected","50 Infected"
"1050",-10.8492129081943,-69.1232152727689,"83","Infected","83 Infected"
"1051",-28.9800416787014,-45.3274081387242,"33","Infected","33 Infected"
"1052",43.0304175803575,0.0191031025313719,"50","Infected","50 Infected"
"1054",64.5078993768322,11.2010681963153,"33","Infected","33 Infected"
"1055",30.3000857039647,-7.58392514405546,"50","Infected","50 Infected"
"1057",66.1321124068219,-12.2507312938618,"33","Infected","33 Infected"
"1058",71.1879029875638,-4.38138716012073,"50","Infected","50 Infected"
