"intersection","n_genes"
"Infection within diets",2134
"Thorax phase DEGs",467
"Head phase DEGs",274
"Infection within diets + Thorax phase DEGs",250
"Head phase DEGs + Thorax phase DEGs",233
"Infection within diets + Head phase DEGs + Thorax phase DEGs",124
"Infection within diets + Head phase DEGs",86
