"set_id","gene_id"
"infection_diet33_up","LOC126282035"
"infection_diet33_up","LOC126282072"
"infection_diet33_up","LOC126282073"
"infection_diet33_up","LOC126282077"
"infection_diet33_up","LOC126282100"
"infection_diet33_up","LOC126282167"
"infection_diet33_up","LOC126282181"
"infection_diet33_up","LOC126282193"
"infection_diet33_up","LOC126282207"
"infection_diet33_up","LOC126282259"
"infection_diet33_up","LOC126282375"
"infection_diet33_up","LOC126282431"
"infection_diet33_up","LOC126282434"
"infection_diet33_up","LOC126282517"
"infection_diet33_up","LOC126282528"
"infection_diet33_up","LOC126282679"
"infection_diet33_up","LOC126282995"
"infection_diet33_up","LOC126283383"
"infection_diet33_up","LOC126283409"
"infection_diet33_up","LOC126283972"
"infection_diet33_up","LOC126283976"
"infection_diet33_up","LOC126283989"
"infection_diet33_up","LOC126284033"
"infection_diet33_up","LOC126284041"
"infection_diet33_up","LOC126284043"
"infection_diet33_up","LOC126284216"
"infection_diet33_up","LOC126284305"
"infection_diet33_up","LOC126284371"
"infection_diet33_up","LOC126284462"
"infection_diet33_up","LOC126284500"
"infection_diet33_up","LOC126284548"
"infection_diet33_up","LOC126284639"
"infection_diet33_up","LOC126284640"
"infection_diet33_up","LOC126284649"
"infection_diet33_up","LOC126284651"
"infection_diet33_up","LOC126284747"
"infection_diet33_up","LOC126284768"
"infection_diet33_up","LOC126284801"
"infection_diet33_up","LOC126284817"
"infection_diet33_up","LOC126284857"
"infection_diet33_up","LOC126284863"
"infection_diet33_up","LOC126284880"
"infection_diet33_up","LOC126284901"
"infection_diet33_up","LOC126284902"
"infection_diet33_up","LOC126284941"
"infection_diet33_up","LOC126284942"
"infection_diet33_up","LOC126285239"
"infection_diet33_up","LOC126285286"
"infection_diet33_up","LOC126285411"
"infection_diet33_up","LOC126285413"
"infection_diet33_up","LOC126285457"
"infection_diet33_up","LOC126285462"
"infection_diet33_up","LOC126291516"
"infection_diet33_up","LOC126291582"
"infection_diet33_up","LOC126291645"
"infection_diet33_up","LOC126291885"
"infection_diet33_up","LOC126291886"
"infection_diet33_up","LOC126291948"
"infection_diet33_up","LOC126292011"
"infection_diet33_up","LOC126292039"
"infection_diet33_up","LOC126292043"
"infection_diet33_up","LOC126292044"
"infection_diet33_up","LOC126292045"
"infection_diet33_up","LOC126292051"
"infection_diet33_up","LOC126292108"
"infection_diet33_up","LOC126292134"
"infection_diet33_up","LOC126292201"
"infection_diet33_up","LOC126292206"
"infection_diet33_up","LOC126292237"
"infection_diet33_up","LOC126292248"
"infection_diet33_up","LOC126293178"
"infection_diet33_up","LOC126293180"
"infection_diet33_up","LOC126293181"
"infection_diet33_up","LOC126293188"
"infection_diet33_up","LOC126293270"
"infection_diet33_up","LOC126293287"
"infection_diet33_up","LOC126293297"
"infection_diet33_up","LOC126293387"
"infection_diet33_up","LOC126293467"
"infection_diet33_up","LOC126293478"
"infection_diet33_up","LOC126293502"
"infection_diet33_up","LOC126293526"
"infection_diet33_up","LOC126293557"
"infection_diet33_up","LOC126293577"
"infection_diet33_up","LOC126293578"
"infection_diet33_up","LOC126293579"
"infection_diet33_up","LOC126293587"
"infection_diet33_up","LOC126293666"
"infection_diet33_up","LOC126293672"
"infection_diet33_up","LOC126293732"
"infection_diet33_up","LOC126294948"
"infection_diet33_up","LOC126294949"
"infection_diet33_up","LOC126294950"
"infection_diet33_up","LOC126294955"
"infection_diet33_up","LOC126294995"
"infection_diet33_up","LOC126295040"
"infection_diet33_up","LOC126295041"
"infection_diet33_up","LOC126295063"
"infection_diet33_up","LOC126295065"
"infection_diet33_up","LOC126295163"
"infection_diet33_up","LOC126295425"
"infection_diet33_up","LOC126295468"
"infection_diet33_up","LOC126295494"
"infection_diet33_up","LOC126297421"
"infection_diet33_up","LOC126297487"
"infection_diet33_up","LOC126297521"
"infection_diet33_up","LOC126297555"
"infection_diet33_up","LOC126297567"
"infection_diet33_up","LOC126297581"
"infection_diet33_up","LOC126297629"
"infection_diet33_up","LOC126297712"
"infection_diet33_up","LOC126297737"
"infection_diet33_up","LOC126297738"
"infection_diet33_up","LOC126297835"
"infection_diet33_up","LOC126297857"
"infection_diet33_up","LOC126297964"
"infection_diet33_up","LOC126298063"
"infection_diet33_up","LOC126298179"
"infection_diet33_up","LOC126298233"
"infection_diet33_up","LOC126298271"
"infection_diet33_up","LOC126298389"
"infection_diet33_up","LOC126298393"
"infection_diet33_up","LOC126298455"
"infection_diet33_up","LOC126298556"
"infection_diet33_up","LOC126298578"
"infection_diet33_up","LOC126298648"
"infection_diet33_up","LOC126298649"
"infection_diet33_up","LOC126298757"
"infection_diet33_up","LOC126298804"
"infection_diet33_up","LOC126298824"
"infection_diet33_up","LOC126298852"
"infection_diet33_up","LOC126299001"
"infection_diet33_up","LOC126299011"
"infection_diet33_up","LOC126299115"
"infection_diet33_up","LOC126299138"
"infection_diet33_up","LOC126299206"
"infection_diet33_up","LOC126299221"
"infection_diet33_up","LOC126299290"
"infection_diet33_up","LOC126299329"
"infection_diet33_up","LOC126299332"
"infection_diet33_up","LOC126299360"
"infection_diet33_up","LOC126299374"
"infection_diet33_up","LOC126299386"
"infection_diet33_up","LOC126299393"
"infection_diet33_up","LOC126299444"
"infection_diet33_up","LOC126299447"
"infection_diet33_up","LOC126299466"
"infection_diet33_up","LOC126299506"
"infection_diet33_up","LOC126299510"
"infection_diet33_up","LOC126299559"
"infection_diet33_up","LOC126321085"
"infection_diet33_up","LOC126322572"
"infection_diet33_up","LOC126322901"
"infection_diet33_up","LOC126323118"
"infection_diet33_up","LOC126323134"
"infection_diet33_up","LOC126323183"
"infection_diet33_up","LOC126323780"
"infection_diet33_up","LOC126324495"
"infection_diet33_up","LOC126324937"
"infection_diet33_up","LOC126324969"
"infection_diet33_up","LOC126325205"
"infection_diet33_up","LOC126325232"
"infection_diet33_up","LOC126329331"
"infection_diet33_up","LOC126329358"
"infection_diet33_up","LOC126331066"
"infection_diet33_up","LOC126331691"
"infection_diet33_up","LOC126332062"
"infection_diet33_up","LOC126332151"
"infection_diet33_up","LOC126332162"
"infection_diet33_up","LOC126332220"
"infection_diet33_up","LOC126332302"
"infection_diet33_up","LOC126332318"
"infection_diet33_up","LOC126334513"
"infection_diet33_up","LOC126334532"
"infection_diet33_up","LOC126334542"
"infection_diet33_up","LOC126334564"
"infection_diet33_up","LOC126334613"
"infection_diet33_up","LOC126334632"
"infection_diet33_up","LOC126334672"
"infection_diet33_up","LOC126334681"
"infection_diet33_up","LOC126334771"
"infection_diet33_up","LOC126334785"
"infection_diet33_up","LOC126334818"
"infection_diet33_up","LOC126334835"
"infection_diet33_up","LOC126334947"
"infection_diet33_up","LOC126334976"
"infection_diet33_up","LOC126334990"
"infection_diet33_up","LOC126334994"
"infection_diet33_up","LOC126334999"
"infection_diet33_up","LOC126335001"
"infection_diet33_up","LOC126335013"
"infection_diet33_up","LOC126335036"
"infection_diet33_up","LOC126335057"
"infection_diet33_up","LOC126335083"
"infection_diet33_up","LOC126335084"
"infection_diet33_up","LOC126335114"
"infection_diet33_up","LOC126335115"
"infection_diet33_up","LOC126335117"
"infection_diet33_up","LOC126335132"
"infection_diet33_up","LOC126335140"
"infection_diet33_up","LOC126335166"
"infection_diet33_up","LOC126335229"
"infection_diet33_up","LOC126335233"
"infection_diet33_up","LOC126335237"
"infection_diet33_up","LOC126335241"
"infection_diet33_up","LOC126335288"
"infection_diet33_up","LOC126335291"
"infection_diet33_up","LOC126335348"
"infection_diet33_up","LOC126335382"
"infection_diet33_up","LOC126335463"
"infection_diet33_up","LOC126335467"
"infection_diet33_up","LOC126335468"
"infection_diet33_up","LOC126335470"
"infection_diet33_up","LOC126335472"
"infection_diet33_up","LOC126335490"
"infection_diet33_up","LOC126335515"
"infection_diet33_up","LOC126335517"
"infection_diet33_up","LOC126335545"
"infection_diet33_up","LOC126335546"
"infection_diet33_up","LOC126335547"
"infection_diet33_up","LOC126335557"
"infection_diet33_up","LOC126335565"
"infection_diet33_up","LOC126335566"
"infection_diet33_up","LOC126335579"
"infection_diet33_up","LOC126335656"
"infection_diet33_up","LOC126335700"
"infection_diet33_up","LOC126335709"
"infection_diet33_up","LOC126335750"
"infection_diet33_up","LOC126335786"
"infection_diet33_up","LOC126335827"
"infection_diet33_up","LOC126335828"
"infection_diet33_up","LOC126335966"
"infection_diet33_up","LOC126335975"
"infection_diet33_up","LOC126336000"
"infection_diet33_up","LOC126336076"
"infection_diet33_up","LOC126336209"
"infection_diet33_up","LOC126336236"
"infection_diet33_up","LOC126336325"
"infection_diet33_up","LOC126336365"
"infection_diet33_up","LOC126336375"
"infection_diet33_up","LOC126336376"
"infection_diet33_up","LOC126336379"
"infection_diet33_up","LOC126336414"
"infection_diet33_up","LOC126336416"
"infection_diet33_up","LOC126336437"
"infection_diet33_up","LOC126336499"
"infection_diet33_up","LOC126336546"
"infection_diet33_up","LOC126336549"
"infection_diet33_up","LOC126336554"
"infection_diet33_up","LOC126336565"
"infection_diet33_up","LOC126336578"
"infection_diet33_up","LOC126336583"
"infection_diet33_up","LOC126336593"
"infection_diet33_up","LOC126336619"
"infection_diet33_up","LOC126336670"
"infection_diet33_up","LOC126336687"
"infection_diet33_up","LOC126336688"
"infection_diet33_up","LOC126336705"
"infection_diet33_up","LOC126336730"
"infection_diet33_up","LOC126336738"
"infection_diet33_up","LOC126336772"
"infection_diet33_up","LOC126336801"
"infection_diet33_up","LOC126336969"
"infection_diet33_up","LOC126337753"
"infection_diet33_up","LOC126337850"
"infection_diet33_up","LOC126339612"
"infection_diet33_up","LOC126339755"
"infection_diet33_up","LOC126340122"
"infection_diet33_up","LOC126340284"
"infection_diet33_up","LOC126341392"
"infection_diet33_up","LOC126341418"
"infection_diet33_up","LOC126341434"
"infection_diet33_up","LOC126342556"
"infection_diet33_up","LOC126343175"
"infection_diet33_up","LOC126343256"
"infection_diet33_up","LOC126343303"
"infection_diet33_up","LOC126345497"
"infection_diet33_up","LOC126346021"
"infection_diet33_up","LOC126346362"
"infection_diet33_up","LOC126346425"
"infection_diet33_up","LOC126346580"
"infection_diet33_up","LOC126349011"
"infection_diet33_up","LOC126349353"
"infection_diet33_up","LOC126349825"
"infection_diet33_up","LOC126352796"
"infection_diet33_up","LOC126353355"
"infection_diet33_up","LOC126353793"
"infection_diet33_up","LOC126353855"
"infection_diet33_up","LOC126353879"
"infection_diet33_up","LOC126353887"
"infection_diet33_up","LOC126353927"
"infection_diet33_up","LOC126353931"
"infection_diet33_up","LOC126353952"
"infection_diet33_up","LOC126353958"
"infection_diet33_up","LOC126354017"
"infection_diet33_up","LOC126354018"
"infection_diet33_up","LOC126354056"
"infection_diet33_up","LOC126354142"
"infection_diet33_up","LOC126354146"
"infection_diet33_up","LOC126354186"
"infection_diet33_up","LOC126354226"
"infection_diet33_up","LOC126354254"
"infection_diet33_up","LOC126354256"
"infection_diet33_up","LOC126354272"
"infection_diet33_up","LOC126354299"
"infection_diet33_up","LOC126354418"
"infection_diet33_up","LOC126354504"
"infection_diet33_up","LOC126354579"
"infection_diet33_up","LOC126354583"
"infection_diet33_up","LOC126354633"
"infection_diet33_up","LOC126354649"
"infection_diet33_up","LOC126354656"
"infection_diet33_up","LOC126354658"
"infection_diet33_up","LOC126354672"
"infection_diet33_up","LOC126354677"
"infection_diet33_up","LOC126354689"
"infection_diet33_up","LOC126354702"
"infection_diet33_up","LOC126354788"
"infection_diet33_up","LOC126354870"
"infection_diet33_up","LOC126354913"
"infection_diet33_up","LOC126354914"
"infection_diet33_up","LOC126354919"
"infection_diet33_up","LOC126354995"
"infection_diet33_up","LOC126355038"
"infection_diet33_up","LOC126355071"
"infection_diet33_up","LOC126355083"
"infection_diet33_up","LOC126355120"
"infection_diet33_up","LOC126355203"
"infection_diet33_up","LOC126355206"
"infection_diet33_up","LOC126355303"
"infection_diet33_up","LOC126355485"
"infection_diet33_up","LOC126355590"
"infection_diet33_up","LOC126355597"
"infection_diet33_up","LOC126355684"
"infection_diet33_up","LOC126355691"
"infection_diet33_up","LOC126355831"
"infection_diet33_up","LOC126355838"
"infection_diet33_up","LOC126355861"
"infection_diet33_up","LOC126355933"
"infection_diet33_up","LOC126355938"
"infection_diet33_up","LOC126355939"
"infection_diet33_up","LOC126355940"
"infection_diet33_up","LOC126356050"
"infection_diet33_up","LOC126356066"
"infection_diet33_up","LOC126356089"
"infection_diet33_up","LOC126356122"
"infection_diet33_up","LOC126356135"
"infection_diet33_up","LOC126356143"
"infection_diet33_up","LOC126356145"
"infection_diet33_up","LOC126356152"
"infection_diet33_up","LOC126356154"
"infection_diet33_up","LOC126356204"
"infection_diet33_up","LOC126356221"
"infection_diet33_up","LOC126356252"
"infection_diet33_up","LOC126356271"
"infection_diet33_up","LOC126356285"
"infection_diet33_up","LOC126356328"
"infection_diet33_up","LOC126357744"
"infection_diet33_up","LOC126358740"
"infection_diet33_up","LOC126359055"
"infection_diet33_up","LOC126360693"
"infection_diet33_up","LOC126361021"
"infection_diet33_up","LOC126361126"
"infection_diet33_up","LOC126361845"
"infection_diet33_up","LOC126365745"
"infection_diet33_up","LOC126365747"
"infection_diet33_up","LOC126365759"
"infection_diet33_up","LOC126365760"
"infection_diet33_up","LOC126365778"
"infection_diet33_up","LOC126365849"
"infection_diet33_up","LOC126365865"
"infection_diet33_up","LOC126365918"
"infection_diet33_up","LOC126365957"
"infection_diet33_up","LOC126365959"
"infection_diet33_up","LOC126365964"
"infection_diet33_down","LOC126266596"
"infection_diet33_down","LOC126266629"
"infection_diet33_down","LOC126266657"
"infection_diet33_down","LOC126266696"
"infection_diet33_down","LOC126266750"
"infection_diet33_down","LOC126266751"
"infection_diet33_down","LOC126266822"
"infection_diet33_down","LOC126266832"
"infection_diet33_down","LOC126266835"
"infection_diet33_down","LOC126266862"
"infection_diet33_down","LOC126266913"
"infection_diet33_down","LOC126266938"
"infection_diet33_down","LOC126266958"
"infection_diet33_down","LOC126267080"
"infection_diet33_down","LOC126267179"
"infection_diet33_down","LOC126267190"
