"DEG_set","contrast_id","result_file","modified"
"Diet 33","infection_diet33","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",2026-08-06 00:51:58.202889
"Diet 50","infection_diet50","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",2026-08-06 00:51:58.202889
"Diet 83","infection_diet83","/Users/maevatecher/Documents/GitHub/gregaria-diet-infection-interaction/output/rmd_runs/placed-unplaced-scaffold-analysis_20260806-005122/placed_unplaced_all_deseq2_results.csv",2026-08-06 00:51:58.202889
