"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","pathway_theme","pathway_scope"
"ko04624","Toll and Imd signaling pathway","18/630","56/3900",0.321428571428571,1.98979591836735,3.27431907812562,0.0021712188610269,0.0569944951019561,0.0569944951019561,"LOC126355040/LOC126334780/LOC126355748/LOC126293579/LOC126334779/LOC126267545/LOC126266641/LOC126355037/LOC126336322/LOC126293578/LOC126267442/LOC126282030/LOC126355041/LOC126281204/LOC126298648/LOC126281581/LOC126336325/LOC126282207",18,"All infection DEGs","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04742","Taste transduction","8/630","17/3900",0.470588235294118,2.91316526610644,3.46949502416601,0.00276678039178046,0.0592575790229846,0.0592575790229846,"LOC126355437/LOC126297585/LOC126355973/LOC126278518/LOC126298404/LOC126281447/LOC126298918/LOC126281810",8,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko04512","ECM-receptor interaction","13/630","36/3900",0.361111111111111,2.23544973544974,3.26836678446934,0.00280705588272047,0.0592575790229846,0.0592575790229846,"LOC126266752/LOC126353876/LOC126267773/LOC126293692/LOC126298917/LOC126267772/LOC126293286/LOC126269651/LOC126293693/LOC126354819/LOC126281351/LOC126356154/LOC126354120",13,"All infection DEGs","KEGG_pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko05204","Chemical carcinogenesis - DNA adducts","25/630","89/3900",0.280898876404494,1.73889780631354,3.09480237967974,0.00282178947728498,0.0592575790229846,0.0592575790229846,"LOC126343748/LOC126354649/LOC126331335/LOC126272926/LOC126281404/LOC126282396/LOC126272724/LOC126343702/LOC126336695/LOC126267788/LOC126272928/LOC126281410/LOC126336625/LOC126293679/LOC126272716/LOC126293680/LOC126341237/LOC126281954/LOC126336692/LOC126336888/LOC126282422/LOC126272560/LOC126336730/LOC126281562/LOC126272831",25,"All infection DEGs","KEGG_pathway","Genetic information processing","Reference disease pathway"
"ko01120","Microbial metabolism in diverse environments","37/630","149/3900",0.248322147651007,1.53723234260147,2.93463956489233,0.00357987145409574,0.0627358092429393,0.0627358092429394,"LOC126334613/LOC126336251/LOC126335242/LOC126298400/LOC126272715/LOC126293368/LOC126281446/LOC126325353/LOC126355949/LOC126272256/LOC126323251/LOC126336866/LOC126297494/LOC126274964/LOC126350022/LOC126284898/LOC126355885/LOC126354995/LOC126365957/LOC126281532/LOC126354574/LOC126268518/LOC126335505/LOC126336122/LOC126354590/LOC126295405/LOC126268126/LOC126298632/LOC126272511/LOC126281958/LOC126272888/LOC126266827/LOC126281954/LOC126365941/LOC126334596/LOC126334891/LOC126336244",37,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00350","Tyrosine metabolism","11/630","29/3900",0.379310344827586,2.34811165845649,3.19805769011738,0.00378406468449475,0.0627358092429393,0.0627358092429394,"LOC126271955/LOC126272715/LOC126353933/LOC126283954/LOC126298490/LOC126365745/LOC126336714/LOC126281954/LOC126355886/LOC126354115/LOC126333363",11,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00410","beta-Alanine metabolism","11/630","29/3900",0.379310344827586,2.34811165845649,3.19805769011738,0.00378406468449475,0.0627358092429393,0.0627358092429394,"LOC126336251/LOC126281446/LOC126337850/LOC126284548/LOC126292317/LOC126350022/LOC126297821/LOC126354995/LOC126268126/LOC126298632/LOC126335256",11,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko01523","Antifolate resistance","11/630","29/3900",0.379310344827586,2.34811165845649,3.19805769011738,0.00378406468449475,0.0627358092429393,0.0627358092429394,"LOC126297511/LOC126325353/LOC126298974/LOC126282030/LOC126271913/LOC126335166/LOC126293737/LOC126284428/LOC126335577/LOC126355148/LOC126335579",11,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko01130","Biosynthesis of antibiotics","45/630","192/3900",0.234375,1.45089285714286,2.81207644792284,0.00460215980058352,0.0724773883914005,0.0724773883914005,"LOC126293404/LOC126268218/LOC126291591/LOC126281672/LOC126284812/LOC126334613/LOC126336251/LOC126335242/LOC126298400/LOC126293368/LOC126281446/LOC126325353/LOC126278485/LOC126361126/LOC126272256/LOC126324953/LOC126336379/LOC126299185/LOC126297494/LOC126274964/LOC126350022/LOC126299078/LOC126284898/LOC126284756/LOC126365957/LOC126267473/LOC126281532/LOC126354574/LOC126335505/LOC126354590/LOC126295405/LOC126299364/LOC126282460/LOC126281958/LOC126293737/LOC126278697/LOC126352958/LOC126281954/LOC126333363/LOC126365941/LOC126334596/LOC126298221/LOC126298865/LOC126336244/LOC126281265",45,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko04740","Olfactory transduction","9/630","22/3900",0.409090909090909,2.53246753246753,3.16352838945065,0.00483182589276003,0.0724773883914005,0.0724773883914005,"LOC126353858/LOC126284350/LOC126334943/LOC126336082/LOC126297585/LOC126335781/LOC126363150/LOC126354034/LOC126355586",9,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko00590","Arachidonic acid metabolism","11/630","30/3900",0.366666666666667,2.26984126984127,3.06427401493027,0.00512244232552019,0.0733440605699482,0.0733440605699482,"LOC126295125/LOC126285116/LOC126336773/LOC126336695/LOC126283989/LOC126283788/LOC126312349/LOC126336692/LOC126282422/LOC126284686/LOC126336730",11,"All infection DEGs","KEGG_pathway","Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko04976","Bile secretion","17/630","56/3900",0.303571428571429,1.87925170068027,2.90863052129028,0.00553381689493538,0.0757892313871584,0.0757892313871584,"LOC126354017/LOC126343748/LOC126297585/LOC126343702/LOC126335781/LOC126298974/LOC126354871/LOC126293679/LOC126335166/LOC126361668/LOC126354018/LOC126293680/LOC126281499/LOC126354186/LOC126322572/LOC126335577/LOC126335579",17,"All infection DEGs","KEGG_pathway","Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko04110","Cell cycle","24/630","89/3900",0.269662921348315,1.669341894061,2.80347413249772,0.00600115923765222,0.0787652149941853,0.0787652149941853,"LOC126279120/LOC126272178/LOC126293483/LOC126354850/LOC126284276/LOC126297745/LOC126268148/LOC126272470/LOC126355755/LOC126284310/LOC126297744/LOC126281636/LOC126272438/LOC126326589/LOC126336750/LOC126284030/LOC126282371/LOC126335501/LOC126356122/LOC126272743/LOC126334974/LOC126267226/LOC126354268/LOC126272858",24,"All infection DEGs","KEGG_pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko00982","Drug metabolism - cytochrome P450","23/630","85/3900",0.270588235294118,1.6750700280112,2.76174791091667,0.0067636516485282,0.0852220107714554,0.0852220107714554,"LOC126354649/LOC126331335/LOC126272926/LOC126281404/LOC126282396/LOC126272724/LOC126336695/LOC126267788/LOC126272928/LOC126281410/LOC126336625/LOC126272716/LOC126272888/LOC126266827/LOC126341237/LOC126281954/LOC126336692/LOC126336888/LOC126282422/LOC126272560/LOC126336730/LOC126281562/LOC126272831",23,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00480","Glutathione metabolism","21/630","76/3900",0.276315789473684,1.71052631578947,2.74537097506665,0.0073217603108349,0.0887059422274228,0.0887059422274228,"LOC126331335/LOC126335242/LOC126354588/LOC126281404/LOC126282396/LOC126278485/LOC126272724/LOC126284548/LOC126336695/LOC126297494/LOC126283989/LOC126281410/LOC126283788/LOC126335505/LOC126284198/LOC126272716/LOC126278697/LOC126336692/LOC126336888/LOC126282422/LOC126336730",21,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko04341","Hedgehog signaling pathway - fly","19/630","67/3900",0.283582089552239,1.75550817341862,2.73766418738554,0.007804934030001,0.091057563683345,0.091057563683345,"LOC126291991/LOC126297585/LOC126295040/LOC126297907/LOC126281663/LOC126297745/LOC126267315/LOC126297744/LOC126294945/LOC126293373/LOC126278442/LOC126295425/LOC126294955/LOC126295382/LOC126294949/LOC126295191/LOC126284645/LOC126292145/LOC126278128",19,"All infection DEGs","KEGG_pathway","Cellular process","Eukaryote/metazoan-compatible"
"ko05020","Prion disease","7/630","16/3900",0.4375,2.70833333333333,3.00514901269536,0.00833666575510131,0.0937874897448898,0.0937874897448898,"LOC126267253/LOC126266752/LOC126297585/LOC126267773/LOC126354439/LOC126267772/LOC126278997",7,"All infection DEGs","KEGG_pathway","Reference disease pathway","Reference disease pathway"
"ko00790","Folate biosynthesis","11/630","32/3900",0.34375,2.12797619047619,2.81193129390067,0.00890013751829351,0.0966739075262916,0.0966739075262916,"LOC126297511/LOC126298944/LOC126285375/LOC126283960/LOC126284296/LOC126272724/LOC126357545/LOC126331446/LOC126365745/LOC126283957/LOC126272716",11,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko00480","Glutathione metabolism","15/267","76/3900",0.197368421052632,2.8829095209935,4.49341835648774,0.000145795245497818,0.0314499024706962,0.0314499024706962,"LOC126354588/LOC126272716/LOC126278697/LOC126336730/LOC126282396/LOC126281410/LOC126284198/LOC126336695/LOC126283989/LOC126297494/LOC126335505/LOC126272724/LOC126284548/LOC126336692/LOC126278485",15,"Diet 33","KEGG_pathway","Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko00790","Folate biosynthesis","9/267","32/3900",0.28125,4.10814606741573,4.78555956395468,0.000199681920448864,0.0314499024706962,0.0314499024706962,"LOC126283960/LOC126272716/LOC126285375/LOC126365745/LOC126283957/LOC126331446/LOC126284296/LOC126272724/LOC126298944",9,"Diet 33","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko01110","Biosynthesis of secondary metabolites","37/267","324/3900",0.114197530864198,1.66805382161187,3.40396238329566,0.00104058403713662,0.0910223968105489,0.0910223968105489,"LOC126354649/LOC126284812/LOC126284686/LOC126336251/LOC126272594/LOC126365957/LOC126355485/LOC126278697/LOC126283383/LOC126361126/LOC126297581/LOC126272584/LOC126354995/LOC126284002/LOC126281562/LOC126268198/LOC126272831/LOC126356050/LOC126293737/LOC126299546/LOC126356152/LOC126333363/LOC126267473/LOC126297494/LOC126281532/LOC126335505/LOC126336379/LOC126334613/LOC126325353/LOC126284898/LOC126281958/LOC126268218/LOC126299364/LOC126341237/LOC126278447/LOC126336625/LOC126278485",37,"Diet 33","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko04624","Toll and Imd signaling pathway","11/267","56/3900",0.196428571428571,2.86918138041734,3.81903219505755,0.00117412994918921,0.0910223968105489,0.0910223968105489,"LOC126298648/LOC126355040/LOC126282030/LOC126293578/LOC126267545/LOC126266641/LOC126267442/LOC126282207/LOC126336325/LOC126281581/LOC126293579",11,"Diet 33","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko02010","ABC transporters","9/267","41/3900",0.219512195121951,3.20635790627569,3.8497280522579,0.00144479994937379,0.0910223968105489,0.0910223968105489,"LOC126354017/LOC126278971/LOC126335579/LOC126278946/LOC126357744/LOC126278191/LOC126281499/LOC126354018/LOC126335166",9,"Diet 33","KEGG_pathway","Transport and environmental response","Core metabolism or cross-domain"
"ko04080","Neuroactive ligand-receptor interaction","30/487","98/3900",0.306122448979592,2.45149394460043,5.49661304221133,1.2827552041091e-06,0.000404067889294366,0.000404067889294366,"LOC126335869/LOC126299360/LOC126355437/LOC126336238/LOC126355582/LOC126354348/LOC126311851/LOC126355973/LOC126278518/LOC126267042/LOC126281810/LOC126298972/LOC126282477/LOC126298404/LOC126366011/LOC126354398/LOC126267153/LOC126329331/LOC126267861/LOC126354218/LOC126299097/LOC126355816/LOC126284371/LOC126299510/LOC126353956/LOC126298918/LOC126354276/LOC126277867/LOC126278537/LOC126330497",30,"Diet 50","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04727","GABAergic synapse","14/487","37/3900",0.378378378378378,3.03013485765026,4.68636758270904,7.33889908142247e-05,0.00981502903214136,0.00981502903214136,"LOC126278890/LOC126284296/LOC126355973/LOC126278518/LOC126281810/LOC126298404/LOC126354995/LOC126335781/LOC126366011/LOC126268518/LOC126354742/LOC126268126/LOC126298632/LOC126281608",14,"Diet 50","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko05033","Nicotine addiction","7/487","11/3900",0.636363636363636,5.09613589695725,5.13836181717455,9.53931883647135e-05,0.00981502903214136,0.00981502903214136,"LOC126278890/LOC126355582/LOC126355973/LOC126278974/LOC126281810/LOC126298972/LOC126366011",7,"Diet 50","KEGG_pathway","Reference disease pathway","Reference disease pathway"
"ko01110","Biosynthesis of secondary metabolites","63/487","324/3900",0.194444444444444,1.55715263518138,3.95567764589443,0.000124635289297033,0.00981502903214136,0.00981502903214136,"LOC126268218/LOC126354649/LOC126284812/LOC126356152/LOC126335184/LOC126293737/LOC126335242/LOC126355485/LOC126365957/LOC126297494/LOC126298400/LOC126325353/LOC126283383/LOC126281446/LOC126285116/LOC126282460/LOC126272256/LOC126272382/LOC126278485/LOC126361126/LOC126271955/LOC126336773/LOC126267788/LOC126298530/LOC126339265/LOC126272831/LOC126336379/LOC126284002/LOC126356100/LOC126354995/LOC126298001/LOC126272926/LOC126284898/LOC126267473/LOC126336625/LOC126281532/LOC126276148/LOC126335505/LOC126350022/LOC126354590/LOC126285378/LOC126268126/LOC126272594/LOC126284341/LOC126298632/LOC126281958/LOC126341237/LOC126356050/LOC126272584/LOC126282346/LOC126284756/LOC126336244/LOC126345263/LOC126272928/LOC126272560/LOC126297581/LOC126334596/LOC126323251/LOC126298221/LOC126278447/LOC126335171/LOC126274964/LOC126281562",63,"Diet 50","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko04624","Toll and Imd signaling pathway","17/487","56/3900",0.303571428571429,2.43106482839542,4.07412721877666,0.000300056494460684,0.0168954145823802,0.0168954145823802,"LOC126355040/LOC126334780/LOC126355748/LOC126293579/LOC126334779/LOC126267545/LOC126266641/LOC126355037/LOC126293578/LOC126267442/LOC126281204/LOC126355041/LOC126298648/LOC126282030/LOC126281581/LOC126282207/LOC126336325",17,"Diet 50","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko00981","Insect hormone biosynthesis","10/487","24/3900",0.416666666666667,3.33675564681725,4.3371055508462,0.000321817420616766,0.0168954145823802,0.0168954145823802,"LOC126320178/LOC126299150/LOC126281446/LOC126305900/LOC126293680/LOC126343702/LOC126268026/LOC126293679/LOC126270657/LOC126282181",10,"Diet 50","KEGG_pathway","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko00040","Pentose and glucuronate interconversions","18/487","64/3900",0.28125,2.25231006160164,3.81535990719211,0.000568784436935587,0.0255952996621014,0.0255952996621014,"LOC126354649/LOC126291591/LOC126283960/LOC126357545/LOC126281399/LOC126267788/LOC126281438/LOC126272831/LOC126272926/LOC126283957/LOC126336625/LOC126341237/LOC126266657/LOC126272928/LOC126272560/LOC126281694/LOC126299185/LOC126281562",18,"Diet 50","KEGG_pathway","Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00410","beta-Alanine metabolism","10/487","29/3900",0.344827586206897,2.76145294909014,3.59609713793829,0.00183800431217043,0.066282625344704,0.066282625344704,"LOC126281446/LOC126337850/LOC126284548/LOC126354995/LOC126297821/LOC126292317/LOC126350022/LOC126268126/LOC126298632/LOC126335256",10,"Diet 50","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
