"ID","Description","set","p.adjust","Count"
"GO:0005887","GO:0005887","All infection DEGs",2.82048243796869e-15,104
"GO:0031226","GO:0031226","All infection DEGs",5.12026493853926e-15,105
"GO:0044421","GO:0044421","All infection DEGs",4.34454769192607e-13,77
"GO:0015318","GO:0015318","All infection DEGs",8.32372946923632e-08,77
"GO:0042133","GO:0042133","All infection DEGs",1.67776540103785e-05,13
"GO:0022838","GO:0022838","All infection DEGs",8.98435875875666e-05,38
"GO:0008514","GO:0008514","All infection DEGs",0.000139534063661796,36
"GO:0042136","GO:0042136","All infection DEGs",0.000165326934095427,9
"GO:1903825","GO:1903825","All infection DEGs",0.000204793719756262,28
"GO:0044106","GO:0044106","All infection DEGs",0.00020759676678181,12
"GO:0042737","GO:0042737","All infection DEGs",0.000248637918987228,14
"GO:0005342","GO:0005342","All infection DEGs",0.00026729182115245,27
"GO:0097164","GO:0097164","All infection DEGs",0.00145713565587739,10
"GO:0022890","GO:0022890","All infection DEGs",0.00201639555405066,42
"GO:1901071","GO:1901071","All infection DEGs",0.00230171832224551,12
"GO:1901617","GO:1901617","All infection DEGs",0.0064417874950934,14
"GO:0001505","GO:0001505","All infection DEGs",0.0101000205291241,29
"GO:0017144","GO:0017144","All infection DEGs",0.0152296419484226,38
"GO:0055114","GO:0055114","All infection DEGs",0.017448082374821,60
"GO:0010033","GO:0010033","All infection DEGs",0.0180377340345454,68
"GO:0051188","GO:0051188","All infection DEGs",0.0228266307782796,19
"GO:0098660","GO:0098660","All infection DEGs",0.0300804074010615,42
"GO:1901615","GO:1901615","All infection DEGs",0.0300804074010615,23
"GO:0009108","GO:0009108","All infection DEGs",0.0301701431082626,16
"GO:0006732","GO:0006732","All infection DEGs",0.0324978768314365,21
"GO:0071804","GO:0071804","All infection DEGs",0.0353195317212479,15
"GO:0035384","GO:0035384","All infection DEGs",0.0369311848719594,7
"GO:0035383","GO:0035383","All infection DEGs",0.0481742892890249,9
"GO:0098662","GO:0098662","All infection DEGs",0.0530506408039676,36
"GO:0015077","GO:0015077","All infection DEGs",0.089126038607202,24
"GO:0099516","GO:0099516","All infection DEGs",0.0924380578920731,7
"GO:1901565","GO:1901565","All infection DEGs",0.0938385888489814,58
"GO:0044421","GO:0044421","Diet 33",5.85531302012955e-07,35
"GO:0031226","GO:0031226","Diet 33",0.00147490149971005,36
"GO:0005887","GO:0005887","Diet 33",0.0018969840464746,35
"GO:0006732","GO:0006732","Diet 33",0.0115235396324557,13
"GO:1901575","GO:1901575","Diet 33",0.0174614080869448,42
"GO:0008514","GO:0008514","Diet 33",0.0216885044759812,16
"GO:0051188","GO:0051188","Diet 33",0.0279799789178983,11
"GO:0051186","GO:0051186","Diet 33",0.0322110710636465,16
"GO:0034637","GO:0034637","Diet 33",0.0333903148816839,5
"GO:0035383","GO:0035383","Diet 33",0.0444846593155823,6
"GO:1901565","GO:1901565","Diet 33",0.0457480256915909,29
"GO:0033692","GO:0033692","Diet 33",0.0457480256915909,4
"GO:0009108","GO:0009108","Diet 33",0.0556182270723966,9
"GO:1901617","GO:1901617","Diet 33",0.0807167121669052,7
"GO:0044264","GO:0044264","Diet 33",0.0917073616013234,6
"GO:0044106","GO:0044106","Diet 33",0.0935132441359956,5
"GO:0005887","GO:0005887","Diet 50",6.90021649342858e-16,92
"GO:0031226","GO:0031226","Diet 50",7.03923766704405e-16,93
"GO:0044421","GO:0044421","Diet 50",3.66686504811272e-11,64
"GO:0015318","GO:0015318","Diet 50",6.94705813626002e-07,64
"GO:0022838","GO:0022838","Diet 50",0.000238298828086748,32
"GO:1903825","GO:1903825","Diet 50",0.000415055111626062,24
"GO:0042136","GO:0042136","Diet 50",0.000454633039878329,8
"GO:0008514","GO:0008514","Diet 50",0.00050036922014099,30
"GO:0005342","GO:0005342","Diet 50",0.000611614690700013,23
"GO:0042133","GO:0042133","Diet 50",0.000773784930364845,10
"GO:0022890","GO:0022890","Diet 50",0.00169320528972756,36
"GO:0097164","GO:0097164","Diet 50",0.00169320528972756,9
"GO:1901617","GO:1901617","Diet 50",0.00295215845927887,13
"GO:0044106","GO:0044106","Diet 50",0.00602567821636865,9
"GO:0010033","GO:0010033","Diet 50",0.026025236966103,56
"GO:1901071","GO:1901071","Diet 50",0.0276887145109456,9
"GO:1901044","GO:1901044","Diet 50",0.0323949077596418,12
"GO:0071804","GO:0071804","Diet 50",0.0396990440036139,13
"GO:0042737","GO:0042737","Diet 50",0.0410998313062387,9
"GO:1901565","GO:1901565","Diet 50",0.0489589544004567,50
"GO:0098662","GO:0098662","Diet 50",0.0639353848487578,30
"GO:0006732","GO:0006732","Diet 50",0.0693634297974244,17
"GO:0098660","GO:0098660","Diet 50",0.092423509445139,33
"GO:0055114","GO:0055114","Diet 50",0.0943214958354589,46
"GO:0044421","GO:0044421","Diet 83",4.926139513418e-05,32
"GO:0044106","GO:0044106","Diet 83",0.000945055675623112,8
"GO:0097164","GO:0097164","Diet 83",0.0168935817982116,6
"GO:0005887","GO:0005887","Diet 83",0.0201549859591056,33
"GO:0042133","GO:0042133","Diet 83",0.0281061367161685,6
"GO:0031226","GO:0031226","Diet 83",0.0297688358627732,33
"GO:0008514","GO:0008514","Diet 83",0.0333341204285083,16
"GO:0044454","GO:0044454","Diet 83",0.040987711793429,16
"GO:1901362","GO:1901362","Diet 83",0.0681335547613723,37
"GO:1903825","GO:1903825","Diet 83",0.0698433928988023,12
"GO:0019438","GO:0019438","Diet 83",0.089440194932002,34
"GO:0051188","GO:0051188","Diet 83",0.0969222510588491,10
