"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database"
"GO:0009636","response to toxic substance","25/634","129/5969",0.193798449612403,1.82457877876409,3.26371636821724,0.0019642516908328,0.0446915792650378,0.0446915792650378,"LOC126354003/LOC126281483/LOC126354827/LOC126338336/LOC126272594/LOC126281446/LOC126281478/LOC126353933/LOC126293326/LOC126269416/LOC126271869/LOC126291849/LOC126325353/LOC126298490/LOC126282259/LOC126266988/LOC126354018/LOC126354439/LOC126297734/LOC126354115/LOC126298972/LOC126281676/LOC126267133/LOC126354017/LOC126297964",25,"Diet 50","GO"
"GO:0042308","negative regulation of protein import into nucleus","12/634","45/5969",0.266666666666667,2.51062039957939,3.50627440460259,0.00196831691484028,0.0446915792650378,0.0446915792650378,"LOC126291991/LOC126295040/LOC126278128/LOC126281663/LOC126295382/LOC126294955/LOC126294945/LOC126292145/LOC126295425/LOC126294949/LOC126295191/LOC126284645",12,"Diet 50","GO"
"GO:1900181","negative regulation of protein localization to nucleus","12/634","45/5969",0.266666666666667,2.51062039957939,3.50627440460259,0.00196831691484028,0.0446915792650378,0.0446915792650378,"LOC126291991/LOC126295040/LOC126278128/LOC126281663/LOC126295382/LOC126294955/LOC126294945/LOC126292145/LOC126295425/LOC126294949/LOC126295191/LOC126284645",12,"Diet 50","GO"
"GO:1904590","negative regulation of protein import","12/634","45/5969",0.266666666666667,2.51062039957939,3.50627440460259,0.00196831691484028,0.0446915792650378,0.0446915792650378,"LOC126291991/LOC126295040/LOC126278128/LOC126281663/LOC126295382/LOC126294955/LOC126294945/LOC126292145/LOC126295425/LOC126294949/LOC126295191/LOC126284645",12,"Diet 50","GO"
"GO:0006813","potassium ion transport","13/634","51/5969",0.254901960784314,2.39985773489206,3.46077474830067,0.00202219735263922,0.0452944879999934,0.0452944879999934,"LOC126336082/LOC126278432/LOC126361668/LOC126354034/LOC126324336/LOC126295251/LOC126272718/LOC126292020/LOC126336864/LOC126267806/LOC126267939/LOC126297822/LOC126266590",13,"Diet 50","GO"
"GO:0032387","negative regulation of intracellular transport","13/634","51/5969",0.254901960784314,2.39985773489206,3.46077474830067,0.00202219735263922,0.0452944879999934,0.0452944879999934,"LOC126291991/LOC126295040/LOC126278128/LOC126298404/LOC126281663/LOC126295382/LOC126294955/LOC126294945/LOC126292145/LOC126295425/LOC126294949/LOC126295191/LOC126284645",13,"Diet 50","GO"
"GO:1902533","positive regulation of intracellular signal transduction","29/634","158/5969",0.183544303797468,1.72803777502695,3.19704569611017,0.0021358162766853,0.047518328571891,0.047518328571891,"LOC126282035/LOC126354850/LOC126331832/LOC126278940/LOC126291991/LOC126295040/LOC126267308/LOC126355485/LOC126278128/LOC126272858/LOC126336858/LOC126281663/LOC126279309/LOC126295382/LOC126354602/LOC126294955/LOC126359421/LOC126267829/LOC126294945/LOC126298442/LOC126292145/LOC126278037/LOC126295425/LOC126268219/LOC126266988/LOC126294949/LOC126295191/LOC126267133/LOC126284645",29,"Diet 50","GO"
"GO:1901565","GO:1901565","50/634","316/5969",0.158227848101266,1.4896877370922,3.0832951607639,0.00221533730318808,0.0489589544004567,0.0489589544004567,"LOC126333165/LOC126293188/LOC126269609/LOC126346606/LOC126291991/LOC126295040/LOC126299116/LOC126267216/LOC126282517/LOC126278128/LOC126293695/LOC126354995/LOC126267215/LOC126281663/LOC126346580/LOC126354787/LOC126284573/LOC126298632/LOC126269996/LOC126267343/LOC126295382/LOC126356122/LOC126297744/LOC126354672/LOC126346021/LOC126294955/LOC126267217/LOC126267829/LOC126294945/LOC126267061/LOC126268518/LOC126346622/LOC126292145/LOC126365918/LOC126298490/LOC126295425/LOC126291884/LOC126268068/LOC126294949/LOC126278279/LOC126284482/LOC126295191/LOC126354914/LOC126297745/LOC126266748/LOC126267477/LOC126284645/LOC126267535/LOC126267652/LOC126285462",50,"Diet 50","GO"
"GO:0031401","positive regulation of protein modification process","31/634","173/5969",0.179190751445087,1.68704983497748,3.16110503922505,0.0022616497350782,0.0496514494820149,0.0496514494820149,"LOC126282035/LOC126291991/LOC126295040/LOC126267308/LOC126291792/LOC126278128/LOC126281165/LOC126272858/LOC126336858/LOC126281663/LOC126295382/LOC126353850/LOC126334737/LOC126354602/LOC126299078/LOC126294955/LOC126278232/LOC126359421/LOC126294945/LOC126292145/LOC126295425/LOC126266988/LOC126272078/LOC126294949/LOC126336423/LOC126272934/LOC126295191/LOC126354914/LOC126267133/LOC126284645/LOC126278442",31,"Diet 50","GO"
"GO:0022843","voltage-gated monoatomic cation channel activity","9/634","29/5969",0.310344827586207,2.92184270640705,3.57614764356239,0.00230043338306126,0.0501706359529478,0.0501706359529478,"LOC126273220/LOC126336082/LOC126355582/LOC126298058/LOC126336864/LOC126272139/LOC126365875/LOC126336038/LOC126298972",9,"Diet 50","GO"
