"term","name","ontology"
"GO:0043134","regulation of hindgut contraction","BP"
"GO:0044058","regulation of digestive system process","BP"
"GO:0045933","positive regulation of muscle contraction","BP"
"GO:0045987","positive regulation of smooth muscle contraction","BP"
"GO:0048018","receptor ligand activity","MF"
"GO:0051930","regulation of sensory perception of pain","BP"
"GO:0051931","regulation of sensory perception","BP"
"GO:0060450","positive regulation of hindgut contraction","BP"
"GO:0060456","positive regulation of digestive system process","BP"
"GO:0071855","neuropeptide receptor binding","MF"
"GO:0071861","tachykinin receptor binding","MF"
"GO:0090659","walking behavior","BP"
"GO:1904058","positive regulation of sensory perception of pain","BP"
"GO:0004576","oligosaccharyl transferase activity","MF"
"GO:0004579","dolichyl-diphosphooligosaccharide-protein glycotransferase activity","MF"
"GO:0006487","protein N-linked glycosylation","BP"
"GO:0008250","oligosaccharyltransferase complex","CC"
"GO:0032045","guanyl-nucleotide exchange factor complex","CC"
"GO:0034066","Ric1-Rgp1 guanyl-nucleotide exchange factor complex","CC"
"GO:0007469","antennal development","BP"
"GO:0030427","site of polarized growth","CC"
"GO:0042052","rhabdomere development","BP"
"GO:0048601","oocyte morphogenesis","BP"
"GO:0048800","antennal morphogenesis","BP"
"GO:0070593","dendrite self-avoidance","BP"
"GO:0017053","transcription repressor complex","CC"
"GO:0032021","NELF complex","CC"
"GO:0034244","negative regulation of transcription elongation by RNA polymerase II","BP"
"GO:0004222","metalloendopeptidase activity","MF"
"GO:0008446","GDP-mannose 4,6-dehydratase activity","MF"
"GO:0009225","nucleotide-sugar metabolic process","BP"
"GO:0009226","nucleotide-sugar biosynthetic process","BP"
"GO:0016836","hydro-lyase activity","MF"
"GO:0042350","GDP-L-fucose biosynthetic process","BP"
"GO:0046368","GDP-L-fucose metabolic process","BP"
"GO:2000035","regulation of stem cell division","BP"
"GO:0000387","spliceosomal snRNP assembly","BP"
"GO:0005682","U5 snRNP","CC"
"GO:0005687","U4 snRNP","CC"
"GO:0005689","U12-type spliceosomal complex","CC"
"GO:0034715","pICln-Sm protein complex","CC"
"GO:0034719","SMN-Sm protein complex","CC"
"GO:0097526","spliceosomal tri-snRNP complex","CC"
"GO:0000972","transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery","BP"
"GO:0000973","post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery","BP"
"GO:0007110","meiosis I cytokinesis","BP"
"GO:0008406","gonad development","BP"
"GO:0008585","female gonad development","BP"
"GO:0017056","structural constituent of nuclear pore","MF"
"GO:0031080","nuclear pore outer ring","CC"
"GO:0045137","development of primary sexual characteristics","BP"
"GO:0046545","development of primary female sexual characteristics","BP"
"GO:0048137","spermatocyte division","BP"
"GO:1900182","positive regulation of protein localization to nucleus","BP"
"GO:0005214","structural constituent of chitin-based cuticle","MF"
"GO:0007160","cell-matrix adhesion","BP"
"GO:0016324","apical plasma membrane","CC"
"GO:0031589","cell-substrate adhesion","BP"
"GO:0042302","structural constituent of cuticle","MF"
"GO:0007487","analia development","BP"
"GO:0030539","male genitalia development","BP"
"GO:0045496","male analia development","BP"
"GO:0045497","female analia development","BP"
"GO:0046425","regulation of receptor signaling pathway via JAK-STAT","BP"
"GO:0046426","negative regulation of receptor signaling pathway via JAK-STAT","BP"
"GO:0046661","male sex differentiation","BP"
"GO:1904892","regulation of receptor signaling pathway via STAT","BP"
"GO:1904893","negative regulation of receptor signaling pathway via STAT","BP"
"GO:0006308","DNA catabolic process","BP"
"GO:0006309","apoptotic DNA fragmentation","BP"
"GO:0006921","cellular component disassembly involved in execution phase of apoptosis","BP"
"GO:0030262","apoptotic nuclear changes","BP"
"GO:0097194","execution phase of apoptosis","BP"
"GO:0001885","endothelial cell development","BP"
"GO:0001941","postsynaptic membrane organization","BP"
"GO:0003007","heart morphogenesis","BP"
"GO:0003158","endothelium development","BP"
"GO:0005918","septate junction","CC"
"GO:0007158","neuron cell-cell adhesion","BP"
"GO:0007507","heart development","BP"
"GO:0008065","establishment of blood-nerve barrier","BP"
"GO:0009954","proximal/distal pattern formation","BP"
"GO:0019991","septate junction assembly","BP"
"GO:0035150","regulation of tube size","BP"
"GO:0035151","regulation of tube size, open tracheal system","BP"
"GO:0035321","maintenance of imaginal disc-derived wing hair orientation","BP"
"GO:0042043","neurexin family protein binding","MF"
"GO:0043296","apical junction complex","CC"
"GO:0043297","apical junction assembly","BP"
"GO:0044091","membrane biogenesis","BP"
"GO:0045446","endothelial cell differentiation","BP"
"GO:0061343","cell adhesion involved in heart morphogenesis","BP"
"GO:0061689","tricellular tight junction","CC"
"GO:0070160","tight junction","CC"
"GO:0071709","membrane assembly","BP"
"GO:0072359","circulatory system development","BP"
"GO:0097090","presynaptic membrane organization","BP"
"GO:0097104","postsynaptic membrane assembly","BP"
"GO:0097105","presynaptic membrane assembly","BP"
"GO:0099054","presynapse assembly","BP"
"GO:0099068","postsynapse assembly","BP"
"GO:0099172","presynapse organization","BP"
"GO:0099173","postsynapse organization","BP"
"GO:0004516","nicotinate phosphoribosyltransferase activity","MF"
"GO:0008179","adenylate cyclase binding","MF"
"GO:0045761","regulation of adenylate cyclase activity","BP"
"GO:0046716","muscle cell cellular homeostasis","BP"
"GO:0060249","anatomical structure homeostasis","BP"
"GO:0000966","RNA 5'-end processing","BP"
"GO:0001682","tRNA 5'-leader removal","BP"
"GO:0005655","nucleolar ribonuclease P complex","CC"
"GO:0030681","multimeric ribonuclease P complex","CC"
"GO:0099116","tRNA 5'-end processing","BP"
"GO:0000932","P-body","CC"
"GO:0003730","mRNA 3'-UTR binding","MF"
"GO:0007318","pole plasm protein localization","BP"
"GO:0007400","neuroblast fate determination","BP"
"GO:0007405","neuroblast proliferation","BP"
"GO:0009925","basal plasma membrane","CC"
"GO:0010603","regulation of cytoplasmic mRNA processing body assembly","BP"
"GO:0010606","positive regulation of cytoplasmic mRNA processing body assembly","BP"
"GO:0014016","neuroblast differentiation","BP"
"GO:0014017","neuroblast fate commitment","BP"
"GO:0031334","positive regulation of protein-containing complex assembly","BP"
"GO:0035418","protein localization to synapse","BP"
"GO:0035770","ribonucleoprotein granule","CC"
"GO:0036445","neuronal stem cell division","BP"
"GO:0036464","cytoplasmic ribonucleoprotein granule","CC"
"GO:0045178","basal part of cell","CC"
"GO:0045180","basal cortex","CC"
"GO:0045450","bicoid mRNA localization","BP"
"GO:0046011","regulation of oskar mRNA translation","BP"
"GO:0046012","positive regulation of oskar mRNA translation","BP"
"GO:0048103","somatic stem cell division","BP"
"GO:0048863","stem cell differentiation","BP"
"GO:0048865","stem cell fate commitment","BP"
"GO:0048867","stem cell fate determination","BP"
"GO:0055057","neuroblast division","BP"
"GO:0055059","asymmetric neuroblast division","BP"
"GO:0060293","germ plasm","CC"
"GO:0061174","type I terminal bouton","CC"
"GO:0061351","neural precursor cell proliferation","BP"
"GO:0071212","subsynaptic reticulum","CC"
"GO:0072089","stem cell proliferation","BP"
"GO:1902115","regulation of organelle assembly","BP"
"GO:1902117","positive regulation of organelle assembly","BP"
"GO:0007288","sperm axoneme assembly","BP"
"GO:0030317","flagellated sperm motility","BP"
"GO:0031514","motile cilium","CC"
"GO:0036126","sperm flagellum","CC"
"GO:0040017","positive regulation of locomotion","BP"
"GO:0097722","sperm motility","BP"
"GO:0097729","9+2 motile cilium","CC"
"GO:1901317","regulation of flagellated sperm motility","BP"
"GO:1902093","positive regulation of flagellated sperm motility","BP"
"GO:2000147","positive regulation of cell motility","BP"
"GO:0000027","ribosomal large subunit assembly","BP"
"GO:0042255","ribosome assembly","BP"
"GO:0031083","BLOC-1 complex","CC"
"GO:0008097","5S rRNA binding","MF"
"GO:0019843","rRNA binding","MF"
"GO:0016226","iron-sulfur cluster assembly","BP"
"GO:0031163","metallo-sulfur cluster assembly","BP"
"GO:0097361","cytosolic [4Fe-4S] assembly targeting complex","CC"
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","BP"
"GO:0004535","poly(A)-specific ribonuclease activity","MF"
"GO:0030014","CCR4-NOT complex","CC"
"GO:0030015","CCR4-NOT core complex","CC"
"GO:0007427","epithelial cell migration, open tracheal system","BP"
"GO:0007601","visual perception","BP"
"GO:0021782","glial cell development","BP"
"GO:0050906","detection of stimulus involved in sensory perception","BP"
"GO:0050908","detection of light stimulus involved in visual perception","BP"
"GO:0050953","sensory perception of light stimulus","BP"
"GO:0050962","detection of light stimulus involved in sensory perception","BP"
"GO:0060147","regulation of post-transcriptional gene silencing","BP"
"GO:0060148","positive regulation of post-transcriptional gene silencing","BP"
"GO:0060964","regulation of miRNA-mediated gene silencing","BP"
"GO:2000637","positive regulation of miRNA-mediated gene silencing","BP"
"GO:0005776","autophagosome","CC"
"GO:0006727","ommochrome biosynthetic process","BP"
"GO:0006856","eye pigment precursor transport","BP"
"GO:0008055","ocellus pigment biosynthetic process","BP"
"GO:0008057","eye pigment granule organization","BP"
"GO:0010883","regulation of lipid storage","BP"
"GO:0019748","secondary metabolic process","BP"
"GO:0032438","melanosome organization","BP"
"GO:0033059","cellular pigmentation","BP"
"GO:0033060","ocellus pigmentation","BP"
"GO:0042470","melanosome","CC"
"GO:0044550","secondary metabolite biosynthetic process","BP"
"GO:0046152","ommochrome metabolic process","BP"
"GO:0046158","ocellus pigment metabolic process","BP"
"GO:0048072","compound eye pigmentation","BP"
"GO:0048753","pigment granule organization","BP"
"GO:0048770","pigment granule","CC"
"GO:1905952","regulation of lipid localization","BP"
"GO:0005310","dicarboxylic acid transmembrane transporter activity","MF"
"GO:0006835","dicarboxylic acid transport","BP"
"GO:0006855","xenobiotic transmembrane transport","BP"
"GO:0006862","nucleotide transport","BP"
"GO:0008517","folic acid transmembrane transporter activity","MF"
"GO:0015215","nucleotide transmembrane transporter activity","MF"
"GO:0015230","FAD transmembrane transporter activity","MF"
"GO:0015605","organophosphate ester transmembrane transporter activity","MF"
"GO:0015884","folic acid transport","BP"
"GO:0015932","nucleobase-containing compound transmembrane transporter activity","MF"
"GO:0035350","FAD transmembrane transport","BP"
"GO:0035461","vitamin transmembrane transport","BP"
"GO:0051180","vitamin transport","BP"
"GO:0072337","modified amino acid transport","BP"
"GO:0072349","modified amino acid transmembrane transporter activity","MF"
"GO:0090482","vitamin transmembrane transporter activity","MF"
"GO:1901679","nucleotide transmembrane transport","BP"
"GO:0000271","polysaccharide biosynthetic process","BP"
"GO:0005976","polysaccharide metabolic process","BP"
"GO:0005977","glycogen metabolic process","BP"
"GO:0005978","glycogen biosynthetic process","BP"
"GO:0006112","energy reserve metabolic process","BP"
"GO:0008194","UDP-glycosyltransferase activity","MF"
"GO:0008466","glycogenin glucosyltransferase activity","MF"
"GO:0009250","glucan biosynthetic process","BP"
"GO:0016051","carbohydrate biosynthetic process","BP"
"GO:0035251","UDP-glucosyltransferase activity","MF"
"GO:0044042","glucan metabolic process","BP"
"GO:0046527","glucosyltransferase activity","MF"
"GO:0006457","protein folding","BP"
"GO:0008306","associative learning","BP"
"GO:0008355","olfactory learning","BP"
"GO:0008426","protein kinase C inhibitor activity","MF"
"GO:0009266","response to temperature stimulus","BP"
"GO:0030291","protein serine/threonine kinase inhibitor activity","MF"
"GO:0040040","thermosensory behavior","BP"
"GO:0050821","protein stabilization","BP"
"GO:0071900","regulation of protein serine/threonine kinase activity","BP"
"GO:0071901","negative regulation of protein serine/threonine kinase activity","BP"
"GO:0007398","ectoderm development","BP"
"GO:0007498","mesoderm development","BP"
"GO:0003872","6-phosphofructokinase activity","MF"
"GO:0005945","6-phosphofructokinase complex","CC"
"GO:0006090","pyruvate metabolic process","BP"
"GO:0006096","glycolytic process","BP"
"GO:0006754","ATP biosynthetic process","BP"
"GO:0008443","phosphofructokinase activity","MF"
"GO:0009124","nucleoside monophosphate biosynthetic process","BP"
"GO:0009127","purine nucleoside monophosphate biosynthetic process","BP"
"GO:0009141","nucleoside triphosphate metabolic process","BP"
"GO:0009142","nucleoside triphosphate biosynthetic process","BP"
"GO:0009144","purine nucleoside triphosphate metabolic process","BP"
"GO:0009145","purine nucleoside triphosphate biosynthetic process","BP"
"GO:0009156","ribonucleoside monophosphate biosynthetic process","BP"
"GO:0009166","nucleotide catabolic process","BP"
"GO:0009168","purine ribonucleoside monophosphate biosynthetic process","BP"
"GO:0009201","ribonucleoside triphosphate biosynthetic process","BP"
"GO:0009205","purine ribonucleoside triphosphate metabolic process","BP"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","BP"
"GO:0009743","response to carbohydrate","BP"
"GO:0009744","response to sucrose","BP"
"GO:0016052","carbohydrate catabolic process","BP"
"GO:0019200","carbohydrate kinase activity","MF"
"GO:0019359","nicotinamide nucleotide biosynthetic process","BP"
"GO:0019363","pyridine nucleotide biosynthetic process","BP"
"GO:0034285","response to disaccharide","BP"
"GO:0034404","nucleobase-containing small molecule biosynthetic process","BP"
"GO:0042593","glucose homeostasis","BP"
"GO:0042866","pyruvate biosynthetic process","BP"
"GO:0046031","ADP metabolic process","BP"
"GO:0046034","ATP metabolic process","BP"
"GO:0046434","organophosphate catabolic process","BP"
"GO:0046835","carbohydrate phosphorylation","BP"
"GO:0061615","glycolytic process through fructose-6-phosphate","BP"
"GO:0072525","pyridine-containing compound biosynthetic process","BP"
"GO:1901292","nucleoside phosphate catabolic process","BP"
"GO:0004197","cysteine-type endopeptidase activity","MF"
"GO:0008234","cysteine-type peptidase activity","MF"
"GO:0010771","negative regulation of cell morphogenesis","BP"
"GO:0010977","negative regulation of neuron projection development","BP"
"GO:0031345","negative regulation of cell projection organization","BP"
"GO:0032418","lysosome localization","BP"
"GO:0043198","dendritic shaft","CC"
"GO:0044088","regulation of vacuole organization","BP"
"GO:0045665","negative regulation of neuron differentiation","BP"
"GO:0048311","mitochondrion distribution","BP"
"GO:0048312","intracellular distribution of mitochondria","BP"
"GO:0050774","negative regulation of dendrite morphogenesis","BP"
"GO:0051645","Golgi localization","BP"
"GO:0051646","mitochondrion localization","BP"
"GO:0051683","establishment of Golgi localization","BP"
"GO:0061845","neuron projection branch point","CC"
"GO:0090128","regulation of synapse maturation","BP"
"GO:0098693","regulation of synaptic vesicle cycle","BP"
"GO:1900242","regulation of synaptic vesicle endocytosis","BP"
"GO:1903421","regulation of synaptic vesicle recycling","BP"
"GO:1990033","dendritic branch point","CC"
"GO:2000171","negative regulation of dendrite development","BP"
"GO:2000785","regulation of autophagosome assembly","BP"
"GO:0030687","preribosome, large subunit precursor","CC"
"GO:0030689","Noc complex","CC"
"GO:0030690","Noc1p-Noc2p complex","CC"
"GO:0030691","Noc2p-Noc3p complex","CC"
"GO:1901984","negative regulation of protein acetylation","BP"
"GO:2000757","negative regulation of peptidyl-lysine acetylation","BP"
"GO:0010591","regulation of lamellipodium assembly","BP"
"GO:0016319","mushroom body development","BP"
"GO:0030837","negative regulation of actin filament polymerization","BP"
"GO:0031333","negative regulation of protein-containing complex assembly","BP"
"GO:0032272","negative regulation of protein polymerization","BP"
"GO:0060491","regulation of cell projection assembly","BP"
"GO:0120032","regulation of plasma membrane bounded cell projection assembly","BP"
"GO:1902743","regulation of lamellipodium organization","BP"
"GO:0004568","chitinase activity","MF"
"GO:0006022","aminoglycan metabolic process","BP"
"GO:0006026","aminoglycan catabolic process","BP"
"GO:0006030","chitin metabolic process","BP"
"GO:0006032","chitin catabolic process","BP"
"GO:0006040","amino sugar metabolic process","BP"
"GO:0008061","chitin binding","MF"
"GO:0008084","imaginal disc growth factor receptor binding","MF"
"GO:0040003","chitin-based cuticle development","BP"
"GO:0042060","wound healing","BP"
"GO:0046348","amino sugar catabolic process","BP"
"GO:0070851","growth factor receptor binding","MF"
"GO:1901072","glucosamine-containing compound catabolic process","BP"
"GO:1901136","carbohydrate derivative catabolic process","BP"
"GO:0007614","short-term memory","BP"
"GO:0016049","cell growth","BP"
"GO:0030507","spectrin binding","MF"
"GO:0032507","maintenance of protein location in cell","BP"
"GO:0036062","presynaptic periactive zone","CC"
"GO:0042734","presynaptic membrane","CC"
"GO:0045185","maintenance of protein location","BP"
"GO:0048588","developmental cell growth","BP"
"GO:0048675","axon extension","BP"
"GO:0060560","developmental growth involved in morphogenesis","BP"
"GO:0070050","neuron cellular homeostasis","BP"
"GO:1990138","neuron projection extension","BP"
"GO:0007224","smoothened signaling pathway","BP"
"GO:0016282","eukaryotic 43S preinitiation complex","CC"
"GO:0070993","cytosolic translation preinitiation complex","CC"
"GO:0030990","intraciliary transport particle","CC"
"GO:0030992","intraciliary transport particle B","CC"
"GO:0042073","intraciliary transport","BP"
"GO:0097730","non-motile cilium","CC"
"GO:1905515","non-motile cilium assembly","BP"
"GO:0000422","autophagy of mitochondrion","BP"
"GO:0030308","negative regulation of cell growth","BP"
"GO:1903008","organelle disassembly","BP"
"GO:2000377","regulation of reactive oxygen species metabolic process","BP"
"GO:0005544","calcium-dependent phospholipid binding","MF"
"GO:0007431","salivary gland development","BP"
"GO:0007435","salivary gland morphogenesis","BP"
"GO:0007436","larval salivary gland morphogenesis","BP"
"GO:0017158","regulation of calcium ion-dependent exocytosis","BP"
"GO:0022612","gland morphogenesis","BP"
"GO:0030865","cortical cytoskeleton organization","BP"
"GO:0030866","cortical actin cytoskeleton organization","BP"
"GO:0035272","exocrine system development","BP"
"GO:0040018","positive regulation of multicellular organism growth","BP"
"GO:0042249","establishment of planar polarity of embryonic epithelium","BP"
"GO:0048791","calcium ion-regulated exocytosis of neurotransmitter","BP"
"GO:1903305","regulation of regulated secretory pathway","BP"
"GO:0017124","SH3 domain binding","MF"
"GO:0030496","midbody","CC"
"GO:0032794","GTPase activating protein binding","MF"
"GO:0045807","positive regulation of endocytosis","BP"
"GO:0048259","regulation of receptor-mediated endocytosis","BP"
"GO:0048260","positive regulation of receptor-mediated endocytosis","BP"
"GO:0000124","SAGA complex","CC"
"GO:0016579","protein deubiquitination","BP"
"GO:0070461","SAGA-type complex","CC"
"GO:0070646","protein modification by small protein removal","BP"
"GO:0071819","DUBm complex","CC"
"GO:0005049","nuclear export signal receptor activity","MF"
"GO:0140104","molecular carrier activity","MF"
"GO:0140142","nucleocytoplasmic carrier activity","MF"
"GO:0004177","aminopeptidase activity","MF"
"GO:0008239","dipeptidyl-peptidase activity","MF"
"GO:0005658","alpha DNA polymerase:primase complex","CC"
"GO:0030894","replisome","CC"
"GO:0043601","nuclear replisome","CC"
"GO:0046662","regulation of egg-laying behavior","BP"
"GO:0061355","Wnt protein secretion","BP"
"GO:0003684","damaged DNA binding","MF"
"GO:0009896","positive regulation of catabolic process","BP"
"GO:0042176","regulation of protein catabolic process","BP"
"GO:0045732","positive regulation of protein catabolic process","BP"
"GO:0050832","defense response to fungus","BP"
"GO:0032588","trans-Golgi network membrane","CC"
"GO:0035650","AP-1 adaptor complex binding","MF"
"GO:0043021","ribonucleoprotein complex binding","MF"
"GO:0043024","ribosomal small subunit binding","MF"
"GO:0006119","oxidative phosphorylation","BP"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","BP"
"GO:0009408","response to heat","BP"
"GO:0010257","NADH dehydrogenase complex assembly","BP"
"GO:0032981","mitochondrial respiratory chain complex I assembly","BP"
"GO:0033108","mitochondrial respiratory chain complex assembly","BP"
"GO:0036296","response to increased oxygen levels","BP"
"GO:0042773","ATP synthesis coupled electron transport","BP"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","BP"
"GO:0051082","unfolded protein binding","MF"
"GO:0055093","response to hyperoxia","BP"
"GO:0004343","glucosamine 6-phosphate N-acetyltransferase activity","MF"
"GO:0006047","UDP-N-acetylglucosamine metabolic process","BP"
"GO:0006048","UDP-N-acetylglucosamine biosynthetic process","BP"
"GO:0008080","N-acetyltransferase activity","MF"
"GO:0016407","acetyltransferase activity","MF"
"GO:0016410","N-acyltransferase activity","MF"
"GO:0046349","amino sugar biosynthetic process","BP"
"GO:0030515","snoRNA binding","MF"
"GO:0034511","U3 snoRNA binding","MF"
"GO:0004519","endonuclease activity","MF"
"GO:0004521","RNA endonuclease activity","MF"
"GO:0005869","dynactin complex","CC"
"GO:0000064","L-ornithine transmembrane transporter activity","MF"
"GO:0015179","L-amino acid transmembrane transporter activity","MF"
"GO:0015822","ornithine transport","BP"
"GO:1903352","L-ornithine transmembrane transport","BP"
"GO:0000776","kinetochore","CC"
"GO:0007056","spindle assembly involved in female meiosis","BP"
"GO:0007065","male meiosis sister chromatid cohesion","BP"
"GO:0007135","meiosis II","BP"
"GO:0007143","female meiotic nuclear division","BP"
"GO:0010032","meiotic chromosome condensation","BP"
"GO:0032133","chromosome passenger complex","CC"
"GO:0045144","meiotic sister chromatid segregation","BP"
"GO:0050000","chromosome localization","BP"
"GO:0051177","meiotic sister chromatid cohesion","BP"
"GO:0051225","spindle assembly","BP"
"GO:0051233","spindle midzone","CC"
"GO:0051255","spindle midzone assembly","BP"
"GO:0051257","meiotic spindle midzone assembly","BP"
"GO:0051310","metaphase chromosome alignment","BP"
"GO:0061983","meiosis II cell cycle process","BP"
"GO:0072686","mitotic spindle","CC"
"GO:0072687","meiotic spindle","CC"
"GO:0090306","meiotic spindle assembly","BP"
"GO:1990023","mitotic spindle midzone","CC"
"GO:1990385","meiotic spindle midzone","CC"
"GO:0004818","glutamate-tRNA ligase activity","MF"
"GO:0004827","proline-tRNA ligase activity","MF"
"GO:0006424","glutamyl-tRNA aminoacylation","BP"
"GO:0006433","prolyl-tRNA aminoacylation","BP"
"GO:0017101","aminoacyl-tRNA synthetase multienzyme complex","CC"
"GO:0001655","urogenital system development","BP"
"GO:0001704","formation of primary germ layer","BP"
"GO:0001706","endoderm formation","BP"
"GO:0007439","ectodermal digestive tract development","BP"
"GO:0007442","hindgut morphogenesis","BP"
"GO:0007443","Malpighian tubule morphogenesis","BP"
"GO:0007492","endoderm development","BP"
"GO:0012502","induction of programmed cell death","BP"
"GO:0035070","salivary gland histolysis","BP"
"GO:0035078","induction of programmed cell death by ecdysone","BP"
"GO:0035081","induction of programmed cell death by hormones","BP"
"GO:0042023","DNA endoreduplication","BP"
"GO:0048102","autophagic cell death","BP"
"GO:0048546","digestive tract morphogenesis","BP"
"GO:0048619","embryonic hindgut morphogenesis","BP"
"GO:0060033","anatomical structure regression","BP"
"GO:0060563","neuroepithelial cell differentiation","BP"
"GO:0061101","neuroendocrine cell differentiation","BP"
"GO:0061326","renal tubule development","BP"
"GO:0061333","renal tubule morphogenesis","BP"
"GO:0061525","hindgut development","BP"
"GO:0072001","renal system development","BP"
"GO:0072002","Malpighian tubule development","BP"
"GO:0005778","peroxisomal membrane","CC"
"GO:0008374","O-acyltransferase activity","MF"
"GO:0008611","ether lipid biosynthetic process","BP"
"GO:0016287","glycerone-phosphate O-acyltransferase activity","MF"
"GO:0016413","O-acetyltransferase activity","MF"
"GO:0031903","microbody membrane","CC"
"GO:0046485","ether lipid metabolic process","BP"
"GO:0046504","glycerol ether biosynthetic process","BP"
"GO:1901503","ether biosynthetic process","BP"
"GO:0000104","succinate dehydrogenase activity","MF"
"GO:0006121","mitochondrial electron transport, succinate to ubiquinone","BP"
"GO:0008177","succinate dehydrogenase (quinone) activity","MF"
"GO:0016635","oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor","MF"
"GO:0045273","respiratory chain complex II (succinate dehydrogenase)","CC"
"GO:0045283","fumarate reductase complex","CC"
"GO:0048038","quinone binding","MF"
"GO:0048039","ubiquinone binding","MF"
"GO:0005955","calcineurin complex","CC"
"GO:0008287","protein serine/threonine phosphatase complex","CC"
"GO:0019722","calcium-mediated signaling","BP"
"GO:0033173","calcineurin-NFAT signaling cascade","BP"
"GO:0097720","calcineurin-mediated signaling","BP"
"GO:1903293","phosphatase complex","CC"
"GO:0010888","negative regulation of lipid storage","BP"
"GO:0045880","positive regulation of smoothened signaling pathway","BP"
"GO:0051898","negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP"
"GO:1905953","negative regulation of lipid localization","BP"
"GO:0032790","ribosome disassembly","BP"
"GO:0032988","protein-RNA complex disassembly","BP"
"GO:0004439","phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity","MF"
"GO:0008138","protein tyrosine/serine/threonine phosphatase activity","MF"
"GO:0034595","phosphatidylinositol phosphate 5-phosphatase activity","MF"
"GO:0106019","phosphatidylinositol-4,5-bisphosphate phosphatase activity","MF"
"GO:1903040","exon-exon junction complex assembly","BP"
"GO:0008587","imaginal disc-derived wing margin morphogenesis","BP"
"GO:0016360","sensory organ precursor cell fate determination","BP"
"GO:0060581","cell fate commitment involved in pattern specification","BP"
"GO:0060582","cell fate determination involved in pattern specification","BP"
"GO:0016581","NuRD complex","CC"
"GO:0070603","SWI/SNF superfamily-type complex","CC"
"GO:0070828","heterochromatin organization","BP"
"GO:0090545","CHD-type complex","CC"
"GO:1904949","ATPase complex","CC"
"GO:0033227","dsRNA transport","BP"
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF"
"GO:0008286","insulin receptor signaling pathway","BP"
"GO:0010508","positive regulation of autophagy","BP"
"GO:0060438","trachea development","BP"
"GO:0006997","nucleus organization","BP"
"GO:0051664","nuclear pore localization","BP"
"GO:0051668","localization within membrane","BP"
"GO:0007485","imaginal disc-derived male genitalia development","BP"
"GO:0016198","axon choice point recognition","BP"
"GO:0016199","axon midline choice point recognition","BP"
"GO:0048070","regulation of developmental pigmentation","BP"
"GO:0048071","sex-specific pigmentation","BP"
"GO:0048086","negative regulation of developmental pigmentation","BP"
"GO:0004149","dihydrolipoyllysine-residue succinyltransferase activity","MF"
"GO:0016417","S-acyltransferase activity","MF"
"GO:0016748","succinyltransferase activity","MF"
"GO:0016751","S-succinyltransferase activity","MF"
"GO:0005178","integrin binding","MF"
"GO:0031012","extracellular matrix","CC"
"GO:0003954","NADH dehydrogenase activity","MF"
"GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"GO:0000461","endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"GO:0043022","ribosome binding","MF"
"GO:0005201","extracellular matrix structural constituent","MF"
"GO:0035296","regulation of tube diameter","BP"
"GO:0048803","imaginal disc-derived male genitalia morphogenesis","BP"
"GO:0048808","male genitalia morphogenesis","BP"
"GO:0090598","male anatomical structure morphogenesis","BP"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"GO:0000723","telomere maintenance","BP"
"GO:0005697","telomerase holoenzyme complex","CC"
"GO:0006278","RNA-templated DNA biosynthetic process","BP"
"GO:0007004","telomere maintenance via telomerase","BP"
"GO:0010833","telomere maintenance via telomere lengthening","BP"
"GO:0032200","telomere organization","BP"
"GO:0042162","telomeric DNA binding","MF"
"GO:0043487","regulation of RNA stability","BP"
"GO:0070034","telomerase RNA binding","MF"
"GO:0007097","nuclear migration","BP"
"GO:0051647","nucleus localization","BP"
"GO:1903326","regulation of tRNA metabolic process","BP"
"GO:1903328","positive regulation of tRNA metabolic process","BP"
"GO:2000235","regulation of tRNA processing","BP"
"GO:2000237","positive regulation of tRNA processing","BP"
"GO:0005903","brush border","CC"
"GO:0007368","determination of left/right symmetry","BP"
"GO:0009799","specification of symmetry","BP"
"GO:0009855","determination of bilateral symmetry","BP"
"GO:0016459","myosin complex","CC"
"GO:0032528","microvillus organization","BP"
"GO:0098862","cluster of actin-based cell projections","CC"
"GO:0000916","actomyosin contractile ring contraction","BP"
"GO:0001927","exocyst assembly","BP"
"GO:0007111","meiosis II cytokinesis","BP"
"GO:0030011","maintenance of cell polarity","BP"
