"intersection","n_genes","n_sets","intersection_id"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients",364,3,"I01"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",270,5,"I02"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33",254,4,"I03"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50",247,2,"I04"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33",231,2,"I05"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_83",120,2,"I06"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_83",67,4,"I07"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33",62,3,"I08"
"all_model_coefficients",55,1,"I09"
"all_model_coefficients + interaction_coefficients",53,2,"I10"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",30,3,"I11"
"all_diet_pairwise_results + DESeq2_33_vs_50",21,2,"I12"
"all_diet_pairwise_results + DESeq2_33_vs_83",17,2,"I13"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_83",12,3,"I14"
"all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_50",11,3,"I15"
"all_diet_pairwise_results + DESeq2_33_vs_83 + DESeq2_50_vs_83",9,3,"I16"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + interaction_coefficients",8,4,"I17"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_50",7,4,"I18"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83 + all_diet_pairwise_results + DESeq2_33_vs_83",6,7,"I19"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",6,6,"I20"
