"set","n_genes"
"all_infection_within_diet_results",1633
"all_model_coefficients",1132
"DESeq2_infected_vs_control_diet_50",1116
"DESeq2_infected_vs_control_diet_33",857
"DESeq2_infected_vs_control_diet_83",768
"all_diet_pairwise_results",145
"DESeq2_33_vs_83",81
"DESeq2_33_vs_50",64
"DESeq2_50_vs_83",33
"interaction_coefficients",5
