sample_id	placed_gene_size_factor
1002	0.4617669737737215
1003	0.7535786373981143
1004	1.0828823683241402
1005	0.8489340899950841
1006	0.3516075677116887
1007	1.1782544898388456
1009	1.2025592363447433
1011	0.7294050992345346
1014	0.37125946812931165
1015	0.7288548953063101
1016	0.27887479040987967
1018	2.129548373451856
1020	0.7270084404580138
1021	1.2952449160300414
1023	0.3836529972769404
1024	0.45213821590909825
1025	1.4281119885674127
1027	0.6649338886430648
1028	1.2455488941338593
1029	1.4376049104313915
1030	2.422208980036392
1031	1.562137452543128
1032	1.424395537914975
1033	2.025183743460787
1034	1.271378613159349
1035	1.3029658591643907
1036	1.4377114236722037
1037	1.6609794755700698
1038	1.2858164404473436
1039	2.17568985696797
1040	1.3583099694230916
1041	0.8967368240342904
1042	1.2247136413240105
1043	1.263380382088379
1045	1.2305714004921837
1046	0.816540045899088
1049	1.1465661933154554
1050	1.169815659277348
1051	1.2250116492956193
1052	0.8817190364737734
1054	0.9523633824308687
1055	1.0187076328002205
1057	1.716576883456595
1058	0.5440824653754855
