"expression_cluster","ontology","n_significant_terms"
"DEG cluster 1","Biological process",24
"DEG cluster 1","Cellular component",20
"DEG cluster 1","Molecular function",5
"DEG cluster 2","Biological process",0
"DEG cluster 2","Cellular component",0
"DEG cluster 2","Molecular function",0
"DEG cluster 3+4","Biological process",65
"DEG cluster 3+4","Cellular component",5
"DEG cluster 3+4","Molecular function",9
