"canonical_gene_order","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj","candidate_k2","candidate_k3","candidate_k4"
106,"LOC126361620","helix-loop-helix protein 3","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.18288950362901,0.00437246457980036,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
107,"LOC126281275","uncharacterized LOC126281275","lncRNA","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.80603164596562,0.000665941894829599,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
108,"LOC126281276","uncharacterized LOC126281276","lncRNA","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.8987946781946,0.00587241322417211,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
109,"LOC126284778","EF-hand calcium-binding domain-containing protein 4B-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.46695750021428,0.00316676045471928,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
110,"LOC126285297","synaptotagmin-5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.63099729919257,0.00475553244786883,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
111,"LOC126298505","uncharacterized LOC126298505","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.83906569032388,0.00130535877562402,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
112,"LOC126354753","proton-coupled amino acid transporter-like protein pathetic","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.2422187994154,0.000590732107062187,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
113,"LOC126297907","homeobox protein engrailed-1a-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.21972925388663,0.00104229935368084,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
114,"LOC126284317","serine/arginine repetitive matrix protein 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.4578061915868,0.000294385832135281,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
115,"LOC126335021","frizzled-9-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.18437432718526,0.00233194498079434,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
116,"LOC126284530","uncharacterized protein CG3556-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.52672807092635,0.000757951302826977,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
117,"LOC126266938","uncharacterized LOC126266938","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.03245229710226,8.13023635921e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
