"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","pathway_theme","pathway_scope"
"ko01110","Biosynthesis of secondary metabolites","60/275","278/3456",0.215827338129496,2.71236102027469,8.75284671375769,5.0826848883056e-14,1.74336091668882e-11,1.74336091668882e-11,"LOC126335182/LOC126293404/LOC126352958/LOC126336628/LOC126284811/LOC126354610/LOC126278485/LOC126271720/LOC126266788/LOC126329483/LOC126281562/LOC126325353/LOC126298865/LOC126356100/LOC126278697/LOC126335010/LOC126336244/LOC126335505/LOC126293737/LOC126334596/LOC126341237/LOC126272831/LOC126334891/LOC126299542/LOC126266840/LOC126285378/LOC126278052/LOC126281265/LOC126272584/LOC126298779/LOC126284898/LOC126336251/LOC126272926/LOC126323251/LOC126365941/LOC126299364/LOC126268218/LOC126268126/LOC126272037/LOC126336625/LOC126281954/LOC126350022/LOC126284812/LOC126335184/LOC126354727/LOC126298104/LOC126266939/LOC126297871/LOC126281958/LOC126297494/LOC126281532/LOC126299365/LOC126349195/LOC126299493/LOC126281446/LOC126272928/LOC126324953/LOC126284002/LOC126267350/LOC126275659",60,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko01130","Biosynthesis of antibiotics","43/275","174/3456",0.247126436781609,3.1057053291536,8.37937198099652,2.90833138692467e-12,3.86494049457976e-10,3.86494049457976e-10,"LOC126293404/LOC126352958/LOC126299078/LOC126284811/LOC126354610/LOC126278485/LOC126266788/LOC126329483/LOC126325353/LOC126298865/LOC126278697/LOC126281672/LOC126336244/LOC126335505/LOC126293737/LOC126334596/LOC126291591/LOC126299542/LOC126266840/LOC126278052/LOC126281265/LOC126354574/LOC126284898/LOC126336251/LOC126293368/LOC126295405/LOC126365941/LOC126299364/LOC126268218/LOC126272037/LOC126281954/LOC126350022/LOC126284812/LOC126298104/LOC126297871/LOC126281958/LOC126297494/LOC126281532/LOC126299365/LOC126349195/LOC126281446/LOC126324953/LOC126267350",43,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko01100","Metabolic pathways","117/275","842/3456",0.13895486935867,1.74628374001296,7.32007906056822,3.38041442674615e-12,3.86494049457976e-10,3.86494049457976e-10,"LOC126355818/LOC126335182/LOC126293404/LOC126352958/LOC126297442/LOC126299078/LOC126284573/LOC126281399/LOC126336628/LOC126336692/LOC126284811/LOC126354610/LOC126297511/LOC126278485/LOC126271720/LOC126292317/LOC126323656/LOC126266788/LOC126329483/LOC126281562/LOC126299071/LOC126325353/LOC126334561/LOC126336866/LOC126356100/LOC126272511/LOC126365911/LOC126335256/LOC126278697/LOC126281672/LOC126335010/LOC126336244/LOC126335505/LOC126293737/LOC126336316/LOC126272393/LOC126334596/LOC126341237/LOC126272831/LOC126334891/LOC126281949/LOC126267535/LOC126266596/LOC126291591/LOC126299542/LOC126266840/LOC126285378/LOC126354225/LOC126278052/LOC126281265/LOC126354574/LOC126272584/LOC126298779/LOC126284898/LOC126336251/LOC126293368/LOC126272926/LOC126281438/LOC126283957/LOC126281164/LOC126295405/LOC126355885/LOC126323251/LOC126365941/LOC126335258/LOC126271923/LOC126299364/LOC126268218/LOC126268126/LOC126358586/LOC126277880/LOC126284808/LOC126266657/LOC126272037/LOC126331446/LOC126336625/LOC126336695/LOC126336122/LOC126295125/LOC126335481/LOC126278567/LOC126281954/LOC126350022/LOC126278249/LOC126267222/LOC126284812/LOC126335184/LOC126277907/LOC126354727/LOC126359832/LOC126298104/LOC126266939/LOC126272931/LOC126269845/LOC126279052/LOC126299043/LOC126297871/LOC126335523/LOC126281958/LOC126297494/LOC126281532/LOC126336714/LOC126299365/LOC126349195/LOC126299493/LOC126281446/LOC126292034/LOC126272928/LOC126356371/LOC126357545/LOC126324953/LOC126281974/LOC126283960/LOC126284296/LOC126285375/LOC126267350/LOC126275659",117,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Broad metabolic map","Broad KEGG reference map"
"ko00040","Pentose and glucuronate interconversions","19/275","43/3456",0.441860465116279,5.55298097251586,8.83223177373648,9.9396754943008e-11,8.52327173636293e-09,8.52327173636293e-09,"LOC126281399/LOC126336628/LOC126281562/LOC126341237/LOC126272831/LOC126291591/LOC126272926/LOC126281438/LOC126283957/LOC126266657/LOC126336625/LOC126278567/LOC126266939/LOC126335523/LOC126272928/LOC126357545/LOC126281974/LOC126283960/LOC126281694",19,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko00982","Drug metabolism - cytochrome P450","21/275","57/3456",0.368421052631579,4.63004784688995,8.12423978796431,6.08671661271822e-10,4.1754875963247e-08,4.1754875963247e-08,"LOC126336628/LOC126336692/LOC126272888/LOC126281562/LOC126335010/LOC126341237/LOC126272831/LOC126336724/LOC126266827/LOC126331335/LOC126272926/LOC126282396/LOC126266828/LOC126336625/LOC126336695/LOC126281954/LOC126336888/LOC126266939/LOC126272928/LOC126336713/LOC126281404",21,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko01120","Microbial metabolism in diverse environments","33/275","137/3456",0.240875912408759,3.02715328467153,7.11789840609912,2.6585743160963e-09,1.51981831736839e-07,1.51981831736839e-07,"LOC126355949/LOC126272888/LOC126325353/LOC126336866/LOC126272511/LOC126336244/LOC126335505/LOC126334596/LOC126334891/LOC126299542/LOC126266840/LOC126278052/LOC126354574/LOC126266827/LOC126284898/LOC126336251/LOC126293368/LOC126295405/LOC126355885/LOC126323251/LOC126365941/LOC126268126/LOC126266828/LOC126272037/LOC126336122/LOC126281954/LOC126350022/LOC126297871/LOC126281958/LOC126297494/LOC126281532/LOC126349195/LOC126281446",33,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00980","Metabolism of xenobiotics by cytochrome P450","21/275","63/3456",0.333333333333333,4.18909090909091,7.51023942857063,5.07283882306309e-09,2.48569102330092e-07,2.48569102330092e-07,"LOC126336628/LOC126336692/LOC126281562/LOC126343748/LOC126341237/LOC126272831/LOC126336724/LOC126331335/LOC126272926/LOC126293679/LOC126282396/LOC126336625/LOC126336695/LOC126343702/LOC126281954/LOC126336888/LOC126266939/LOC126272928/LOC126336713/LOC126281404/LOC126281694",21,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Detoxification and secondary metabolism","Core metabolism or cross-domain"
"ko05204","Chemical carcinogenesis - DNA adducts","20/275","62/3456",0.32258064516129,4.05395894428152,7.133647711758,2.2713080716106e-08,9.73823335703046e-07,9.73823335703046e-07,"LOC126336628/LOC126336692/LOC126281562/LOC126343748/LOC126341237/LOC126272831/LOC126336724/LOC126331335/LOC126272926/LOC126293679/LOC126282396/LOC126336625/LOC126336695/LOC126343702/LOC126281954/LOC126336888/LOC126266939/LOC126272928/LOC126336713/LOC126281404",20,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Genetic information processing","Reference disease pathway"
"ko00260","Glycine, serine and threonine metabolism","13/275","31/3456",0.419354838709677,5.27014662756598,7.021047080023,2.1719086305569e-07,7.76229620898607e-06,7.76229620898607e-06,"LOC126293404/LOC126329483/LOC126325353/LOC126281672/LOC126335010/LOC126266840/LOC126293368/LOC126295405/LOC126323251/LOC126350022/LOC126354727/LOC126365930/LOC126267350",13,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00053","Ascorbate and aldarate metabolism","14/275","36/3456",0.388888888888889,4.88727272727273,6.89273762097938,2.26306011923792e-07,7.76229620898607e-06,7.76229620898607e-06,"LOC126336628/LOC126277893/LOC126281562/LOC126341237/LOC126272831/LOC126266840/LOC126272926/LOC126266657/LOC126336625/LOC126277892/LOC126350022/LOC126266939/LOC126281446/LOC126272928",14,"KEGG_pathway","Expressed rRNA-filtered genes",275,3456,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
