"GeneID","INFECT_baseMean","INFECT_log2FoldChange","INFECT_lfcSE","INFECT_stat","INFECT_pvalue","INFECT_padj","DIET33_baseMean","DIET33_log2FoldChange","DIET33_lfcSE","DIET33_stat","DIET33_pvalue","DIET33_padj","DIET83_baseMean","DIET83_log2FoldChange","DIET83_lfcSE","DIET83_stat","DIET83_pvalue","DIET83_padj","INT33_baseMean","INT33_log2FoldChange","INT33_lfcSE","INT33_stat","INT33_pvalue","INT33_padj","INT83_baseMean","INT83_log2FoldChange","INT83_lfcSE","INT83_stat","INT83_pvalue","INT83_padj","GeneType.x","Description.x","Species","NumSig","GeneType.y","Description.y","Source"
"LOC126271894",33.0588290451764,-0.796770865890006,0.227412082581683,-3.5036435040949,0.000458939301644901,0.00550894535898624,33.0588290451764,-0.452615659927587,0.233190779824057,-1.94096722121297,0.0522622533922869,0.649915774355406,33.0588290451764,-0.741130899265707,0.243153966208858,-3.04799017191071,0.00230377461852053,0.0499639075414495,33.0588290451764,0.767005753510392,0.312006087019347,2.45830381335744,0.0139595024473285,0.248304666855725,33.0588290451764,1.07532544729501,0.344118757145554,3.12486728772002,0.00177885294608927,0.126802971725059,NA,NA,"Schistocerca_gregaria",2,"protein_coding","metallophosphoesterase 1","rRNA Included"
"LOC126301159",12.4381958483821,3.23997864542832,0.853944347302068,3.7941332543094,0.000148160094001588,0.0024777697949928,12.4381958483821,-1.41459656042197,1.04184814532337,-1.3577761469095,0.174534725970411,0.899760279184545,12.4381958483821,3.21951661855482,0.910416006065397,3.53631372592933,0.000405752531072483,0.0166439880913894,12.4381958483821,0.485842657671747,1.25308689628471,0.387716653260223,0.698225730466556,0.959054328737639,12.4381958483821,-3.22220773293767,1.1949391498157,-2.69654545458207,0.00700628347151666,0.196188426697791,NA,NA,"Schistocerca_gregaria",2,"rRNA","small subunit ribosomal RNA","rRNA Included"
"LOC126301179",384.73072694548,1.57246257584295,0.537948712898361,2.92307154593016,0.00346596865816326,0.02130722682383,384.73072694548,0.705059486903447,0.577540075333332,1.22079751175105,0.222162696164292,0.954658429669303,384.73072694548,2.12288176331489,0.578967332941257,3.66666933094527,0.000245730220793159,0.0127697455838447,384.73072694548,-1.06422086194835,0.744697253185249,-1.4290651098771,0.152985520446958,0.675075933158009,384.73072694548,-1.56007634640389,0.782752671503657,-1.99306422475314,0.0462544148176771,0.408593078182777,NA,NA,"Schistocerca_gregaria",2,"rRNA","large subunit ribosomal RNA","rRNA Included"
"LOC126304803",4.69113897604284,30,5.12993531672923,5.84802695312102,4.97437965199495e-09,7.87147749354623e-07,4.69113897604284,-9.44369394702555,5.53881298833026,-1.70500321403205,0.0881938249944188,0.758295732268151,4.69113897604284,-17.3509682020758,5.55826440939461,-3.12165217846584,0.00179839274502386,0.0428503230384897,4.69113897604284,-0.0682305606407556,7.11800332112695,-0.00958563203226394,0.992351889319701,0.99961036290651,4.69113897604284,-16.5337950584472,7.49896467859152,-2.20481036610945,0.0274674043318321,0.333356248590679,NA,NA,"Schistocerca_gregaria",2,"rRNA","large subunit ribosomal RNA","rRNA Included"
"LOC126305012",70.6866292142265,2.77795656147647,1.09339793715549,2.54066380324753,0.0110642252657039,0.0476094096178832,70.6866292142265,1.39367961660365,1.24010717794185,1.12383803706118,0.26108174174826,0.983381105976665,70.6866292142265,3.8160421114442,1.19970511571029,3.1808167369403,0.00146860500711645,0.0367754834875433,70.6866292142265,0.596016580227243,1.46629891893304,0.406476859889481,0.684392256065005,0.955892127179662,70.6866292142265,-2.73443523255481,1.50825557950052,-1.81297869520255,0.0698351073358161,0.48207901066507,NA,NA,"Schistocerca_gregaria",2,"protein_coding","ras GTPase-activating-like protein rgaA","rRNA Included"
"LOC126307540",6.54702803902005,-3.53552019074307,1.30228617594902,-2.71485657763864,0.00663044782866302,0.0333167961071214,6.54702803902005,-7.02557467449591,1.53558314143637,-4.57518351492468,4.75802731437094e-06,0.00348266912336673,6.54702803902005,-6.6332306424181,1.55523284538457,-4.2651045225179,1.99808640567999e-05,0.00326640406670044,6.54702803902005,3.98719278716231,2.01423675505593,1.9795055259289,0.0477591181027717,0.423495186633768,6.54702803902005,4.46585267017293,2.14204817977448,2.08485164448688,0.0370827691504499,0.374399467428806,NA,NA,"Schistocerca_gregaria",3,"rRNA","large subunit ribosomal RNA","rRNA Included"
"LOC126311708",100.034472836301,-3.14360228497265,0.813683376046913,-3.86342203554052,0.000111809589794696,0.00202425788696513,100.034472836301,-4.37777253154879,0.875950725307589,-4.99773834882269,5.80066186932725e-07,0.000651027617134161,100.034472836301,-3.84069092249264,0.87813511079756,-4.37369019330563,1.22163715245997e-05,0.00252396665367452,100.034472836301,3.52361935440791,1.13247759896658,3.11142521284599,0.00186186628306016,0.122187071522088,100.034472836301,4.20972676078067,1.19016396253306,3.53709815899735,0.000404549281671681,0.0756553128235325,NA,NA,"Schistocerca_gregaria",3,"rRNA","large subunit ribosomal RNA","rRNA Included"
"LOC126313505",91.2909750698722,2.75089829875231,0.974107092985495,2.82402039628026,0.00474253667716316,0.0264928466042343,91.2909750698722,-0.70925223952258,1.06855211360271,-0.663750724455805,0.50684986825523,0.997493170622168,91.2909750698722,6.30277642311265,1.0413629278219,6.05243019001596,1.42676835596934e-09,2.24031167254306e-06,91.2909750698722,-1.99164730909482,1.36745562350622,-1.45646211464482,0.145264915337439,0.659305818016251,91.2909750698722,-7.83031446180667,1.41143883409796,-5.54775330863766,2.89363757639303e-08,5.95257419933751e-05,NA,NA,"Schistocerca_gregaria",3,"rRNA","small subunit ribosomal RNA","rRNA Included"
"LOC126313701",2.5930674347506,13.6139285679245,5.14318271316004,2.64698520880662,0.00812129051134288,0.0382737909350429,2.5930674347506,-29.8985915155942,5.53857884184243,-5.39824246785451,6.72968791962146e-08,0.000141617870158534,2.5930674347506,17.6199873284417,5.5062944322266,3.19997187678841,0.00137440997829971,0.0354950419066809,2.5930674347506,-14.0988053373771,7.13531297465637,-1.97591968109234,0.0481638747518755,NA,2.5930674347506,-30,7.46862619542586,-4.01680298558434,5.89930028214198e-05,0.0322207030593786,NA,NA,"Schistocerca_gregaria",4,"rRNA","large subunit ribosomal RNA","rRNA Included"
"LOC126315390",15.1533290658298,2.76191485978637,0.683903298550055,4.03845816454156,5.38036865896773e-05,0.00120875009382522,15.1533290658298,2.02915919181384,0.78288253226823,2.59190760832892,0.00954454004333559,0.381668246150961,15.1533290658298,2.55955452103411,0.836141374216314,3.0611504225982,0.0022048829330968,0.0486818556724341,15.1533290658298,-2.95651664829669,1.06095189488743,-2.78666418575971,0.00532536333323877,0.173829593357672,15.1533290658298,-2.21515245748942,1.00314616299974,-2.20820508435719,0.0272299801399571,0.33317753395039,NA,NA,"Schistocerca_gregaria",2,"protein_coding","chitinase domain-containing protein 1-like","rRNA Included"
"LOC126315446",49.5211098932603,3.47645191592726,1.16369851303574,2.98741630842016,0.00281346314722754,0.0185873797727513,49.5211098932603,1.90482456308014,1.32005400357445,1.44298987611283,0.149023323140924,0.869352435128567,49.5211098932603,4.10402739528785,1.2854834938154,3.1925943934969,0.00141000851203552,0.035653847766626,49.5211098932603,-0.450027555332677,1.58923110082282,-0.283173136430363,0.777044119936574,0.975190710927065,49.5211098932603,-2.8953928531732,1.62937225826223,-1.77699898748811,0.0755684064208539,0.496458788210775,NA,NA,"Schistocerca_gregaria",2,"protein_coding","G patch domain-containing protein 1-like","rRNA Included"
"LOC126316726",15.5018690946796,2.01046206066591,0.648170013714799,3.10175111178552,0.00192379629922727,0.0144830355427187,15.5018690946796,2.05313532268892,0.735368566950125,2.79198134780782,0.00523863758015881,0.322353348313459,15.5018690946796,2.46451526736602,0.79408372464696,3.10359624668257,0.00191184039110295,0.0444631120309022,15.5018690946796,-3.1175550937795,1.04653369079943,-2.97893428676727,0.00289252804465877,0.138168003549618,15.5018690946796,-2.01840132099568,0.9609456685504,-2.10043230023657,0.0356908301452968,0.368022551191197,NA,NA,"Schistocerca_gregaria",2,"protein_coding","transcription elongation factor SPT5-like","rRNA Included"
