"intersection","n_genes","n_sets","intersection_id"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients",577,3,"I01"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33",290,2,"I02"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33",287,4,"I03"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50",269,2,"I04"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",267,5,"I05"
"all_model_coefficients",185,1,"I06"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_83",158,2,"I07"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_83",108,4,"I08"
"all_diet_pairwise_results + DESeq2_33_vs_83",74,2,"I09"
"all_model_coefficients + interaction_coefficients",59,2,"I10"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",56,6,"I11"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33",55,3,"I12"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",46,3,"I13"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_83",44,5,"I14"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",33,4,"I15"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_83",29,3,"I16"
"all_diet_pairwise_results + DESeq2_33_vs_50",22,2,"I17"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33",20,3,"I18"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + all_diet_pairwise_results + DESeq2_33_vs_83",14,4,"I19"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + interaction_coefficients",13,4,"I20"
