gene_id,description,gene_biotype,sequence_class,seqid,contrast_family,contrast_id,numerator,denominator,log2FoldChange,padj,higher_in
LOC126360830,dentin sialophosphoprotein-like,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.0385014424653058,8.750572380967742e-5,Average infected
LOC126353822,uncharacterized LOC126353822,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.465507239450391,8.946002589776779e-5,Average control
LOC126282335,uncharacterized LOC126282335,protein_coding,Nuclear chromosome,NC_064926.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.000493155621148,9.053633023576544e-5,Average control
LOC126285375,sepiapterin reductase-like,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1270928322843896,9.102289610141228e-5,Average control
LOC126357545,aldo-keto reductase family 1 member B1-like,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.321433374534597,9.1901035283674e-5,Average control
LOC126266984,neural cell adhesion molecule 1-like,protein_coding,Nuclear chromosome,NC_064923.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.643686899941026,9.19341576732577e-5,Average infected
LOC126284771,U-scoloptoxin(16)-Er12a-like,protein_coding,Nuclear chromosome,NC_064927.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.0769197989899757,9.295028641591816e-5,Average infected
LOC126354787,uncharacterized LOC126354787,protein_coding,Nuclear chromosome,NC_064922.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1135407787210516,9.338460422153594e-5,Average control
LOC126278395,uncharacterized LOC126278395,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1812913863687013,9.702128367942925e-5,Average control
LOC126335428,retinaldehyde-binding protein 1,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1819179846207186,9.7490778856628e-5,Average control
LOC126297695,putative uncharacterized protein DDB_G0271606,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.335071658634424,9.763991044441401e-5,Average infected
LOC126322901,uncharacterized LOC126322901,protein_coding,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.4142125655250617,1.0083823416690921e-4,Average infected
LOC126298221,L-threonine ammonia-lyase,protein_coding,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.2810552525938785,1.01538943463765e-4,Average control
LOC126273256,zinc finger protein Gfi-1-like,protein_coding,Nuclear chromosome,NC_064924.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.053690481547011,1.0335899459521671e-4,Average control
LOC126299290,uncharacterized LOC126299290,lncRNA,Nuclear chromosome,NC_064931.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.0059296038770786,1.0433422700070188e-4,Average infected
LOC126361189,uncharacterized LOC126361189,protein_coding,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,-1.1943369809240012,1.0729337862793528e-4,Average control
LOC126278365,endoglucanase A-like,protein_coding,Nuclear chromosome,NC_064925.1,Average infection response,infection_average_all_diets,Average infected,Average control,-2.0544242464398064,1.0807735253972307e-4,Average control
LOC126333352,uncharacterized LOC126333352,lncRNA,Nuclear chromosome,NC_064921.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.447230899846646,1.0961102416271212e-4,Average infected
LOC126358175,uncharacterized LOC126358175,lncRNA,Nuclear chromosome,NC_064920.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.93903937838598,1.0961102416271212e-4,Average infected
LOC126273312,ejaculatory bulb-specific protein 3-like,protein_coding,Nuclear chromosome,NC_064924.1,Average infection response,infection_average_all_diets,Average infected,Average control,1.9768295599937544,1.1022813097742863e-4,Average infected
