"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
3295,"LOC126356204","catalytic activity. It is involved in the biological process described with metabolic process","Infection within diet","No phase DEG",3,"Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.98480948879339,7.85944340346746e-08,3.1016797715853,"1029","Higher than gene average"
3296,"LOC126266957","no description","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.39978463159806,0.00308631726092642,2.80704242061097,"1029","Higher than gene average"
3297,"LOC126272850","no description","Infection + diet","No phase DEG",3,"Diet 33: infected vs control; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",5.26692337010464,6.50449934699519e-05,2.48755777707285,"1016","Higher than gene average"
3298,"LOC126355644","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",5.5705812894716,0.000740403974902303,2.68525461765482,"1016","Higher than gene average"
3299,"LOC126356154","Integrin alpha","Infection within diet","No phase DEG",3,"Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.0890904137718,1.49620519531409e-06,2.12570935343703,"1023","Higher than gene average"
3300,"LOC126283383","Converts protoheme IX and farnesyl diphosphate to heme O","Infection within diet","No phase DEG",2,"Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.24425401162625,1.19664029465329e-07,2.45178396787569,"1029","Higher than gene average"
3301,"LOC126334835","It is involved in the biological process described with transmembrane transport","Infection within diet","No phase DEG",3,"Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.87596830480091,1.57164794078654e-08,2.44686831203832,"1029","Higher than gene average"
3302,"LOC126349011","Trypsin-like serine protease","Infection within diet","No phase DEG",3,"Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.74656684475748,7.00656709214526e-08,2.67445838998848,"1023","Higher than gene average"
3303,"LOC126293666","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",4.98696168935397,0.0151137757541592,2.64888945952644,"1029","Higher than gene average"
3304,"LOC126335656","activity. It is involved in the biological process described with oxidation-reduction process","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",2.01543527176345,0.00824037939491289,2.94383201791799,"1015","Higher than gene average"
3305,"LOC126354485","Cytochrome P-450","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",7.15259045525089,0.00106377528047247,4.08350683261858,"1016","Higher than gene average"
3306,"LOC126355920","Interferon-related protein conserved region","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.87351321756079,0.0102972650184559,3.3815581420513,"1049","Higher than gene average"
3307,"LOC126355725","Lissencephaly type-1-like homology motif","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.79763698435931,0.000725926116682669,2.93537515396963,"1016","Higher than gene average"
3308,"LOC126361126","Glucose dehydrogenase FAD, quinone -like","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",2.38302848922861,0.0371113332170785,2.7807087888513,"1016","Higher than gene average"
3309,"LOC126293467","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",3.78799959041974,0.0386227783921116,3.73397792436871,"1016","Higher than gene average"
3310,"LOC126291637","Belongs to the type-B carboxylesterase lipase family","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.27782545788791,0.0374770914678014,3.1714574525753,"1016","Higher than gene average"
3311,"LOC126278381","no description","Infection + diet","Thorax phase DEG only",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",2.29839746019528,0.0285212214084844,4.38104138215507,"1016","Higher than gene average"
3312,"LOC126266655","It is involved in the biological process described with protein folding","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",1.01989743500818,0.0070234646246785,3.81616835442137,"1058","Higher than gene average"
3313,"LOC126354835","binding. It is involved in the biological process described with actin","Infection within diet","No phase DEG",1,"Diet 83: infected vs control","Upregulated",1.06307448879026,0.00619644574258007,2.37352841572724,"1029","Higher than gene average"
