"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means"
"LOC126266588",3,0.0664800272777208,"Thorax","Fat body","Fat body=5.14; Head=5.19; Thorax=5.21"
"LOC126266589",3,0.126497015694572,"Head","Fat body","Fat body=5.22; Head=5.35; Thorax=5.34"
"LOC126266590",3,0.86513778581582,"Head","Fat body","Fat body=6.78; Head=7.65; Thorax=7.02"
"LOC126266591",3,0.502226324219383,"Fat body","Head","Fat body=7.03; Head=6.53; Thorax=6.66"
"LOC126266592",3,0.295556402061743,"Fat body","Thorax","Fat body=6.47; Head=6.21; Thorax=6.17"
"LOC126266593",3,0.602262821879986,"Thorax","Fat body","Fat body=8.79; Head=9.27; Thorax=9.4"
"LOC126266594",3,0.0725069968619074,"Head","Fat body","Fat body=6.9; Head=6.97; Thorax=6.93"
"LOC126266595",3,0.22384031105782,"Thorax","Fat body","Fat body=6.98; Head=7.11; Thorax=7.21"
"LOC126266596",3,0.557395707013441,"Thorax","Fat body","Fat body=8.71; Head=9.03; Thorax=9.27"
"LOC126266597",3,0.981055600537679,"Thorax","Fat body","Fat body=5.63; Head=5.96; Thorax=6.61"
"LOC126266598",3,0.0449810469170471,"Thorax","Fat body","Fat body=6.92; Head=6.96; Thorax=6.96"
"LOC126266599",3,2.44339791837425,"Fat body","Thorax","Fat body=9.39; Head=7.22; Thorax=6.95"
"LOC126266600",3,0.400112905082471,"Thorax","Fat body","Fat body=8.22; Head=8.52; Thorax=8.62"
"LOC126266601",3,0.269616909462902,"Fat body","Thorax","Fat body=6.54; Head=6.37; Thorax=6.27"
"LOC126266602",3,0.181680393068121,"Thorax","Fat body","Fat body=6.64; Head=6.75; Thorax=6.82"
"LOC126266603",3,0.038554537062919,"Fat body","Head","Fat body=5.59; Head=5.55; Thorax=5.58"
"LOC126266604",3,0.599276425983369,"Fat body","Thorax","Fat body=7.69; Head=7.41; Thorax=7.1"
"LOC126266605",3,0.0775012537353117,"Head","Fat body","Fat body=8.13; Head=8.2; Thorax=8.14"
"LOC126266606",3,0.193898431524894,"Fat body","Head","Fat body=6.12; Head=5.93; Thorax=6.05"
"LOC126266607",3,0.393919938677998,"Thorax","Fat body","Fat body=9.8; Head=9.99; Thorax=10.2"
"LOC126266608",3,1.20959698328091,"Fat body","Head","Fat body=8.99; Head=7.78; Thorax=8.36"
"LOC126266609",3,0.0902548286535003,"Head","Fat body","Fat body=5.39; Head=5.48; Thorax=5.43"
"LOC126266610",3,0.193856740462826,"Fat body","Head","Fat body=7.61; Head=7.41; Thorax=7.42"
"LOC126266611",3,0.0653789172184354,"Thorax","Head","Fat body=6.68; Head=6.67; Thorax=6.73"
"LOC126266612",3,0.134630406114777,"Head","Thorax","Fat body=7.55; Head=7.67; Thorax=7.53"
"LOC126266613",3,0.358545867539218,"Thorax","Head","Fat body=7.49; Head=7.18; Thorax=7.54"
"LOC126266614",3,0.313515027437905,"Head","Fat body","Fat body=7.99; Head=8.31; Thorax=8.15"
"LOC126266615",3,0.155176915019112,"Thorax","Fat body","Fat body=6.97; Head=7.05; Thorax=7.13"
"LOC126266616",3,0.22380546025035,"Thorax","Fat body","Fat body=6.52; Head=6.69; Thorax=6.75"
"LOC126266617",3,0.421443713835872,"Fat body","Thorax","Fat body=5.92; Head=5.54; Thorax=5.5"
"LOC126266618",3,0.16775455967662,"Thorax","Head","Fat body=7.71; Head=7.7; Thorax=7.87"
"LOC126266619",3,2.03572701479809,"Thorax","Fat body","Fat body=6.36; Head=7.94; Thorax=8.4"
"LOC126266620",3,0.0925841834095538,"Thorax","Head","Fat body=6.52; Head=6.52; Thorax=6.61"
"LOC126266622",3,0.211331480070047,"Head","Fat body","Fat body=5.49; Head=5.7; Thorax=5.69"
"LOC126266623",3,2.94813802552758,"Head","Fat body","Fat body=5.37; Head=8.32; Thorax=6.47"
"LOC126266624",3,1.03224056541103,"Fat body","Head","Fat body=8.31; Head=7.27; Thorax=7.31"
"LOC126266625",3,0.420742951315614,"Fat body","Thorax","Fat body=7.13; Head=6.83; Thorax=6.71"
"LOC126266626",3,1.95031780031165,"Head","Fat body","Fat body=6.77; Head=8.72; Thorax=7.5"
"LOC126266627",3,0.583143146253946,"Fat body","Head","Fat body=7.75; Head=7.17; Thorax=7.18"
"LOC126266628",3,0.329528145723744,"Fat body","Thorax","Fat body=6.89; Head=6.7; Thorax=6.56"
"LOC126266629",3,0.549866852902964,"Thorax","Fat body","Fat body=6.97; Head=7.03; Thorax=7.52"
"LOC126266630",3,0.230363052132081,"Thorax","Fat body","Fat body=7; Head=7.04; Thorax=7.23"
"LOC126266631",3,0.230799774597532,"Thorax","Fat body","Fat body=6.86; Head=6.88; Thorax=7.09"
"LOC126266632",3,0.557997633278257,"Fat body","Head","Fat body=8.75; Head=8.19; Thorax=8.3"
"LOC126266633",3,0.264383396072869,"Thorax","Head","Fat body=8.92; Head=8.72; Thorax=8.98"
"LOC126266634",3,1.25770213878669,"Fat body","Head","Fat body=11.74; Head=10.49; Thorax=10.63"
"LOC126266635",3,0.194464390225111,"Thorax","Fat body","Fat body=6.2; Head=6.36; Thorax=6.39"
"LOC126266637",3,0.0417918621915661,"Fat body","Thorax","Fat body=7; Head=6.96; Thorax=6.96"
"LOC126266638",3,0.617914952778772,"Thorax","Fat body","Fat body=8.86; Head=9.35; Thorax=9.48"
"LOC126266639",3,0.360135453838789,"Fat body","Head","Fat body=7.94; Head=7.58; Thorax=7.61"
"LOC126266640",3,0.0332647889446687,"Head","Fat body","Fat body=7.19; Head=7.22; Thorax=7.2"
"LOC126266641",3,1.02404881688701,"Head","Fat body","Fat body=5.5; Head=6.53; Thorax=5.73"
"LOC126266642",3,0.414670388764496,"Thorax","Fat body","Fat body=7.65; Head=7.76; Thorax=8.06"
"LOC126266643",3,0.0511788086173022,"Thorax","Fat body","Fat body=5.14; Head=5.14; Thorax=5.2"
"LOC126266644",3,0.337051931076386,"Thorax","Fat body","Fat body=7.44; Head=7.76; Thorax=7.78"
"LOC126266645",3,0.390105035250413,"Head","Fat body","Fat body=5.69; Head=6.08; Thorax=5.76"
"LOC126266646",3,0.18885614846526,"Thorax","Fat body","Fat body=5.53; Head=5.6; Thorax=5.72"
"LOC126266647",3,0.189321409007943,"Fat body","Thorax","Fat body=8.04; Head=7.88; Thorax=7.85"
"LOC126266649",3,1.54584040958444,"Thorax","Fat body","Fat body=6.48; Head=7.89; Thorax=8.03"
"LOC126266650",3,0.490035189228586,"Fat body","Head","Fat body=7.4; Head=6.91; Thorax=7.1"
"LOC126266651",3,0.345701580534061,"Fat body","Head","Fat body=7.28; Head=6.93; Thorax=7.04"
"LOC126266652",3,2.61835509846655,"Head","Fat body","Fat body=5.85; Head=8.47; Thorax=6.97"
"LOC126266653",3,0.119953147325305,"Head","Thorax","Fat body=6.85; Head=6.86; Thorax=6.74"
"LOC126266654",3,0.393704722502699,"Fat body","Head","Fat body=6.44; Head=6.05; Thorax=6.1"
"LOC126266655",3,0.100211088521377,"Fat body","Thorax","Fat body=6.68; Head=6.63; Thorax=6.58"
"LOC126266656",3,3.00775721761339,"Fat body","Thorax","Fat body=11.31; Head=8.41; Thorax=8.3"
"LOC126266657",3,1.20047444181896,"Fat body","Head","Fat body=8.65; Head=7.45; Thorax=7.7"
"LOC126266658",3,0.877709458451535,"Head","Fat body","Fat body=5.61; Head=6.48; Thorax=6.22"
"LOC126266659",3,0.197326317685815,"Fat body","Thorax","Fat body=5.61; Head=5.47; Thorax=5.41"
"LOC126266660",3,0.466902427953977,"Fat body","Head","Fat body=7.93; Head=7.46; Thorax=7.58"
"LOC126266661",3,0.0942852088946662,"Head","Fat body","Fat body=5.72; Head=5.82; Thorax=5.74"
"LOC126266662",3,1.68520053700514,"Thorax","Fat body","Fat body=5.87; Head=7.11; Thorax=7.55"
"LOC126266663",3,1.17697884837039,"Head","Fat body","Fat body=5.68; Head=6.86; Thorax=5.95"
"LOC126266664",3,0.10050790268234,"Head","Fat body","Fat body=5.28; Head=5.38; Thorax=5.33"
"LOC126266665",3,2.00053342591997,"Fat body","Thorax","Fat body=9.83; Head=8.59; Thorax=7.82"
"LOC126266666",3,0.0753269451726863,"Fat body","Head","Fat body=7.46; Head=7.39; Thorax=7.4"
"LOC126266667",3,0.89168197639267,"Thorax","Fat body","Fat body=5.75; Head=6.34; Thorax=6.64"
"LOC126266668",3,0.0605316462296743,"Head","Fat body","Fat body=5.14; Head=5.2; Thorax=5.2"
"LOC126266669",3,0.572238105768825,"Thorax","Fat body","Fat body=6.16; Head=6.69; Thorax=6.73"
"LOC126266671",3,0.42641351888717,"Fat body","Head","Fat body=6.07; Head=5.64; Thorax=5.87"
"LOC126266672",3,1.25039405431569,"Fat body","Thorax","Fat body=9.19; Head=8.22; Thorax=7.94"
"LOC126266673",3,0.0134840927157693,"Head","Thorax","Fat body=5.24; Head=5.25; Thorax=5.23"
"LOC126266674",3,0.598166763474417,"Head","Fat body","Fat body=5.66; Head=6.25; Thorax=5.75"
"LOC126266675",3,0.315812467262353,"Thorax","Fat body","Fat body=5.59; Head=5.86; Thorax=5.9"
"LOC126266676",3,0.0715132787924215,"Fat body","Head","Fat body=7.49; Head=7.42; Thorax=7.48"
"LOC126266677",3,1.52718503126533,"Head","Fat body","Fat body=6.71; Head=8.24; Thorax=7.33"
"LOC126266678",3,0.192034283499468,"Fat body","Head","Fat body=6.28; Head=6.09; Thorax=6.16"
"LOC126266679",3,1.43780856845616,"Thorax","Fat body","Fat body=6.99; Head=8.07; Thorax=8.43"
"LOC126266680",3,0.244337211546761,"Fat body","Head","Fat body=6.15; Head=5.9; Thorax=6.01"
"LOC126266681",3,0.561200837499817,"Fat body","Thorax","Fat body=7.95; Head=7.82; Thorax=7.39"
"LOC126266682",3,0.0399956043446572,"Thorax","Fat body","Fat body=5.14; Head=5.14; Thorax=5.18"
"LOC126266683",3,0.249690258378116,"Thorax","Fat body","Fat body=7.57; Head=7.68; Thorax=7.82"
"LOC126266684",3,1.3538642560922,"Head","Fat body","Fat body=5.32; Head=6.67; Thorax=5.52"
"LOC126266685",3,0.815596263522951,"Head","Fat body","Fat body=6.7; Head=7.51; Thorax=6.77"
"LOC126266686",3,1.30609717659431,"Fat body","Thorax","Fat body=11.02; Head=10.05; Thorax=9.72"
"LOC126266687",3,0.177260266897724,"Thorax","Head","Fat body=6.66; Head=6.59; Thorax=6.77"
"LOC126266688",3,0.776361826619341,"Thorax","Fat body","Fat body=8.97; Head=9.32; Thorax=9.75"
"LOC126266689",3,0.152437432252142,"Thorax","Fat body","Fat body=5.49; Head=5.64; Thorax=5.65"
"LOC126266690",3,0.278577320944299,"Thorax","Fat body","Fat body=6.98; Head=7.12; Thorax=7.26"
"LOC126266691",3,0.0874480279338723,"Thorax","Fat body","Fat body=5.66; Head=5.69; Thorax=5.75"
"LOC126266692",3,0.630300698537128,"Thorax","Fat body","Fat body=5.57; Head=6.18; Thorax=6.2"
"LOC126266693",3,0.404850956133966,"Head","Fat body","Fat body=5.22; Head=5.63; Thorax=5.43"
"LOC126266694",3,0.249857815202664,"Head","Thorax","Fat body=7.24; Head=7.36; Thorax=7.11"
"LOC126266695",3,0.0313884136332252,"Fat body","Head","Fat body=5.35; Head=5.32; Thorax=5.34"
"LOC126266696",3,0.380888820350126,"Head","Fat body","Fat body=5.24; Head=5.62; Thorax=5.59"
