"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"All samples","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Any large single-pair shift",14,414,2,14.2857142857143,0.483091787439614,0.00469483568075117,"LOC126268018;LOC126295405"
"All samples","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Higher in solitarious/isolated reference",14,152,2,14.2857142857143,1.31578947368421,0.0121951219512195,"LOC126268018;LOC126295405"
"All samples","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Higher in solitarious/isolated reference",10,152,0,0,0,0,""
"All samples","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Higher in gregarious/crowded reference",14,262,0,0,0,0,""
"All samples","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Any large single-pair shift",1,414,1,100,0.241545893719807,0.00241545893719807,"LOC126350918"
"All samples","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Higher in gregarious/crowded reference",1,262,1,100,0.381679389312977,0.00381679389312977,"LOC126350918"
"All samples","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Top absolute single-pair shifts",1,500,1,100,0.2,0.002,"LOC126350918"
"All samples","Diet contrasts among infected","Infected 83 vs 50","Upregulated","Higher in solitarious/isolated reference",1,152,0,0,0,0,""
"All samples","Infection within diet","Diet 33: infected vs control","Upregulated","Top absolute single-pair shifts",457,500,50,10.9409190371991,10,0.0551267916207277,"LOC126266748;LOC126267473;LOC126267478;LOC126271895;LOC126272144;LOC126272274;LOC126272290;LOC126272321;LOC126273757;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278521;LOC126278962;LOC126279018;LOC126281635;LOC126281729;LOC126281818;LOC126282035;LOC126284305;LOC126284371;LOC126284880;LOC126285340;LOC126294945;LOC126294994;LOC126295425;LOC126297535;LOC126298455;LOC126305117;LOC126321085;LOC126322901;LOC126323780;LOC126334632;LOC126334999;LOC126335036;LOC126335043;LOC126335117;LOC126336578;LOC126337043;LOC126339239;LOC126349825;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126361845;LOC126365992"
"All samples","Infection within diet","Diet 33: infected vs control","Downregulated","Top absolute single-pair shifts",441,500,44,9.97732426303855,8.8,0.0490523968784838,"LOC126267970;LOC126268161;LOC126268728;LOC126278002;LOC126278364;LOC126278365;LOC126278622;LOC126281398;LOC126281565;LOC126281715;LOC126281862;LOC126281958;LOC126284088;LOC126284898;LOC126291424;LOC126291919;LOC126292317;LOC126293292;LOC126293507;LOC126293692;LOC126293721;LOC126295285;LOC126297443;LOC126299109;LOC126299150;LOC126299171;LOC126306122;LOC126326589;LOC126327089;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126336535;LOC126336542;LOC126336735;LOC126336866;LOC126337056;LOC126344004;LOC126354081;LOC126354174;LOC126354185;LOC126355184;LOC126355885"
"All samples","Infection within diet","Diet 33: infected vs control","Upregulated","Any large single-pair shift",457,414,43,9.40919037199125,10.3864734299517,0.0519323671497585,"LOC126266748;LOC126267478;LOC126271895;LOC126272144;LOC126272274;LOC126272290;LOC126272321;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278521;LOC126278962;LOC126279018;LOC126281635;LOC126281729;LOC126281818;LOC126282035;LOC126284305;LOC126284371;LOC126284880;LOC126294994;LOC126295425;LOC126298455;LOC126305117;LOC126321085;LOC126323780;LOC126334632;LOC126334999;LOC126335043;LOC126335117;LOC126336578;LOC126337043;LOC126339239;LOC126349825;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126361845;LOC126365992"
"All samples","Infection within diet","Diet 33: infected vs control","Downregulated","Any large single-pair shift",441,414,35,7.93650793650794,8.45410628019324,0.0426829268292683,"LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281398;LOC126281565;LOC126281715;LOC126281958;LOC126284088;LOC126284898;LOC126291424;LOC126291919;LOC126292317;LOC126293292;LOC126293692;LOC126293721;LOC126295285;LOC126297443;LOC126299109;LOC126299150;LOC126299171;LOC126326589;LOC126327089;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126336866;LOC126337056;LOC126354081;LOC126354174;LOC126354185;LOC126355184"
"All samples","Infection within diet","Diet 33: infected vs control","Upregulated","Higher in gregarious/crowded reference",457,262,28,6.12691466083151,10.6870229007634,0.040520984081042,"LOC126271895;LOC126272144;LOC126272274;LOC126272321;LOC126275497;LOC126278049;LOC126278176;LOC126278308;LOC126278521;LOC126278962;LOC126279018;LOC126281729;LOC126281818;LOC126284371;LOC126294994;LOC126295425;LOC126298455;LOC126323780;LOC126337043;LOC126339239;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126361845;LOC126365992"
"All samples","Infection within diet","Diet 33: infected vs control","Downregulated","Higher in gregarious/crowded reference",441,262,23,5.21541950113379,8.77862595419847,0.0338235294117647,"LOC126267970;LOC126268161;LOC126268728;LOC126278364;LOC126278365;LOC126278622;LOC126281565;LOC126281715;LOC126281958;LOC126284898;LOC126291424;LOC126291919;LOC126292317;LOC126293292;LOC126293692;LOC126295285;LOC126297443;LOC126299150;LOC126299171;LOC126327089;LOC126336866;LOC126354174;LOC126355184"
"All samples","Infection within diet","Diet 33: infected vs control","Upregulated","Higher in solitarious/isolated reference",457,152,15,3.28227571115974,9.86842105263158,0.0252525252525253,"LOC126266748;LOC126267478;LOC126272290;LOC126281635;LOC126282035;LOC126284305;LOC126284880;LOC126305117;LOC126321085;LOC126334632;LOC126334999;LOC126335043;LOC126335117;LOC126336578;LOC126349825"
"All samples","Infection within diet","Diet 33: infected vs control","Downregulated","Higher in solitarious/isolated reference",441,152,12,2.72108843537415,7.89473684210526,0.0206540447504303,"LOC126281398;LOC126284088;LOC126293721;LOC126299109;LOC126326589;LOC126336399;LOC126336409;LOC126336529;LOC126336534;LOC126337056;LOC126354081;LOC126354185"
"All samples","Infection within diet","Diet 50: infected vs control","Upregulated","Top absolute single-pair shifts",794,500,78,9.82367758186398,15.6,0.0641447368421053,"LOC126266665;LOC126266748;LOC126266824;LOC126267473;LOC126267936;LOC126271895;LOC126272096;LOC126272290;LOC126272321;LOC126272724;LOC126273757;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278180;LOC126278308;LOC126278962;LOC126279018;LOC126279835;LOC126281635;LOC126281729;LOC126281818;LOC126282035;LOC126284221;LOC126284305;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284857;LOC126284872;LOC126284880;LOC126285233;LOC126285340;LOC126291872;LOC126291917;LOC126292259;LOC126292302;LOC126294945;LOC126295087;LOC126295101;LOC126295425;LOC126297535;LOC126298001;LOC126298220;LOC126299118;LOC126299253;LOC126305117;LOC126321085;LOC126322901;LOC126323780;LOC126334632;LOC126334737;LOC126334930;LOC126334938;LOC126334999;LOC126335036;LOC126335117;LOC126336036;LOC126336415;LOC126336578;LOC126336607;LOC126339239;LOC126339265;LOC126343351;LOC126349825;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126356364;LOC126361845"
"All samples","Infection within diet","Diet 50: infected vs control","Upregulated","Any large single-pair shift",794,414,64,8.06045340050378,15.4589371980676,0.0559440559440559,"LOC126266665;LOC126266748;LOC126266824;LOC126271895;LOC126272096;LOC126272290;LOC126272321;LOC126272724;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278180;LOC126278308;LOC126278962;LOC126279018;LOC126279835;LOC126281635;LOC126281729;LOC126281818;LOC126282035;LOC126284221;LOC126284305;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284857;LOC126284872;LOC126284880;LOC126285233;LOC126291917;LOC126295101;LOC126295425;LOC126298001;LOC126298220;LOC126299118;LOC126299253;LOC126305117;LOC126321085;LOC126323780;LOC126334632;LOC126334930;LOC126334938;LOC126334999;LOC126335117;LOC126336415;LOC126336578;LOC126336607;LOC126339239;LOC126339265;LOC126343351;LOC126349825;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126356364;LOC126361845"
"All samples","Infection within diet","Diet 50: infected vs control","Downregulated","Top absolute single-pair shifts",518,500,47,9.07335907335907,9.4,0.0484037075180227,"LOC126266713;LOC126267253;LOC126268728;LOC126269368;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281302;LOC126281715;LOC126281862;LOC126281958;LOC126282020;LOC126284898;LOC126291919;LOC126293721;LOC126295285;LOC126295405;LOC126299062;LOC126299150;LOC126299171;LOC126306122;LOC126326589;LOC126327089;LOC126333672;LOC126334779;LOC126335450;LOC126335894;LOC126336399;LOC126336529;LOC126336534;LOC126336535;LOC126336735;LOC126336866;LOC126336910;LOC126337056;LOC126344004;LOC126353877;LOC126354065;LOC126354081;LOC126354185;LOC126355146;LOC126355150;LOC126355184;LOC126356321;LOC126356808"
"All samples","Infection within diet","Diet 50: infected vs control","Upregulated","Higher in gregarious/crowded reference",794,262,45,5.66750629722922,17.175572519084,0.0445103857566766,"LOC126266665;LOC126266824;LOC126271895;LOC126272096;LOC126272321;LOC126275497;LOC126276148;LOC126276175;LOC126278049;LOC126278176;LOC126278308;LOC126278962;LOC126279018;LOC126279835;LOC126281729;LOC126281818;LOC126284371;LOC126284502;LOC126284639;LOC126284662;LOC126284857;LOC126284872;LOC126291917;LOC126295101;LOC126295425;LOC126298001;LOC126298220;LOC126299118;LOC126299253;LOC126323780;LOC126334930;LOC126334938;LOC126336607;LOC126339239;LOC126339265;LOC126343351;LOC126354206;LOC126354378;LOC126354672;LOC126354704;LOC126354934;LOC126355083;LOC126356065;LOC126356328;LOC126361845"
"All samples","Infection within diet","Diet 50: infected vs control","Downregulated","Any large single-pair shift",518,414,42,8.10810810810811,10.1449275362319,0.0471910112359551,"LOC126266713;LOC126267253;LOC126268728;LOC126269368;LOC126272370;LOC126277893;LOC126278364;LOC126278365;LOC126278622;LOC126281302;LOC126281715;LOC126281958;LOC126282020;LOC126284898;LOC126291919;LOC126293721;LOC126295285;LOC126295405;LOC126299062;LOC126299150;LOC126299171;LOC126326589;LOC126327089;LOC126333672;LOC126334779;LOC126335450;LOC126335894;LOC126336399;LOC126336529;LOC126336534;LOC126336866;LOC126336910;LOC126337056;LOC126353877;LOC126354065;LOC126354081;LOC126354185;LOC126355146;LOC126355150;LOC126355184;LOC126356321;LOC126356808"
