"gene_id","timecourse_fatbody_gregarious_minus_solitarious","abs_timecourse_delta","tissue_matched_direction","exploratory_shift"
"LOC126285230",0.233499563371141,0.233499563371141,"Higher in gregarious/crowded reference",FALSE
"LOC126284604",0.408523600247217,0.408523600247217,"Higher in gregarious/crowded reference",FALSE
"LOC126285232",1.92333262835521,1.92333262835521,"Higher in gregarious/crowded reference",TRUE
"LOC126284305",-1.58889540019334,1.58889540019334,"Higher in solitarious/isolated reference",TRUE
"LOC126284306",-0.410773615808695,0.410773615808695,"Higher in solitarious/isolated reference",FALSE
"LOC126284693",-0.0404116646538837,0.0404116646538837,"Higher in solitarious/isolated reference",FALSE
"LOC126284840",0.0307346332868459,0.0307346332868459,"Higher in gregarious/crowded reference",FALSE
"LOC126285233",-1.94783823494645,1.94783823494645,"Higher in solitarious/isolated reference",TRUE
"LOC126284004",0,0,"No difference in single-pair reference",FALSE
"LOC126284005",-0.150406276143451,0.150406276143451,"Higher in solitarious/isolated reference",FALSE
"LOC126284769",-0.300639027120549,0.300639027120549,"Higher in solitarious/isolated reference",FALSE
"LOC126284764",-0.253587921688415,0.253587921688415,"Higher in solitarious/isolated reference",FALSE
"LOC126284765",-0.466099795913093,0.466099795913093,"Higher in solitarious/isolated reference",FALSE
"LOC126285234",0.0698745764551649,0.0698745764551649,"Higher in gregarious/crowded reference",FALSE
"LOC126284367",-0.537109699349898,0.537109699349898,"Higher in solitarious/isolated reference",FALSE
"LOC126284936",0.719493125759555,0.719493125759555,"Higher in gregarious/crowded reference",FALSE
"LOC126284053",0.366192414980102,0.366192414980102,"Higher in gregarious/crowded reference",FALSE
"LOC126284054",-0.39012401136982,0.39012401136982,"Higher in solitarious/isolated reference",FALSE
"LOC126285235",0.101913672925845,0.101913672925845,"Higher in gregarious/crowded reference",FALSE
"LOC126284370",-0.0197070171041007,0.0197070171041007,"Higher in solitarious/isolated reference",FALSE
"LOC126284641",-0.0433360651022845,0.0433360651022845,"Higher in solitarious/isolated reference",FALSE
"LOC126284344",-0.0284752219471613,0.0284752219471613,"Higher in solitarious/isolated reference",FALSE
"LOC126284320",0.0695353017050833,0.0695353017050833,"Higher in gregarious/crowded reference",FALSE
"LOC126284319",-0.0355610283240102,0.0355610283240102,"Higher in solitarious/isolated reference",FALSE
"LOC126284759",-0.0149342939576442,0.0149342939576442,"Higher in solitarious/isolated reference",FALSE
"LOC126284761",-0.224556665794034,0.224556665794034,"Higher in solitarious/isolated reference",FALSE
"LOC126284760",-0.344310465117023,0.344310465117023,"Higher in solitarious/isolated reference",FALSE
"LOC126284762",0.107259086644707,0.107259086644707,"Higher in gregarious/crowded reference",FALSE
"LOC126284310",-0.530334600240824,0.530334600240824,"Higher in solitarious/isolated reference",FALSE
"LOC126284790",-1.51351522672858,1.51351522672858,"Higher in solitarious/isolated reference",TRUE
"LOC126285237",-0.253586215203293,0.253586215203293,"Higher in solitarious/isolated reference",FALSE
"LOC126285239",-0.0862371798003281,0.0862371798003281,"Higher in solitarious/isolated reference",FALSE
"LOC126285240",-0.214590831184515,0.214590831184515,"Higher in solitarious/isolated reference",FALSE
"LOC126284063",-0.335035354985372,0.335035354985372,"Higher in solitarious/isolated reference",FALSE
"LOC126284062",-0.0442152681754946,0.0442152681754946,"Higher in solitarious/isolated reference",FALSE
"LOC126284212",0.422580715663003,0.422580715663003,"Higher in gregarious/crowded reference",FALSE
"LOC126284213",0.747372660298674,0.747372660298674,"Higher in gregarious/crowded reference",FALSE
"LOC126284214",0.130817706299957,0.130817706299957,"Higher in gregarious/crowded reference",FALSE
"LOC126284215",0.194440900221961,0.194440900221961,"Higher in gregarious/crowded reference",FALSE
"LOC126284216",0.00845104140894382,0.00845104140894382,"Higher in gregarious/crowded reference",FALSE
"LOC126284218",-0.775087198462268,0.775087198462268,"Higher in solitarious/isolated reference",FALSE
"LOC126284168",0.184636857308313,0.184636857308313,"Higher in gregarious/crowded reference",FALSE
"LOC126284167",0.185808596652583,0.185808596652583,"Higher in gregarious/crowded reference",FALSE
"LOC126284677",0.0512644025590046,0.0512644025590046,"Higher in gregarious/crowded reference",FALSE
"LOC126284938",0.51207786412875,0.51207786412875,"Higher in gregarious/crowded reference",FALSE
"LOC126284943",0.039457114313028,0.039457114313028,"Higher in gregarious/crowded reference",FALSE
"LOC126284939",0.0343796064988107,0.0343796064988107,"Higher in gregarious/crowded reference",FALSE
"LOC126284937",0.260816981198483,0.260816981198483,"Higher in gregarious/crowded reference",FALSE
"LOC126284941",0,0,"No difference in single-pair reference",FALSE
"LOC126284942",0.213353956841155,0.213353956841155,"Higher in gregarious/crowded reference",FALSE
"LOC126284817",-0.0818988379378673,0.0818988379378673,"Higher in solitarious/isolated reference",FALSE
"LOC126284801",0.412417936756939,0.412417936756939,"Higher in gregarious/crowded reference",FALSE
"LOC126285241",-0.0233885650731356,0.0233885650731356,"Higher in solitarious/isolated reference",FALSE
"LOC126284346",0.412417936756939,0.412417936756939,"Higher in gregarious/crowded reference",FALSE
"LOC126284347",0.743143623800917,0.743143623800917,"Higher in gregarious/crowded reference",FALSE
"LOC126284582",1.53196337209936,1.53196337209936,"Higher in gregarious/crowded reference",TRUE
"LOC126284782",0.161779367933216,0.161779367933216,"Higher in gregarious/crowded reference",FALSE
"LOC126285243",0.0433904391584514,0.0433904391584514,"Higher in gregarious/crowded reference",FALSE
"LOC126284747",0.292118234106266,0.292118234106266,"Higher in gregarious/crowded reference",FALSE
"LOC126284267",0.354805321709085,0.354805321709085,"Higher in gregarious/crowded reference",FALSE
"LOC126284523",0.127427135905173,0.127427135905173,"Higher in gregarious/crowded reference",FALSE
"LOC126284069",0.184636857308313,0.184636857308313,"Higher in gregarious/crowded reference",FALSE
"LOC126284068",-0.0142235445480736,0.0142235445480736,"Higher in solitarious/isolated reference",FALSE
"LOC126284067",-0.0709478361076279,0.0709478361076279,"Higher in solitarious/isolated reference",FALSE
"LOC126285244",-0.0616772219936506,0.0616772219936506,"Higher in solitarious/isolated reference",FALSE
"LOC126285246",0.113784279558837,0.113784279558837,"Higher in gregarious/crowded reference",FALSE
"LOC126284395",-0.0753696967112347,0.0753696967112347,"Higher in solitarious/isolated reference",FALSE
"LOC126284961",0.0811849750542679,0.0811849750542679,"Higher in gregarious/crowded reference",FALSE
"LOC126285248",-0.377090370510267,0.377090370510267,"Higher in solitarious/isolated reference",FALSE
"LOC126284467",-0.191672222209185,0.191672222209185,"Higher in solitarious/isolated reference",FALSE
"LOC126284468",0.0640210693360572,0.0640210693360572,"Higher in gregarious/crowded reference",FALSE
"LOC126284469",-0.172339013137266,0.172339013137266,"Higher in solitarious/isolated reference",FALSE
"LOC126284470",-0.152912883718432,0.152912883718432,"Higher in solitarious/isolated reference",FALSE
"LOC126284297",-0.590210535623267,0.590210535623267,"Higher in solitarious/isolated reference",FALSE
"LOC126284477",-0.0068118768360641,0.0068118768360641,"Higher in solitarious/isolated reference",FALSE
"LOC126284783",-0.0264973664878507,0.0264973664878507,"Higher in solitarious/isolated reference",FALSE
"LOC126284411",0.102874540966027,0.102874540966027,"Higher in gregarious/crowded reference",FALSE
"LOC126284404",0.143502319799229,0.143502319799229,"Higher in gregarious/crowded reference",FALSE
"LOC126284405",0.413365614873713,0.413365614873713,"Higher in gregarious/crowded reference",FALSE
"LOC126284406",0.0984047674471018,0.0984047674471018,"Higher in gregarious/crowded reference",FALSE
"LOC126284407",0.0490847225799849,0.0490847225799849,"Higher in gregarious/crowded reference",FALSE
"LOC126285249",0.141919548081161,0.141919548081161,"Higher in gregarious/crowded reference",FALSE
"LOC126284748",0.323673167642481,0.323673167642481,"Higher in gregarious/crowded reference",FALSE
"LOC126285250",-0.208294257368254,0.208294257368254,"Higher in solitarious/isolated reference",FALSE
"LOC126284250",0.413241186543916,0.413241186543916,"Higher in gregarious/crowded reference",FALSE
"LOC126284251",-0.00547226690437608,0.00547226690437608,"Higher in solitarious/isolated reference",FALSE
"LOC126284848",-0.154206271373092,0.154206271373092,"Higher in solitarious/isolated reference",FALSE
"LOC126284558",0.137174257843295,0.137174257843295,"Higher in gregarious/crowded reference",FALSE
"LOC126284249",-0.18915241865747,0.18915241865747,"Higher in solitarious/isolated reference",FALSE
"LOC126284609",0.593795756684345,0.593795756684345,"Higher in gregarious/crowded reference",FALSE
"LOC126284107",0.625903442236487,0.625903442236487,"Higher in gregarious/crowded reference",FALSE
