"gene_id","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class"
"LOC126281338",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281340",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282139",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282207",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281589",1,"Head","Gregarious-up",1.37665121942222,1.37665121942222,1.37665121942222,NA,0.000475378046096724,NA,"Gregarious-up","Head phase DEG only"
"LOC126282523",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281600",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282033",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281231",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282219",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281177",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281178",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
